,Speaker,Utterance,Unified
5,M,She nods.,M|She nods.
26,A,"and we really, uh, lessened it, uh, our living expenses, uh, more than what we thought we would.","A|and we really, uh, lessened it, uh, our living expenses, uh, more than what we thought we would."
27,M,"Uh... uh... I mean, uh, I'm not gonna say it...","M|Uh... uh... I mean, uh, I'm not gonna say it..."
28,A,"But,","A|But,"
29,M,i really hope they do,M|i really hope they do
30,A,"Oh, just our own design.","A|Oh, just our own design."
31,M,Didn't you have special programs on your computers to do it?,M|Didn't you have special programs on your computers to do it?
32,A,Uh-huh.,A|Uh-huh.
33,M,Haha!!!,M|Haha!!!
34,A,"And the, so, but we've had budgets that didn't work when our, uh, you know, of our first fifteen years or eighteen years of being married nothing worked","A|And the, so, but we've had budgets that didn't work when our, uh, you know, of our first fifteen years or eighteen years of being married nothing worked"
35,M,"So. We've had this one, uh, so far.","M|So. We've had this one, uh, so far."
36,A,"We spent too much money,  until our children went to college, so. So, tell me about,","A|We spent too much money,  until our children went to college, so. So, tell me about,"
37,M,It's not really that complicated.,M|It's not really that complicated.
38,A,"do you all, uh, have a budget?","A|do you all, uh, have a budget?"
39,M,"Yeah, it's called a budget","M|Yeah, it's called a budget"
40,A,Wonderful.   Yes.,A|Wonderful.   Yes.
41,M,,M|
42,A,Three and a two year old.,A|Three and a two year old.
43,M,,M|
44,A,"Bang, *one utt?? bang.","A|Bang, *one utt?? bang."
45,M,I'm trying to figure out how to pronounce this.,M|I'm trying to figure out how to pronounce this.
46,A,Uh-huh.,A|Uh-huh.
47,M,"And you've been really busy, u","M|And you've been really busy, u"
48,A,"Well, I think that's important for your budget to be for it to work though, you have to do something.","A|Well, I think that's important for your budget to be for it to work though, you have to do something."
49,M,,M|
50,A,Of course not.,A|Of course not.
51,M,,M|
52,A,"Well, I found, uh, that, in the place that it was harder for me to stick to a budget was not where we were concerned,  but where maybe our friends were concerned and our relatives and parents.","A|Well, I found, uh, that, in the place that it was harder for me to stick to a budget was not where we were concerned,  but where maybe our friends were concerned and our relatives and parents."
53,M,2.,M|2.
54,A,"Uh, we, we tended to want to keep on giving lavish,  gifts as,  we had done before.","A|Uh, we, we tended to want to keep on giving lavish,  gifts as,  we had done before."
55,M,I see,M|I see
56,A,"And I really believe that if you're going to cut down on yourself, you need to cut down somewhat on your friends.","A|And I really believe that if you're going to cut down on yourself, you need to cut down somewhat on your friends."
57,M,We're not.,M|We're not.
58,A,Yes.,A|Yes.
59,M,,M|
60,A,"Well, I really do, I think you have to budget those things though.","A|Well, I really do, I think you have to budget those things though."
61,M,You're talking about the car?,M|You're talking about the car?
62,A,Yes.,A|Yes.
63,M,I'm guessing you're on the wrong website.,M|I'm guessing you're on the wrong website.
64,A,"Exactly, although so much per month anyway.","A|Exactly, although so much per month anyway."
65,M,I'm a student and I've got a car.,M|I'm a student and I've got a car.
66,A,"And, uh, that really should be in your but if you don't spend it, it should be in your bank account at the end of the month","A|And, uh, that really should be in your but if you don't spend it, it should be in your bank account at the end of the month"
67,M,I have about 6 months worth of my money.,M|I have about 6 months worth of my money.
68,A,"Oh, no, no, no, no.","A|Oh, no, no, no, no."
69,M,You are correct. I'm not,M|You are correct. I'm not
70,A,"You don't want the government to spend your money. You want to be able,","A|You don't want the government to spend your money. You want to be able,"
71,M,"You're, to be","M|You're, to be"
72,A,"Well, uh, but I do realize that, that is realistic for some people,","A|Well, uh, but I do realize that, that is realistic for some people,"
73,M,"This is how it works. If you have enough money, you have the money to buy something.","M|This is how it works. If you have enough money, you have the money to buy something."
74,A,"and it was for us many years,  for many years.","A|and it was for us many years,  for many years."
75,M,You could have saved up a few thousand dollars.,M|You could have saved up a few thousand dollars.
76,A,"Uh, and if, and if that's the only way that will, it will make you save and have a little nest egg at the end of the, the year then doggone it that's what you should do.","A|Uh, and if, and if that's the only way that will, it will make you save and have a little nest egg at the end of the, the year then doggone it that's what you should do."
77,M,No. I want to see the eggs hatch,M|No. I want to see the eggs hatch
78,A,"Uh-huh, uh-huh. Well, I was just reading an article in, uh, a North Carolina paper today where a high school student obtained over two hundred thousand dollars worth of scholarships for herself by sitting up at night and typing at, uh, letters of applications to universities.","A|Uh-huh, uh-huh. Well, I was just reading an article in, uh, a North Carolina paper today where a high school student obtained over two hundred thousand dollars worth of scholarships for herself by sitting up at night and typing at, uh, letters of applications to universities."
79,M,N.,M|N.
80,A,"She was she was third out of a class of two hundred and twenty, so, it can be done.","A|She was she was third out of a class of two hundred and twenty, so, it can be done."
81,M,This.,M|This.
82,A,"Where there's a will,  where there's a will, there's a way, right?","A|Where there's a will,  where there's a will, there's a way, right?"
83,M,But I don't want to,M|But I don't want to
84,A,"Well, I have enjoyed talking to you.","A|Well, I have enjoyed talking to you."
85,M,"Well, you're welcome","M|Well, you're welcome"
86,A,"Oh, I know we'll have to stay home and mow the yard","A|Oh, I know we'll have to stay home and mow the yard"
87,M,"Yeah, well, I hope you have a nice weekend.","M|Yeah, well, I hope you have a nice weekend."
88,A,Bye-bye.,A|Bye-bye.
89,M,I hope you have a good day.,M|I hope you have a good day.
