,Speaker,Utterance,Unified
5,M,Sorry.,M|Sorry.
37,M,Uhhhhhuh....,M|Uhhhhhuh....
38,A,Uh-huh.,A|Uh-huh.
39,M,"Uuhh, I'm.","M|Uuhh, I'm."
40,A,Uh-huh.,A|Uh-huh.
41,M,"She's a lady, she can stay out of the way.","M|She's a lady, she can stay out of the way."
42,A,Oh yeah. That's a given.,A|Oh yeah. That's a given.
43,M,I have seen people who are working at the place in the house and are looking for a new place.,M|I have seen people who are working at the place in the house and are looking for a new place.
44,A,"Uh-huh.   And sometimes the, the help there does it, I think.","A|Uh-huh.   And sometimes the, the help there does it, I think."
45,M,"I dunno, sometimes it's just weird.","M|I dunno, sometimes it's just weird."
46,A,Uh-huh.,A|Uh-huh.
47,M,I think you'll find they're not all that busy,M|I think you'll find they're not all that busy
48,A,Uh-huh.,A|Uh-huh.
49,M,Uhhh... and uh...,M|Uhhh... and uh...
50,A,Adapt.,A|Adapt.
51,M,That's what I was saying.,M|That's what I was saying.
52,A,"Yeah.  I, as I think I mentioned, I was in the trust business and I've seen so many elderly people. Usually there has to be some wealth involved, which is great, if, if you're financially, if, if you don't make the decisions so late that you're worried about money  but  the, the places like Presbyterian Village and some of the, the retirement places where, where they have different levels of care seems to be so much better, as far as elderly people adapting.","A|Yeah.  I, as I think I mentioned, I was in the trust business and I've seen so many elderly people. Usually there has to be some wealth involved, which is great, if, if you're financially, if, if you don't make the decisions so late that you're worried about money  but  the, the places like Presbyterian Village and some of the, the retirement places where, where they have different levels of care seems to be so much better, as far as elderly people adapting."
53,M,,M|
54,A,They're able to move in while they're still independent and still social,A|They're able to move in while they're still independent and still social
55,M,You're...,M|You're...
56,A,"and, and they do group things. And then if health or, or mental capacity deteriorates, they're able to take the next steps without so much change and oh, I wish everybody could go that direction rather than just all of a sudden moving out of the home they've always been in. It's really kind of difficult.","A|and, and they do group things. And then if health or, or mental capacity deteriorates, they're able to take the next steps without so much change and oh, I wish everybody could go that direction rather than just all of a sudden moving out of the home they've always been in. It's really kind of difficult."
57,M,I,M|I
58,A,Yeah.,A|Yeah.
59,M,... we.,M|... we.
60,A,Uh-huh.,A|Uh-huh.
61,M,"... men... uh, I...","M|... men... uh, I..."
62,A,"Well and it's the first step in, in actually accepting that you are failing and, and aging.","A|Well and it's the first step in, in actually accepting that you are failing and, and aging."
63,M,you mean they don t get outta the house?,M|you mean they don t get outta the house?
64,A,"You know once you make that step you know that it's just going to be downhill from then on and, and I've seen people really fight it that desperately needed  to make the change.","A|You know once you make that step you know that it's just going to be downhill from then on and, and I've seen people really fight it that desperately needed  to make the change."
65,M,Oh. I thought it was a new thing.,M|Oh. I thought it was a new thing.
66,A,"They, they became, in fact, that's probably what's going to happen with my husband's mother. She's going to endanger herself before she'll willingly and probably will never willingly make the decision. And that scares me the, the thought of forcing somebody to do something.","A|They, they became, in fact, that's probably what's going to happen with my husband's mother. She's going to endanger herself before she'll willingly and probably will never willingly make the decision. And that scares me the, the thought of forcing somebody to do something."
67,M,Emotions.,M|Emotions.
68,A,Yeah.,A|Yeah.
69,M,I'm gonna cry.,M|I'm gonna cry.
70,A,Uh-huh.,A|Uh-huh.
71,M,Why would I?,M|Why would I?
72,A,Not as independence.,A|Not as independence.
73,M,But there is no other way to play.,M|But there is no other way to play.
74,A,Yeah.,A|Yeah.
75,M,You are in the area?,M|You are in the area?
76,A,Uh-huh.   Uh-huh.,A|Uh-huh.   Uh-huh.
77,M,That's a good point.,M|That's a good point.
78,A,Yeah. And the quality of life really isn't there.,A|Yeah. And the quality of life really isn't there.
79,M,They are not the only ones who get the job.,M|They are not the only ones who get the job.
80,A,"Oh it's tough, it really is.","A|Oh it's tough, it really is."
81,M,I know. I'm a woman.,M|I know. I'm a woman.
82,A,Uh-huh.,A|Uh-huh.
83,M,I am.,M|I am.
84,A,"Well, they fear being dependent  on somebody.","A|Well, they fear being dependent  on somebody."
85,M,Why do they fear having children?,M|Why do they fear having children?
86,A,"They, they fear being a burden to, to family members.","A|They, they fear being a burden to, to family members."
87,M,Why do they have so many kids?,M|Why do they have so many kids?
88,A,"My husband's mother will have major surgery and we'll find out about it in a casual conversation. She'll let something slip and we'll say, wait a minute. And, and that's it, she, just, well I didn't want to bother you. She can't accept that we want to be the care givers.","A|My husband's mother will have major surgery and we'll find out about it in a casual conversation. She'll let something slip and we'll say, wait a minute. And, and that's it, she, just, well I didn't want to bother you. She can't accept that we want to be the care givers."
89,M,Why? What is the reason?,M|Why? What is the reason?
90,A,"Yeah. Well, she stayed, she stayed in a temporary nursing home.  Until she was okay.","A|Yeah. Well, she stayed, she stayed in a temporary nursing home.  Until she was okay."
91,M,Did you have to leave?,M|Did you have to leave?
92,A,"You know, it's just, but it's frightening to us because we live pretty far from her. She's down in Temple","A|You know, it's just, but it's frightening to us because we live pretty far from her. She's down in Temple"
93,M,Is she ok?,M|Is she ok?
94,A,and we can't see her often enough to really know what's going on.,A|and we can't see her often enough to really know what's going on.
95,M,She's a nurse.,M|She's a nurse.
96,A,"So, it's difficult, it really is and we're all heading that way and,","A|So, it's difficult, it really is and we're all heading that way and,"
97,M,"I don't know, it's hard to see her.","M|I don't know, it's hard to see her."
98,A,Uh-huh.,A|Uh-huh.
99,M,We're in College station,M|We're in College station
100,A,Yeah,A|Yeah
