,Speaker,Utterance,Unified
5,M,"you have a business, this is there is business.","M|you have a business, this is there is business."
24,A,"but I think it finally sunk in, you know, because she saw some of the other people and just like she heard them say, you know, well, I used a credit card. And my husband's sister is the world's worst at, oh, well, I'll just use the credit cards and she has all of her credit cards up to the limit.","A|but I think it finally sunk in, you know, because she saw some of the other people and just like she heard them say, you know, well, I used a credit card. And my husband's sister is the world's worst at, oh, well, I'll just use the credit cards and she has all of her credit cards up to the limit."
25,M,.now.,M|.now.
26,A,"You know, and I'm, I'm thinking woman, wake up and smell the roses before they come and get you.  But ...","A|You know, and I'm, I'm thinking woman, wake up and smell the roses before they come and get you.  But ..."
27,M,Don't!,M|Don't!
28,A,"Right, and people don't see that either.","A|Right, and people don't see that either."
29,M,I'm not sure.,M|I'm not sure.
30,A,"Right. The only one that we, we have that we kept was the Discover card,","A|Right. The only one that we, we have that we kept was the Discover card,"
31,M,Right.,M|Right.
32,A,"and it pays you to use it.  I mean, if you pay your bill off right away,  if you don't ever have to pay any interest on it because they give you a certain amount every time that you use it,","A|and it pays you to use it.  I mean, if you pay your bill off right away,  if you don't ever have to pay any interest on it because they give you a certain amount every time that you use it,"
33,M,Yes.,M|Yes.
34,A,"and you make that money as long as you don't ever have to pay them any, uh, interest. Now it's, and people say, well, you know, I'm making money by using this credit card, but they don't realize that if they, I mean, it only takes one time for you to use it and not pay the interest, I mean, you have to pay the interest, not pay it right off,","A|and you make that money as long as you don't ever have to pay them any, uh, interest. Now it's, and people say, well, you know, I'm making money by using this credit card, but they don't realize that if they, I mean, it only takes one time for you to use it and not pay the interest, I mean, you have to pay the interest, not pay it right off,"
35,M,lol,M|lol
36,A,that's going to take up what you would have made.,A|that's going to take up what you would have made.
37,M,no.,M|no.
38,A,"So that's the only reason that we kept that, we debated for a long time plus they don't have that, um, charge on it, you know, like ...","A|So that's the only reason that we kept that, we debated for a long time plus they don't have that, um, charge on it, you know, like ..."
39,M,"uuh, uh, charge, they pay, charge","M|uuh, uh, charge, they pay, charge"
40,A,Yeah.,A|Yeah.
41,M,"Oh, so you're saying that it's a service charge?","M|Oh, so you're saying that it's a service charge?"
42,A,"Right. They don't have one of those. So, it, we decided that was it, you know, and, I mean, everybody calls us and wants to give us a credit card. We have, we could have credit cards running down our ears.","A|Right. They don't have one of those. So, it, we decided that was it, you know, and, I mean, everybody calls us and wants to give us a credit card. We have, we could have credit cards running down our ears."
43,M,It's not like you have a creditcard.,M|It's not like you have a creditcard.
44,A,"Yes, yes. And then, I'll have, just like , uh, department stores. They'll call me up, you know, and I'll say, look, I don't want the credit card, well, we're just going to send it to you, you know, you don't have to ever use it if you don't want to. They'll send me any credit card, I tear it up.  I just can't see it.","A|Yes, yes. And then, I'll have, just like , uh, department stores. They'll call me up, you know, and I'll say, look, I don't want the credit card, well, we're just going to send it to you, you know, you don't have to ever use it if you don't want to. They'll send me any credit card, I tear it up.  I just can't see it."
45,M,I,M|I
46,A,Uh-huh. Yeah.,A|Uh-huh. Yeah.
47,M,,M|
48,A,"I know it, and you know what ...","A|I know it, and you know what ..."
49,M,"you can't, a', say, and do.","M|you can't, a', say, and do."
50,A,"What's really bad about those though is just like young people if they don't, you know, we take the time to, you know, help my daughter, she's in college,","A|What's really bad about those though is just like young people if they don't, you know, we take the time to, you know, help my daughter, she's in college,"
51,M,"The worst part is, we don't","M|The worst part is, we don't"
52,A,"but it, this is her first credit card thing, well, when she got her first one she was so excited it was unreal. Look at this they sent me this money, you know. So then when I explained to her, look you have to pay this back and they are going to charge you interest, and stuff , of course, she tore it up.  But a lot of parents would not take the time, you know, and they wouldn't even think of it or their kids may not be as close as my daughter and I are, and, uh, you know, they may not even discuss it, they go out and cash their check thinking that, you know, they've got something, maybe they've won something.  You know, somebody sent them something free.","A|but it, this is her first credit card thing, well, when she got her first one she was so excited it was unreal. Look at this they sent me this money, you know. So then when I explained to her, look you have to pay this back and they are going to charge you interest, and stuff , of course, she tore it up.  But a lot of parents would not take the time, you know, and they wouldn't even think of it or their kids may not be as close as my daughter and I are, and, uh, you know, they may not even discuss it, they go out and cash their check thinking that, you know, they've got something, maybe they've won something.  You know, somebody sent them something free."
53,M,,M|
54,A,"And go out and spend it. And, um, it's just unreal. I mean, I don't like credit cards, I wish that they would come up with some other way to, you know, the only way you could use them is if you were, like on vacation. They would let you use it maybe once a year. You know, I mean, of course, I guess some people go out and spend their whole entire limit on it like that at that time but, um, I have seen so many people and I have a friend right now she just got off of thirteen. She got, uh, I can't remember what she called it, it's some kind of, maybe it's sure or something like that, it's something, it's some weird name of a credit card,","A|And go out and spend it. And, um, it's just unreal. I mean, I don't like credit cards, I wish that they would come up with some other way to, you know, the only way you could use them is if you were, like on vacation. They would let you use it maybe once a year. You know, I mean, of course, I guess some people go out and spend their whole entire limit on it like that at that time but, um, I have seen so many people and I have a friend right now she just got off of thirteen. She got, uh, I can't remember what she called it, it's some kind of, maybe it's sure or something like that, it's something, it's some weird name of a credit card,"
55,M,Who,M|Who
56,A,"and she is charging out of her mind already. And I'm going, you just got off. That's how you got on to it to start with, you know, what is the matter with this person,","A|and she is charging out of her mind already. And I'm going, you just got off. That's how you got on to it to start with, you know, what is the matter with this person,"
57,M,What,M|What
58,A,"But, um, it seems like people just, you know, they just think, well, I can just have anything I want. And I just don't see it like that. Of course, I always see pay the bills first and whatever's leftover, that's what you have, but, um, maybe a lot of people don't see it like that, but I can't stand owing. I mean, I cannot fully tolerate to owe something like, you know, I guess it's just because I've been brought up like that. But, um, I could not charge to the limit and knowing that I was going to have to pay this thing out for ever and maybe suffer from having to payout. But, that's just the way I feel about it.","A|But, um, it seems like people just, you know, they just think, well, I can just have anything I want. And I just don't see it like that. Of course, I always see pay the bills first and whatever's leftover, that's what you have, but, um, maybe a lot of people don't see it like that, but I can't stand owing. I mean, I cannot fully tolerate to owe something like, you know, I guess it's just because I've been brought up like that. But, um, I could not charge to the limit and knowing that I was going to have to pay this thing out for ever and maybe suffer from having to payout. But, that's just the way I feel about it."
59,M,!,M|!
60,A,Right.  yeah.,A|Right.  yeah.
61,M,this.that,M|this.that
62,A,"oh, yeah. I guess it is like that though because it seems like more and more people are like that. But, um, I guess it's because I'm older, I mean, I'm not real old but I am older and, um, you know, I didn't feel like that I didn't feel like I had to have everything. I guess it was because, well, I had everything when I was at home but I, I don't know why I didn't.","A|oh, yeah. I guess it is like that though because it seems like more and more people are like that. But, um, I guess it's because I'm older, I mean, I'm not real old but I am older and, um, you know, I didn't feel like that I didn't feel like I had to have everything. I guess it was because, well, I had everything when I was at home but I, I don't know why I didn't."
63,M,,M|
64,A,uh-huh.,A|uh-huh.
65,M,I,M|I
66,A,yeah.,A|yeah.
67,M,"we,","M|we,"
68,A,Huh.,A|Huh.
69,M,that is the joke,M|that is the joke
70,A,"Yeah, well, it didn't hurt you, did it, to, I mean, you didn't go out and charge a whole bunch and lose everything, did you?","A|Yeah, well, it didn't hurt you, did it, to, I mean, you didn't go out and charge a whole bunch and lose everything, did you?"
71,M,I have a feeling that I'm not the only one who's mad at the fact that I got a new phone and it's been 4 years.,M|I have a feeling that I'm not the only one who's mad at the fact that I got a new phone and it's been 4 years.
72,A,"Yeah, well, you learned then, right?","A|Yeah, well, you learned then, right?"
73,M,"I, I, you, you' read.","M|I, I, you, you' read."
74,A,Yeah.,A|Yeah.
75,M,you.,M|you.
76,A,Uh-huh.,A|Uh-huh.
77,M,You can't.,M|You can't.
