,Speaker,Utterance,Unified
5,M,I'm in Georgia.,M|I'm in Georgia.
36,A,"Um, the area itself, uh, the Fort Worth Dallas area, um, has become kind of depressed because there's been so many layoffs with big companies, including Texas Instruments","A|Um, the area itself, uh, the Fort Worth Dallas area, um, has become kind of depressed because there's been so many layoffs with big companies, including Texas Instruments"
37,M,What happened to Fort Worth?,M|What happened to Fort Worth?
38,A,"Um, there's been tremendous amounts of, of, uh, layoffs so, really housing is real bad. The economy itself around here is not too terribly bad, but housing is still real bad","A|Um, there's been tremendous amounts of, of, uh, layoffs so, really housing is real bad. The economy itself around here is not too terribly bad, but housing is still real bad"
39,M,"Ugh, I'm so glad you said this.","M|Ugh, I'm so glad you said this."
40,A,Yeah.,A|Yeah.
41,M,Do you?,M|Do you?
42,A,"Yeah. This is,","A|Yeah. This is,"
43,M,This is real,M|This is real
44,A,Oh.,A|Oh.
45,M,Yeah. I live in Pensacolos.,M|Yeah. I live in Pensacolos.
46,A,Uh-huh.,A|Uh-huh.
47,M,Oh. Well. I'm not really sure.,M|Oh. Well. I'm not really sure.
48,A,Oh.,A|Oh.
49,M,We did.,M|We did.
50,A,Wow.,A|Wow.
51,M,That's why we don't have them.,M|That's why we don't have them.
52,A,"So, do you think, it was overdeveloped then?","A|So, do you think, it was overdeveloped then?"
53,M,"No, it was not.","M|No, it was not."
54,A,Wow.,A|Wow.
55,M,We do have the most.,M|We do have the most.
56,A,Um.,A|Um.
57,M,"The only thing that's been a problem for me is the number, so I think it's a good deal.","M|The only thing that's been a problem for me is the number, so I think it's a good deal."
58,A,Um yeah. Yeah.,A|Um yeah. Yeah.
59,M,Are you saying that the current build,M|Are you saying that the current build
60,A,"Well, right now we're just renting, but it is a home. Um,","A|Well, right now we're just renting, but it is a home. Um,"
61,M,,M|
62,A,"it's a four bedroom home It has about, I guess, eighteen hundred square feet It's on one floor","A|it's a four bedroom home It has about, I guess, eighteen hundred square feet It's on one floor"
63,M,... what?,M|... what?
64,A,"Uh, we have no basement I don't know,","A|Uh, we have no basement I don't know,"
65,M,"Uhh, uh, uh.we're not in a basement","M|Uhh, uh, uh.we're not in a basement"
66,A,"Okay I wasn't sure. Most of the ones, you know, up north and everything do, but, um, anyway, it's, uh, it's pretty, also pretty typical for the area. Most of this area was developed, this house was built in seventy-four.","A|Okay I wasn't sure. Most of the ones, you know, up north and everything do, but, um, anyway, it's, uh, it's pretty, also pretty typical for the area. Most of this area was developed, this house was built in seventy-four."
67,M,"I don't, I don't, I have no idea.","M|I don't, I don't, I have no idea."
68,A,"So most of the, it's almost twenty years old, and most of the houses around here were built pretty much the same style Uh, we have a friend that lives two blocks over, and his house is almost identical to us, except his is three bedrooms and ours is four","A|So most of the, it's almost twenty years old, and most of the houses around here were built pretty much the same style Uh, we have a friend that lives two blocks over, and his house is almost identical to us, except his is three bedrooms and ours is four"
69,M,"Yeah, um","M|Yeah, um"
70,A,"but otherwise the layout is pretty much the same. So I, I think most of them are there was, it, like most areas that are built, um, there were probably, like two or three styles you could choose from","A|but otherwise the layout is pretty much the same. So I, I think most of them are there was, it, like most areas that are built, um, there were probably, like two or three styles you could choose from"
71,M,...,M|...
72,A,"And, and, uh, that's pretty much all the houses in the area, for probably a square mile, I'd say, at least, maybe even a little bit more than that.","A|And, and, uh, that's pretty much all the houses in the area, for probably a square mile, I'd say, at least, maybe even a little bit more than that."
73,M,"yeah,","M|yeah,"
74,A,Where are you in relation to Sevren? are you close to Sevren?,A|Where are you in relation to Sevren? are you close to Sevren?
75,M,"I,,","M|I,,"
76,A,Okay.,A|Okay.
77,M,What about Sevren,M|What about Sevren
78,A,"Well, I just,","A|Well, I just,"
79,M,I don't know.,M|I don't know.
80,A,I have a sister that used to live in Sevren.,A|I have a sister that used to live in Sevren.
81,M,What is that?,M|What is that?
82,A,"And they bought their home in I, I want to say like around nineteen seventy-five or something like that, and they paid like, they, they had it built from, you know, they, they designed it and everything, and to have it built they only paid forty thousand for it, and when they left the area they sold it for a hundred and twenty thousand","A|And they bought their home in I, I want to say like around nineteen seventy-five or something like that, and they paid like, they, they had it built from, you know, they, they designed it and everything, and to have it built they only paid forty thousand for it, and when they left the area they sold it for a hundred and twenty thousand"
83,M,I can't say I've ever heard of a home builder.,M|I can't say I've ever heard of a home builder.
84,A,"Yeah, so I just wondered, you know, if the whole area was like that or,","A|Yeah, so I just wondered, you know, if the whole area was like that or,"
85,M,I'm sure,M|I'm sure
86,A,Uh-huh.,A|Uh-huh.
87,M,Why?,M|Why?
88,A,Um.,A|Um.
89,M,I think,M|I think
90,A,Yeah.,A|Yeah.
91,M,... I... I just saw the second one...,M|... I... I just saw the second one...
92,A,Sounds like a lot of money though,A|Sounds like a lot of money though
93,M,I've got a lot.,M|I've got a lot.
94,A,sure. Yeah.,A|sure. Yeah.
95,M,Can you imagine spending that many on something that's not a game?,M|Can you imagine spending that many on something that's not a game?
96,A,"Right. Oh, yeah.","A|Right. Oh, yeah."
97,M,"Well, it's only the most expensive one.","M|Well, it's only the most expensive one."
98,A,Wow. Yeah.,A|Wow. Yeah.
99,M,,M|
100,A,"Wow Wow, that's,","A|Wow Wow, that's,"
101,M,I have you pay a million dollars.,M|I have you pay a million dollars.
102,A,Really? That much of a difference?,A|Really? That much of a difference?
103,M,"The house is in my town, and I live in the town of the same name.","M|The house is in my town, and I live in the town of the same name."
104,A,Wow.,A|Wow.
105,M,"Oh, absolutely.","M|Oh, absolutely."
106,A,Yeah,A|Yeah
107,M,"That's really, really sad.","M|That's really, really sad."
108,A,Wow. Why is that? Do you know? I mean,A|Wow. Why is that? Do you know? I mean
109,M,It's sad,M|It's sad
110,A,Uh-huh,A|Uh-huh
111,M,"So, what are you saying?","M|So, what are you saying?"
112,A,Oh.,A|Oh.
113,M,Yeah. It's the reason why I live in Florida.,M|Yeah. It's the reason why I live in Florida.
114,A,Oh,A|Oh
115,M,I'd like to see a picture of a real job,M|I'd like to see a picture of a real job
116,A,My goodness,A|My goodness
117,M,I'm a private school teacher.,M|I'm a private school teacher.
118,A,Wow,A|Wow
119,M,The only way I can be sure,M|The only way I can be sure
