,Speaker,Utterance,Unified
5,M,... we,M|... we
53,M,It's a city in a city.,M|It's a city in a city.
54,A,"and you feel stupid doing that but we did it,","A|and you feel stupid doing that but we did it,"
55,M,I have no idea why I am so good at this.,M|I have no idea why I am so good at this.
56,A,"and we were much happier,","A|and we were much happier,"
57,M,But we're not in the UK,M|But we're not in the UK
58,A,"and you also get in to see things that you might not get into if you were alone, uh,","A|and you also get in to see things that you might not get into if you were alone, uh,"
59,M,you see that?,M|you see that?
60,A,Uh,A|Uh
61,M,Well it's good to know you're not alone,M|Well it's good to know you're not alone
62,A,Yes.,A|Yes.
63,M,Do you have a home?,M|Do you have a home?
64,A,"No actually I haven't been all through Europe,  like I haven't been to Italy yet.","A|No actually I haven't been all through Europe,  like I haven't been to Italy yet."
65,M,Have you been to Europe?,M|Have you been to Europe?
66,A,"Uh, we're going to go for a conference in September and so, hopefully, we'll get to travel a little bit too.","A|Uh, we're going to go for a conference in September and so, hopefully, we'll get to travel a little bit too."
67,M,I think you are the only one.,M|I think you are the only one.
68,A,"Uh, my more exciting spots have been, I've been to the Galapagos Islands.","A|Uh, my more exciting spots have been, I've been to the Galapagos Islands."
69,M,u TheLolzLizard u thel 0n,M|u TheLolzLizard u thel 0n
70,A,"Uh-huh, that was one of the most wonderful vacations I've ever had.","A|Uh-huh, that was one of the most wonderful vacations I've ever had."
71,M,"We'll be there in September, I think.","M|We'll be there in September, I think."
72,A,"Yes. If you like wildlife, it's a fabulous vacation.","A|Yes. If you like wildlife, it's a fabulous vacation."
73,M,I'm glad you like it.,M|I'm glad you like it.
74,A,"If you don't like wildlife it's probably not of interest But it, that was really, really fabulous and just the photos I have of it and gosh, incredible and be so close,","A|If you don't like wildlife it's probably not of interest But it, that was really, really fabulous and just the photos I have of it and gosh, incredible and be so close,"
75,M,I'm a little bit jealous.,M|I'm a little bit jealous.
76,A,"Um, August, eighty-eight.","A|Um, August, eighty-eight."
77,M,What year?,M|What year?
78,A,"And then, actually, after there I went to um, Hawaii, a lot of my travel has been sort of based around conferences or business meetings","A|And then, actually, after there I went to um, Hawaii, a lot of my travel has been sort of based around conferences or business meetings"
79,M,It's in September.,M|It's in September.
80,A,"and so, I went to Hawaii and then to Australia and Japan and China,","A|and so, I went to Hawaii and then to Australia and Japan and China,"
81,M,"I went to the same place, and then went to a different place, but then went back to Hawaii.","M|I went to the same place, and then went to a different place, but then went back to Hawaii."
82,A,"I, I, actually I didn't go diving.","A|I, I, actually I didn't go diving."
83,M,ohhh yeah.,M|ohhh yeah.
84,A,"I, I'm a diver and so, that's, that's actually been another of my favorite vacations has been taking little diving trips","A|I, I'm a diver and so, that's, that's actually been another of my favorite vacations has been taking little diving trips"
85,M,"Uh, I'm not a diver.","M|Uh, I'm not a diver."
86,A,"but, uh, no I didn't get to the Great Barrier Reef. I drove from Sidney down to Melbourne and over to Adelaide.","A|but, uh, no I didn't get to the Great Barrier Reef. I drove from Sidney down to Melbourne and over to Adelaide."
87,M,Did you go to the great barrier reef?,M|Did you go to the great barrier reef?
88,A,"It's gorgeous, absolutely gorgeous. The coastline was just incredible. It's huge.","A|It's gorgeous, absolutely gorgeous. The coastline was just incredible. It's huge."
89,M,"Hmmm, I think I might go there.","M|Hmmm, I think I might go there."
90,A,Australia. Yeah.,A|Australia. Yeah.
91,M,You mean the great barrier reef?,M|You mean the great barrier reef?
92,A,"Uh, but,","A|Uh, but,"
93,M,The coast of Australia.,M|The coast of Australia.
94,A,I don't remember if I had shrimp.,A|I don't remember if I had shrimp.
95,M,You don't have shrimp?,M|You don't have shrimp?
96,A,I don't think so.,A|I don't think so.
97,M,I'm in Australia.,M|I'm in Australia.
98,A,"Oh, I like that too. But, uh, in fact I didn't eat out that much there because I was traveling by myself in a car, it would have been, I think, much more fun to do it like in the van, with a bunch of people.","A|Oh, I like that too. But, uh, in fact I didn't eat out that much there because I was traveling by myself in a car, it would have been, I think, much more fun to do it like in the van, with a bunch of people."
99,M,That's not really how it works.,M|That's not really how it works.
100,A,"But, uh,","A|But, uh,"
101,M,"No, no, it's not that fun.","M|No, no, it's not that fun."
102,A,Uh-huh.,A|Uh-huh.
103,M,You're adventurous.,M|You're adventurous.
104,A,And I was by myself in China too.,A|And I was by myself in China too.
105,M,I was in China,M|I was in China
106,A,Yeah.,A|Yeah.
107,M,I'm not seeing you,M|I'm not seeing you
108,A,"China was a little bit more, uh, of a challenge. But, it, it wasn't more of a challenge in a sense because I hired a guide all the time,","A|China was a little bit more, uh, of a challenge. But, it, it wasn't more of a challenge in a sense because I hired a guide all the time,"
109,M,That's not a bad idea.,M|That's not a bad idea.
110,A,"and so I never, you know, got out by myself, or not much,","A|and so I never, you know, got out by myself, or not much,"
111,M,Oh. I'm not sure.,M|Oh. I'm not sure.
112,A,"No, actually I paid about either a thousand dollars or a little bit, no maybe it was about a thousand dollars, maybe a little bit less, I don't really remember, for ten days including all my meals, a guide, a car, the airfare and,  but this is from Hong Kong,","A|No, actually I paid about either a thousand dollars or a little bit, no maybe it was about a thousand dollars, maybe a little bit less, I don't really remember, for ten days including all my meals, a guide, a car, the airfare and,  but this is from Hong Kong,"
113,M,Hong Kong,M|Hong Kong
114,A,"because I was already in Hong Kong and, um, but it only cost you about a thousand dollars to go there and I went to Beijing, Shanghai, Chengdu and actually then I took a train up from Shanghai to a little, Quingdao I think is the name of it. It's a little, uh, sort of getaway retreat village not far from Shanghai. It's just a train ride.","A|because I was already in Hong Kong and, um, but it only cost you about a thousand dollars to go there and I went to Beijing, Shanghai, Chengdu and actually then I took a train up from Shanghai to a little, Quingdao I think is the name of it. It's a little, uh, sort of getaway retreat village not far from Shanghai. It's just a train ride."
115,M,,M|
116,A,"And that, I had two internal, one, yeah, two internal plane flights and a couple of other things. It was really,","A|And that, I had two internal, one, yeah, two internal plane flights and a couple of other things. It was really,"
117,M,you.,M|you.
118,A,Uh-huh.,A|Uh-huh.
119,M,... and what about how do you?,M|... and what about how do you?
120,A,Around a thousand.,A|Around a thousand.
121,M,"I'm sorry, how much did you make?","M|I'm sorry, how much did you make?"
122,A,"Oh, Japan's ridiculous.","A|Oh, Japan's ridiculous."
123,M,"There are some places where it's not that expensive, and I live in Japan.","M|There are some places where it's not that expensive, and I live in Japan."
124,A,"And I stayed, I didn't stay in the top of the line hotels but I stayed in, they were all completely clean,","A|And I stayed, I didn't stay in the top of the line hotels but I stayed in, they were all completely clean,"
125,M,"I stayed in Japan, it was like this","M|I stayed in Japan, it was like this"
126,A,"and, you know, they were newly built and they were sort of the lower end of the top of the line, hotels, because they said you can't stay in the cheap stuff.","A|and, you know, they were newly built and they were sort of the lower end of the top of the line, hotels, because they said you can't stay in the cheap stuff."
127,M,They're not even that expensive,M|They're not even that expensive
128,A,Right. Right.,A|Right. Right.
129,M,Yup. It's all about the money,M|Yup. It's all about the money
130,A,"Uh, but yeah, that was, I highly recommend that way to go. If you're ever interested in going the route, I dealt with this woman, her name was Rita at China Tours in Boston","A|Uh, but yeah, that was, I highly recommend that way to go. If you're ever interested in going the route, I dealt with this woman, her name was Rita at China Tours in Boston"
131,M,China,M|China
132,A,"Yeah. Uh, and a friend of mine who had gone for a business trip to China and she just gave me this woman's name to contact and it would really be fun, I think ideally with like two couples because you have a car and a driver and a guide","A|Yeah. Uh, and a friend of mine who had gone for a business trip to China and she just gave me this woman's name to contact and it would really be fun, I think ideally with like two couples because you have a car and a driver and a guide"
133,M,Can you do that?,M|Can you do that?
134,A,"and then,","A|and then,"
