,Speaker,Utterance,Unified
5,M,"That, um, uh, uh?","M|That, um, uh, uh?"
33,M,What's the other thing?,M|What's the other thing?
34,A,"Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season","A|Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season"
35,M,What is your problem?,M|What is your problem?
36,A,"you get some pollutants such as those, but those are natural","A|you get some pollutants such as those, but those are natural"
37,M,"What are we, a country?","M|What are we, a country?"
38,A,"um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,","A|um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,"
39,M,,M|
40,A,"and if that's the case, then you have to get your car fixed,","A|and if that's the case, then you have to get your car fixed,"
41,M,h,M|h
42,A,at least where you .,A|at least where you .
43,M,I don't think I'm gonna be able to drive home for the rest of the night.,M|I don't think I'm gonna be able to drive home for the rest of the night.
44,A,"Sure, yeah,","A|Sure, yeah,"
45,M,you're saying you'd be ok with that?,M|you're saying you'd be ok with that?
46,A,"Yeah, it's not a bad idea. Uh-huh. Sure, sure,","A|Yeah, it's not a bad idea. Uh-huh. Sure, sure,"
47,M,"That's a pretty good idea, I think I might do it.","M|That's a pretty good idea, I think I might do it."
48,A,"Exactly,","A|Exactly,"
49,M,"Well, the car was designed for air pollution so, no, it's probably not a good design.","M|Well, the car was designed for air pollution so, no, it's probably not a good design."
50,A,Uh-huh. Sure. Uh-huh.,A|Uh-huh. Sure. Uh-huh.
51,M,"Yeah, and they are making the stuff in the air.","M|Yeah, and they are making the stuff in the air."
52,A,Uh-huh.,A|Uh-huh.
53,M,I can't even.,M|I can't even.
54,A,Sure.,A|Sure.
55,M,"Uhh, they can just use a certain type that they have a lot of money to buy.","M|Uhh, they can just use a certain type that they have a lot of money to buy."
56,A,Uh-huh. Sure.,A|Uh-huh. Sure.
57,M,you can get a free unit of freons for a dollar.,M|you can get a free unit of freons for a dollar.
58,A,Uh-huh. Yeah. Sure,A|Uh-huh. Yeah. Sure
59,M,"And, uh, if you","M|And, uh, if you"
60,A,"uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it","A|uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it"
61,M,"Uhh, no, it's not.","M|Uhh, no, it's not."
62,A,but it's uncomfortable,A|but it's uncomfortable
63,M,Uhhuhuhuh. I don't know.,M|Uhhuhuhuh. I don't know.
64,A,"but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,","A|but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,"
65,M,I'm pretty sure that's the case.,M|I'm pretty sure that's the case.
66,A,"and, I don't know if there was something wrong with it, or it, his directions weren't quite fully instructed onto that,","A|and, I don't know if there was something wrong with it, or it, his directions weren't quite fully instructed onto that,"
67,M,It's okay.,M|It's okay.
68,A,and I was thinking how many other people,A|and I was thinking how many other people
69,M,"Uhh, how many people have you had to work with?","M|Uhh, how many people have you had to work with?"
70,A,"oh, sure, because if you take it into a service station, they want to charge you forty dollars just for, uh, freon, which only costs you about three dollars","A|oh, sure, because if you take it into a service station, they want to charge you forty dollars just for, uh, freon, which only costs you about three dollars"
71,M,It was the first thing I thought of.,M|It was the first thing I thought of.
72,A,"so I have this feeling that freon probably will increase in price because it is something that people will have to take into consideration and say, Hey, that's that's right there.","A|so I have this feeling that freon probably will increase in price because it is something that people will have to take into consideration and say, Hey, that's that's right there."
73,M,So I have that feeling that the freon price will increase...,M|So I have that feeling that the freon price will increase...
74,A,"I think it's like three or four dollars a, a can","A|I think it's like three or four dollars a, a can"
75,M,"I'll have to check when I get home, but I think it'll be around three or five dollars.","M|I'll have to check when I get home, but I think it'll be around three or five dollars."
76,A,"and it takes about four to five cans to fill up a air conditioning unit in a car, and I, I thought about that, and my husband even was kind of woozy after that because I'm sure he breathed it","A|and it takes about four to five cans to fill up a air conditioning unit in a car, and I, I thought about that, and my husband even was kind of woozy after that because I'm sure he breathed it"
77,M,That's the joke.,M|That's the joke.
78,A,"but, uh, you think about that, all the people that are using freon and things like that","A|but, uh, you think about that, all the people that are using freon and things like that"
79,M,"But it's not an airplane, it's a fuel tanker.","M|But it's not an airplane, it's a fuel tanker."
80,A,Exactly.,A|Exactly.
