,Speaker,Utterance,Unified
5,M,"You do realize, that's how the death sentence works, right?","M|You do realize, that's how the death sentence works, right?"
52,A,"And, uh, this was during a holdup of a, uh, uh, a restaurant and it came out during the trial that, um, they had tried to rob another place and, uh, when the guy came out with the bag they thought was money, it turned out to be a couple cookies, and, uh, you know, jumbo cookies and, and so they were so upset from robbing this guy, you know, trying to do this holdup that didn't work that they quite literally were mad and went into a restaurant to hold the place up and just started, you know, shooting people.","A|And, uh, this was during a holdup of a, uh, uh, a restaurant and it came out during the trial that, um, they had tried to rob another place and, uh, when the guy came out with the bag they thought was money, it turned out to be a couple cookies, and, uh, you know, jumbo cookies and, and so they were so upset from robbing this guy, you know, trying to do this holdup that didn't work that they quite literally were mad and went into a restaurant to hold the place up and just started, you know, shooting people."
53,M,,M|
54,A,"You know it's,","A|You know it's,"
55,M,They,M|They
56,A,"Yeah.  Yeah, and get even with who, I mean,","A|Yeah.  Yeah, and get even with who, I mean,"
57,M,"Yeah, they're, i don't, they are, we're, we, just, they were, we are, and, and they're.","M|Yeah, they're, i don't, they are, we're, we, just, they were, we are, and, and they're."
58,A,"you know, stupid guys And, uh, it turned out that the, you know, policeman survived to the point that he was able to, you know, identify the guy.","A|you know, stupid guys And, uh, it turned out that the, you know, policeman survived to the point that he was able to, you know, identify the guy."
59,M,"I, uh, I don't know.","M|I, uh, I don't know."
60,A,"And of course, you know, they tried to make the cop look like he was, uh, a, uh, no good rotten drunk.","A|And of course, you know, they tried to make the cop look like he was, uh, a, uh, no good rotten drunk."
61,M,"He said he was, and I don't know, that he wasn't.","M|He said he was, and I don't know, that he wasn't."
62,A,I mean it was amazing.,A|I mean it was amazing.
63,M,It was,M|It was
64,A,"Oh, he was found guilty, yeah.","A|Oh, he was found guilty, yeah."
65,M,He was found innocent.,M|He was found innocent.
66,A,"He, uh, um, last I heard, he, uh, he beat a push for the death penalty. Now whether they finally got it or not, I don't know.","A|He, uh, um, last I heard, he, uh, he beat a push for the death penalty. Now whether they finally got it or not, I don't know."
67,M,I'm just trying to figure out if the other guy was the one who was beaten up or not.,M|I'm just trying to figure out if the other guy was the one who was beaten up or not.
68,A,"I kind of, uh, stopped listening after a while.","A|I kind of, uh, stopped listening after a while."
69,M,How was the whole thing?,M|How was the whole thing?
70,A,"Um, you know, he would come home and, and, you know, after the trial was over he came home and told us what was going on and of course then they had to go back to you know, after he had to go,","A|Um, you know, he would come home and, and, you know, after the trial was over he came home and told us what was going on and of course then they had to go back to you know, after he had to go,"
71,M,I don't think he'd ever come home to me,M|I don't think he'd ever come home to me
72,A,"Right. And, uh, yeah everybody, everybody was pretty much, you know, let's burn him.","A|Right. And, uh, yeah everybody, everybody was pretty much, you know, let's burn him."
73,M,It's just the guilt of the time.,M|It's just the guilt of the time.
74,A,"And that's, you know, that's the way they wanted to do it. And he was surprised because he thought there was going to be a problem because he, uh, you know some people on the case were, were a little hesitant on convicting him on some of the charges but I mean when it all came down, they just, within an hour decided the man's fate.","A|And that's, you know, that's the way they wanted to do it. And he was surprised because he thought there was going to be a problem because he, uh, you know some people on the case were, were a little hesitant on convicting him on some of the charges but I mean when it all came down, they just, within an hour decided the man's fate."
75,M,What.,M|What.
76,A,Yeah.,A|Yeah.
77,M,...,M|...
78,A,"Yeah, yeah, well, it, it, it went pretty, pretty quick from what he said.","A|Yeah, yeah, well, it, it, it went pretty, pretty quick from what he said."
79,M,,M|
80,A,"But I mean there's, there's, there's a lot of other crimes out there, I mean besides murder, I think, uh, now if you're dealing drugs now,  caught more than twice or something, uh,  it, there's, uh, a death penalty associated with it.","A|But I mean there's, there's, there's a lot of other crimes out there, I mean besides murder, I think, uh, now if you're dealing drugs now,  caught more than twice or something, uh,  it, there's, uh, a death penalty associated with it."
81,M,No.,M|No.
82,A,Uh-huh.,A|Uh-huh.
83,M,.,M|.
84,A,"Yeah, yeah, I agree.","A|Yeah, yeah, I agree."
85,M,,M|
86,A,"Yeah, I agree, I, I've, I have, uh, a low tolerance for that kind of, uh, that kind of person. And, uh, as far as, uh, you know there are some, some other crimes that I think, uh, you know, uh, kidnapping, um, you know, when they, I mean kidnapping per se has a certain, uh, uh, fine and penalty associated with it,","A|Yeah, I agree, I, I've, I have, uh, a low tolerance for that kind of, uh, that kind of person. And, uh, as far as, uh, you know there are some, some other crimes that I think, uh, you know, uh, kidnapping, um, you know, when they, I mean kidnapping per se has a certain, uh, uh, fine and penalty associated with it,"
87,M,"He,","M|He,"
88,A,"but, um, some of these people are just out and out brutal. I, some of the cases I've heard about over the years,","A|but, um, some of these people are just out and out brutal. I, some of the cases I've heard about over the years,"
