,Speaker,Utterance,Unified
5,M,I...,M|I...
40,A,"and, uh, so we have watched that","A|and, uh, so we have watched that"
41,M,Erm... um,M|Erm... um
42,A,"and, uh, otherwise, of course my husband's into the football","A|and, uh, otherwise, of course my husband's into the football"
43,M,"uhhh, what?","M|uhhh, what?"
44,A,"and, you know, I will watch that some if I'm reading or doing something else, you know with him.","A|and, you know, I will watch that some if I'm reading or doing something else, you know with him."
45,M,"You mean, like, your husband?","M|You mean, like, your husband?"
46,A,"Yes. Yes, and sometimes now we're getting that, uh, the other football where they play it inside, and you know, this is a, you know, this is too much Saturdays and Sunday, this is fine, but do we have to carry this on into the summer and the spring you know, all of that,","A|Yes. Yes, and sometimes now we're getting that, uh, the other football where they play it inside, and you know, this is a, you know, this is too much Saturdays and Sunday, this is fine, but do we have to carry this on into the summer and the spring you know, all of that,"
47,M,,M|
48,A,"and, uh, but he will, uh, he'll flip around, I think the other night we had on, uh, uh, it was a, it was car races, some kind of car races where they were bumping over hills and flying into the air and coming down. I don't know what channel he found that on","A|and, uh, but he will, uh, he'll flip around, I think the other night we had on, uh, uh, it was a, it was car races, some kind of car races where they were bumping over hills and flying into the air and coming down. I don't know what channel he found that on"
49,M,i,M|i
50,A,"and, uh, but he will turn that on, especially for, if, again, if our, uh, oldest grandson is over here. He's ten","A|and, uh, but he will turn that on, especially for, if, again, if our, uh, oldest grandson is over here. He's ten"
51,M,,M|
52,A,"and, uh, they'll find something like that and just absolutely sit glued to it, I, you know, I keep telling them it's the same mentality you know, and something's wrong, and, uh, but, uh, and we very seldom watch television on a Friday night or Saturday night, because we're not home","A|and, uh, they'll find something like that and just absolutely sit glued to it, I, you know, I keep telling them it's the same mentality you know, and something's wrong, and, uh, but, uh, and we very seldom watch television on a Friday night or Saturday night, because we're not home"
53,M,"Yes,","M|Yes,"
54,A,"and, uh, so, and Sundays, uh, we usually have, all of our kids are over on Sunday, so, you know, we don't get into that, except that sometimes we'll get into their home videos","A|and, uh, so, and Sundays, uh, we usually have, all of our kids are over on Sunday, so, you know, we don't get into that, except that sometimes we'll get into their home videos"
55,M,"I'm, get, kids on, uh,","M|I'm, get, kids on, uh,"
56,A,do you ever watch that?,A|do you ever watch that?
57,M,,M|
58,A,"Yeah, uh-huh","A|Yeah, uh-huh"
59,M,"oh, you mean the funny stuff?","M|oh, you mean the funny stuff?"
60,A,that are sometimes so dumb,A|that are sometimes so dumb
61,M,I like the ones that are the ones with the funny music,M|I like the ones that are the ones with the funny music
62,A,"But very true to life, I mean, I've seen our family in several of those situations","A|But very true to life, I mean, I've seen our family in several of those situations"
