,Speaker,Utterance,Unified
5,B,"Yeah, uh, I was","B|Yeah, uh, I was"
67,B,"Make it financially, uh, attractive to recycle","B|Make it financially, uh, attractive to recycle"
68,M,"But the question is, why?","M|But the question is, why?"
69,B,and somebody will find a way to make money at it.,B|and somebody will find a way to make money at it.
70,M,"And, uh, you know, recycling.","M|And, uh, you know, recycling."
71,B,"And,","B|And,"
72,M,The people will find another way.,M|The people will find another way.
73,B,"Well, there is a guy in Dallas, that's all he does.","B|Well, there is a guy in Dallas, that's all he does."
74,M,I don't think I've ever seen someone in the US say anything like that.,M|I don't think I've ever seen someone in the US say anything like that.
75,B,"He collects trash. You know, and,","B|He collects trash. You know, and,"
76,M,What is he doing in Dallas?,M|What is he doing in Dallas?
77,B,"Yeah, well, he's, he's out for cardboard.","B|Yeah, well, he's, he's out for cardboard."
78,M,"Oh, he's in Dallas for the whole week.","M|Oh, he's in Dallas for the whole week."
