,Speaker,Utterance,Unified
5,B,"Oh, boy.","B|Oh, boy."
33,B,"They've been here probably thirty, forty years.","B|They've been here probably thirty, forty years."
34,M,"Yeah, uh, uh.","M|Yeah, uh, uh."
35,B,"They've got three daughters. Uh, and, they have a loving home and, uh, they're both there and they have a kid that comes in and helps them in the afternoon.","B|They've got three daughters. Uh, and, they have a loving home and, uh, they're both there and they have a kid that comes in and helps them in the afternoon."
36,M,That's odd.,M|That's odd.
37,B,"And our daughter is healthy, happy, well adjusted and enjoys going to see her friends,","B|And our daughter is healthy, happy, well adjusted and enjoys going to see her friends,"
38,M,Uhhh. Yeah.,M|Uhhh. Yeah.
39,B,so it's a good experience.,B|so it's a good experience.
40,M,I think it's pretty fun,M|I think it's pretty fun
41,B,"I if it's good, I think it's very good for the child.","B|I if it's good, I think it's very good for the child."
42,M,What about a nice and warm place?,M|What about a nice and warm place?
43,B,"And if it's, a loving environment, I think it's very good and, and that's really what we've learned about it. She'll have to go on to something more stimulating in terms of preschool in a year","B|And if it's, a loving environment, I think it's very good and, and that's really what we've learned about it. She'll have to go on to something more stimulating in terms of preschool in a year"
44,M,"It's a loving home, I think she'll do fine.","M|It's a loving home, I think she'll do fine."
45,B,"but, uh, we feel real fortunate and we were able to, uh, just, uh, choose in the marketplace. I don't know what it's like around, uh, Hattiesburg.","B|but, uh, we feel real fortunate and we were able to, uh, just, uh, choose in the marketplace. I don't know what it's like around, uh, Hattiesburg."
46,M,She's not a teacher.,M|She's not a teacher.
47,B,Uh-huh. Yeah.,B|Uh-huh. Yeah.
48,M,"How about, uh, how do you feel about it?","M|How about, uh, how do you feel about it?"
49,B,Yeah. I'll bet they're involved. Yeah.,B|Yeah. I'll bet they're involved. Yeah.
50,M,Yeah. Yeah. Yeah,M|Yeah. Yeah. Yeah
51,B,Yeah,B|Yeah
52,M,"They have a good looking, uh, child care facility.","M|They have a good looking, uh, child care facility."
53,B,"Well, that's, uh, I know it's, it's a real hard thing to do, even for people in, in, uh, university communities.","B|Well, that's, uh, I know it's, it's a real hard thing to do, even for people in, in, uh, university communities."
54,M,I know it is.,M|I know it is.
55,B,"Out here at Manford, they have a, you know, a, a, a real good facility and there, uh, is quite a waiting list to get into that.","B|Out here at Manford, they have a, you know, a, a, a real good facility and there, uh, is quite a waiting list to get into that."
56,M,"I'm gonna go to the, uh, library.","M|I'm gonna go to the, uh, library."
57,B,"So it's, uh, uh, you know, it's a, it's a, it's an important, decision, it's an industry that's still a cottage industry","B|So it's, uh, uh, you know, it's a, it's a, it's an important, decision, it's an industry that's still a cottage industry"
58,M,I don't know.,M|I don't know.
59,B,"and I think this is really  is buyer beware.  Well, it is the best way  to do it, interestingly.","B|and I think this is really  is buyer beware.  Well, it is the best way  to do it, interestingly."
60,M,Because I know that it's going to be an expensive process.,M|Because I know that it's going to be an expensive process.
61,B,"I think that, uh, my own interest in, in development, human development leads me to believe that that's a good sign and that, uh, private enterprise is the way to go and that it will lead to a fundamental change in the way we learn.","B|I think that, uh, my own interest in, in development, human development leads me to believe that that's a good sign and that, uh, private enterprise is the way to go and that it will lead to a fundamental change in the way we learn."
62,M,I,M|I
63,B,"Because, I think what we're going to go to is much more commercial entrepreneurial learning ventures in the market. As a matter of fact, my future is banked on that, uh, professionally because I believe that, that there are, uh, pressing needs in the marketplace, unmet by schools, colleges universities for, uh, learning a lot of things that kids can learn watching Sesame Street and in child care.","B|Because, I think what we're going to go to is much more commercial entrepreneurial learning ventures in the market. As a matter of fact, my future is banked on that, uh, professionally because I believe that, that there are, uh, pressing needs in the marketplace, unmet by schools, colleges universities for, uh, learning a lot of things that kids can learn watching Sesame Street and in child care."
64,M,s,M|s
65,B,Primary skills which turn out to be the most important skills in life.,B|Primary skills which turn out to be the most important skills in life.
66,M,Not.,M|Not.
67,B,"It's, it's phenomenal. It's phenomenal, the programming, the human operating system,","B|It's, it's phenomenal. It's phenomenal, the programming, the human operating system,"
