,Speaker,Utterance,Unified
5,B,Surely.,B|Surely.
69,B,"To operate, yeah.  But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company.  Free, you know, free for them.","B|To operate, yeah.  But, you know, people are buying them. You know whose buying them? *""whose"" = who's"" The power company.  Free, you know, free for them."
70,M,I am sure they are.,M|I am sure they are.
71,B,Kind of interesting so see.,B|Kind of interesting so see.
72,M,"You know, the Power company.","M|You know, the Power company."
73,B,"Uh-huh. Yeah It's top speed is something like eighty miles an hour.  So it's  a good, good  vehicle.","B|Uh-huh. Yeah It's top speed is something like eighty miles an hour.  So it's  a good, good  vehicle."
74,M,How is it?,M|How is it?
75,B,Uh-huh,B|Uh-huh
76,M,... I,M|... I
77,B,"Oh, I wasn't there too long ago. Uh.","B|Oh, I wasn't there too long ago. Uh."
78,M,Lol.,M|Lol.
79,B,"Well, you know, going over the hills, you know, coming into the valley?","B|Well, you know, going over the hills, you know, coming into the valley?"
80,M,I'm a bit confused.,M|I'm a bit confused.
81,B,"You can see that horrible, horrible brown haze.","B|You can see that horrible, horrible brown haze."
82,M,I was going around.,M|I was going around.
