,Speaker,Utterance,Unified
5,M,i dont get it,M|i dont get it
75,M,where is the little blue circle at the bottom right?,M|where is the little blue circle at the bottom right?
76,g,and then you want to come down in a diagonal so that you've missed the fallen pillars and go underneath them,g|and then you want to come down in a diagonal so that you've missed the fallen pillars and go underneath them
77,M,the one in the middle is the last step,M|the one in the middle is the last step
78,g,right just keep going 'til the end,g|right just keep going 'til the end
79,M,i think i just have to do the same thing,M|i think i just have to do the same thing
80,g,of the fallen pillars yeah um now go down two or three centimetres,g|of the fallen pillars yeah um now go down two or three centimetres
81,M,ok i'll try that,M|ok i'll try that
82,g,do you have an obstacle there,g|do you have an obstacle there
83,M,not anymore,M|not anymore
84,g,well uh i think you're probably trying to avoid that so if you go down um and then left in a sort of curve,g|well uh i think you're probably trying to avoid that so if you go down um and then left in a sort of curve
85,M,i have it but i dont know how to get it,M|i have it but i dont know how to get it
86,g,and up again and you're pretty near the edge of the page,g|and up again and you're pretty near the edge of the page
87,M,try clicking on the bottom of the map,M|try clicking on the bottom of the map
88,g,then do you have ancient ruins,g|then do you have ancient ruins
89,M,i have a lot of them,M|i have a lot of them
90,g,yeah okay just like a bit up from the fallen pillars and to the left,g|yeah okay just like a bit up from the fallen pillars and to the left
91,M,up and to left,M|up and to left
92,g,well you want to sort of come towards the ancient ruins a bit,g|well you want to sort of come towards the ancient ruins a bit
93,M,you're not helping me with this.,M|you're not helping me with this.
94,g,without actually coming into contact with them,g|without actually coming into contact with them
95,M,you could just use a portal to the ancient ruin,M|you could just use a portal to the ancient ruin
96,g,a straight line,g|a straight line
97,M,i'm just gonna say that this is a nice thing to do,M|i'm just gonna say that this is a nice thing to do
98,g,yeah,g|yeah
99,M,so you wanna help me out?,M|so you wanna help me out?
100,g,yeah now do you have stones in the top left,g|yeah now do you have stones in the top left
101,M,i can't get them to work,M|i can't get them to work
102,g,no no it's okay now if you just uh at the top there's some stones and that's about four centimetres from the top,g|no no it's okay now if you just uh at the top there's some stones and that's about four centimetres from the top
103,M,"okay then, I'll try to find it","M|okay then, I'll try to find it"
104,g,yeah,g|yeah
105,M,"yeah, just like that","M|yeah, just like that"
106,g,to about four centimetres,g|to about four centimetres
107,M,he's not moving at all,M|he's not moving at all
108,g,and then you want to go sharp right,g|and then you want to go sharp right
109,M,I'm trying to get to the point where I want to hit a guy right in the face,M|I'm trying to get to the point where I want to hit a guy right in the face
110,g,to about halfway across the page,g|to about halfway across the page
111,M,and you want me to go fast,M|and you want me to go fast
112,g,now do you have a white mountain,g|now do you have a white mountain
113,M,ok now do you want me to teach you how to ride a mountain,M|ok now do you want me to teach you how to ride a mountain
114,g,you want to just go over the top of that and round,g|you want to just go over the top of that and round
115,M,"I'm sure it's not, but I'm sure you could tell from the way it's shaped.","M|I'm sure it's not, but I'm sure you could tell from the way it's shaped."
116,g,mmhmm,g|mmhmm
117,M,So go over that and go over it again,M|So go over that and go over it again
118,g,yeah okay um do you have a soft furnishings store,g|yeah okay um do you have a soft furnishings store
119,M,ok umm i think i have to go buy a new one,M|ok umm i think i have to go buy a new one
120,g,eh right um you're quite close to the mountain at the moment on its right-hand side,g|eh right um you're quite close to the mountain at the moment on its right-hand side
121,M,i'll be there in a minute,M|i'll be there in a minute
122,g,well if you under directly underneath the mountain about three centimetres down there's a soft furnishings store,g|well if you under directly underneath the mountain about three centimetres down there's a soft furnishings store
123,M,i live on the mountain,M|i live on the mountain
124,g,so you want to come down from the mountain and turn sharp left,g|so you want to come down from the mountain and turn sharp left
125,M,yes i am,M|yes i am
126,g,so that you're sort of in line with the left-hand side of the mountain,g|so that you're sort of in line with the left-hand side of the mountain
127,M,I'm a little confused.,M|I'm a little confused.
128,g,then you come straight down and right,g|then you come straight down and right
129,M,but what if you turn right?,M|but what if you turn right?
130,g,do you have gazelles,g|do you have gazelles
131,M,you come straight up and down,M|you come straight up and down
132,g,underneath them,g|underneath them
133,M,so what you're saying is that the ones that go under the top are the best?,M|so what you're saying is that the ones that go under the top are the best?
134,g,the right-hand side,g|the right-hand side
135,M,how do you get gazelle?,M|how do you get gazelle?
136,g,to about the right-hand side of the mountain level if you know what i mean,g|to about the right-hand side of the mountain level if you know what i mean
137,M,To the right of the top gazelle,M|To the right of the top gazelle
138,g,okay that's it,g|okay that's it
139,M,the mountain,M|the mountain
140,g,yeah,g|yeah
141,M,i think you're going too far,M|i think you're going too far
142,g,that's right,g|that's right
143,M,i have a new weapon,M|i have a new weapon
