,Word,Conc.M
149,all,2.27
150,edge,4.24
151,pebbled,4.04
152,keep,2.37
153,avoid,2.41
154,pass,2.71
155,tree,5.0
156,start,2.71
157,gold,4.81
158,cattle,4.64
160,near,2.79
161,we,3.08
162,fast,3.32
163,wooden,4.61
164,city,4.79
165,slightly,1.79
166,one,3.97
167,more,2.37
168,anything,1.38
169,coming,2.07
170,other,2.04
171,bakery,4.83
173,four,3.37
174,corner,4.61
176,paper,4.93
177,am,1.96
178,me,4.33
180,rocket,4.73
181,finish,2.89
182,forge,4.04
183,wee,3.14
184,follow,3.26
185,before,1.96
186,buffalo,4.83
187,when,1.6
188,truck,4.84
189,heading,3.1
190,for,1.63
192,east,3.04
193,due,3.21
196,walled,3.87
197,graveyard,4.83
198,beneath,3.11
199,same,2.64
200,white,3.89
201,flat,4.07
202,kind,2.07
203,cross,4.44
205,away,2.23
206,further,1.88
207,camp,4.35
208,maybe,1.52
209,by,1.55
211,would,1.12
214,temple,4.53
215,footbridge,4.81
216,can,4.55
217,fine,2.61
218,beside,2.59
219,warehouse,4.69
220,thing,3.17
222,say,2.58
223,move,3.25
224,another,2.69
225,bar,4.67
226,was,1.69
228,finished,2.78
229,imagine,1.53
230,rope,4.93
231,vertically,3.63
232,into,2.3
233,rock,4.91
234,after,2.12
235,angle,3.5
236,lighthouse,4.96
237,middle,3.69
238,they,2.93
239,coast,4.21
240,burnt,3.93
242,very,1.43
243,its,1.9
245,fallen,3.53
246,desert,4.86
247,quite,1.72
248,avalanche,4.32
249,flowing,2.43
250,stream,4.5
251,ranch,4.73
252,bridge,4.97
253,still,3.46
254,apache,3.88
255,country,4.17
256,once,2.74
257,alright,1.93
258,manned,3.52
259,drawing,4.6
260,moment,1.61
261,sorry,1.9
262,river,4.89
263,saloon,4.68
265,wrong,1.83
266,reach,3.7
267,meadow,4.86
268,next,2.56
269,diagonal,3.96
270,trout,4.72
271,anyway,1.68
272,farm,4.59
273,good,1.64
274,waterfall,4.9
275,banana,5.0
276,great,1.81
277,think,2.41
278,done,2.0
279,park,4.74
280,caravan,4.37
281,flagship,3.89
282,halfway,3.07
283,almost,1.66
284,point,3.39
287,mill,4.72
288,midpoint,3.0
289,actually,1.37
291,any,1.72
292,less,2.77
293,five,3.87
294,totem,4.0
296,running,4.27
297,hang,3.7
298,direction,2.79
299,wait,2.68
300,comes,2.27
301,around,1.96
302,canal,4.68
303,than,1.69
304,base,3.86
305,ghost,3.19
306,hit,4.11
307,town,4.64
308,water,5.0
309,moving,3.82
312,steps,4.39
313,stockade,4.46
314,slight,1.9
315,quarters,4.57
316,first,2.76
317,noose,4.52
318,travel,3.67
321,nothing,2.21
322,went,2.25
323,enough,1.33
324,couple,3.93
325,head,4.75
326,shape,3.14
327,make,2.67
328,cactus,5.0
329,roughly,2.57
330,probably,1.73
331,trying,2.11
332,shelter,4.64
333,taking,2.79
334,something,1.82
335,crest,4.52
336,does,2.24
337,were,1.48
339,monument,4.58
340,continue,2.36
341,much,1.69
342,minute,3.04
343,lost,2.67
344,arc,4.14
346,nose,4.89
347,slope,4.07
348,outside,4.25
349,here,3.13
350,inside,3.67
351,had,1.77
352,always,1.71
355,mark,4.21
356,need,1.69
357,drawn,2.79
358,forty,4.14
359,triangle,4.52
360,passing,2.76
361,keeping,2.19
362,though,1.2
363,bandit,4.36
364,territory,3.41
365,close,3.2
366,time,3.07
367,miss,2.54
368,sure,1.73
369,said,2.97
370,suppose,1.37
372,told,2.31
373,pretend,2.11
374,street,4.75
376,area,3.72
377,hundred,3.2
378,touching,3.43
380,different,1.97
381,cave,4.96
382,will,2.64
384,instead,1.48
385,must,2.13
386,washed,4.0
387,big,3.66
389,opposite,1.79
390,off,2.79
391,front,3.77
392,been,1.92
393,fact,2.72
394,else,1.63
395,hot,4.31
396,mind,2.5
397,why,1.86
398,intersect,3.62
399,roman,3.33
400,palm,4.83
401,coconut,4.79
402,came,1.85
403,height,3.86
404,coastline,4.54
405,western,2.8
407,long,3.18
410,little,3.67
411,diagonally,3.38
412,find,2.63
413,savannah,4.33
414,gone,2.04
415,curved,3.35
416,path,4.41
417,meant,1.5
419,missionary,3.71
420,southwest,3.25
423,ruined,2.96
424,because,1.22
425,land,4.57
427,really,1.44
428,supposed,1.6
430,loop,4.26
431,never,1.59
432,goes,2.19
433,doing,2.66
434,face,4.87
435,carpenter,4.41
436,total,2.8
437,horizontally,3.9
438,northwest,3.59
440,eventually,1.75
441,yet,1.39
442,ancient,2.04
446,shaped,2.56
447,thick,4.0
448,mines,4.7
449,obstacle,3.48
450,wheel,4.86
452,lemon,5.0
453,route,3.88
454,store,4.5
455,furnishings,4.31
456,soft,3.88
458,sharp,3.86
459,only,2.41
460,those,2.32
461,jutting,3.0
462,wagon,4.89
463,turning,3.19
465,eighty,3.41
466,without,2.15
470,flatter,2.14
471,six,3.43
472,making,2.34
473,written,4.04
474,worry,2.55
475,proceed,2.55
476,twice,2.93
477,some,2.48
478,change,2.89
479,sixty,3.56
480,cavalry,4.08
481,sloping,3.59
482,clear,3.55
483,sheet,4.93
484,beyond,1.72
485,sea,4.79
486,means,1.93
487,plant,4.76
488,bulge,3.92
489,better,1.91
490,site,4.56
491,test,3.93
492,cut,4.55
493,steep,3.76
494,nuclear,2.97
497,nope,2.35
500,swamp,4.96
501,hold,3.68
502,slate,4.58
503,took,2.61
504,could,1.34
505,nice,2.18
506,tell,2.9
507,pretty,2.4
508,understand,2.28
511,ten,3.39
512,degree,3.0
513,semicircle,4.21
514,pond,4.9
515,higher,2.93
516,light,4.21
517,yourself,4.39
518,vertical,3.48
519,stuck,3.55
520,sticking,3.3
521,lower,2.76
522,blip,3.19
523,circle,4.44
524,onto,2.46
525,nor,1.8
526,sand,5.0
527,antelope,5.0
529,unlucky,1.79
530,canoe,4.86
531,yours,2.14
532,neither,1.64
534,sitting,3.76
536,extreme,1.96
538,quarter,4.43
539,standing,4.04
540,gradually,2.87
541,carry,4.04
542,put,2.5
543,these,2.03
544,part,3.29
545,outline,3.61
546,relation,2.11
547,initial,3.03
548,getting,2.07
549,shit,4.33
551,single,3.27
552,parched,3.21
553,bed,5.0
555,looks,2.7
556,leaving,3.25
557,matter,3.54
558,easy,2.07
559,also,1.83
561,finishing,2.36
563,made,2.52
564,mistake,1.97
566,anywhere,2.21
567,scrub,3.86
568,look,2.96
569,actual,2.22
570,god,2.07
572,perfect,1.69
573,black,3.76
574,marking,3.79
575,sandstone,4.74
576,second,3.3
577,tight,3.87
578,possible,1.56
580,contact,3.86
581,basically,1.32
582,fall,4.04
583,stopped,3.25
584,exact,2.54
586,safe,3.41
587,touch,3.86
588,eastward,4.15
590,best,1.6
591,summit,4.21
593,third,3.44
594,walk,4.07
595,cone,4.86
597,tip,4.5
600,oops,2.04
601,gallows,4.35
602,ignore,2.22
603,stuff,3.13
604,too,1.7
605,try,2.22
607,chimney,5.0
609,tad,2.09
613,starting,2.14
614,moon,4.9
617,obviously,1.82
620,let,2.26
621,rising,3.53
622,traveling,3.5
623,exactly,2.11
624,problem,2.68
625,word,3.56
626,us,3.59
627,complete,2.7
628,trial,3.07
629,parallel,3.16
630,space,3.54
631,cover,4.23
632,situated,2.15
635,last,3.04
636,describe,2.18
638,completely,2.18
639,writing,3.7
640,taken,2.66
641,kill,3.9
642,detour,3.66
643,he,3.93
644,state,3.52
645,upside,2.62
646,true,1.7
648,upwards,2.63
649,stay,2.15
651,otherwise,1.57
652,least,2.36
653,length,4.07
654,interrupting,3.0
655,virtual,2.17
657,drastic,1.58
658,pointing,4.07
659,wealthy,2.73
660,swan,4.96
662,veer,3.19
663,short,3.61
665,saying,2.58
666,description,2.43
672,disaster,3.07
673,bypass,3.5
674,thought,1.97
675,did,2.45
676,whatever,1.46
677,skirted,2.88
683,difference,2.15
684,blackboard,4.72
686,listening,2.48
688,misread,2.07
690,many,2.37
691,sides,3.82
692,turned,3.38
694,skirt,4.82
695,being,1.93
696,nearest,3.0
698,since,1.38
699,use,2.78
701,score,3.38
702,their,3.34
703,arch,4.59
706,shed,4.55
709,oval,4.04
710,incline,3.97
711,fair,2.39
712,igloo,4.73
713,marked,3.88
714,somehow,1.28
715,equilateral,2.7
716,beach,4.79
717,horizontal,3.46
718,bet,3.1
719,totally,1.78
720,telling,2.45
721,linked,3.36
722,watching,3.58
723,immediately,2.3
724,turns,3.41
725,careful,1.86
726,thirsty,3.86
727,itself,2.07
728,nowhere,1.79
729,road,4.75
731,landed,3.07
732,unfortunately,1.62
733,manage,2.0
735,hopefully,2.0
736,emerge,2.27
737,important,2.14
738,irrelevant,1.5
739,ship,4.87
