,Word,Conc.M
614,sunday,3.32
615,plastic,4.79
616,lost,2.67
617,between,2.72
618,copy,3.9
619,graduate,3.07
620,accident,3.26
623,taco,4.93
625,type,3.3
627,handcrafted,3.27
629,wage,3.79
632,grade,3.0
633,daughter,4.79
634,act,2.46
635,racing,4.0
636,ski,4.63
637,magazine,5.0
638,amount,2.74
639,handling,3.0
640,limb,4.64
641,scouts,4.19
642,technology,3.24
643,bracket,4.43
644,tennis,4.43
645,drive,3.86
646,square,4.33
648,substituting,2.28
649,pool,4.77
650,only,2.41
651,classes,3.74
652,research,3.03
654,exciting,1.96
655,wear,3.61
656,subscribe,2.21
657,recycle,2.97
658,bring,2.55
659,strings,4.75
660,flavor,3.55
661,stream,4.5
662,percent,2.7
663,second,3.3
664,today,2.57
665,retirement,3.03
666,method,2.41
668,defined,2.07
669,effective,2.04
671,society,2.54
672,cottage,4.85
673,fly,4.64
674,accidental,2.17
677,wild,2.41
680,eating,4.14
681,united,2.61
682,economic,2.2
683,political,1.83
684,garland,4.85
685,selection,2.34
686,may,3.0
687,educated,2.19
689,preceding,2.69
691,plant,4.76
692,card,4.9
693,pull,3.97
694,line,4.5
695,certainly,1.86
696,nincompoop,2.4
697,church,4.9
698,bunch,3.5
699,professional,2.14
700,order,2.79
701,tie,4.81
702,record,4.15
703,giving,2.15
704,change,2.89
706,deer,4.86
707,meat,4.9
708,drastic,1.58
709,fat,4.52
710,fall,4.04
711,coverage,2.7
712,grocery,4.31
713,basically,1.32
714,frightening,2.15
715,scary,3.0
716,thorough,1.66
717,frost,4.56
718,laboratory,4.46
719,past,1.7
720,treat,3.79
721,autumn,3.27
722,television,4.83
723,exercise,3.87
727,inside,3.67
728,recycled,3.9
729,days,3.36
731,aerobic,3.14
732,leaves,4.78
733,negative,1.79
734,learning,3.14
735,tried,2.07
736,similar,2.46
738,sesame,4.5
739,slow,3.28
740,couple,3.93
741,business,3.28
742,street,4.75
743,university,4.65
744,economy,2.57
745,town,4.64
746,white,3.89
747,responsibility,1.4
748,exactly,2.11
749,until,1.33
750,release,3.24
751,bag,4.9
752,jack,4.3
754,speed,3.62
755,disparity,1.78
756,lax,2.36
757,stand,4.16
758,control,1.93
759,uncooked,3.86
760,eel,4.69
761,pollution,3.75
763,violent,3.1
764,tape,4.9
765,thursday,3.03
766,woman,4.46
767,fire,4.68
769,middle,3.69
770,policeman,4.93
772,ahead,3.0
773,sad,3.07
774,watching,3.58
775,driving,3.96
776,reading,3.71
777,turn,3.44
778,carpool,3.9
779,general,1.62
780,wife,4.13
781,listening,2.48
782,made,2.52
784,indoors,4.17
786,morning,3.44
787,expensive,3.13
790,inspect,3.31
791,soon,1.79
792,few,2.48
793,physical,3.31
794,station,4.32
795,understand,2.28
796,glad,2.36
798,everyday,2.43
799,weekend,3.83
800,friend,3.07
801,central,2.71
803,farming,3.46
804,immigration,3.03
808,language,2.35
809,helping,2.53
810,experience,1.8
811,temporary,2.27
812,handful,3.48
814,medicine,4.79
815,schedule,3.48
816,regular,2.4
819,bush,4.9
820,team,3.79
821,game,4.5
824,saint,3.45
826,sprinkler,4.89
828,lawyer,4.7
829,unsweetened,3.66
830,cut,4.55
831,recipe,4.43
832,pudding,4.9
833,chocolate,4.72
834,yesterday,3.0
837,fact,2.72
840,notice,3.3
842,older,3.19
843,volunteer,3.77
844,involved,2.03
845,seen,2.96
846,worth,1.89
847,kneading,3.6
849,ugly,3.23
850,black,3.76
851,bluegrass,3.52
853,spare,3.48
854,rate,2.5
855,fortunately,1.44
856,fortunate,2.04
857,lethal,3.04
858,thank,3.0
859,dip,4.22
861,young,3.16
862,vegetable,4.89
864,manager,4.14
866,someone,3.71
867,enjoy,2.29
868,ready,2.07
869,serious,2.1
870,press,3.9
871,outcome,2.27
873,saying,2.58
874,material,4.26
875,pick,3.82
876,younger,2.79
877,cave,4.96
878,camp,4.35
880,run,4.31
881,insanity,2.34
882,plead,2.59
883,picked,2.63
884,instrumental,2.89
885,sit,4.8
886,commerce,2.76
887,interested,2.19
888,broken,4.11
889,piece,4.14
890,front,3.77
892,charge,2.96
893,interest,1.8
894,cash,4.48
895,vanity,2.15
896,able,2.38
898,choose,2.62
899,catfish,4.85
901,restaurant,4.89
902,beef,4.74
903,roast,4.4
904,price,3.63
905,visit,3.92
906,wildlife,4.26
907,shrimp,4.8
908,morocco,4.0
912,stay,2.15
913,reef,4.7
914,practical,2.14
915,its,1.9
916,ford,4.19
918,color,4.08
920,since,1.38
921,shepherd,4.67
922,cute,2.76
923,garbage,4.69
926,book,4.9
927,pleasure,2.04
932,ninety,3.39
933,decision,2.19
934,difficult,2.21
935,mother,4.6
936,themselves,2.93
937,hear,3.66
938,several,3.0
940,august,3.04
941,humidity,3.0
943,else,1.63
944,his,3.14
945,itself,2.07
947,orthodontic,3.41
948,eye,4.9
949,recently,1.89
951,tourist,4.59
952,away,2.23
953,hall,4.67
954,ago,1.42
956,group,4.12
957,forth,2.38
958,lawn,4.93
959,rural,2.67
960,free,2.04
961,outdoor,3.93
962,indoor,3.64
964,another,2.69
968,bargain,2.59
969,unanimous,2.7
970,least,2.36
972,judge,3.75
973,wet,4.46
974,puppy,4.78
976,gosh,1.35
977,low,3.34
978,drugs,4.63
979,catch,4.11
983,row,3.93
984,answer,2.89
987,flower,5.0
988,corps,3.43
989,peace,1.62
990,send,2.7
993,isolated,2.74
994,unconditional,1.77
997,junk,3.88
998,deal,3.1
1000,near,2.79
1001,harsh,2.23
1003,harder,2.0
1004,shot,4.44
1005,happening,2.1
1006,convict,4.11
1007,rather,1.48
1008,per,1.69
1009,worked,2.83
1011,budget,3.14
1012,design,3.27
1013,within,2.81
1014,possess,2.6
1015,tell,2.9
1016,symbol,3.11
1017,ever,1.48
1018,disagree,2.77
1019,liberal,1.67
1020,flag,4.79
1021,vary,1.93
1022,property,3.9
