,Speaker,Utterance,Unified
5,A,"Oh, yeah?","A|Oh, yeah?"
72,M,"I, uh, I think they're right here.","M|I, uh, I think they're right here."
73,A,"I tell you, those prices have just, unbelievably come down.","A|I tell you, those prices have just, unbelievably come down."
74,M,The price of oil is higher in the US than in the UK.,M|The price of oil is higher in the US than in the UK.
75,A,Yeah.,A|Yeah.
76,M,You have to get the trade in.,M|You have to get the trade in.
77,A,"I,","A|I,"
78,M,"I, uh, I think I'll do it.","M|I, uh, I think I'll do it."
79,A,"Yeah, I was kind of surprised how rapidly they bypassed, the three eighty-six. That wasn't alive for but maybe two years.","A|Yeah, I was kind of surprised how rapidly they bypassed, the three eighty-six. That wasn't alive for but maybe two years."
80,M,"Oh wow, I thought it was the opposite.","M|Oh wow, I thought it was the opposite."
81,A,Is that right? That's it?,A|Is that right? That's it?
82,M,The Three Hundred Dollar Dollar,M|The Three Hundred Dollar Dollar
83,A,I'll be darned.,A|I'll be darned.
84,M,"That's what I'm saying, the prices are usually higher than the cost of the game.","M|That's what I'm saying, the prices are usually higher than the cost of the game."
85,A,"Huh, well,","A|Huh, well,"
