,Speaker,Utterance,Unified
5,M,I had a cat.,M|I had a cat.
44,A,Uh-huh.,A|Uh-huh.
45,M,"Yeah, she's adopted.","M|Yeah, she's adopted."
46,A,Uh-huh.,A|Uh-huh.
47,M,Uuhuh. He's not.,M|Uuhuh. He's not.
48,A,"So, you don't have anything right now?","A|So, you don't have anything right now?"
49,M,She's so kind.,M|She's so kind.
50,A,"Oh, except the kid, huh, that's ,","A|Oh, except the kid, huh, that's ,"
51,M,"Well, we have the dog right now.","M|Well, we have the dog right now."
52,A,"Uh, I don't, I don't know because the cats pretty much, um, yeah, we can leave them for a weekend as long as we put plenty of food out,","A|Uh, I don't, I don't know because the cats pretty much, um, yeah, we can leave them for a weekend as long as we put plenty of food out,"
53,M,"Yeah,","M|Yeah,"
54,A,"and, um, uh, it's not a big deal really, I mean they're, they're happier when we're around but, you know, they, they're pretty much okay by themselves, um, and I don't, you know, we couldn't do that with a dog.","A|and, um, uh, it's not a big deal really, I mean they're, they're happier when we're around but, you know, they, they're pretty much okay by themselves, um, and I don't, you know, we couldn't do that with a dog."
55,M,...,M|...
56,A,"Well , that's, That's, um, pampering the, the petals","A|Well , that's, That's, um, pampering the, the petals"
57,M,i,M|i
58,A,Uh-huh.,A|Uh-huh.
59,M,",, and.","M|,, and."
60,A,"But they're not that much fun, you know, you can't take them for a walk, you can't, you know, they, they don't, they can't fetch, you know,","A|But they're not that much fun, you know, you can't take them for a walk, you can't, you know, they, they don't, they can't fetch, you know,"
61,M,I think they,M|I think they
62,A,"they they can't do anything, so I've never, I think we had fish when I was a kid but I don't,","A|they they can't do anything, so I've never, I think we had fish when I was a kid but I don't,"
63,M,Do they have any idea what they are doing?,M|Do they have any idea what they are doing?
64,A,Oh.,A|Oh.
65,M,...,M|...
66,A,Oh.,A|Oh.
67,M,The fish,M|The fish
68,A,Oh.,A|Oh.
69,M,I did.,M|I did.
70,A,Uh-huh.,A|Uh-huh.
71,M,"No, I don t.","M|No, I don t."
72,A,Uh-huh.,A|Uh-huh.
73,M,He was a pet.,M|He was a pet.
74,A,"No, it's like, I just, I don't know, I, I just never understood why, what the attraction, I mean, they're, you know, they're pretty and everything but I've just never seen the attraction of having fish. It's not as much fun.","A|No, it's like, I just, I don't know, I, I just never understood why, what the attraction, I mean, they're, you know, they're pretty and everything but I've just never seen the attraction of having fish. It's not as much fun."
75,M,... You have a fish?,M|... You have a fish?
76,A,an eel?,A|an eel?
77,M,"No, it's a fish.","M|No, it's a fish."
78,A,"Oh, now we really get sick","A|Oh, now we really get sick"
79,M,Fish.,M|Fish.
80,A,Yeah.,A|Yeah.
81,M,"Well, I mean, the fish was in a cage.","M|Well, I mean, the fish was in a cage."
82,A,"Like, I remember a friend of mine at work telling me that at his frat in college that they had a tank of piranha, and, uh, you know, used to drop mice in","A|Like, I remember a friend of mine at work telling me that at his frat in college that they had a tank of piranha, and, uh, you know, used to drop mice in"
83,M,"They do, and they're delicious.","M|They do, and they're delicious."
84,A,"this is not, these aren't cats, you know,","A|this is not, these aren't cats, you know,"
85,M,"I don't know, but I don't like to think of them as such.","M|I don't know, but I don't like to think of them as such."
86,A,this is gross.,A|this is gross.
87,M,"Oh look, a cat.","M|Oh look, a cat."
88,A,Yep.,A|Yep.
89,M,"No, that's not what happened.","M|No, that's not what happened."
90,A,"Yeah, well,","A|Yeah, well,"
91,M,I guess it's not too bad if you know how to use it,M|I guess it's not too bad if you know how to use it
92,A,"Yeah, well, a cat will do the same trick","A|Yeah, well, a cat will do the same trick"
93,M,I have a cat and he does it for me.,M|I have a cat and he does it for me.
94,A,"I had a friend in I had a friend in college who had a, um, had a pet rat for a while.","A|I had a friend in I had a friend in college who had a, um, had a pet rat for a while."
95,M,"A cat, a cat, and a cat.","M|A cat, a cat, and a cat."
96,A,"Um, I forget how she got it, but it was, um, it was the same kind of a deal I think she got it, I think she was a psych major and she got it from the psych department.","A|Um, I forget how she got it, but it was, um, it was the same kind of a deal I think she got it, I think she was a psych major and she got it from the psych department."
97,M,Hehe,M|Hehe
98,A,Whoops,A|Whoops
99,M,...,M|...
100,A,Uh-huh.,A|Uh-huh.
101,M,What,M|What
102,A,Uh-huh.,A|Uh-huh.
103,M,I have a feeling this is gonna be a long story,M|I have a feeling this is gonna be a long story
104,A,"Uh-huh. Oh, yeah, I mean, you know, if you get them young and everything before they go, kind of nuts, so .","A|Uh-huh. Oh, yeah, I mean, you know, if you get them young and everything before they go, kind of nuts, so ."
105,M,"Oh, um, yeah, er...","M|Oh, um, yeah, er..."
106,A,"Yeah, rats are not my favorite animals in the world, but I could see getting one from birth and everything.","A|Yeah, rats are not my favorite animals in the world, but I could see getting one from birth and everything."
107,M,"You know, he's like, uh, not really.","M|You know, he's like, uh, not really."
108,A,Yeah.,A|Yeah.
109,M,You mean you had one?,M|You mean you had one?
110,A,"Yeah, I, I, I have friends with hamsters and gerbils and they, they tell me the same thing.","A|Yeah, I, I, I have friends with hamsters and gerbils and they, they tell me the same thing."
111,M,"I'm glad I have cats, I don't have any pets, I'm a cat person.","M|I'm glad I have cats, I don't have any pets, I'm a cat person."
112,A,"I just, again it gets into vivant much fun, you know what, I guess they can be. I,","A|I just, again it gets into vivant much fun, you know what, I guess they can be. I,"
113,M,It's funny.,M|It's funny.
114,A,Okay.,A|Okay.
115,M,"The joke is that I live in Manhattan, the only place I can't live is Manhattan.","M|The joke is that I live in Manhattan, the only place I can't live is Manhattan."
116,A,Right.,A|Right.
117,M,"Yes, they are.","M|Yes, they are."
118,A,"Oh people,","A|Oh people,"
119,M,What is it?,M|What is it?
120,A,"I don't, oh, plus, I mean, the pooper scooper one New York, so, you know .","A|I don't, oh, plus, I mean, the pooper scooper one New York, so, you know ."
121,M,"I'm sorry, I don't get it.","M|I'm sorry, I don't get it."
122,A,"Yeah, uh , I was living in northern Jersey when that law came through, remember hearing all about it,","A|Yeah, uh , I was living in northern Jersey when that law came through, remember hearing all about it,"
123,M,"It's a pretty common law, the NY state law is pretty common","M|It's a pretty common law, the NY state law is pretty common"
124,A,"we were wondering if they, uh, they had any special law for the horses in Central Park.","A|we were wondering if they, uh, they had any special law for the horses in Central Park."
125,M,I'm not sure that's,M|I'm not sure that's
126,A,"Of course, not.","A|Of course, not."
127,M,They don't have a law against horses.,M|They don't have a law against horses.
128,A,Hit the bags.,A|Hit the bags.
129,M,"you can't be the most powerful man in the world, if you are the most dangerous man in a parking lot, you're not doing your job","M|you can't be the most powerful man in the world, if you are the most dangerous man in a parking lot, you're not doing your job"
130,A,"Oh, God, I can't, Haven't been up there, last time I was there was fall so probably wasn't that bad","A|Oh, God, I can't, Haven't been up there, last time I was there was fall so probably wasn't that bad"
131,M,"Oh, god, I can smell the leaves on the streets.","M|Oh, god, I can smell the leaves on the streets."
132,A,"Not this past fall but I mean fall, a few years, I mean, it it was in the, yeah, it was almost like October of eighty-five,","A|Not this past fall but I mean fall, a few years, I mean, it it was in the, yeah, it was almost like October of eighty-five,"
133,M,"Oh, yeah, it","M|Oh, yeah, it"
134,A,"I think was the last time I was up, up there and at Center Park.","A|I think was the last time I was up, up there and at Center Park."
135,M,"Yeah, it was.","M|Yeah, it was."
136,A,"Um, I had a friend who went to Colombia and I used to go up and visit her.","A|Um, I had a friend who went to Colombia and I used to go up and visit her."
137,M,That's what I was thinking.,M|That's what I was thinking.
138,A,"Um, so,","A|Um, so,"
139,M,He smiles back.,M|He smiles back.
140,A,"No, they're just mutts,","A|No, they're just mutts,"
141,M,Are they just cats?,M|Are they just cats?
142,A,"yeah, my wife got them from, uh, um, friend of hers at work and everything, you know, you know, as kittens,","A|yeah, my wife got them from, uh, um, friend of hers at work and everything, you know, you know, as kittens,"
143,M,"You know, you're not wrong.","M|You know, you're not wrong."
144,A,"and it was before, I mean, this was before we even met. Um, she's had them for a couple years. And um, you know, they're really cute, they're, they're sisters,","A|and it was before, I mean, this was before we even met. Um, she's had them for a couple years. And um, you know, they're really cute, they're, they're sisters,"
145,M,"Yeah, I know.","M|Yeah, I know."
146,A,"one of them is a lot bigger than the other one and, she pushes the other one away from the food. Apparently I don't know all the details but they were born around Christmas because one of them is named Tinsel and the other one is named Holly.","A|one of them is a lot bigger than the other one and, she pushes the other one away from the food. Apparently I don't know all the details but they were born around Christmas because one of them is named Tinsel and the other one is named Holly."
147,M,...,M|...
148,A,"You know, the","A|You know, the"
149,M,I think I'm gonna be a bit of a hoot,M|I think I'm gonna be a bit of a hoot
150,A,"both, yeah, both females, they're both spayed, um, or whatever it is, neutered, you know, um,","A|both, yeah, both females, they're both spayed, um, or whatever it is, neutered, you know, um,"
151,M,Are they both male?,M|Are they both male?
152,A,"and they're, they're both declawed at least on the, the front claws.","A|and they're, they're both declawed at least on the, the front claws."
153,M,"And they're, they're","M|And they're, they're"
