,Speaker,Utterance,Unified
5,M,I do believe.,M|I do believe.
22,A,"Eighty percent of the public, according to Bill Moyers', uh, recent, uh, piece for, uh, Public Broadcasting, which, by the way is a very good use of government money. I think P B S is wonderful. But this special focused on the fact that eighty percent of the people in this country are, are seeing their real incomes, and thus, standards of living, decline. And twenty percent are seeing theirs improve. That's not a formula for a better society.","A|Eighty percent of the public, according to Bill Moyers', uh, recent, uh, piece for, uh, Public Broadcasting, which, by the way is a very good use of government money. I think P B S is wonderful. But this special focused on the fact that eighty percent of the people in this country are, are seeing their real incomes, and thus, standards of living, decline. And twenty percent are seeing theirs improve. That's not a formula for a better society."
23,M,I,M|I
24,A,And the government really plays a role in this.,A|And the government really plays a role in this.
25,M,You.,M|You.
26,A,"I mean, well, they are the people whose strings are pulled and by I guess powerful","A|I mean, well, they are the people whose strings are pulled and by I guess powerful"
27,M,What are they are...,M|What are they are...
28,A,"You know, and it's really interesting to see how that affects people because essentially more and more people in this country are not likely to revolt in the way that people used to think of, of the voter revolting. But people are pretty much getting the picture that some people get taken care of and others don't and they think it's unfair, and when they recognize that it's their tax money, they're going to do more about it. I I'll tell you one quick, uh, one thing very interesting. C B S, after the State of the Union address is going to open up a telephone line, an eight hundred number and people can call in and say what they think about what's going on in this country.","A|You know, and it's really interesting to see how that affects people because essentially more and more people in this country are not likely to revolt in the way that people used to think of, of the voter revolting. But people are pretty much getting the picture that some people get taken care of and others don't and they think it's unfair, and when they recognize that it's their tax money, they're going to do more about it. I I'll tell you one quick, uh, one thing very interesting. C B S, after the State of the Union address is going to open up a telephone line, an eight hundred number and people can call in and say what they think about what's going on in this country."
29,M,,M|
30,A,"They expect, opening it for one hour, that they'll get three, hundred thousand telephone calls.","A|They expect, opening it for one hour, that they'll get three, hundred thousand telephone calls."
31,M,...,M|...
32,A,"And I've thought for years it would make a lot of sense to create an eight hundred number for voters to call and, and vent their frustration with government. Like one, eight hundred capitol or something like that. You know, just a number you could call from anywhere, anytime.","A|And I've thought for years it would make a lot of sense to create an eight hundred number for voters to call and, and vent their frustration with government. Like one, eight hundred capitol or something like that. You know, just a number you could call from anywhere, anytime."
33,M,yes.,M|yes.
34,A,"I think that's coming and I think once, once people really start to communicate how they feel, things are going to change. Until then, I think, you know, it's going to be really painful. So the question is, how soon are we going to start to get our money's worth and, as you said, it's how soon we get involved, and I think we need to create mechanisms to allow us to get involved, like allowing us to call a toll free number and say, hey, look, do it this way, not that way, or I like this, or I don't like that, or this is how I feel about your spending my money on art that I don't think is art.","A|I think that's coming and I think once, once people really start to communicate how they feel, things are going to change. Until then, I think, you know, it's going to be really painful. So the question is, how soon are we going to start to get our money's worth and, as you said, it's how soon we get involved, and I think we need to create mechanisms to allow us to get involved, like allowing us to call a toll free number and say, hey, look, do it this way, not that way, or I like this, or I don't like that, or this is how I feel about your spending my money on art that I don't think is art."
35,M,,M|
36,A,"Well, that's the good thing about what is happening because I think more and more the news media, which takes a heck of a beating and, and deserves some of it, is telling us, you know, about the problems. So the more we communicate, hey, look, we want a change here, because, you know, as it turns out, we've wasted a tremendous amount of money on our defense spending in this country.","A|Well, that's the good thing about what is happening because I think more and more the news media, which takes a heck of a beating and, and deserves some of it, is telling us, you know, about the problems. So the more we communicate, hey, look, we want a change here, because, you know, as it turns out, we've wasted a tremendous amount of money on our defense spending in this country."
37,M,Like. lol,M|Like. lol
38,A,Over a very long period of time.,A|Over a very long period of time.
39,M,,M|
40,A,"Uh, and, uh,","A|Uh, and, uh,"
41,M,"Yeah, but the government can do that.","M|Yeah, but the government can do that."
42,A,Right.,A|Right.
43,M,"Yeah, the whole point of the movie is that the entire thing is a bit of a mess.","M|Yeah, the whole point of the movie is that the entire thing is a bit of a mess."
44,A,"Yeah. Well, you may be right. What I think is really going to be interesting is to see how, uh, we as a society deal with it and I, and I think it is, what you say, it's, it's a,","A|Yeah. Well, you may be right. What I think is really going to be interesting is to see how, uh, we as a society deal with it and I, and I think it is, what you say, it's, it's a,"
