,Speaker,Utterance,Unified
5,M,"that,.","M|that,."
50,A,Unless the burn unless the actual fire hinders somebody's health and well-being you know but I I think that's I guess that's I that's my opinion Yeah I guess you feel differently.,A|Unless the burn unless the actual fire hinders somebody's health and well-being you know but I I think that's I guess that's I that's my opinion Yeah I guess you feel differently.
51,M,,M|
52,A,"Uh, no but I think that's that's uh it's that's taxpayer's money. If somebody buys their own flag and and burns it that's fine but that that's you know that's destruction and of uh public property and whatever.","A|Uh, no but I think that's that's uh it's that's taxpayer's money. If somebody buys their own flag and and burns it that's fine but that that's you know that's destruction and of uh public property and whatever."
53,M,"I have a bit, I'","M|I have a bit, I'"
54,A,No I don't know I guess the symbolism oh I think what America stands for is the right to be able to disagree with the government.,A|No I don't know I guess the symbolism oh I think what America stands for is the right to be able to disagree with the government.
55,M,America,M|America
56,A,Uh I think that's what's made democracy,A|Uh I think that's what's made democracy
57,M,Yeah that's the thing,M|Yeah that's the thing
58,A,Yeah. Uh-huh. Yeah. Well that's that's true,A|Yeah. Uh-huh. Yeah. Well that's that's true
59,M,It's the same reason you can't agree to a political protest. It's a right.,M|It's the same reason you can't agree to a political protest. It's a right.
60,A,Yeah But I think I I Yeah I I I guess the idea you know they always keep saying like the framers. Um. there uh one of the Republican the appointees for the the judicial bench and they always talk about they feel that this person believes in the framing of the constitution what the original framers the ideals the original framers set down.,A|Yeah But I think I I Yeah I I I guess the idea you know they always keep saying like the framers. Um. there uh one of the Republican the appointees for the the judicial bench and they always talk about they feel that this person believes in the framing of the constitution what the original framers the ideals the original framers set down.
61,M,,M|
62,A,And Um I believe that the idea of burning the flag is is in,A|And Um I believe that the idea of burning the flag is is in
63,M,Umm. Uh.,M|Umm. Uh.
64,A,my understanding of how it was framed is that you this the thing about this country is that you can disagree with its government and you can display that.,A|my understanding of how it was framed is that you this the thing about this country is that you can disagree with its government and you can display that.
65,M,,M|
66,A,"Uh, I Yeah, I and and so that as a freedom of expression and speech and whatever I I think that that's viable. Um as long as it's your flag and and you've made your your point. I think. Yeah Because, realistically, like for you for you you don't think it's right","A|Uh, I Yeah, I and and so that as a freedom of expression and speech and whatever I I think that that's viable. Um as long as it's your flag and and you've made your your point. I think. Yeah Because, realistically, like for you for you you don't think it's right"
67,M,What?,M|What?
68,A,"And I would never do it. I I love this country too much, and that symbol means a lot to me.","A|And I would never do it. I I love this country too much, and that symbol means a lot to me."
69,M,I wouldn't,M|I wouldn't
70,A,Um. But I guess it's just one of those things where if they if that's what's something it's a need for them you know.,A|Um. But I guess it's just one of those things where if they if that's what's something it's a need for them you know.
71,M,It's... it's,M|It's... it's
72,A,Yeah. Yes. No.,A|Yeah. Yes. No.
73,M,You know what i mean.,M|You know what i mean.
74,A,Right. Yeah. Uh huh.,A|Right. Yeah. Uh huh.
75,M,It's not a symbol of your country.It's a symbol.,M|It's not a symbol of your country.It's a symbol.
76,A,Uh huh.,A|Uh huh.
77,M,"Uhhh, uh, uhhh, uhh, uh","M|Uhhh, uh, uhhh, uhh, uh"
78,A,Yeah.,A|Yeah.
79,M,Well I'm a boy scout.,M|Well I'm a boy scout.
80,A,I agree there too. I agree with you there too. I I the um I I it's I find it you know personally disgusting But I don't think that I don't think that uh we have a right to stop somebody from that you know,A|I agree there too. I agree with you there too. I I the um I I it's I find it you know personally disgusting But I don't think that I don't think that uh we have a right to stop somebody from that you know
81,M,"Yeah, no.","M|Yeah, no."
82,A,"the same I don't know I guess I get I get uh all mixed up inside. when, Yeah","A|the same I don't know I guess I get I get uh all mixed up inside. when, Yeah"
83,M,I don't really know what you mean by that.,M|I don't really know what you mean by that.
84,A,"it when it's uh it's an emotional issue, and you sit and you try and think about it logically and and and you know you try to say to yourself now emotionally this is a disgusting thing, uh but logically um even you know for instance, the pro life pro choice movement, uh you know I don't know anybody that actually supports abortion, but they would vote pro choice.","A|it when it's uh it's an emotional issue, and you sit and you try and think about it logically and and and you know you try to say to yourself now emotionally this is a disgusting thing, uh but logically um even you know for instance, the pro life pro choice movement, uh you know I don't know anybody that actually supports abortion, but they would vote pro choice."
85,M,,M|
86,A,"because you know That's just a disgusting thing you know somebody an abortion means it's somebody's in trouble and that it's an awful thing, you know","A|because you know That's just a disgusting thing you know somebody an abortion means it's somebody's in trouble and that it's an awful thing, you know"
87,M,I know,M|I know
88,A,"but Yeah. but it that's uh that's what I mean, see, but but realistically when you think of it it just sounds like such an awful thing, and it evokes an emotional response. I think that's the hardest thing, I don't know if I could ever be a judge, because some things emotionally just aren't you know","A|but Yeah. but it that's uh that's what I mean, see, but but realistically when you think of it it just sounds like such an awful thing, and it evokes an emotional response. I think that's the hardest thing, I don't know if I could ever be a judge, because some things emotionally just aren't you know"
89,M,,M|
90,A,"No, no I think the um sometimes I guess what did I read recently the um the uh Christian uh point is is always the point of well it's at conception but then um a friend of mine's a doctor and argues with others that conception is a biblical term. And there's no concept of conception in medicine or biology.","A|No, no I think the um sometimes I guess what did I read recently the um the uh Christian uh point is is always the point of well it's at conception but then um a friend of mine's a doctor and argues with others that conception is a biblical term. And there's no concept of conception in medicine or biology."
91,M,I?,M|I?
92,A,"so then that so that throws out that idea makes it a religious discussion then. So it's I don't know. It's very it's it's uh you know It's a it's a topsy-turvy world and it's really something how um political ideas and viewpoints within one country can vary so much and also within um within a,","A|so then that so that throws out that idea makes it a religious discussion then. So it's I don't know. It's very it's it's uh you know It's a it's a topsy-turvy world and it's really something how um political ideas and viewpoints within one country can vary so much and also within um within a,"
93,M,,M|
94,A,Yeah and how Yeah how it'll sway from one one extreme to another.,A|Yeah and how Yeah how it'll sway from one one extreme to another.
95,M,,M|
96,A,Uh I think that uh you know I I just read something I think in TIME magazine uh about um protest,A|Uh I think that uh you know I I just read something I think in TIME magazine uh about um protest
