,Speaker,Utterance,Unified
5,M,I,M|I
26,A,"It's cut back, you know, considerably, but it, it just shifts it from our neighborhood to another neighborhood to other neighborhood, so it still, uh, remains city wide, pretty, pretty high.","A|It's cut back, you know, considerably, but it, it just shifts it from our neighborhood to another neighborhood to other neighborhood, so it still, uh, remains city wide, pretty, pretty high."
27,M,"That's, yay, y'all","M|That's, yay, y'all"
28,A,"Uh, I would say the majority of it's happening during the day, uh, between probably ten in the morning and three in the afternoon.","A|Uh, I would say the majority of it's happening during the day, uh, between probably ten in the morning and three in the afternoon."
29,M,I'm,M|I'm
30,A,"Most,","A|Most,"
31,M,most of it?,M|most of it?
32,A,"Well, most families, most families are young and both people are working.","A|Well, most families, most families are young and both people are working."
33,M,"I thought it was because the majority is young, not old.","M|I thought it was because the majority is young, not old."
34,A,So they're happening during the hours they're gone from work.,A|So they're happening during the hours they're gone from work.
35,M,They are happening,M|They are happening
36,A,"Uh, so, uh, I would say that's probably their prime motivation. They'll, they'll stock your house and, uh, look at your pattern and then go from there.","A|Uh, so, uh, I would say that's probably their prime motivation. They'll, they'll stock your house and, uh, look at your pattern and then go from there."
37,M,"Well, I would have to get the right sort of person to do it.","M|Well, I would have to get the right sort of person to do it."
38,A,"Uh, they classify most of them as professionals.","A|Uh, they classify most of them as professionals."
39,M,What are the people who do the work?,M|What are the people who do the work?
40,A,"Uh, you get a few of them that are a little bit sloppier, uh, just taking, uh, you know, just junk items that they, they can just get, you know, ten to twenty bucks for real quick.","A|Uh, you get a few of them that are a little bit sloppier, uh, just taking, uh, you know, just junk items that they, they can just get, you know, ten to twenty bucks for real quick."
41,M,"Uhh, I don't think you understand.","M|Uhh, I don't think you understand."
42,A,"Probably the biggest items that, uh, that you get in our neighborhood, or, would be the high classed automobiles, the, you know, Mercedes, Volvos, things that they can get, you know, big dollars for and the jewelry are the major targets,","A|Probably the biggest items that, uh, that you get in our neighborhood, or, would be the high classed automobiles, the, you know, Mercedes, Volvos, things that they can get, you know, big dollars for and the jewelry are the major targets,"
43,M,H,M|H
44,A,"guns, that sort of stuff.","A|guns, that sort of stuff."
45,M,what,M|what
46,A,"Very few, you know, penny, penny ante stuff.","A|Very few, you know, penny, penny ante stuff."
47,M,What kind of stuff?,M|What kind of stuff?
48,A,"Well, uh, the police force, for one, I think they could, uh, definitely add to the police force and the type equipment that they use. Uh, it's, oh, right now I think, we are about thirty thousand people and there's only eight officers that patrol for thirty, for that amount of people which is not very many.","A|Well, uh, the police force, for one, I think they could, uh, definitely add to the police force and the type equipment that they use. Uh, it's, oh, right now I think, we are about thirty thousand people and there's only eight officers that patrol for thirty, for that amount of people which is not very many."
49,M,What are you talking about?,M|What are you talking about?
50,A,"And,","A|And,"
51,M,They're not.,M|They're not.
52,A,"Well, the, course in our particular state, uh, we have the prison overcrowding, whatever, so they're giving the early release, uh,","A|Well, the, course in our particular state, uh, we have the prison overcrowding, whatever, so they're giving the early release, uh,"
53,M,It,M|It
54,A,"Yeah, and, and it's, I think what they need to do is stop building more jails and start giving stiffer sentences, uh, but for the,","A|Yeah, and, and it's, I think what they need to do is stop building more jails and start giving stiffer sentences, uh, but for the,"
55,M,"I am I'm so we're not, building prisons.","M|I am I'm so we're not, building prisons."
56,A,"That would be, certainly be a deterrent.","A|That would be, certainly be a deterrent."
57,M,I'm sure there are many other countries that don't have this problem.,M|I'm sure there are many other countries that don't have this problem.
58,A,"And, uh, not necessarily, you know, give in to their, uh, human rights desires. You know, if they're overcrowded, just keep cramming them in there till they just suffocate. Uh,","A|And, uh, not necessarily, you know, give in to their, uh, human rights desires. You know, if they're overcrowded, just keep cramming them in there till they just suffocate. Uh,"
59,M,"No, but they can be used for this purpose.","M|No, but they can be used for this purpose."
60,A,"Uh, I think they'd have to go to extra measures to make sure a person's guilty, you know, in a lot of cases. Course, I, I know you can't be a hundred percent foolproof.","A|Uh, I think they'd have to go to extra measures to make sure a person's guilty, you know, in a lot of cases. Course, I, I know you can't be a hundred percent foolproof."
61,M,... and that's,M|... and that's
62,A,"Uh,","A|Uh,"
63,M,"I, uh, I can't.","M|I, uh, I can't."
64,A,"I'd rather see it a little bit harder and have a little bit more evidence, uh, to convict somebody","A|I'd rather see it a little bit harder and have a little bit more evidence, uh, to convict somebody"
65,M,You would think they would be able to.,M|You would think they would be able to.
66,A,"and then those convicted, especially of, you know, murder and, and, uh, you know, major crimes, uh, to reach the life sentences and, you know, death penalties and follow-through with that.","A|and then those convicted, especially of, you know, murder and, and, uh, you know, major crimes, uh, to reach the life sentences and, you know, death penalties and follow-through with that."
67,M,"They are still a crime, though.","M|They are still a crime, though."
68,A,"Uh, especially, you know, in the case of murder","A|Uh, especially, you know, in the case of murder"
69,M,"uh, uh, uh","M|uh, uh, uh"
70,A,"uh, I know in my case, I, my wife and daughter were kidnapped, during a house robbery back in eighty-five","A|uh, I know in my case, I, my wife and daughter were kidnapped, during a house robbery back in eighty-five"
71,M,I know.,M|I know.
72,A,"and we caught, the individuals got caught, we, uh, we went through the court system and all that sort of thing","A|and we caught, the individuals got caught, we, uh, we went through the court system and all that sort of thing"
73,M,Did you really?,M|Did you really?
74,A,"and, uh, you know, two counts of kidnapping, uh you know, the, the forty-five to the head, you know, just the, the mental anguish and the whole nine yards uh, you know, the guy only got five years.","A|and, uh, you know, two counts of kidnapping, uh you know, the, the forty-five to the head, you know, just the, the mental anguish and the whole nine yards uh, you know, the guy only got five years."
75,M,"I was going to say,","M|I was going to say,"
76,A,"And, you know, he was out within two months because of the parole system. So what, what,","A|And, you know, he was out within two months because of the parole system. So what, what,"
77,M,... I've never seen a dog out in the,M|... I've never seen a dog out in the
78,A,Do what now?,A|Do what now?
79,M,"You know, uh, uh you did, uh uh","M|You know, uh, uh you did, uh uh"
80,A,no. I'm not real familiar with that.,A|no. I'm not real familiar with that.
81,M,Did he sue you for damages?,M|Did he sue you for damages?
82,A,Oh.,A|Oh.
83,M,"You know, that's a good idea. I don't know how much money I could make from it.","M|You know, that's a good idea. I don't know how much money I could make from it."
84,A,"Well, the insurance companies and all that tried to, tried to go after him and they said, well, you know, he, they're, he has no job, he has nothing, there's nothing that he has that, that you could go after.","A|Well, the insurance companies and all that tried to, tried to go after him and they said, well, you know, he, they're, he has no job, he has nothing, there's nothing that he has that, that you could go after."
85,M,Why would you?,M|Why would you?
86,A,"Yeah. Uh, very","A|Yeah. Uh, very"
87,M,"He is not a criminal, and he is not guilty of any crime.","M|He is not a criminal, and he is not guilty of any crime."
88,A,"Yeah. They don't do that here. Course they pay them, but they don't, you don't, you or the insurance companies never see any of that money.","A|Yeah. They don't do that here. Course they pay them, but they don't, you don't, you or the insurance companies never see any of that money."
89,M,The US.,M|The US.
90,A,"And, uh, you know, and they're right now they're reluctant to go after him because they're, you know, they're, they're repeat offenders, they, uh, been in jail before","A|And, uh, you know, and they're right now they're reluctant to go after him because they're, you know, they're, they're repeat offenders, they, uh, been in jail before"
91,M,But he's an ex cop.,M|But he's an ex cop.
92,A,"they've been released, you know, several times, which is another, uh, deal I hate to see.","A|they've been released, you know, several times, which is another, uh, deal I hate to see."
93,M,"I hate to say it,","M|I hate to say it,"
94,A,"But, uh, you know, basically the guy commits, you know three major crimes and, and, uh, and car theft on top of it, destroys my car,","A|But, uh, you know, basically the guy commits, you know three major crimes and, and, uh, and car theft on top of it, destroys my car,"
95,M,"Yeah, I","M|Yeah, I"
96,A,"and we're out, you know, uh, you know, fifteen thousand dollars and, you know, the guy gets out in two months","A|and we're out, you know, uh, you know, fifteen thousand dollars and, you know, the guy gets out in two months"
97,M,I think it's Yeah. Yeah.,M|I think it's Yeah. Yeah.
98,A,"and he goes out and commits it again. Fact, he's back in jail now. So, what, what, uh,","A|and he goes out and commits it again. Fact, he's back in jail now. So, what, what, uh,"
99,M,I think you're thinking of Yeah.Yeah.That.Was.Like.A. Thing,M|I think you're thinking of Yeah.Yeah.That.Was.Like.A. Thing
100,A,"Yeah. What, what deterrent does he really have?","A|Yeah. What, what deterrent does he really have?"
101,M,I'm just glad he's not in jail.,M|I'm just glad he's not in jail.
102,A,"Yeah, I think in our, in our particular neighborhood, vigilantism is becoming a real, real possibility.","A|Yeah, I think in our, in our particular neighborhood, vigilantism is becoming a real, real possibility."
103,M,I think in this case it's just more of a deterrent.,M|I think in this case it's just more of a deterrent.
104,A,"Uh, we've had a couple instances where break ins where the people have actually, you know, shot the people","A|Uh, we've had a couple instances where break ins where the people have actually, you know, shot the people"
105,M,"Uh, we've never had a break in.","M|Uh, we've never had a break in."
106,A,"and, uh, return offenders have, they've actually waited for them, where they've robbed, you know, particular neighborhood, they'll rob one house, then other people will wait up, you know, and wait for somebody to do something else, try to take it in their own hands.","A|and, uh, return offenders have, they've actually waited for them, where they've robbed, you know, particular neighborhood, they'll rob one house, then other people will wait up, you know, and wait for somebody to do something else, try to take it in their own hands."
107,M,Hahaha. Nice.,M|Hahaha. Nice.
108,A,Course it doesn't always work out in their favor.,A|Course it doesn't always work out in their favor.
109,M,What if you have a family and family members who would like to go home?,M|What if you have a family and family members who would like to go home?
110,A,"But, uh, nevertheless, I think people are just getting fed up and saying, you know, you can't arrest all of us,","A|But, uh, nevertheless, I think people are just getting fed up and saying, you know, you can't arrest all of us,"
111,M,It's not a story the police would tell you.,M|It's not a story the police would tell you.
112,A,"you can, you know, you can get some of us,","A|you can, you know, you can get some of us,"
113,M,You can't be serious.,M|You can't be serious.
114,A,you can't get all of us.,A|you can't get all of us.
115,M,we have a lot of them,M|we have a lot of them
116,A,"Uh, and we're beginning to see more and more of that.","A|Uh, and we're beginning to see more and more of that."
117,M,We're all gonna make it brah,M|We're all gonna make it brah
118,A,Yeah.,A|Yeah.
119,M,It's a good deterrent,M|It's a good deterrent
120,A,"Yeah, that's, I mean that's certainly a possibility in, in, we have had a few cases where the guy has broken in, you know, during the middle of the night and gotten himself shot to death.","A|Yeah, that's, I mean that's certainly a possibility in, in, we have had a few cases where the guy has broken in, you know, during the middle of the night and gotten himself shot to death."
121,M,I think the point is that he has to be careful not to break in.,M|I think the point is that he has to be careful not to break in.
122,A,"And, uh, it helps for a while","A|And, uh, it helps for a while"
123,M,"Well, they do have a way to get you to shoot them...","M|Well, they do have a way to get you to shoot them..."
124,A,"but then just another different set of people come in, and most of the people are transients from out, outside of the state.","A|but then just another different set of people come in, and most of the people are transients from out, outside of the state."
125,M,"It's the same person, just different pronouns.","M|It's the same person, just different pronouns."
126,A,"Uh, I would say probably eighty percent of them that are caught, they're from places like up in Oklahoma, and Louisiana, Arkansas, you know, across the, the border.","A|Uh, I would say probably eighty percent of them that are caught, they're from places like up in Oklahoma, and Louisiana, Arkansas, you know, across the, the border."
127,M,I wonder how many of them are from Arkansas,M|I wonder how many of them are from Arkansas
128,A,"So, you know, people who don't readily read the newspapers in our town or whatever","A|So, you know, people who don't readily read the newspapers in our town or whatever"
129,M,I think he was joking,M|I think he was joking
130,A,it's not many from the local communities.,A|it's not many from the local communities.
131,M,How many of those are from the towns?,M|How many of those are from the towns?
132,A,"But, uh, it's a problem, and I, I just, I think that the court systems need to be more accurate in, in, stiffer in their penalties,","A|But, uh, it's a problem, and I, I just, I think that the court systems need to be more accurate in, in, stiffer in their penalties,"
133,M,... but... it's not a problem.,M|... but... it's not a problem.
134,A,"would be a definite deterrent and, and, uh, giving the, uh, police, uh, agencies a little bit more jurisdiction over what they do when they, when they catch these people.","A|would be a definite deterrent and, and, uh, giving the, uh, police, uh, agencies a little bit more jurisdiction over what they do when they, when they catch these people."
135,M,"Well, the problem is that they don't know what to do with them.","M|Well, the problem is that they don't know what to do with them."
136,A,Right.,A|Right.
137,M,There is that?,M|There is that?
138,A,Uh-huh.,A|Uh-huh.
139,M,"I am,","M|I am,"
140,A,"I know like in my wife's case, they made her feel like the criminal.","A|I know like in my wife's case, they made her feel like the criminal."
141,M,How did you feel when you saw the news?,M|How did you feel when you saw the news?
142,A,"They, they went to all, all ...","A|They, they went to all, all ..."
