,Speaker,Utterance,Unified
5,M,s,M|s
72,A,"Well, that's really, yeah that's, I bet that was nice.","A|Well, that's really, yeah that's, I bet that was nice."
73,M,You mean that was real?,M|You mean that was real?
74,A,Oh.,A|Oh.
75,M,I think so.,M|I think so.
76,A,Right. Right.,A|Right. Right.
77,M,"Oh, that's a little...","M|Oh, that's a little..."
78,A,Right.,A|Right.
79,M,right.right.,M|right.right.
80,A,"Well actually, I play, I play the violin in, in a string quartet that often plays at weddings.","A|Well actually, I play, I play the violin in, in a string quartet that often plays at weddings."
81,M,Oh yeah?,M|Oh yeah?
82,A,"So, um, I always think it's a nice break from the traditional organ or piano.","A|So, um, I always think it's a nice break from the traditional organ or piano."
83,M,"I'm a violinist, and I play a violin.","M|I'm a violinist, and I play a violin."
84,A,"And, it makes, it makes it nice. It makes, you know, you can say classy or it makes an elegant wedding to have  something else.","A|And, it makes, it makes it nice. It makes, you know, you can say classy or it makes an elegant wedding to have  something else."
85,M,Ohhhh... That's a good point.,M|Ohhhh... That's a good point.
86,A,Oh.,A|Oh.
87,M,I think it is.,M|I think it is.
88,A,Yeah.,A|Yeah.
89,M,...,M|...
90,A,"Oh. Now does, does the school in, in your, in your city, does it, does it offer, like band, or some of the instruments?","A|Oh. Now does, does the school in, in your, in your city, does it, does it offer, like band, or some of the instruments?"
91,M,"what, and music, and","M|what, and music, and"
92,A,Okay.,A|Okay.
93,M,I'm not your friend.,M|I'm not your friend.
94,A,Right.,A|Right.
95,M,I don't think so.,M|I don't think so.
96,A,Right.,A|Right.
97,M,He's a good boy.,M|He's a good boy.
98,A,Right.,A|Right.
99,M,.,M|.
100,A,Probably. Oh.,A|Probably. Oh.
101,M,What about that?,M|What about that?
102,A,Gosh.,A|Gosh.
103,M,He nods.,M|He nods.
104,A,"Yeah. Right. Right, you got a little ways to go, too Right .","A|Yeah. Right. Right, you got a little ways to go, too Right ."
105,M,He's not interested in the drums.,M|He's not interested in the drums.
106,A,"Hey, oh. Well, my, well my oldest is eight and, and she's, we've, started her on piano so, uh,","A|Hey, oh. Well, my, well my oldest is eight and, and she's, we've, started her on piano so, uh,"
107,M,"She's, you're, got, he, and, what?","M|She's, you're, got, he, and, what?"
108,A,"But, that's been, it's been fun, I mean it's a lot of work to see that she's prepared but it's been fun, it's been fun, I feel like I've learned a lot about the piano. I've learned a lot about playing the piano.","A|But, that's been, it's been fun, I mean it's a lot of work to see that she's prepared but it's been fun, it's been fun, I feel like I've learned a lot about the piano. I've learned a lot about playing the piano."
109,M,I'm... not sure.,M|I'm... not sure.
110,A,"And, uh, it kind of makes me listen a little closer to, to the piano when I hear it at other places, or when I, you know, see some, see and hear someone playing. I sort of watch their technique, too, and, and see if it corresponds up to what she's learning.","A|And, uh, it kind of makes me listen a little closer to, to the piano when I hear it at other places, or when I, you know, see some, see and hear someone playing. I sort of watch their technique, too, and, and see if it corresponds up to what she's learning."
111,M,...,M|...
112,A,"So, it's been fun.","A|So, it's been fun."
113,M,I think it's.,M|I think it's.
