,Speaker,Utterance,Unified
5,M,I'll take the Astros.,M|I'll take the Astros.
41,M,It's not like they play each other every year.,M|It's not like they play each other every year.
42,A,Yeah.,A|Yeah.
43,M,So the Yankees are the New England Patriots?,M|So the Yankees are the New England Patriots?
44,A,"The Texas Rangers, they, they lost, I think.","A|The Texas Rangers, they, they lost, I think."
45,M,Who's the team?,M|Who's the team?
46,A,"But I know that last year we did go to a baseball game last year. We got free tickets because someone at our church, one of the deacons at church, um, parks cars at The Mansion at Turtle Creek which is like one of the, uh, the places and stuff.","A|But I know that last year we did go to a baseball game last year. We got free tickets because someone at our church, one of the deacons at church, um, parks cars at The Mansion at Turtle Creek which is like one of the, uh, the places and stuff."
47,M,"You are right, but they have been in the past.","M|You are right, but they have been in the past."
48,A,"And he's their head chauffeur, is this funny, as they're parking the cars the valet service.","A|And he's their head chauffeur, is this funny, as they're parking the cars the valet service."
49,M,He's the driver of the car.,M|He's the driver of the car.
50,A,"Yeah, he makes good money too doing that, you'd be I was shocked, but anyway, someone gave an Iranian a tip of four Rangers tickets last year,","A|Yeah, he makes good money too doing that, you'd be I was shocked, but anyway, someone gave an Iranian a tip of four Rangers tickets last year,"
51,M,I,M|I
52,A,"and then the Iranian couldn't, he didn't want them, so he gave them to Alan, and Alan and his Dad had plans that night so they gave them to us, so he decided that some wealthy man tipped this Iranian, with baseball tickets,","A|and then the Iranian couldn't, he didn't want them, so he gave them to Alan, and Alan and his Dad had plans that night so they gave them to us, so he decided that some wealthy man tipped this Iranian, with baseball tickets,"
53,M,"Ah, I see.","M|Ah, I see."
54,A,"and we ended up with them, right. And so we were, walking up","A|and we ended up with them, right. And so we were, walking up"
55,M,There was a moment where we all agreed to tip each other.,M|There was a moment where we all agreed to tip each other.
56,A,"and I looked at my husband and I said, you know what Kyle this is The Mansion at Turtle Creek a tip I bet these are really good seats and so we ended up on first base right down there on the floor,","A|and I looked at my husband and I said, you know what Kyle this is The Mansion at Turtle Creek a tip I bet these are really good seats and so we ended up on first base right down there on the floor,"
57,M,"Weirdly enough,","M|Weirdly enough,"
58,A,"oh, yeah, we they called us at five and the game started at seven so we just threw everything together, ran over and got the tickets and walked and so we took two kids with us and nobody brings two children in these seats, you know because,","A|oh, yeah, we they called us at five and the game started at seven so we just threw everything together, ran over and got the tickets and walked and so we took two kids with us and nobody brings two children in these seats, you know because,"
59,M,"Yeah, it was.","M|Yeah, it was."
60,A,"yeah, and you just sit down and all the girls were all dressed up you know, I just was there, you know, like I'm loaded, I'm here, you know, and, uh, it was just kind of funny because, you know, but we got to sit by first base if they did hit a ball I would have been afraid it would have knocked my face in, you know.","A|yeah, and you just sit down and all the girls were all dressed up you know, I just was there, you know, like I'm loaded, I'm here, you know, and, uh, it was just kind of funny because, you know, but we got to sit by first base if they did hit a ball I would have been afraid it would have knocked my face in, you know."
61,M,...,M|...
62,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
63,M,,M|
64,A,Really?,A|Really?
65,M,"i, I think,","M|i, I think,"
66,A,I'm glad my husband's not like that.,A|I'm glad my husband's not like that.
67,M,Your wife is on a diet.,M|Your wife is on a diet.
68,A,Uh-huh.,A|Uh-huh.
69,M,"Yeah, my mom has a crush on me","M|Yeah, my mom has a crush on me"
70,A,Uh-huh.,A|Uh-huh.
71,M,I'm so,M|I'm so
72,A,That's funny.,A|That's funny.
73,M,"It's still, uhuhhuh?","M|It's still, uhuhhuh?"
74,A,You miss the whole thing.,A|You miss the whole thing.
75,M,What do you mean?,M|What do you mean?
76,A,That's funny. Where is he from in France? Uh-huh.,A|That's funny. Where is he from in France? Uh-huh.
77,M,,M|
78,A,"Yeah. I have a, I had a friend in college from Strasbourg,","A|Yeah. I have a, I had a friend in college from Strasbourg,"
79,M,"Yeah, but you're from France.","M|Yeah, but you're from France."
80,A,"Uh-huh. Paris. And my cousin lives in Paris and she's lived there for like, oh, off and on for twenty years.","A|Uh-huh. Paris. And my cousin lives in Paris and she's lived there for like, oh, off and on for twenty years."
81,M,I don't know if you know this but the last time I lived in Paris was in'96.,M|I don't know if you know this but the last time I lived in Paris was in'96.
82,A,Uh-huh.,A|Uh-huh.
83,M,"Hahaha, I was talking about Strasbourg, but yeah.","M|Hahaha, I was talking about Strasbourg, but yeah."
84,A,Saint Claude is that sound familiar?,A|Saint Claude is that sound familiar?
85,M,He was a Saint Claude,M|He was a Saint Claude
86,A,Yeah.,A|Yeah.
87,M,"Yeah, Saint.Claude","M|Yeah, Saint.Claude"
88,A,"Oh, really?","A|Oh, really?"
89,M,It's a nice place to live.,M|It's a nice place to live.
90,A,Uh-huh.,A|Uh-huh.
91,M,"It's the, uh, limit.","M|It's the, uh, limit."
92,A,"That's neat. Yeah, she married and they have twelve children.","A|That's neat. Yeah, she married and they have twelve children."
93,M,"... and she's like, I know.","M|... and she's like, I know."
94,A,She has twelve children.,A|She has twelve children.
95,M,She looks like a great mom.,M|She looks like a great mom.
96,A,"She looks gorgeous, no she's gorgeous and she just liked having kids and she's thin and, I mean, four or more children are thin,","A|She looks gorgeous, no she's gorgeous and she just liked having kids and she's thin and, I mean, four or more children are thin,"
97,M,Why is she so thin?,M|Why is she so thin?
98,A,"I mean, I'm not kidding you.","A|I mean, I'm not kidding you."
99,M,It's a joke.,M|It's a joke.
100,A,"No, your, I have a friend now that has seven. And, um, and they're all eight and under, and nine and under,","A|No, your, I have a friend now that has seven. And, um, and they're all eight and under, and nine and under,"
101,M,"And, uh, are you a six year old?","M|And, uh, are you a six year old?"
102,A,"they're all real young, they're just raised right that's what God's told them to do but they're not condemning you, if you, we only have one child, you know, they don't say, they don't put on bad or anything which is good because it would be easy, I'm sure, for them to do that, you get a conviction like that and you think everyone should have it. And so I'm real proud of them because they're aren't really, they don't do that at all.","A|they're all real young, they're just raised right that's what God's told them to do but they're not condemning you, if you, we only have one child, you know, they don't say, they don't put on bad or anything which is good because it would be easy, I'm sure, for them to do that, you get a conviction like that and you think everyone should have it. And so I'm real proud of them because they're aren't really, they don't do that at all."
103,M,I,M|I
104,A,You go in their bathroom and there's ten tooth brushes in there. And I always give her a hard time whose toothbrush did you really use this morning,A|You go in their bathroom and there's ten tooth brushes in there. And I always give her a hard time whose toothbrush did you really use this morning
105,M,,M|
106,A,"Uh-huh. They live lean for one thing and they tithe and they it puts a whole in your money bag, *spelling: hole we don't honor God with this portion and so they, I think that helps a lot. I think that's the key, in he, like his sales last year he just works a normal job. He probably has an income of thirty-five thousand, but last year he made that got him a bonus of twenty-five thousand which allowed him to pay cash for a full size van. He loves God, I mean, it was the biggest thing that any one in this company had ever done,","A|Uh-huh. They live lean for one thing and they tithe and they it puts a whole in your money bag, *spelling: hole we don't honor God with this portion and so they, I think that helps a lot. I think that's the key, in he, like his sales last year he just works a normal job. He probably has an income of thirty-five thousand, but last year he made that got him a bonus of twenty-five thousand which allowed him to pay cash for a full size van. He loves God, I mean, it was the biggest thing that any one in this company had ever done,"
107,M,,M|
108,A,"and he got to do it and so God just really blesses him in ways like that, do trust God because, I don't know, kids are a blessing and, and some people you know, we think of blessings as nice furniture and things like that, but kids are just as much of a blessing inside these material things but it's a different kind and a lot times people think, oh, well, I'm not blessed I have an old car. But you've got five kids, you know,","A|and he got to do it and so God just really blesses him in ways like that, do trust God because, I don't know, kids are a blessing and, and some people you know, we think of blessings as nice furniture and things like that, but kids are just as much of a blessing inside these material things but it's a different kind and a lot times people think, oh, well, I'm not blessed I have an old car. But you've got five kids, you know,"
109,M,,M|
110,A,"you're just as blessed, probably more, because if you follow this, there's a good book called WHAT THE BIBLE HAS TO SAY ABOUT CHILD TRAINING, by Richard Fugate","A|you're just as blessed, probably more, because if you follow this, there's a good book called WHAT THE BIBLE HAS TO SAY ABOUT CHILD TRAINING, by Richard Fugate"
111,M,,M|
112,A,"and he's, you know, a lot of wisdom in it. And the kids at BIBLE talk about anything but training, and training is different than anything else in, in psychology doesn't address it. A lot of the psychology stuff, the good stuff that's in psychology it just comes out of the BIBLE and they don't quote you the proverb out of it, but the things that work in psychology other the years that they've proven to work, they just come out of the BIBLE and so this book it just really all these things and how to train the child so they're not going to be a curse to you when they're thirteen.","A|and he's, you know, a lot of wisdom in it. And the kids at BIBLE talk about anything but training, and training is different than anything else in, in psychology doesn't address it. A lot of the psychology stuff, the good stuff that's in psychology it just comes out of the BIBLE and they don't quote you the proverb out of it, but the things that work in psychology other the years that they've proven to work, they just come out of the BIBLE and so this book it just really all these things and how to train the child so they're not going to be a curse to you when they're thirteen."
113,M,they,M|they
114,A,"What I mean how to train them so they're going to be a blessing and so, you know, they do that and they, they just live lean pretty much they don't, she doesn't shop at Foley's you know, and stuff like that. But a lot women die or shop at Foley's so things ,","A|What I mean how to train them so they're going to be a blessing and so, you know, they do that and they, they just live lean pretty much they don't, she doesn't shop at Foley's you know, and stuff like that. But a lot women die or shop at Foley's so things ,"
115,M,,M|
116,A,"It's like a Macy's, kind of store,","A|It's like a Macy's, kind of store,"
117,M,...,M|...
118,A,"it's pretty nice and everything's pretty expensive and, you know, you just can't do that and you don't go to baseball games as much or you get pictures like we did. You know what I mean?","A|it's pretty nice and everything's pretty expensive and, you know, you just can't do that and you don't go to baseball games as much or you get pictures like we did. You know what I mean?"
119,M,I love,M|I love
120,A,"You do these fun things, you know, in other kinds of ways and I know Manhattan's real expensive but, um, it's kind of a different situation because you're probably living in an apartment, right?","A|You do these fun things, you know, in other kinds of ways and I know Manhattan's real expensive but, um, it's kind of a different situation because you're probably living in an apartment, right?"
121,M,"I do this, but I'm in Manhattan.","M|I do this, but I'm in Manhattan."
122,A,Yeah.,A|Yeah.
123,M,"Oh, I see.","M|Oh, I see."
124,A,"Well, church softball leagues, so,","A|Well, church softball leagues, so,"
125,M,"I'm a little confused, what are you talking about?","M|I'm a little confused, what are you talking about?"
126,A,"they're not all boys and right now we don't have a girls' league because I'm the one that's supposed to start one and I just haven't gotten around to doing it. I keep saying we need to have one. They go, okay, then start one. But everybody wants to do it but, you know, God's sitting on my heart and I just hadn't gotten around to doing it, but anyway, so they could really only have four members on the team. I think they only have four boys . I don't even think they have but two old enough to play yet.","A|they're not all boys and right now we don't have a girls' league because I'm the one that's supposed to start one and I just haven't gotten around to doing it. I keep saying we need to have one. They go, okay, then start one. But everybody wants to do it but, you know, God's sitting on my heart and I just hadn't gotten around to doing it, but anyway, so they could really only have four members on the team. I think they only have four boys . I don't even think they have but two old enough to play yet."
127,M,,M|
128,A,"But, um, then you didn't believe me about her kids *listen: this and utt2 as one utt are the they are so good. I'm not kidding you but she does work with them and it's a commitment and, that, that's what they're called to do.","A|But, um, then you didn't believe me about her kids *listen: this and utt2 as one utt are the they are so good. I'm not kidding you but she does work with them and it's a commitment and, that, that's what they're called to do."
129,M,,M|
130,A,"I have a, most of my friends,","A|I have a, most of my friends,"
131,M,I'ed you,M|I'ed you
132,A,"I know, I do too, I, most of my friends have three or four kids and they feel like, you know, that's really why God and some of the people in our church use birth control and some of them don't, I had my tubes tied so you,","A|I know, I do too, I, most of my friends have three or four kids and they feel like, you know, that's really why God and some of the people in our church use birth control and some of them don't, I had my tubes tied so you,"
