,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
43,B,"Yeah, and, and also, um, the, the thing I don't like about a lot of these court trials and a lot of these appeals is that it's not based on what is true and what is false but rather it's on the rules of evidence, what can I hide and what do I have to tell.","B|Yeah, and, and also, um, the, the thing I don't like about a lot of these court trials and a lot of these appeals is that it's not based on what is true and what is false but rather it's on the rules of evidence, what can I hide and what do I have to tell."
44,M,Uh-huh.,M|Uh-huh.
45,B,And I think our courts should be geared much more strongly towards finding out the truth than they currently are.,B|And I think our courts should be geared much more strongly towards finding out the truth than they currently are.
46,M,"Well, that's true, too.","M|Well, that's true, too."
47,B,"And, and that way we can be sure, you know, we can find out the truth, we can find out what really happened and, and base the sentence on what the person did, not on what we're allowed to let the jury hear","B|And, and that way we can be sure, you know, we can find out the truth, we can find out what really happened and, and base the sentence on what the person did, not on what we're allowed to let the jury hear"
48,M,Uh-huh.,M|Uh-huh.
49,B,Uh-huh,B|Uh-huh
50,M,"and he was trying to decide between, uh","M|and he was trying to decide between, uh"
51,B,Uh-huh.,B|Uh-huh.
52,M,But he was killed by a stray bullet.,M|But he was killed by a stray bullet.
53,B,"Just started shooting people,  because they botched the first job","B|Just started shooting people,  because they botched the first job"
54,M,Right.,M|Right.
55,B,"and,  so now they're going to get even.","B|and,  so now they're going to get even."
56,M,Right.,M|Right.
57,B,Yeah.,B|Yeah.
58,M,"I mean, you know,","M|I mean, you know,"
59,B,Uh-huh.,B|Uh-huh.
60,M,"But, uh.","M|But, uh."
61,B,Yeah.,B|Yeah.
62,M,"So, it's, it was really a tough issue, but I think that, uh you know you have to do, you have a background check to make sure that you're buying something right, and that, you, you don't, you can't say that it's not authentic.","M|So, it's, it was really a tough issue, but I think that, uh you know you have to do, you have a background check to make sure that you're buying something right, and that, you, you don't, you can't say that it's not authentic."
63,B,"So what was the verdict, what was the results there.","B|So what was the verdict, what was the results there."
64,M,"Well, the result was that, uh the, the defendant did not have a defense.","M|Well, the result was that, uh the, the defendant did not have a defense."
65,B,Oh.,B|Oh.
66,M,He was found not guilty of it.,M|He was found not guilty of it.
67,B,Uh-huh.,B|Uh-huh.
68,M,"I don't, I, I'm not sure that, that, I mean, I've heard it, but I haven't, you know, I haven tought about it.","M|I don't, I, I'm not sure that, that, I mean, I've heard it, but I haven't, you know, I haven tought about it."
69,B,Uh-huh.,B|Uh-huh.
70,M,"But, uh.","M|But, uh."
71,B,"The, the penalty phase, yeah, they've, decide the penalty separately from the verdict.","B|The, the penalty phase, yeah, they've, decide the penalty separately from the verdict."
72,M,Right.,M|Right.
73,B,Uh-huh.,B|Uh-huh.
74,M,"But, uh.","M|But, uh."
75,B,"Yeah, well, you know, you just have to decide, you know, well there's really two separate decisions there I guess, one is, did it really happen the way the, the prosecutor said it happened, you know, is this man really guilty, and you have to decide that, but then you have to decide, you know, as a member of society what do I want to do with this guy who did this thing.","B|Yeah, well, you know, you just have to decide, you know, well there's really two separate decisions there I guess, one is, did it really happen the way the, the prosecutor said it happened, you know, is this man really guilty, and you have to decide that, but then you have to decide, you know, as a member of society what do I want to do with this guy who did this thing."
76,M,"Well, that, that would be a good idea.","M|Well, that, that would be a good idea."
77,B,"And that I, I've never been on a jury, I've never had that experience, I'm not sure I'd look forward to making that kind of decision about a man's life.","B|And that I, I've never been on a jury, I've never had that experience, I'm not sure I'd look forward to making that kind of decision about a man's life."
78,M,"Uh-uh. Well, I, uh","M|Uh-uh. Well, I, uh"
79,B,Uh-huh,B|Uh-huh
80,M,"I, I think that's probably one of the worst things I've ever seen happen.","M|I, I think that's probably one of the worst things I've ever seen happen."
81,B,"Uh-huh. Yeah. Well the thing I'd be most likely to attach the death penalty to is the violence. I mean, I can handle people, people selling drugs, you know, it's, it's wrong, but it, it's not worth somebody getting executed for. But we hear so much about the violence and how it's not safe to walk the streets because somebody, you know, these random drive by shootings and that sort of thing.","B|Uh-huh. Yeah. Well the thing I'd be most likely to attach the death penalty to is the violence. I mean, I can handle people, people selling drugs, you know, it's, it's wrong, but it, it's not worth somebody getting executed for. But we hear so much about the violence and how it's not safe to walk the streets because somebody, you know, these random drive by shootings and that sort of thing."
82,M,"Well, it can be. It can be, it really can be a, a very, very bad thing. I think that, uh","M|Well, it can be. It can be, it really can be a, a very, very bad thing. I think that, uh"
83,B,"And the people I'd most likely want to sentence to death are the people that just show a really low regard for human life. That, you know, you, never know when they're going to turn or hurt the next person because it doesn't really matter to them whether someone else gets hurt or not.","B|And the people I'd most likely want to sentence to death are the people that just show a really low regard for human life. That, you know, you, never know when they're going to turn or hurt the next person because it doesn't really matter to them whether someone else gets hurt or not."
84,M,Yeah.,M|Yeah.
85,B,"And so I go, these are the kind of people I would like to get out of here and get out of circulation and say I don't, we don't accept your kind in our society.","B|And so I go, these are the kind of people I would like to get out of here and get out of circulation and say I don't, we don't accept your kind in our society."
86,M,That's right.,M|That's right.
87,B,Uh-huh.,B|Uh-huh.
88,M,"but, uh.","M|but, uh."
