,Speaker,Utterance,Unified
5,B,"Oh, that's wonderful. Okay.","B|Oh, that's wonderful. Okay."
104,M,"And I use that to make the sauce and then I put the chicken over the, over the pan. And then I cover it with foil and pop it in the oven. And pop it into the oven for just a couple of minutes to melt it all up.","M|And I use that to make the sauce and then I put the chicken over the, over the pan. And then I cover it with foil and pop it in the oven. And pop it into the oven for just a couple of minutes to melt it all up."
105,B,Do do you put it in the refrigerator then or,B|Do do you put it in the refrigerator then or
106,M,"Well, we just put it on the ground.","M|Well, we just put it on the ground."
107,B,Uh-huh.,B|Uh-huh.
108,M,"and then, uh you know, just, you know a little bit, uh.","M|and then, uh you know, just, you know a little bit, uh."
109,B,"Right, that's true. I knew that.","B|Right, that's true. I knew that."
110,M,"But, uh.","M|But, uh."
111,B,Yeah.,B|Yeah.
112,M,"I mean, that was just,","M|I mean, that was just,"
113,B,Yeah.,B|Yeah.
114,M,"But, uh, I, I don't know.","M|But, uh, I, I don't know."
