,Speaker,Utterance,Unified
5,B,Have I?,B|Have I?
45,B,"And to go to work, you are worried about your child, besides which you have to get up earlier to take the child to day care.","B|And to go to work, you are worried about your child, besides which you have to get up earlier to take the child to day care."
46,M,Right.,M|Right.
47,B,"And if they were in the same building then you are going to the same place,","B|And if they were in the same building then you are going to the same place,"
48,M,"Right, right.","M|Right, right."
49,B,"and you could go for your lunch hour down and visit with your child, or, you know, and take your breaks with your children, or something.","B|and you could go for your lunch hour down and visit with your child, or, you know, and take your breaks with your children, or something."
50,M,Yeah. That is true.,M|Yeah. That is true.
51,B,"I think I, think it would be fair.","B|I think I, think it would be fair."
52,M,Yeah.,M|Yeah.
53,B,"I think if, if the company could not provide it all on their own, for the, for the people that would be using it, you know, a certain amount of their salary would go to it.","B|I think if, if the company could not provide it all on their own, for the, for the people that would be using it, you know, a certain amount of their salary would go to it."
54,M,Yeah.,M|Yeah.
55,B,"But it would still probably be cheaper with the company helping,  our if everybody, you know, pulled their own weight in it.","B|But it would still probably be cheaper with the company helping,  our if everybody, you know, pulled their own weight in it."
56,M,!!!% Yeah.,M|!!!% Yeah.
57,B,I think it would be really. really great.,B|I think it would be really. really great.
58,M,"Yeah, yeah, it would.","M|Yeah, yeah, it would."
59,B,Yeah.,B|Yeah.
60,M,It would be a lot cheaper.,M|It would be a lot cheaper.
61,B,I do.,B|I do.
62,M,"Well, I think, I mean, I, I would like to see, I like to have the ability to, to look at other people's lives and see what they have to say and, you know, and, and that's what I, you, you just, you you just have to go with your gut.","M|Well, I think, I mean, I, I would like to see, I like to have the ability to, to look at other people's lives and see what they have to say and, you know, and, and that's what I, you, you just, you you just have to go with your gut."
63,B,"Eye care is good. I do not, I am not I do not think we have that on our policy.","B|Eye care is good. I do not, I am not I do not think we have that on our policy."
64,M,"Oh, I see.","M|Oh, I see."
65,B,"But, uh, we,","B|But, uh, we,"
66,M,"I think we need to, uh.","M|I think we need to, uh."
67,B,"Yeah. It would be great, I mean, uh, the glasses that, the exams themselves are not expensive, it's the glasses.","B|Yeah. It would be great, I mean, uh, the glasses that, the exams themselves are not expensive, it's the glasses."
68,M,"Yes, and they are not, they are expensive because of the different types of glasses. Uh, the one that is good for, for women is the Plano, uh glasses company.","M|Yes, and they are not, they are expensive because of the different types of glasses. Uh, the one that is good for, for women is the Plano, uh glasses company."
69,B,"Yeah, that's true.","B|Yeah, that's true."
70,M,"But, um, you know, that, that is one of the things that I think is really important, and I think it's really, really hard on the elderly.","M|But, um, you know, that, that is one of the things that I think is really important, and I think it's really, really hard on the elderly."
71,B,"Right, now like my ... Right. Well, like my mother, she has to go for testing cause she has got,","B|Right, now like my ... Right. Well, like my mother, she has to go for testing cause she has got,"
72,M,!!!%!! Remind me of that now.,M|!!!%!! Remind me of that now.
73,B,"Well, she does not have it, but, she is like, on the verge of it or, something.","B|Well, she does not have it, but, she is like, on the verge of it or, something."
74,M,!!!%!! translated,M|!!!%!! translated
75,B,"Her eyes are changing,","B|Her eyes are changing,"
76,M,Yeah.,M|Yeah.
77,B,"and she has to be tested periodically. And, and those are expensive tests.","B|and she has to be tested periodically. And, and those are expensive tests."
78,M,"Yes, I, I think that, uh,","M|Yes, I, I think that, uh,"
79,B,"Now, I think your insurance covers her on that,","B|Now, I think your insurance covers her on that,"
80,M,"Uh, yes, I do.","M|Uh, yes, I do."
81,B,"but you know, for something like that, that's just as bad as a medical, you know, that's,","B|but you know, for something like that, that's just as bad as a medical, you know, that's,"
82,M,"Oh, yeah, yeah.","M|Oh, yeah, yeah."
83,B,Right.,B|Right.
84,M,"And, uh,","M|And, uh,"
85,B,Right.,B|Right.
86,M,"So, uh.","M|So, uh."
87,B,"Now, I would like to see better dental insurance to me. Was that our beep?","B|Now, I would like to see better dental insurance to me. Was that our beep?"
88,M,"Oh, I think so, I was just listening to a program on the radio, and they were talking about, uh medical coverage,","M|Oh, I think so, I was just listening to a program on the radio, and they were talking about, uh medical coverage,"
89,B,Oh. Huh.,B|Oh. Huh.
90,M,So I have to say I would not have chosen the dental plan over the health plan.,M|So I have to say I would not have chosen the dental plan over the health plan.
91,B,Okay.,B|Okay.
92,M,"and, uh, I have two kids and so, I don't have a lot of time to watch T V, so.","M|and, uh, I have two kids and so, I don't have a lot of time to watch T V, so."
93,B,"But, with the three children um, orthopedic care, um, not orthopedic, orthodontic care,","B|But, with the three children um, orthopedic care, um, not orthopedic, orthodontic care,"
94,M,Uh-huh.,M|Uh-huh.
95,B,"because on, on a lot of the dental insurance, they do not cover that well. For the, the orthodontia stuff.","B|because on, on a lot of the dental insurance, they do not cover that well. For the, the orthodontia stuff."
96,M,"Uh, uh-hauhuh, uh,","M|Uh, uh-hauhuh, uh,"
97,B,"Yes, it is.","B|Yes, it is."
98,M,"Uh, but, uh, but they, they're, they have, they work with, uh you know, other companies that do, that do.","M|Uh, but, uh, but they, they're, they have, they work with, uh you know, other companies that do, that do."
99,B,Uh-huh. Right.,B|Uh-huh. Right.
100,M,"And then, uh.","M|And then, uh."
101,B,Yeah.,B|Yeah.
102,M,"And, uh","M|And, uh"
103,B,"Right. My middle child needs to have, uh, orthodontic, he's because his, his pallet is squared, not rounded.","B|Right. My middle child needs to have, uh, orthodontic, he's because his, his pallet is squared, not rounded."
104,M,Uh-oh.,M|Uh-oh.
105,B,"And it affects his speech a little bit, not, not anything, you know,","B|And it affects his speech a little bit, not, not anything, you know,"
106,M,"Right, yeah.","M|Right, yeah."
107,B,Right.,B|Right.
108,M,"So, I'm, I guess, I don't know how I feel about it, but I don, I, I think I would probably be more comfortable with a, a person taking care of my child.","M|So, I'm, I guess, I don't know how I feel about it, but I don, I, I think I would probably be more comfortable with a, a person taking care of my child."
109,B,"But just enough that his bite is off a little bit and it's like four hundred dollars, and my insurance is only going to cover like fifty of it.","B|But just enough that his bite is off a little bit and it's like four hundred dollars, and my insurance is only going to cover like fifty of it."
110,M,"Oh, really?","M|Oh, really?"
111,B,Oh.,B|Oh.
112,M,"So I'm going to have to do some consulting work on it. I'm not sure if I trust them or not, but I do, I do trust them.","M|So I'm going to have to do some consulting work on it. I'm not sure if I trust them or not, but I do, I do trust them."
113,B,Really.,B|Really.
114,M,"So, uh, I,","M|So, uh, I,"
115,B,That sounds like it would hurt more.,B|That sounds like it would hurt more.
116,M,I would think it would.,M|I would think it would.
117,B,"Oh, gosh. I, I would much rather that, do that, to myself than make my five year old go in and do it. That would kill me.","B|Oh, gosh. I, I would much rather that, do that, to myself than make my five year old go in and do it. That would kill me."
