,Speaker,Utterance,Unified
5,B,Yeah,B|Yeah
55,B,"Yeah, we still got some from last year.","B|Yeah, we still got some from last year."
56,M,"Uh, yeah, that was a big one.","M|Uh, yeah, that was a big one."
57,B,Yeah.,B|Yeah.
58,M,"But, uh, I don't know, I, I guess I, you know, in, in Texas, we have so many different kinds of things you can buy","M|But, uh, I don't know, I, I guess I, you know, in, in Texas, we have so many different kinds of things you can buy"
59,B,"Uh-huh, uh-huh. Yeah. We we usually have most of it made into, uh, hamburger meat, though. And cook, you know, spaghetti with it.","B|Uh-huh, uh-huh. Yeah. We we usually have most of it made into, uh, hamburger meat, though. And cook, you know, spaghetti with it."
60,M,"Oh, yeah.","M|Oh, yeah."
61,B,Chili.,B|Chili.
62,M,"And, uh.","M|And, uh."
63,B,"So,","B|So,"
64,M,"It's good. Yeah, I, I like, I really like Italian food.","M|It's good. Yeah, I, I like, I really like Italian food."
65,B,Uh-huh,B|Uh-huh
66,M,"And, uh, you can make it ahead of time and chop up dill pickles and put them in there.","M|And, uh, you can make it ahead of time and chop up dill pickles and put them in there."
67,B,"Uh-huh. Yeah, yeah.","B|Uh-huh. Yeah, yeah."
68,M,"And, uh.","M|And, uh."
69,B,Um.,B|Um.
70,M,"We, we try not to, we don't go out that much. We try not, you don't have to go out to dinner that often.","M|We, we try not to, we don't go out that much. We try not, you don't have to go out to dinner that often."
71,B,Uh-huh.,B|Uh-huh.
72,M,And they all come over and play and I have my grandchildren come over.,M|And they all come over and play and I have my grandchildren come over.
73,B,Oh.,B|Oh.
74,M,"And, uh it was absolutely wonderful.","M|And, uh it was absolutely wonderful."
75,B,Oh.,B|Oh.
76,M,"And, uh.","M|And, uh."
77,B,Uh-huh.,B|Uh-huh.
78,M,"And, uh.","M|And, uh."
79,B,This isn't a good topic for me right now. I'm on a diet,B|This isn't a good topic for me right now. I'm on a diet
80,M,"Uh, what kind of exercise do you do?","M|Uh, what kind of exercise do you do?"
81,B,Um.,B|Um.
82,M,"It's, uh","M|It's, uh"
83,B,"Yeah, I have, too. I was real skinny till I was ten.","B|Yeah, I have, too. I was real skinny till I was ten."
84,M,Oh.,M|Oh.
