,Speaker,Utterance,Unified
5,M,"Oh, yeah.","M|Oh, yeah."
17,M,"!!!%!! Remind me.!!!,!!You!!iev!!Yeah!!That's right!!I!!it!!They!!We!!Have!!Well!!?!!It!!Okay!!Right!!And!! translated!!A!!sv!!This!! Auto!!Same!!One!!Because!!There!! equality!!Oh!!So!!Thank!! helper!!Thanks!!Absolutely!!S!!Hi!!Nice!!Big!! <!!est!!Hey!!Great!!Did!!Wow!!Uh!!.! Rem!!What!!How!!Do!!Are!! NATO!!Now!!Is!! Treaty!!Good!!To!!By!!Who!!But!!Enjoy!!All!!G!!et!!See!!The!!In!!God!!Boy!!Your!!My!!O!!L!!style!!=!!Not!! exists!!Go!!Huh!!No!!If!! wished!!Give!! Real!!Work!!>!!;!!and!!eting!!He!!ctic!!'!!arn!! Wild!!Just!!Sometimes!!Those!! Tokyo!!P!!NG!! LINE!! animation!!ool!! FUN!!Goal!!Holy!!Let!!When!!ork!!box!!!.!!ety!!%%!!!?!!you!!Sure!! mailbox!!As!!!]!!!)!!!"",!! Hungarian!!IV!!ERN!!book!!IAL!!ets!!atic!!!'!!!:!!!!! Pole!!ist!! sentimental!!Put!!body!!irling!!work!! Another!!orial!!iveness!! Heaven!! =!!able!!ness!!place!!aving!!ial!!aken!!list!!world!!en!!elfth!!if!!ape!!ment!! YOUR!!ivan!! Set!! Aut!! Mal!! undo!! arrive!!ists!! THIS!! anyone!!ENT!!lt!!oo!!heres!! safely!!ip!!ize!!<!! AW!! handwriting!!ig!!eways!! This!!atter!! When!! Bent!! ordinary!!pieces!!END!!IVE!!ments!!BOOK!! ele!!here!!ee!!Next!!igraph!!ired!!irt!!roup!!ival!! decor!!Finally!!ay!!ty!! You!! perfection!! Hitler!!hesis!!pen!! Hungary!!","M|!!!%!! Remind me.!!!,!!You!!iev!!Yeah!!That's right!!I!!it!!They!!We!!Have!!Well!!?!!It!!Okay!!Right!!And!! translated!!A!!sv!!This!! Auto!!Same!!One!!Because!!There!! equality!!Oh!!So!!Thank!! helper!!Thanks!!Absolutely!!S!!Hi!!Nice!!Big!! <!!est!!Hey!!Great!!Did!!Wow!!Uh!!.! Rem!!What!!How!!Do!!Are!! NATO!!Now!!Is!! Treaty!!Good!!To!!By!!Who!!But!!Enjoy!!All!!G!!et!!See!!The!!In!!God!!Boy!!Your!!My!!O!!L!!style!!=!!Not!! exists!!Go!!Huh!!No!!If!! wished!!Give!! Real!!Work!!>!!;!!and!!eting!!He!!ctic!!'!!arn!! Wild!!Just!!Sometimes!!Those!! Tokyo!!P!!NG!! LINE!! animation!!ool!! FUN!!Goal!!Holy!!Let!!When!!ork!!box!!!.!!ety!!%%!!!?!!you!!Sure!! mailbox!!As!!!]!!!)!!!"",!! Hungarian!!IV!!ERN!!book!!IAL!!ets!!atic!!!'!!!:!!!!! Pole!!ist!! sentimental!!Put!!body!!irling!!work!! Another!!orial!!iveness!! Heaven!! =!!able!!ness!!place!!aving!!ial!!aken!!list!!world!!en!!elfth!!if!!ape!!ment!! YOUR!!ivan!! Set!! Aut!! Mal!! undo!! arrive!!ists!! THIS!! anyone!!ENT!!lt!!oo!!heres!! safely!!ip!!ize!!<!! AW!! handwriting!!ig!!eways!! This!!atter!! When!! Bent!! ordinary!!pieces!!END!!IVE!!ments!!BOOK!! ele!!here!!ee!!Next!!igraph!!ired!!irt!!roup!!ival!! decor!!Finally!!ay!!ty!! You!! perfection!! Hitler!!hesis!!pen!! Hungary!!"
18,B,Yeah.,B|Yeah.
19,M,"and, um, you're right, they're really, um.","M|and, um, you're right, they're really, um."
20,B,"No it was an kind of indoor, outdoor, it, it was,","B|No it was an kind of indoor, outdoor, it, it was,"
21,M,Uh-huh.,M|Uh-huh.
22,B,"well yeah, I don't, I don't care for the smell of the litter box so my cat was trained to go outside, other than that it was inside when it wanted to be, it was outside when .","B|well yeah, I don't, I don't care for the smell of the litter box so my cat was trained to go outside, other than that it was inside when it wanted to be, it was outside when ."
23,M,"Oh, really?","M|Oh, really?"
24,B,"Yeah, I, I, think, you know, I like dogs, but I think that, uh, I'm, kind of like big big dogs and you have to have room for them.","B|Yeah, I, I, think, you know, I like dogs, but I think that, uh, I'm, kind of like big big dogs and you have to have room for them."
25,M,Uh-huh.,M|Uh-huh.
26,B,"And dogs take a lot of, a lot more care than cats do. Cats are pretty independent, you know, you feed them and they keep themselves clean and, if you, if you raise them right, you know, you don't have to worry about the litter box thing, where with dogs you really do have to let them out and take them for walks and things like that.","B|And dogs take a lot of, a lot more care than cats do. Cats are pretty independent, you know, you feed them and they keep themselves clean and, if you, if you raise them right, you know, you don't have to worry about the litter box thing, where with dogs you really do have to let them out and take them for walks and things like that."
27,M,Right.,M|Right.
28,B,Yeah.,B|Yeah.
29,M,"but, uh.","M|but, uh."
30,B,"Yeah, I got to take care of a friend of mine's dog. He's just got a puppy and he was out of town last weekend and of course the dog is not trained for anything yet, so it was, go over there and clean up after the dog,","B|Yeah, I got to take care of a friend of mine's dog. He's just got a puppy and he was out of town last weekend and of course the dog is not trained for anything yet, so it was, go over there and clean up after the dog,"
31,M,"Oh, gosh.","M|Oh, gosh."
32,B,"And, uh, kids kind of, they want the, they want the fun part and not the, not the work.","B|And, uh, kids kind of, they want the, they want the fun part and not the, not the work."
33,M,"Yeah. Yeah, I know.","M|Yeah. Yeah, I know."
34,B,Yeah.,B|Yeah.
35,M,"But, uh","M|But, uh"
36,B,"Well if you're, if you're going to have a pet,  and not have it neutered or spayed you need to be willing to, you know deal with the consequences, take care of the offspring","B|Well if you're, if you're going to have a pet,  and not have it neutered or spayed you need to be willing to, you know deal with the consequences, take care of the offspring"
37,M,Uh-huh.,M|Uh-huh.
38,B,"and, and I think, you know,","B|and, and I think, you know,"
39,M,"Well, I, I think you're right there.","M|Well, I, I think you're right there."
40,B,"when I was growing up we had cats and, you know, just seeing the cats, you know, the, the miracle of birth, you know, put that in quotes, is that's a, that's a neat thing to, to experience as a kid and understand,","B|when I was growing up we had cats and, you know, just seeing the cats, you know, the, the miracle of birth, you know, put that in quotes, is that's a, that's a neat thing to, to experience as a kid and understand,"
41,M,Right.,M|Right.
42,B,"and, and it was a real positive thing, but on the other hand you don't want to, you'd be one of these people that dumps the kittens off on the side of the road, you know,","B|and, and it was a real positive thing, but on the other hand you don't want to, you'd be one of these people that dumps the kittens off on the side of the road, you know,"
43,M,Right.,M|Right.
44,B,"they're, they're, getting old now, and it's time to get rid of them.","B|they're, they're, getting old now, and it's time to get rid of them."
45,M,"Yeah, it's, it really is.","M|Yeah, it's, it really is."
46,B,So.,B|So.
47,M,"Well, I'm, I, I grew up in Nebraska and, uh, you probably heard about that","M|Well, I'm, I, I grew up in Nebraska and, uh, you probably heard about that"
48,B,Yeah.,B|Yeah.
49,M,"And I think that's because, you know, we have to, we're so conscious of, of, uh, of ourselves as a whole, of this sort of thing.","M|And I think that's because, you know, we have to, we're so conscious of, of, uh, of ourselves as a whole, of this sort of thing."
50,B,"Okay,","B|Okay,"
51,M,Okay.,M|Okay.
52,B,Bye.,B|Bye.
