,Speaker,Utterance,Unified
5,B,What part of Pittsburgh?,B|What part of Pittsburgh?
68,M,"yeah, and the price has gone down and the, the price of houses has gone up and the prices of homes have gone down.","M|yeah, and the price has gone down and the, the price of houses has gone up and the prices of homes have gone down."
69,B,Uh-huh.,B|Uh-huh.
70,M,"they're, they have a lot of space between them.","M|they're, they have a lot of space between them."
71,B,"Oh, my heaven.","B|Oh, my heaven."
72,M,"So,","M|So,"
73,B,"Well, I know up in Connecticut the same thing happened, people are devastated because they paid so much for their home.","B|Well, I know up in Connecticut the same thing happened, people are devastated because they paid so much for their home."
74,M,Yeah.,M|Yeah.
75,B,"But we like our area. It, like I said, it's, it's an old house and everything","B|But we like our area. It, like I said, it's, it's an old house and everything"
76,M,Uh-hauhuh.,M|Uh-hauhuh.
77,B,"but, uh,","B|but, uh,"
78,M,"Yeah, we have, uh we have a couple of hundred acres,","M|Yeah, we have, uh we have a couple of hundred acres,"
79,B,"Well, we're about a hundred miles from Pittsburgh north.","B|Well, we're about a hundred miles from Pittsburgh north."
80,M,"Uh, my husband and I, we live in Plano actually.","M|Uh, my husband and I, we live in Plano actually."
81,B,"And yeah, and it's, it's really not, you know, not that far.","B|And yeah, and it's, it's really not, you know, not that far."
82,M,Uh-huh.,M|Uh-huh.
83,B,Bradford's north of us.,B|Bradford's north of us.
84,M,Uh-huh.,M|Uh-huh.
85,B,"No, no.","B|No, no."
86,M,Okay.,M|Okay.
87,B,Uh-huh.,B|Uh-huh.
88,M,We're in Plano actually.,M|We're in Plano actually.
89,B,"Well, we've been here since sixty-six.","B|Well, we've been here since sixty-six."
90,M,"Oh, okay.","M|Oh, okay."
91,B,"Uh, we have fifty acres.","B|Uh, we have fifty acres."
92,M,"Wow, that's quite a territory.","M|Wow, that's quite a territory."
93,B,"Oh, pardon me, we have forty, we gave ten to one of our children","B|Oh, pardon me, we have forty, we gave ten to one of our children"
94,M,"!!!% Well, that's, you know, that, that is, that would be one way to do it.","M|!!!% Well, that's, you know, that, that is, that would be one way to do it."
95,B,"No, not really, and, and towns keep creeping closer and closer, you know.","B|No, not really, and, and towns keep creeping closer and closer, you know."
96,M,Uh-huh.,M|Uh-huh.
97,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
98,M,"and they were trying to sell it to people that live in the lower, upper districts,","M|and they were trying to sell it to people that live in the lower, upper districts,"
99,B,"Yeah, it's ours up here. We have, our rural connections are real bad","B|Yeah, it's ours up here. We have, our rural connections are real bad"
100,M,Uh.,M|Uh.
101,B,"But we, but we live about ten miles from probably three or four, not large towns but, you know, reasonable.","B|But we, but we live about ten miles from probably three or four, not large towns but, you know, reasonable."
102,M,"Uh-uh. Well, I think we're going to have to do something about, about that because our economy is really hurting.","M|Uh-uh. Well, I think we're going to have to do something about, about that because our economy is really hurting."
103,B,"Uh, yeah, we're tired of doing it though. We, we don't want to do too much more","B|Uh, yeah, we're tired of doing it though. We, we don't want to do too much more"
104,M,Oh.,M|Oh.
105,B,"Uh, oh, golly, I really.","B|Uh, oh, golly, I really."
106,M,"Oh, you don't have that many.","M|Oh, you don't have that many."
107,B,"We have, uh, uh, four rooms downstairs, and a pantry","B|We have, uh, uh, four rooms downstairs, and a pantry"
108,M,Uh-huh.,M|Uh-huh.
109,B,"and upstairs we have a bath, a bath, oh we, have a half bath downstairs, too.","B|and upstairs we have a bath, a bath, oh we, have a half bath downstairs, too."
110,M,"Oh, wow.","M|Oh, wow."
111,B,"We have a bath upstairs, and one, two, three, four bedrooms and a sewing room and a junk room And, uh,","B|We have a bath upstairs, and one, two, three, four bedrooms and a sewing room and a junk room And, uh,"
112,M,How many people do you have?,M|How many people do you have?
113,B,Pardon?,B|Pardon?
114,M,I have a four year old and a three year old.,M|I have a four year old and a three year old.
115,B,"Well, it really isn't too big yet. We, we a lot of people say that but, um, it's,","B|Well, it really isn't too big yet. We, we a lot of people say that but, um, it's,"
116,M,Well what do you think about the proposal that all young people should spend thirty years in the military?,M|Well what do you think about the proposal that all young people should spend thirty years in the military?
117,B,"we just like it real well Yeah,","B|we just like it real well Yeah,"
118,M,Well I think we've accomplished a little bit here.,M|Well I think we've accomplished a little bit here.
119,B,"we had five children, so and they've all moved you know, on.","B|we had five children, so and they've all moved you know, on."
120,M,"Oh, that's great.","M|Oh, that's great."
121,B,They're all out on their own now.,B|They're all out on their own now.
122,M,"Yeah, that's true.","M|Yeah, that's true."
123,B,Uh-huh.,B|Uh-huh.
124,M,"and we have, um.","M|and we have, um."
125,B,"Well, it sounds like a good buy.","B|Well, it sounds like a good buy."
126,M,It is.,M|It is.
127,B,Uh-huh.,B|Uh-huh.
128,M,"But, um, you know, you can always get a one time accidental fee or something like that.","M|But, um, you know, you can always get a one time accidental fee or something like that."
129,B,"Oh, that makes a big difference.","B|Oh, that makes a big difference."
130,M,"and, um.","M|and, um."
131,B,"Uh-huh. You really aren't isolated because it's, the advantages, your home is far enough away that you're not bothered by being too close to people,","B|Uh-huh. You really aren't isolated because it's, the advantages, your home is far enough away that you're not bothered by being too close to people,"
132,M,"Uh, I think that's right.","M|Uh, I think that's right."
133,B,"but yet you can have your friends, uh, you can have them in, you can go out.","B|but yet you can have your friends, uh, you can have them in, you can go out."
134,M,"Right, right.","M|Right, right."
135,B,"You have more of a choice, you're not pressed upon as bad.","B|You have more of a choice, you're not pressed upon as bad."
136,M,"Right, right.","M|Right, right."
137,B,Uh-huh.,B|Uh-huh.
138,M,"so, you know, they're, they've got their own little retirement communities and things like that.","M|so, you know, they're, they've got their own little retirement communities and things like that."
139,B,"Uh, uh-huh. Uh-huh.","B|Uh, uh-huh. Uh-huh."
140,M,"so I would rather live in, uh","M|so I would rather live in, uh"
141,B,"More luxury. Uh-huh, uh-huh.","B|More luxury. Uh-huh, uh-huh."
142,M,"it's, it has a lot more amenities, you can have more, you get more storage capacity and, uh, it, it is more efficient.","M|it's, it has a lot more amenities, you can have more, you get more storage capacity and, uh, it, it is more efficient."
143,B,"Right, yeah.","B|Right, yeah."
144,M,"and, uh, it has the, uh the windows in the back, and, uh it has, uh you know, the, the light, the whole thing.","M|and, uh, it has the, uh the windows in the back, and, uh it has, uh you know, the, the light, the whole thing."
145,B,"Uh, they're, yeah, I suppose they are now. We, both of our children who live there have just bought a home. Uh, in the Mount Lebanon area.","B|Uh, they're, yeah, I suppose they are now. We, both of our children who live there have just bought a home. Uh, in the Mount Lebanon area."
146,M,"Oh, uh.","M|Oh, uh."
147,B,"And, uh, the one, the one boy, the house they bought is completely livable. They didn't have to do much to it.","B|And, uh, the one, the one boy, the house they bought is completely livable. They didn't have to do much to it."
148,M,Yeah.,M|Yeah.
149,B,"The other one is, uh, uh, has, you know, needs more work done. It's twenty years old, I think.","B|The other one is, uh, uh, has, you know, needs more work done. It's twenty years old, I think."
150,M,"Yeah, yeah.","M|Yeah, yeah."
151,B,"And, but they have two children, too, and they, they bought what they could afford.","B|And, but they have two children, too, and they, they bought what they could afford."
152,M,Yeah.,M|Yeah.
153,B,Uh-huh.,B|Uh-huh.
154,M,"and, uh.","M|and, uh."
155,B,Uh-huh.,B|Uh-huh.
156,M,!!!%!! RemindMe!!,M|!!!%!! RemindMe!!
157,B,They are beautiful homes.,B|They are beautiful homes.
158,M,they are.,M|they are.
159,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
160,M,"Okay, what is the name of the home that you are thinking about?","M|Okay, what is the name of the home that you are thinking about?"
161,B,"It is, it's real nice.","B|It is, it's real nice."
162,M,Yeah.,M|Yeah.
163,B,Uh-huh.,B|Uh-huh.
164,M,"So, I mean, I don't know, I, I guess I'm, I'm not too up-to-date on the, the housing situation down there.","M|So, I mean, I don't know, I, I guess I'm, I'm not too up-to-date on the, the housing situation down there."
165,B,"Oh, my you you do when you When we first got married, uh, my husband works for the state, and we moved once a year usually","B|Oh, my you you do when you When we first got married, uh, my husband works for the state, and we moved once a year usually"
166,M,Uh.,M|Uh.
167,B,"And then after they had to start paying to move us, that suddenly wasn't necessary any more","B|And then after they had to start paying to move us, that suddenly wasn't necessary any more"
168,M,Oh.,M|Oh.
169,B,"Right, yeah, you have to stop some place, yeah.","B|Right, yeah, you have to stop some place, yeah."
170,M,I know.,M|I know.
171,B,Yeah.,B|Yeah.
172,M,"I mean, it's like, uh.","M|I mean, it's like, uh."
173,B,"Uh-huh. I do too,","B|Uh-huh. I do too,"
174,M,"But, uh, I think, you, you can get some really good bargains on those.","M|But, uh, I think, you, you can get some really good bargains on those."
175,B,"I've heard too many people say, I hate it here.","B|I've heard too many people say, I hate it here."
176,M,"Yeah. I know, I know. It's, it's, uh, it just seems like it's so dry, and, and the grass just dries up and dies.","M|Yeah. I know, I know. It's, it's, uh, it just seems like it's so dry, and, and the grass just dries up and dies."
177,B,"You know, they buy a place and they just hate the area.","B|You know, they buy a place and they just hate the area."
178,M,"Well, that's, that, that would be true.","M|Well, that's, that, that would be true."
179,B,Uh-huh.,B|Uh-huh.
180,M,It's just not going to be able to support itself.,M|It's just not going to be able to support itself.
181,B,"Uh-huh. Yeah, well, my brother, they're having trouble selling their home, see.","B|Uh-huh. Yeah, well, my brother, they're having trouble selling their home, see."
182,M,Yeah.,M|Yeah.
183,B,"Right, uh-huh. Oh, yeah, yeah.","B|Right, uh-huh. Oh, yeah, yeah."
184,M,"and, uh.","M|and, uh."
185,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
186,M,"And, uh, the, the properties, the one that I live in, uh they just bought a, uh a third of the house they had.","M|And, uh, the, the properties, the one that I live in, uh they just bought a, uh a third of the house they had."
187,B,"Oh, uh-huh. Yeah.","B|Oh, uh-huh. Yeah."
188,M,"You know, it was like, you know, if you were, if, if your kid was small, like I was, I was going to send him to a school that was smaller, and I was hoping that maybe, you, you could send him, you can send him somewhere that is not small, and he'd be happy with what he did, but, you're right, that, that's not, that doesn't make any difference, because it's not like it's, it, it doesn't, it wouldn't make a difference to him.","M|You know, it was like, you know, if you were, if, if your kid was small, like I was, I was going to send him to a school that was smaller, and I was hoping that maybe, you, you could send him, you can send him somewhere that is not small, and he'd be happy with what he did, but, you're right, that, that's not, that doesn't make any difference, because it's not like it's, it, it doesn't, it wouldn't make a difference to him."
189,B,"I, I couldn't handle that","B|I, I couldn't handle that"
190,M,"Yeah, you're right.","M|Yeah, you're right."
191,B,Uh-huh.,B|Uh-huh.
192,M,"And I know that, uh.","M|And I know that, uh."
193,B,Uh-huh.,B|Uh-huh.
194,M,"and, you can see the leaves change color there.","M|and, you can see the leaves change color there."
195,B,"I get tired, uh, sometimes, mowing, because we mow, you know, a good bit of ground around the house area.","B|I get tired, uh, sometimes, mowing, because we mow, you know, a good bit of ground around the house area."
196,M,"!!!% Well, we're going to have to do that.","M|!!!% Well, we're going to have to do that."
197,B,"And I do get tired of that but, uh, I don't know, I don't think I'd want to change it.","B|And I do get tired of that but, uh, I don't know, I don't think I'd want to change it."
198,M,"Uh-uh. Yeah, I guess I would too.","M|Uh-uh. Yeah, I guess I would too."
