,Speaker,Utterance,Unified
5,B,"Yeah, uh, I was","B|Yeah, uh, I was"
39,B,You know all that junk mail you get?,B|You know all that junk mail you get?
40,M,"Well, not junk mail. Uh, it's, uh","M|Well, not junk mail. Uh, it's, uh"
41,B,"The glossy paper that says, buy this, and send off for that and you have won and all that.","B|The glossy paper that says, buy this, and send off for that and you have won and all that."
42,M,Uh-huh.,M|Uh-huh.
43,B,"Well, anytime they send me a return envelope I put all that stuff back in the envelope plus the other stuff that I, you know, happen to gather up.","B|Well, anytime they send me a return envelope I put all that stuff back in the envelope plus the other stuff that I, you know, happen to gather up."
44,M,Yeah.,M|Yeah.
45,B,"Because, uh, well, like I say, we live a way and when you throw trash away, you throw it in my yard.","B|Because, uh, well, like I say, we live a way and when you throw trash away, you throw it in my yard."
46,M,Right.,M|Right.
47,B,And I don't like that,B|And I don't like that
48,M,No.,M|No.
49,B,"so I don't do that. So I take it and I send, and I mail it back to them.","B|so I don't do that. So I take it and I send, and I mail it back to them."
50,M,Yeah.,M|Yeah.
51,B,I've had four companies actually stop mailing me stuff.,B|I've had four companies actually stop mailing me stuff.
52,M,"Oh, my goodness.","M|Oh, my goodness."
53,B,"Yeah. Well, I think one of the, the best ways to eliminate, uh, or help the recycling problem is to eliminate non reusable items.","B|Yeah. Well, I think one of the, the best ways to eliminate, uh, or help the recycling problem is to eliminate non reusable items."
54,M,"Yeah, I've, I, I'm not real sure what the steps are to do that but I think we're going to have to do something. I, you know, I don, I really don't know what the solution is.","M|Yeah, I've, I, I'm not real sure what the steps are to do that but I think we're going to have to do something. I, you know, I don, I really don't know what the solution is."
55,B,"For instance, uh, I saw a thing on, uh, NOVA, I think it was the other day.","B|For instance, uh, I saw a thing on, uh, NOVA, I think it was the other day."
56,M,Uh-huh.,M|Uh-huh.
57,B,"This guy has designed recyclable materials, I mean recyclable items.","B|This guy has designed recyclable materials, I mean recyclable items."
58,M,"Oh, yeah.","M|Oh, yeah."
59,B,"Whatever he makes, it's all out of the same thing.","B|Whatever he makes, it's all out of the same thing."
60,M,Yeah.,M|Yeah.
61,B,"See, so, plastic, it's all out of plastic.","B|See, so, plastic, it's all out of plastic."
62,M,Yeah.,M|Yeah.
63,B,"If it's metal, it's all out of metal. It's, he's a design, he's a engineer, designing stuff.","B|If it's metal, it's all out of metal. It's, he's a design, he's a engineer, designing stuff."
64,M,Uh-huh.,M|Uh-huh.
65,B,"And, and, incorporating, you know, reusable materials into your, uh, you know, your assembly line into your actual scheme of product operations is is the only way to really do it on a, on a broad scale.","B|And, and, incorporating, you know, reusable materials into your, uh, you know, your assembly line into your actual scheme of product operations is is the only way to really do it on a, on a broad scale."
66,M,Uh-huh.,M|Uh-huh.
67,B,"Make it financially, uh, attractive to recycle","B|Make it financially, uh, attractive to recycle"
68,M,Right.,M|Right.
69,B,and somebody will find a way to make money at it.,B|and somebody will find a way to make money at it.
70,M,Yeah.,M|Yeah.
71,B,"And,","B|And,"
72,M,"I, I'm not sure that the, the, uh.","M|I, I'm not sure that the, the, uh."
73,B,"Well, there is a guy in Dallas, that's all he does.","B|Well, there is a guy in Dallas, that's all he does."
74,M,Uh-huh.,M|Uh-huh.
75,B,"He collects trash. You know, and,","B|He collects trash. You know, and,"
76,M,"Well I have, uh, I have one, I don't, I mean, I do have two trash cans.","M|Well I have, uh, I have one, I don't, I mean, I do have two trash cans."
77,B,"Yeah, well, he's, he's out for cardboard.","B|Yeah, well, he's, he's out for cardboard."
78,M,Uh-huh.,M|Uh-huh.
