,Speaker,Utterance,Unified
5,B,Do they have many buildings that have security there?,B|Do they have many buildings that have security there?
31,B,"And, uh, you know, they had, uh, in fact on the news last night we were watching this, uh, man who lost his ten year old daughter. He ran out to the store for a few minutes and he had left her home alone. now ten years old, she's old enough to be alone for a few minutes, you know.","B|And, uh, you know, they had, uh, in fact on the news last night we were watching this, uh, man who lost his ten year old daughter. He ran out to the store for a few minutes and he had left her home alone. now ten years old, she's old enough to be alone for a few minutes, you know."
32,M,Uh-huh.,M|Uh-huh.
33,B,"And while he was gone, he had looked, went looking for a job and stopped at the store, that's what it was. And, uh, someone who was in the neighborhood cleaning carpets, these two men, went in, raped the girl, murdered her, and the whole bit.","B|And while he was gone, he had looked, went looking for a job and stopped at the store, that's what it was. And, uh, someone who was in the neighborhood cleaning carpets, these two men, went in, raped the girl, murdered her, and the whole bit."
34,M,Uh-huh.,M|Uh-huh.
35,B,"And one of the men got, uh, I think it was seventeen years and the other one was in for, uh, life imprisonment.","B|And one of the men got, uh, I think it was seventeen years and the other one was in for, uh, life imprisonment."
36,M,Uh-huh.,M|Uh-huh.
37,B,"The one that was in for the seventeen years, actually served seven, and he's out.","B|The one that was in for the seventeen years, actually served seven, and he's out."
38,M,Wow.,M|Wow.
39,B,"And the man said, that, you know, if it weren't for the fact that he would go to jail, that he would eliminate this person himself. And then go to McDonalds and have a hamburger and not thing a thing, think a thing about it.","B|And the man said, that, you know, if it weren't for the fact that he would go to jail, that he would eliminate this person himself. And then go to McDonalds and have a hamburger and not thing a thing, think a thing about it."
40,M,Yeah.,M|Yeah.
41,B,"And I mean, I think that what this is going to lead to is people will take things into their own hands. And that innocent people,","B|And I mean, I think that what this is going to lead to is people will take things into their own hands. And that innocent people,"
42,M,Uh.,M|Uh.
43,B,"I, I shouldn't say innocent, because I mean, actually if they commit a crime that they're in the same circumstances but,","B|I, I shouldn't say innocent, because I mean, actually if they commit a crime that they're in the same circumstances but,"
44,M,Right.,M|Right.
45,B,"the reasons that they're doing it compared to the reason someone else is in jail for it, you know, it's like two different things.","B|the reasons that they're doing it compared to the reason someone else is in jail for it, you know, it's like two different things."
46,M,Right.,M|Right.
47,B,"Sometimes when you lose someone that you really love, you do some crazy things I don't know,","B|Sometimes when you lose someone that you really love, you do some crazy things I don't know,"
48,M,"Yeah, well, I don, I mean I don tinker too much with it, but I, I do, I have a hard time, you're right. I do stuff, you don't have to be so, uh, obsessive about it that you don taint over it.","M|Yeah, well, I don, I mean I don tinker too much with it, but I, I do, I have a hard time, you're right. I do stuff, you don't have to be so, uh, obsessive about it that you don taint over it."
49,B,"I, I like the idea that, uh, if someone is from a foreign country, and they come to this country and uh, commit, a crime, I think that irregardless of whether they have already become a citizen or anything, they should be immediately deported.","B|I, I like the idea that, uh, if someone is from a foreign country, and they come to this country and uh, commit, a crime, I think that irregardless of whether they have already become a citizen or anything, they should be immediately deported."
50,M,Right.,M|Right.
51,B,Especially if they're found guilty of the crime.,B|Especially if they're found guilty of the crime.
52,M,Right.,M|Right.
53,B,"You know, once they, they have been arrested and if they know beyond a shadow of a doubt, these people are guilty.","B|You know, once they, they have been arrested and if they know beyond a shadow of a doubt, these people are guilty."
54,M,Yeah.,M|Yeah.
55,B,"That's it, we don't take care of them, we don't support them, nothing,","B|That's it, we don't take care of them, we don't support them, nothing,"
56,M,Yeah.,M|Yeah.
57,B,I mean they go right back where they came from.,B|I mean they go right back where they came from.
58,M,Right.,M|Right.
59,B,"Exactly and,","B|Exactly and,"
60,M,"So,","M|So,"
61,B,"But that's, uh, they're, so close, I, I don't consider Mexican people in the same category with, uh, especially like, uh, people who come from cultures that don't have the same, uh, kind of moral upbringing that we have.","B|But that's, uh, they're, so close, I, I don't consider Mexican people in the same category with, uh, especially like, uh, people who come from cultures that don't have the same, uh, kind of moral upbringing that we have."
62,M,Uh-huh.,M|Uh-huh.
63,B,"Like you take Asian countries, or, uh, the Eastern countries where women are like in the foreground, uh, in the background and the men are in the foreground,","B|Like you take Asian countries, or, uh, the Eastern countries where women are like in the foreground, uh, in the background and the men are in the foreground,"
64,M,Uh-hue.,M|Uh-hue.
65,B,"and it's like, you know, um, they live back in where we came from two hundred years ago.","B|and it's like, you know, um, they live back in where we came from two hundred years ago."
66,M,"Uh, that's true.","M|Uh, that's true."
67,B,"You know, we've advanced beyond that, and I think that their, uh, mentality as far as the way they treat them and that kind of thing, you know what I mean.","B|You know, we've advanced beyond that, and I think that their, uh, mentality as far as the way they treat them and that kind of thing, you know what I mean."
68,M,Yeah.,M|Yeah.
69,B,Uh-huh.,B|Uh-huh.
70,M,"and they said that they're very, very conservative and that they don't want to be associated with that type of thing.","M|and they said that they're very, very conservative and that they don't want to be associated with that type of thing."
71,B,Yeah.,B|Yeah.
72,M,"and I thought, well, if you just train them, you can make them do your job,","M|and I thought, well, if you just train them, you can make them do your job,"
73,B,Wow.,B|Wow.
74,M,!!! Remind me of that.,M|!!! Remind me of that.
75,B,"Wow. You better believe it, if, you wouldn't even have to leave it, I mean,","B|Wow. You better believe it, if, you wouldn't even have to leave it, I mean,"
76,M,"You know, I'm not sure if you're a true, uh, vegan or not, but, you know, you're not supposed to eat any animal products unless you, you die of leukemia, or something like that.","M|You know, I'm not sure if you're a true, uh, vegan or not, but, you know, you're not supposed to eat any animal products unless you, you die of leukemia, or something like that."
77,B,it would get snatched right off your arm,B|it would get snatched right off your arm
78,M,Right.,M|Right.
79,B,Oh sure.,B|Oh sure.
80,M,"I mean, you know, it's not like it's a big deal.","M|I mean, you know, it's not like it's a big deal."
81,B,"That's amazing, well, what's the difference there, do you know?","B|That's amazing, well, what's the difference there, do you know?"
82,M,"I don't know. I, I'm not really sure. I think it's just the difference in the, in the women's lib and the, the more liberal, uh  lib, women's movements.","M|I don't know. I, I'm not really sure. I think it's just the difference in the, in the women's lib and the, the more liberal, uh  lib, women's movements."
83,B,"Oh, I, I believe in the death penalty, I really do.","B|Oh, I, I believe in the death penalty, I really do."
84,M,Yeah.,M|Yeah.
85,B,"Yeah, yeah, I think that we're too easy.","B|Yeah, yeah, I think that we're too easy."
86,M,"I, I do think that, uh, if, uh.","M|I, I do think that, uh, if, uh."
87,B,"Uh, and we take the, the, uh, civil liberties, uh, stuff too far.","B|Uh, and we take the, the, uh, civil liberties, uh, stuff too far."
88,M,Right.,M|Right.
89,B,"You know like people that are in prison, I mean we didn't put them there. They put themselves in that situation.","B|You know like people that are in prison, I mean we didn't put them there. They put themselves in that situation."
90,M,Right.,M|Right.
91,B,"And as far as like them, uh, entertaining the rights that they should have.","B|And as far as like them, uh, entertaining the rights that they should have."
92,M,Yeah.,M|Yeah.
93,B,"I mean, we educate them, we feed them, we take care of them and they no sooner get out on the street and they're back in again.","B|I mean, we educate them, we feed them, we take care of them and they no sooner get out on the street and they're back in again."
94,M,Right.,M|Right.
95,B,"I'm not saying they're all bad, but I think people who are guilty of really serious heinous crimes, do not deserve to be cared for for the rest of their lives.","B|I'm not saying they're all bad, but I think people who are guilty of really serious heinous crimes, do not deserve to be cared for for the rest of their lives."
96,M,Yeah.,M|Yeah.
97,B,I think that they should be put away.,B|I think that they should be put away.
98,M,"Well, I don't know. I think they ought to, you know, if they get out of jail, they ought not to be allowed to have parole.","M|Well, I don't know. I think they ought to, you know, if they get out of jail, they ought not to be allowed to have parole."
99,B,"Get rid of them. Exactly. I, I really, I, I think that that's the whole key here. This plea bargaining baloney, where, uh, you know, they plead to a lesser crime, or, uh, they plead guilty in, or, you know, tell about someone else and they, they get less time,","B|Get rid of them. Exactly. I, I really, I, I think that that's the whole key here. This plea bargaining baloney, where, uh, you know, they plead to a lesser crime, or, uh, they plead guilty in, or, you know, tell about someone else and they, they get less time,"
100,M,"Uh, uh-hue.","M|Uh, uh-hue."
101,B,"Or, if they're in there and they've got seventeen years and they're on good behavior, for every year they're in they get so many less, you know, that they don't serve the full penalty.","B|Or, if they're in there and they've got seventeen years and they're on good behavior, for every year they're in they get so many less, you know, that they don't serve the full penalty."
102,M,"Uh,","M|Uh,"
103,B,"I, I, I really think we're going to far overboard with all of this.","B|I, I, I really think we're going to far overboard with all of this."
104,M,Right.,M|Right.
105,B,"Yeah, same with drunk drivers.","B|Yeah, same with drunk drivers."
106,M,"!!!!,!!%!!You!!It!!I!!That!!?!!Well!!Yeah!!Nice!! You!!They!!Have!! translated!!One!!one!!two!!We!!And!! Rem!!Same!!Okay!!Good!! Same!!Great!!So!!Oh!!","M|!!!!,!!%!!You!!It!!I!!That!!?!!Well!!Yeah!!Nice!! You!!They!!Have!! translated!!One!!one!!two!!We!!And!! Rem!!Same!!Okay!!Good!! Same!!Great!!So!!Oh!!"
107,B,I think it's too easy for them.,B|I think it's too easy for them.
108,M,Yeah.,M|Yeah.
109,B,"That if the, the laws, and, and were, were harsher and were enforced,","B|That if the, the laws, and, and were, were harsher and were enforced,"
110,M,"Yeah, that's true.","M|Yeah, that's true."
111,B,I mean you have to set an example. You have to start somewhere.,B|I mean you have to set an example. You have to start somewhere.
112,M,Right.,M|Right.
113,B,"And I think that people know that they're going to get a slap on the wrist, they might serve a little bit of time and that they'll be out on the street again.","B|And I think that people know that they're going to get a slap on the wrist, they might serve a little bit of time and that they'll be out on the street again."
114,M,Yeah.,M|Yeah.
115,B,"An, it, an I feel bad for the policeman, because he's out there every day facing these people. This, this craziness, you know, people with, uh, automatic weapons and, uh, all this other stuff and trying to do a job","B|An, it, an I feel bad for the policeman, because he's out there every day facing these people. This, this craziness, you know, people with, uh, automatic weapons and, uh, all this other stuff and trying to do a job"
116,M,"Uh,","M|Uh,"
117,B,"and let's face it, what do they get paid.","B|and let's face it, what do they get paid."
118,M,Right.,M|Right.
119,B,"Twenty thousand dollars a year, if they're lucky. I wouldn't do it for that.","B|Twenty thousand dollars a year, if they're lucky. I wouldn't do it for that."
120,M,"Oh, I wouldn tinker with that. I mean, you'd be surprised.","M|Oh, I wouldn tinker with that. I mean, you'd be surprised."
121,B,"It is, it really is. And I mean, they're the first ones that take the brunt of everything.","B|It is, it really is. And I mean, they're the first ones that take the brunt of everything."
122,M,That's true.,M|That's true.
123,B,"You know, and I'm not saying that they're all good either, because there's good and bad in everything,","B|You know, and I'm not saying that they're all good either, because there's good and bad in everything,"
124,M,"Uh, yeah.","M|Uh, yeah."
125,B,"but they, they're already, uh, have three strikes against them when they're out there.","B|but they, they're already, uh, have three strikes against them when they're out there."
126,M,Right.,M|Right.
127,B,"Because they'll arrest someone and, you know, go through all that paperwork and writing a report and all this, and having all kinds of evidence and you have to even be careful how you arrest them, how you talk to them, uh, you know, what they say,","B|Because they'll arrest someone and, you know, go through all that paperwork and writing a report and all this, and having all kinds of evidence and you have to even be careful how you arrest them, how you talk to them, uh, you know, what they say,"
