,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
64,B,"Uh, we probably were listening to C N N fairly heavily before the war broadcasts began. Uh, we almost live and, and breathed it for, because during the war itself to the point where we began to sort of have household pact of lets turn the war off and get something done.","B|Uh, we probably were listening to C N N fairly heavily before the war broadcasts began. Uh, we almost live and, and breathed it for, because during the war itself to the point where we began to sort of have household pact of lets turn the war off and get something done."
65,M,Yeah.,M|Yeah.
66,B,"Uh, almost an addition, uh, and, and, and we could equate or relate relay well to some of the newspaper and television articles about the fact that people where having this problem in, in unhooking, uncoupling from the events, and going on with their. So,","B|Uh, almost an addition, uh, and, and, and we could equate or relate relay well to some of the newspaper and television articles about the fact that people where having this problem in, in unhooking, uncoupling from the events, and going on with their. So,"
67,M,"Well, that's true, that, that is true. Uh-hue.","M|Well, that's true, that, that is true. Uh-hue."
68,B,"instead of being, watching the missiles and being glued to the tube or whatever. Uh, and because of that we began towards the middle and of the war, I guess about two and a half or three weeks in, we began to restrict our news almost deliberately where we would, uh, watch, uh, fifteen minutes before, fifteen minutes after six our time which would be national news, or our local news. We would watch C N N until six thirty, then we would watch, uh, a rotating network news of either, uh, A B C, C B S, or N B C and we, we sort of just rotated around the dial each night a different one.","B|instead of being, watching the missiles and being glued to the tube or whatever. Uh, and because of that we began towards the middle and of the war, I guess about two and a half or three weeks in, we began to restrict our news almost deliberately where we would, uh, watch, uh, fifteen minutes before, fifteen minutes after six our time which would be national news, or our local news. We would watch C N N until six thirty, then we would watch, uh, a rotating network news of either, uh, A B C, C B S, or N B C and we, we sort of just rotated around the dial each night a different one."
69,M,"Oh, yeah, I think that's, that's the same thing with us. We've, uh","M|Oh, yeah, I think that's, that's the same thing with us. We've, uh"
70,B,"and then we would turn the television off and we were sort of limiting or dieting ourselves on, on news that way. And, then we would do a similar thing, uh, at uh, ten forty-five because, uh, C N N would be wrapping their hourly coverage up and then we would get the local coverage, uh, and then I think the local coverage we would tend to watch the same station that would, would have better state coverage rather than local coverage. Uh, three of the networks here, on their local news, uh, that if, if you wish to listen at eleven o'clock you can find out who raped who, murdered who, or stole what. from whom.","B|and then we would turn the television off and we were sort of limiting or dieting ourselves on, on news that way. And, then we would do a similar thing, uh, at uh, ten forty-five because, uh, C N N would be wrapping their hourly coverage up and then we would get the local coverage, uh, and then I think the local coverage we would tend to watch the same station that would, would have better state coverage rather than local coverage. Uh, three of the networks here, on their local news, uh, that if, if you wish to listen at eleven o'clock you can find out who raped who, murdered who, or stole what. from whom."
71,M,Uh-huh.,M|Uh-huh.
72,B,"And, that was the sort of thing that I would say is the best MUMBLEx and not news","B|And, that was the sort of thing that I would say is the best MUMBLEx and not news"
73,M,Uh-huh.,M|Uh-huh.
74,B,"unless there's some trend or something that says, Jesus this neighborhood has been hit forty-seven times or whatever. Uh, that's, that's sort of more of, of a pattern news.","B|unless there's some trend or something that says, Jesus this neighborhood has been hit forty-seven times or whatever. Uh, that's, that's sort of more of, of a pattern news."
75,M,Uh-huh.,M|Uh-huh.
