,Speaker,Utterance,Unified
5,B,Okay.,B|Okay.
51,B,"I, I, I grew up on a farm, uh, in Iowa, and, uh, you know the whole family was around the, the whole time. And then what my father did was, was, uh, you know, obvious to me and I, I helped out with it. But, uh, although I have brought my boys into to see where I work, it's not that easy, and it's, it's certainly not at all common, and they, they just don't really have that same idea,","B|I, I, I grew up on a farm, uh, in Iowa, and, uh, you know the whole family was around the, the whole time. And then what my father did was, was, uh, you know, obvious to me and I, I helped out with it. But, uh, although I have brought my boys into to see where I work, it's not that easy, and it's, it's certainly not at all common, and they, they just don't really have that same idea,"
52,M,"Uh,","M|Uh,"
53,B,"so they, uh, it's a, it's a whole different, uh, kind of thing there then, uh,","B|so they, uh, it's a, it's a whole different, uh, kind of thing there then, uh,"
54,M,"Yeah, yeah.","M|Yeah, yeah."
55,B,Yeah.,B|Yeah.
56,M,"But, uh.","M|But, uh."
57,B,"Yeah. Yeah. Well, that makes it hard though for in terms of, you know, family time with, with him.","B|Yeah. Yeah. Well, that makes it hard though for in terms of, you know, family time with, with him."
58,M,Uh-huh.,M|Uh-huh.
59,B,"Yeah, I've been lucky in that respect that I don't, uh, don't travel too much .","B|Yeah, I've been lucky in that respect that I don't, uh, don't travel too much ."
60,M,Uh-huh.,M|Uh-huh.
61,B,Oh.,B|Oh.
62,M,"But, uh.","M|But, uh."
63,B,Yeah.,B|Yeah.
64,M,"And I'm sure he's missed a lot of, um,  the social changes that have occurred in the last, um.","M|And I'm sure he's missed a lot of, um,  the social changes that have occurred in the last, um."
65,B,Yes.,B|Yes.
66,M,"but, uh, I think, uh I think they're doing a lot of research and, uh and, and, you know, getting a lot more involved.","M|but, uh, I think, uh I think they're doing a lot of research and, uh and, and, you know, getting a lot more involved."
67,B,Yeah.,B|Yeah.
68,M,"and, uh,","M|and, uh,"
69,B,Yeah. Yeah.,B|Yeah. Yeah.
70,M,"But, uh, you're right, you can't just do that every day.","M|But, uh, you're right, you can't just do that every day."
71,B,"Yeah. Yeah, right.","B|Yeah. Yeah, right."
72,M,I know it.,M|I know it.
