,Speaker,Utterance,Unified
5,B,"And that, that, the penalty ought to be out there, and be enforced?","B|And that, that, the penalty ought to be out there, and be enforced?"
31,B,"Even if, if they're even in that long. Or they appeal, and then they get an appeal that says it was, you know, an unjust amount of time, an extraordinary long length, or something.","B|Even if, if they're even in that long. Or they appeal, and then they get an appeal that says it was, you know, an unjust amount of time, an extraordinary long length, or something."
32,M,Right.,M|Right.
33,B,"Yeah. I'd like to see the death penalty more as a deterrent, I think people know that nobody, that it doesn't, you know, it's not a deterrent right now, because it's not really effective.","B|Yeah. I'd like to see the death penalty more as a deterrent, I think people know that nobody, that it doesn't, you know, it's not a deterrent right now, because it's not really effective."
34,M,No.,M|No.
35,B,"There's should be, you know, this, for this crime, this is the penalty. You killed, someone you know, in cold blood or whatever.","B|There's should be, you know, this, for this crime, this is the penalty. You killed, someone you know, in cold blood or whatever."
36,M,Right.,M|Right.
37,B,This is what's going to happen.,B|This is what's going to happen.
38,M,"I, I, I don't know, I've, I'm not sure I'm, I mean, I see some aspects to it, but, I'd, I would say that I don, I wouldn't want to see it, you, you have to have a state that does something like that.","M|I, I, I don't know, I've, I'm not sure I'm, I mean, I see some aspects to it, but, I'd, I would say that I don, I wouldn't want to see it, you, you have to have a state that does something like that."
39,B,"And, I mean, it sounds horrible. It, I hear myself saying this, and, but, I, don't know what else to do with some of these people, that are,","B|And, I mean, it sounds horrible. It, I hear myself saying this, and, but, I, don't know what else to do with some of these people, that are,"
40,M,"Well, they're not,","M|Well, they're not,"
41,B,"because they let them back out again, and they do the same thing over,  and over,  again,","B|because they let them back out again, and they do the same thing over,  and over,  again,"
42,M,I know. Uh-huh.,M|I know. Uh-huh.
43,B,"then they put them back in jail, and they get out, and and more and more innocent people are hurt or killed","B|then they put them back in jail, and they get out, and and more and more innocent people are hurt or killed"
44,M,Yes.,M|Yes.
45,B,and these guys just are on the endless merry-go-round in the legal system.,B|and these guys just are on the endless merry-go-round in the legal system.
46,M,"Yes, they do, they are, they're just getting,","M|Yes, they do, they are, they're just getting,"
47,B,And it's like I said at our expense.,B|And it's like I said at our expense.
48,M,Yeah.,M|Yeah.
49,B,Yes.,B|Yes.
50,M,"So, it's, it, it can happen to anyone and it's happened to me, too.","M|So, it's, it, it can happen to anyone and it's happened to me, too."
51,B,"I know, I, you read about it in the paper, every day, somebody who's done this, or that, something really horrible","B|I know, I, you read about it in the paper, every day, somebody who's done this, or that, something really horrible"
52,M,Uh-huh.,M|Uh-huh.
53,B,"and they just get away with it, and nothing happens.","B|and they just get away with it, and nothing happens."
54,M,Right.,M|Right.
55,B,"Yeah. I think I think Texas is Texas, the southern states seem to be somewhat more conservative and still have the death penalty, and I think, I know California had it for a long time, and then they, uh, took it off the books, they repealed it","B|Yeah. I think I think Texas is Texas, the southern states seem to be somewhat more conservative and still have the death penalty, and I think, I know California had it for a long time, and then they, uh, took it off the books, they repealed it"
56,M,Uh-hope.,M|Uh-hope.
57,B,"and people like Charles Manson, and, and some of these other people, who were sentenced to death at the time they repealed the death penalty, were sentenced to life in prison, and are now, now that even though California has reinstated the death penalty, for whatever various crimes. The people who were there originally, when they, when they changed the laws to revoke the death penalty, are still in there for, are in prison, in quote, for life, and, and are now coming up for parole, some of them, like Manson who's come up you know","B|and people like Charles Manson, and, and some of these other people, who were sentenced to death at the time they repealed the death penalty, were sentenced to life in prison, and are now, now that even though California has reinstated the death penalty, for whatever various crimes. The people who were there originally, when they, when they changed the laws to revoke the death penalty, are still in there for, are in prison, in quote, for life, and, and are now coming up for parole, some of them, like Manson who's come up you know"
58,M,"Uh, yeah.","M|Uh, yeah."
59,B,"it's been denied fortunately but,","B|it's been denied fortunately but,"
60,M,"Yeah, that's true.","M|Yeah, that's true."
61,B,Yeah.,B|Yeah.
62,M,"and it's a, a, it's, it was a, you know, it is a tough issue, but, uh, you can see that there's a lot of people that are, you just have to accept it, and that's not a bad thing.","M|and it's a, a, it's, it was a, you know, it is a tough issue, but, uh, you can see that there's a lot of people that are, you just have to accept it, and that's not a bad thing."
63,B,"Well, the jury that sentenced him, sentenced him to death","B|Well, the jury that sentenced him, sentenced him to death"
64,M,"Yeah, yeah.","M|Yeah, yeah."
65,B,"and then while he was on appeal on his thousandth and one appeal, the state of California revoked the law in the early seventies, and then they reinstated it later, but the penalty didn't go back. You know?","B|and then while he was on appeal on his thousandth and one appeal, the state of California revoked the law in the early seventies, and then they reinstated it later, but the penalty didn't go back. You know?"
66,M,Huh.,M|Huh.
67,B,"It seems like a lot of times the law is, is totally on the criminal side, and, and isn't protecting the rest of the people.","B|It seems like a lot of times the law is, is totally on the criminal side, and, and isn't protecting the rest of the people."
68,M,Yeah.,M|Yeah.
69,B,Uh-huh.,B|Uh-huh.
70,M,"it's just, it's just not as, it seems like they're not really making any effort to protect the victim.","M|it's just, it's just not as, it seems like they're not really making any effort to protect the victim."
71,B,"Yeah. And the, the laws are all, the rules. Some of the things that would make sense to, to tell the jury, that this, this guy has a, a prior criminal history, you know, where he's raped ten women","B|Yeah. And the, the laws are all, the rules. Some of the things that would make sense to, to tell the jury, that this, this guy has a, a prior criminal history, you know, where he's raped ten women"
72,M,"Uh,","M|Uh,"
73,B,"and then he gets up for this one trial, and they don't finds anything out about the facts that he's done this over and over and over again","B|and then he gets up for this one trial, and they don't finds anything out about the facts that he's done this over and over and over again"
74,M,!!!%!! Remind me of that now.,M|!!!%!! Remind me of that now.
75,B,"and so they say, well, this is, you know, I, I don't know if they say it's the first time offense or whatever, but they give him a lighter sentence, thinking he's not a habitual criminal.","B|and so they say, well, this is, you know, I, I don't know if they say it's the first time offense or whatever, but they give him a lighter sentence, thinking he's not a habitual criminal."
76,M,Yeah.,M|Yeah.
77,B,"Yeah, yeah. Well, To some extent if they would do something with some of those people. But that seems to be a good way to get off for a lot of them too.","B|Yeah, yeah. Well, To some extent if they would do something with some of those people. But that seems to be a good way to get off for a lot of them too."
78,M,"I don't, I mean, they, they get so easily swayed by emotion.","M|I don't, I mean, they, they get so easily swayed by emotion."
79,B,They plead insanity,B|They plead insanity
80,M,Yeah.,M|Yeah.
81,B,"and then three years later they're cured, and let loose on society again.","B|and then three years later they're cured, and let loose on society again."
82,M,Uh-hue.,M|Uh-hue.
83,B,"I mean, it's a it's a scary world out there anymore, where your afraid to go out,","B|I mean, it's a it's a scary world out there anymore, where your afraid to go out,"
84,M,Uh-hue.,M|Uh-hue.
85,B,"I know, in, in the Dallas metroplex area, I don't go out hardly if I don't have to at night by myself","B|I know, in, in the Dallas metroplex area, I don't go out hardly if I don't have to at night by myself"
86,M,Uh-huh.,M|Uh-huh.
87,B,"and I, I certainly, I, I grew up in a smaller town in Texas, and it wasn't that way when I was younger.","B|and I, I certainly, I, I grew up in a smaller town in Texas, and it wasn't that way when I was younger."
88,M,"Uh, uh-hue.","M|Uh, uh-hue."
89,B,"We could go around, and, boy and,","B|We could go around, and, boy and,"
90,M,"It's, it's, uh, it is nice to get out and see other people, you know. You, you don't feel like you're alone, but you feel like your, your, you're not quite as, as much of a person, and you don, you have other responsibilities.","M|It's, it's, uh, it is nice to get out and see other people, you know. You, you don't feel like you're alone, but you feel like your, your, you're not quite as, as much of a person, and you don, you have other responsibilities."
91,B,"Yes. Ever, you can't even, when I was a kid, I would run between my neighbors, three and four blocks sometimes, and, as long as my mom had a general idea where I was and I was back on the time,","B|Yes. Ever, you can't even, when I was a kid, I would run between my neighbors, three and four blocks sometimes, and, as long as my mom had a general idea where I was and I was back on the time,"
92,M,"Uh, that's true.","M|Uh, that's true."
93,B,"and now I don't let my kids out of the front yard, that I can't see them.","B|and now I don't let my kids out of the front yard, that I can't see them."
94,M,"Uh, that's a, that, that is a problem.","M|Uh, that's a, that, that is a problem."
95,B,Uh-huh.,B|Uh-huh.
96,M,"but, uh,","M|but, uh,"
97,B,"Well, good talking to you too. Bye,","B|Well, good talking to you too. Bye,"
98,M,Bye.,M|Bye.
99,B,bye.,B|bye.
100,M,Okay.,M|Okay.
