,Speaker,Utterance,Unified
5,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
82,M,Right.,M|Right.
83,B,I thought that would be good experience for me.,B|I thought that would be good experience for me.
84,M,Yeah.,M|Yeah.
85,B,"And, I've applied at another district where many of the children are Asian.","B|And, I've applied at another district where many of the children are Asian."
86,M,Yeah.,M|Yeah.
87,B,And I think that would be wonderful too.,B|And I think that would be wonderful too.
88,M,Yeah.,M|Yeah.
89,B,Right.,B|Right.
90,M,"So that, that's a real negative, I think.","M|So that, that's a real negative, I think."
91,B,"Well, the times were different too.","B|Well, the times were different too."
92,M,"Oh, yeah.","M|Oh, yeah."
93,B,"My neighbor, let's see, is Jewish. And he's going through the, I don't know, the Jewish League or something. And helping a family that's come over from Russia.","B|My neighbor, let's see, is Jewish. And he's going through the, I don't know, the Jewish League or something. And helping a family that's come over from Russia."
94,M,Uh-huh.,M|Uh-huh.
95,B,"And he spends, well, right now, he's down to like once a week, but he was going over there several times a week to be with the family,  and help them with the language.","B|And he spends, well, right now, he's down to like once a week, but he was going over there several times a week to be with the family,  and help them with the language."
96,M,"Oh, uh, uh.","M|Oh, uh, uh."
97,B,And he thoroughly enjoyed it.,B|And he thoroughly enjoyed it.
98,M,"Oh, that's great.","M|Oh, that's great."
99,B,No.,B|No.
100,M,I don't know.,M|I don't know.
101,B,Uh-huh.,B|Uh-huh.
102,M,"But, uh.","M|But, uh."
103,B,"Uh-huh. What's so sad about this is both of the, the man and the woman had a degree having to do with computers but,  their training isn't what we need in this country.","B|Uh-huh. What's so sad about this is both of the, the man and the woman had a degree having to do with computers but,  their training isn't what we need in this country."
104,M,Right.,M|Right.
105,B,"And because they're so deficient in English, they haven't been able to get jobs.","B|And because they're so deficient in English, they haven't been able to get jobs."
106,M,Right.,M|Right.
107,B,"So they'll have to go back and get a degree here. You know, almost start all over.","B|So they'll have to go back and get a degree here. You know, almost start all over."
108,M,That's true.,M|That's true.
109,B,"No, no. And this woman was, uh, stocking the shelves in a drugstore.","B|No, no. And this woman was, uh, stocking the shelves in a drugstore."
110,M,"Oh, my.","M|Oh, my."
111,B,I feel sorry for her.,B|I feel sorry for her.
112,M,!!!%!! Remind me.,M|!!!%!! Remind me.
113,B,"Well, thank you.","B|Well, thank you."
114,M,All right.,M|All right.
115,B,Have a good night.,B|Have a good night.
116,M,Bye-bye.,M|Bye-bye.
117,B,"Okay. Yes, I do","B|Okay. Yes, I do"
118,M,Okay,M|Okay
119,B,"Okay, Bye.","B|Okay, Bye."
