,Speaker,Utterance,Unified
5,M,"but we haven't really done that much,","M|but we haven't really done that much,"
72,B,"and they plan the reunions, the organize the, you know, who is going to see to it that the coffee pot gets there, who's going to rent the tables, who's going to see to it that the silverware gets turned back to the caterer. Uh, and each year it's done a little bit differently, because different people serve in those roles.","B|and they plan the reunions, the organize the, you know, who is going to see to it that the coffee pot gets there, who's going to rent the tables, who's going to see to it that the silverware gets turned back to the caterer. Uh, and each year it's done a little bit differently, because different people serve in those roles."
73,M,"Right, right.","M|Right, right."
74,B,"We have a biographer who, who continues every year to save clippings on any family member, and they're entered into a, a wonderful, uh, scrap book. And pictures of new babies and new people who have been added and, and obituaries to those who are gone. And it keeps the family alive,  even, you know, even though it's very fluid.","B|We have a biographer who, who continues every year to save clippings on any family member, and they're entered into a, a wonderful, uh, scrap book. And pictures of new babies and new people who have been added and, and obituaries to those who are gone. And it keeps the family alive,  even, you know, even though it's very fluid."
75,M,Huh.,M|Huh.
76,B,"And they're very dedicated to that, and, uh, it's been really wonderful. It helps you hang onto your roots.","B|And they're very dedicated to that, and, uh, it's been really wonderful. It helps you hang onto your roots."
77,M,"Oh, yeah.","M|Oh, yeah."
78,B,"And it helps you feel a strong sense of belonging. My husband, on the other hand, was not very close to his family. His family was very scattered and very diverse.","B|And it helps you feel a strong sense of belonging. My husband, on the other hand, was not very close to his family. His family was very scattered and very diverse."
79,M,Uh-huh.,M|Uh-huh.
80,B,"And I asked him, I got to talking to him, I said, well, how is his nephew doing. ""Well, I don't know, I haven't,  talked to my brother in three years."" I said , ""Well, how's your brother doing?"" ""I don't know."" Uh, you know, my son keeps in touch with him, I think, but I don't.","B|And I asked him, I got to talking to him, I said, well, how is his nephew doing. ""Well, I don't know, I haven't,  talked to my brother in three years."" I said , ""Well, how's your brother doing?"" ""I don't know."" Uh, you know, my son keeps in touch with him, I think, but I don't."
81,M,!!!%!! Remind me.,M|!!!%!! Remind me.
82,B,"I said, ""Hey, wouldn't you like to know what's happening with these people?"" ""Yeah, but I'm, you know, it's too much trouble."" So I got busy, got together, and put a reunion together for his family. And succeeded in getting all of his brothers and sisters and all of their offspring but one to our place down at Lake Tawakoni.","B|I said, ""Hey, wouldn't you like to know what's happening with these people?"" ""Yeah, but I'm, you know, it's too much trouble."" So I got busy, got together, and put a reunion together for his family. And succeeded in getting all of his brothers and sisters and all of their offspring but one to our place down at Lake Tawakoni."
83,M,"!!!%!! Remind me. That's a, that's a really nice area.","M|!!!%!! Remind me. That's a, that's a really nice area."
84,B,"Liked to kill me, because I it was, I didn't have that group cooperation, I did,  it by myself.","B|Liked to kill me, because I it was, I didn't have that group cooperation, I did,  it by myself."
85,M,!!!%!!etwork!! Remind me.,M|!!!%!!etwork!! Remind me.
86,B,"And, uh, nobody brought covered dishes. We had a great big fish fry, and, you know, I fixed a salad in a number three tub.","B|And, uh, nobody brought covered dishes. We had a great big fish fry, and, you know, I fixed a salad in a number three tub."
87,M,"Oh, that sounds great.","M|Oh, that sounds great."
88,B,"And, and, uh, it was an enormous task to bring all of those people together with just one or two people helping. And, uh, we had to provide sleeping arrangements for all of them and I told him,","B|And, and, uh, it was an enormous task to bring all of those people together with just one or two people helping. And, uh, we had to provide sleeping arrangements for all of them and I told him,"
89,M,"Oh, I'm sorry, I missed that. Yeah, I don't know what they were,","M|Oh, I'm sorry, I missed that. Yeah, I don't know what they were,"
90,B,"We did it that year, and then the following summer, we did not have all of the family there. We sent invitations. We said, ""Please let us know if you're coming."" It was when, uh, his mother, his step father had died the year before,","B|We did it that year, and then the following summer, we did not have all of the family there. We sent invitations. We said, ""Please let us know if you're coming."" It was when, uh, his mother, his step father had died the year before,"
91,M,Uh-huh.,M|Uh-huh.
92,B,"and it, his mother was alone, and so they came to support her, and then one by one, his you know, his sisters, he began to lose family members,","B|and it, his mother was alone, and so they came to support her, and then one by one, his you know, his sisters, he began to lose family members,"
93,M,Uh-huh.,M|Uh-huh.
94,B,"and it was difficult to hold them together. And then, of course, he died two years ago, so, you know, that family has gone down to one brother and one sister now.","B|and it was difficult to hold them together. And then, of course, he died two years ago, so, you know, that family has gone down to one brother and one sister now."
95,M,Yeah.,M|Yeah.
96,B,"And, uh, it, I think that's what happens when they get scattered, the, the family unit, you know, falls,  into disrepair.","B|And, uh, it, I think that's what happens when they get scattered, the, the family unit, you know, falls,  into disrepair."
97,M,Right.,M|Right.
98,B,Uh-huh.,B|Uh-huh.
99,M,"But, uh.","M|But, uh."
100,B,Uh-huh.,B|Uh-huh.
101,M,"but it was, it was something that we had planned on going on.","M|but it was, it was something that we had planned on going on."
102,B,Uh-huh.,B|Uh-huh.
103,M,"but the second one was, uh, it was a good one, too.","M|but the second one was, uh, it was a good one, too."
104,B,"Uh-huh. Well, see, we manage, those people who are at that core group manage to keep, keep the vigor alive. They'll send out news bulletins. Two or three times a year you'll get a news hey, guess who got, you know, elected to the legislature, or guess who our local sheriff,","B|Uh-huh. Well, see, we manage, those people who are at that core group manage to keep, keep the vigor alive. They'll send out news bulletins. Two or three times a year you'll get a news hey, guess who got, you know, elected to the legislature, or guess who our local sheriff,"
