,Speaker,Utterance,Unified
5,B,Okay. Go ahead.,B|Okay. Go ahead.
23,B,"So, you know, if, I think that's a good way for people to, you know, maybe get people to come back to these small towns to work by helping people that normally might not be able to go to college and get the type of degree they want.","B|So, you know, if, I think that's a good way for people to, you know, maybe get people to come back to these small towns to work by helping people that normally might not be able to go to college and get the type of degree they want."
24,M,Uh-uh. Yeah.,M|Uh-uh. Yeah.
25,B,"Yeah. As far as yeah, getting doctors and all that stuff, yeah.","B|Yeah. As far as yeah, getting doctors and all that stuff, yeah."
26,M,"Well, it, it depends on the doctor. I mean if you want to go into a profession, you have to be willing to go out and, uh","M|Well, it, it depends on the doctor. I mean if you want to go into a profession, you have to be willing to go out and, uh"
27,B,Yeah.,B|Yeah.
28,M,"but, uh,","M|but, uh,"
29,B,Uh-huh.,B|Uh-huh.
30,M,"But it's not a, you're right, it's a major medical problem, but it's something that needs to be addressed, and, uh, and it's going to be a big, uh,","M|But it's not a, you're right, it's a major medical problem, but it's something that needs to be addressed, and, uh, and it's going to be a big, uh,"
31,B,Yeah.,B|Yeah.
32,M,"But,","M|But,"
33,B,"I really don't know that much about it, you know, I, I, I think of the Peace Corps, you know, more like the sixties and that kind of stuff when,","B|I really don't know that much about it, you know, I, I, I think of the Peace Corps, you know, more like the sixties and that kind of stuff when,"
34,M,"!!!%!!clamation point!! Remind me of that. I used to do that quite a bit when I was in the Peace corps, you're right.","M|!!!%!!clamation point!! Remind me of that. I used to do that quite a bit when I was in the Peace corps, you're right."
35,B,Yeah. And don't they go into other countries and stuff?,B|Yeah. And don't they go into other countries and stuff?
36,M,"!!!!,!!clamation!! There!!","M|!!!!,!!clamation!! There!!"
37,B,"Uh-huh. Things that make the, yeah. Make them more self-supporting?","B|Uh-huh. Things that make the, yeah. Make them more self-supporting?"
38,M,"Yeah, yeah, make them self-starters.","M|Yeah, yeah, make them self-starters."
39,B,Yeah.,B|Yeah.
40,M,"they, they, they have a very, uh","M|they, they, they have a very, uh"
41,B,Right. Yeah.,B|Right. Yeah.
42,M,"And, uh, you know, I think, uh.","M|And, uh, you know, I think, uh."
43,B,But it definitely would give a lot of the kids now that have everything given to them that they want to see what it's like if you don't have all the money and can't have what you want when you want it.,B|But it definitely would give a lot of the kids now that have everything given to them that they want to see what it's like if you don't have all the money and can't have what you want when you want it.
44,M,"Yeah. That's true. That, that's true, that, that really is true.","M|Yeah. That's true. That, that's true, that, that really is true."
45,B,Uh-huh.,B|Uh-huh.
46,M,"and, um, I know, um.","M|and, um, I know, um."
47,B,Yeah.,B|Yeah.
48,M,I think that would be a really good thing to do.,M|I think that would be a really good thing to do.
49,B,"I don't, I don't know that you could require everyone to, do that for, yeah, to do it for a whole year, or two years or something like that,","B|I don't, I don't know that you could require everyone to, do that for, yeah, to do it for a whole year, or two years or something like that,"
50,M,"Yeah, that's true.","M|Yeah, that's true."
51,B,"I don't know that that would work if, somebody's, was, didn't really want to be there and didn't have,","B|I don't know that that would work if, somebody's, was, didn't really want to be there and didn't have,"
52,M,"Yeah, well, that's true.","M|Yeah, well, that's true."
53,B,"Yeah, I mean, there would be loopholes just like there is in anything else","B|Yeah, I mean, there would be loopholes just like there is in anything else"
54,M,Yeah.,M|Yeah.
55,B,Yeah.,B|Yeah.
56,M,"And, uh, you just don't want to go into that.","M|And, uh, you just don't want to go into that."
57,B,Yeah.,B|Yeah.
58,M,And that's the way they're going to do it.,M|And that's the way they're going to do it.
59,B,Uh-huh.,B|Uh-huh.
60,M,"And, and that's, that's one of the problems.","M|And, and that's, that's one of the problems."
61,B,Uh-huh.,B|Uh-huh.
62,M,"And, uh, they, uh they're very, very, uh...","M|And, uh, they, uh they're very, very, uh..."
63,B,"Right, yeah.","B|Right, yeah."
64,M,"But they're in the process of being,","M|But they're in the process of being,"
65,B,"Yeah, uh-huh.","B|Yeah, uh-huh."
66,M,"They're, uh","M|They're, uh"
67,B,Yeah.,B|Yeah.
68,M,"And I mean, I, I'm, I guess I'm kind of old-fashioned too. I think that, uh","M|And I mean, I, I'm, I guess I'm kind of old-fashioned too. I think that, uh"
69,B,Yeah.,B|Yeah.
70,M,"But, uh.","M|But, uh."
71,B,Yeah.,B|Yeah.
72,M,"I don't know, I don, I'm, I guess I'm cynical of the whole thing, but I don think there could be a more permanent solution to it.","M|I don't know, I don, I'm, I guess I'm cynical of the whole thing, but I don think there could be a more permanent solution to it."
73,B,"Well, Down here with the Peace Corps we're talking about all these people that aren't even in our own country when there's enough people here that I think probably need help and, could be helped.","B|Well, Down here with the Peace Corps we're talking about all these people that aren't even in our own country when there's enough people here that I think probably need help and, could be helped."
74,M,Uh-huh.,M|Uh-huh.
75,B,Yeah.,B|Yeah.
76,M,"But, I mean, I think that's, I don't know, that's a, that, that is a, a problem with the United States. I think it's a big problem. I don t understand why the United Nations, uh, why they don't have more input into it. I mean I, it's like, you know, why not, why, why we don't want some assistance.","M|But, I mean, I think that's, I don't know, that's a, that, that is a, a problem with the United States. I think it's a big problem. I don t understand why the United Nations, uh, why they don't have more input into it. I mean I, it's like, you know, why not, why, why we don't want some assistance."
77,B,"And maybe rather than just, require somebody to join like the Peace Corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required to do some kind of community service type work, and help people in that area or people in the United States.","B|And maybe rather than just, require somebody to join like the Peace Corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required to do some kind of community service type work, and help people in that area or people in the United States."
78,M,Uh-huh.,M|Uh-huh.
79,B,"There probably are, you know, for but I'm sure, that's probably like people that do that are, are the people that are going to go into social work and stuff but I think that it wouldn't really be half bad for everybody not to do something, you know, and realize it's everybody's responsibility to, um, help these people, you know, and I'm not saying just give them money but, I mean, because they have to be taught to be,","B|There probably are, you know, for but I'm sure, that's probably like people that do that are, are the people that are going to go into social work and stuff but I think that it wouldn't really be half bad for everybody not to do something, you know, and realize it's everybody's responsibility to, um, help these people, you know, and I'm not saying just give them money but, I mean, because they have to be taught to be,"
80,M,Uh-huh.,M|Uh-huh.
81,B,"Yeah I mean, I know that's what my father-in-law was talking about, you know, when you give these people money or, what was it they were bringing up points asking as far as whether they need to give, um, more money to these people, I mean, and that's not really the answer, I mean , because if they're alcoholics they'll just go out and spend, it on, you know, booze or something like that,","B|Yeah I mean, I know that's what my father-in-law was talking about, you know, when you give these people money or, what was it they were bringing up points asking as far as whether they need to give, um, more money to these people, I mean, and that's not really the answer, I mean , because if they're alcoholics they'll just go out and spend, it on, you know, booze or something like that,"
82,M,Uh-huh.,M|Uh-huh.
83,B,but.,B|but.
84,M,"That, that, that is the whole thing. I, I don't know.","M|That, that, that is the whole thing. I, I don't know."
85,B,Yeah.,B|Yeah.
86,M,"you know, what if you gave them money to clean out their closets and tell them they need some lube?","M|you know, what if you gave them money to clean out their closets and tell them they need some lube?"
87,B,"Or, you know, to find a job where they can learn how to support themselves,","B|Or, you know, to find a job where they can learn how to support themselves,"
88,M,Right.,M|Right.
89,B,"I mean, I guess we're getting kind of off the subject, here, but.","B|I mean, I guess we're getting kind of off the subject, here, but."
90,M,Yeah. Yeah.,M|Yeah. Yeah.
91,B,"Yeah, I mean it's, True. Yeah.","B|Yeah, I mean it's, True. Yeah."
92,M,"It's not like they're going to, you can't,","M|It's not like they're going to, you can't,"
93,B,Yeah.,B|Yeah.
94,M,"And, uh, I don, I know that there are a lot of other organizations that could do it.","M|And, uh, I don, I know that there are a lot of other organizations that could do it."
95,B,"Flower Mound, yeah. So, we're a little you know, farther removed from like Dallas and some of the areas where they probably have more of the homeless and that type of thing.","B|Flower Mound, yeah. So, we're a little you know, farther removed from like Dallas and some of the areas where they probably have more of the homeless and that type of thing."
96,M,Right.,M|Right.
