,Speaker,Utterance,Unified
5,B,"So they found a, a place nearby that they put her in last year.","B|So they found a, a place nearby that they put her in last year."
26,M,"Yeah, it really is, and I, I'm sure you'd, you'd notice that, you know, in the mornings, you get a, a light headed, you look down at your arm, and you walk up to your arm and knees out, and knees up high and you're just totally relaxed,","M|Yeah, it really is, and I, I'm sure you'd, you'd notice that, you know, in the mornings, you get a, a light headed, you look down at your arm, and you walk up to your arm and knees out, and knees up high and you're just totally relaxed,"
27,B,Well she didn't want to cook for herself anymore.,B|Well she didn't want to cook for herself anymore.
28,M,"Yeah, that's true.","M|Yeah, that's true."
29,B,"Oh, that's too much trouble. That's too much trouble. Didn't want to cook.","B|Oh, that's too much trouble. That's too much trouble. Didn't want to cook."
30,M,!!!% That's what she said.,M|!!!% That's what she said.
31,B,Yeah.,B|Yeah.
32,M,"and I make, I make five hundred, uh, five hundred meals a week.","M|and I make, I make five hundred, uh, five hundred meals a week."
33,B,"Although they've got, uh, Meals On Wheels,  Which I understand is a really good, you know, way to handle that so that at least they eat.","B|Although they've got, uh, Meals On Wheels,  Which I understand is a really good, you know, way to handle that so that at least they eat."
34,M,"Uh-huh. Yeah. They have,  They have a cafeteria","M|Uh-huh. Yeah. They have,  They have a cafeteria"
35,B,"No, I don't think there was. Um, I know a little bit more from a, a co-worker. Her mother-in-law had been in for quite some time and had different degrees of a place that she was in.","B|No, I don't think there was. Um, I know a little bit more from a, a co-worker. Her mother-in-law had been in for quite some time and had different degrees of a place that she was in."
36,M,Uh-hum.,M|Uh-hum.
37,B,"Um, she was ambulatory and so there was a lesser care. Uh, then she got, uh, uh, hip broken and then, uh, she wasn't as ambulatory so they  were almost, you know, to the point of saying she can't be here anymore.","B|Um, she was ambulatory and so there was a lesser care. Uh, then she got, uh, uh, hip broken and then, uh, she wasn't as ambulatory so they  were almost, you know, to the point of saying she can't be here anymore."
38,M,Right.,M|Right.
39,B,"But, I remember from her checking around, she ended up staying at the Arkansas House I think out in Arlington, something like that.","B|But, I remember from her checking around, she ended up staying at the Arkansas House I think out in Arlington, something like that."
40,M,Yeah.,M|Yeah.
41,B,"And, uh, you know the type of facilities whether it's a shared room or two separate rooms that share uh, a, uh, bathroom. All of them all seem to say that people there are going to steal their items","B|And, uh, you know the type of facilities whether it's a shared room or two separate rooms that share uh, a, uh, bathroom. All of them all seem to say that people there are going to steal their items"
42,M,"Uh, that's true.","M|Uh, that's true."
43,B,"They're always saying that somebody's going to, and some of them, I think unconsciously do it, you know,  as a just, you know, half","B|They're always saying that somebody's going to, and some of them, I think unconsciously do it, you know,  as a just, you know, half"
44,M,Uh. Uh-hum.,M|Uh. Uh-hum.
45,B,"Uh So, they, they, uh, don't have too many facilities it seems for their personal items. Very limited space waste","B|Uh So, they, they, uh, don't have too many facilities it seems for their personal items. Very limited space waste"
46,M,Yeah.,M|Yeah.
47,B,"but, um, at least they all seem to have, uh, you know, people that monitor their, uh, medication intake and dining facilities, you know, go to the dining room  and, and eat some good meals.","B|but, um, at least they all seem to have, uh, you know, people that monitor their, uh, medication intake and dining facilities, you know, go to the dining room  and, and eat some good meals."
48,M,"Oh, yeah.","M|Oh, yeah."
49,B,"I know when my friend's mother-in-law first went in, I mean, very antisocial. Maybe it takes a while for them to say, okay, well I'll be with other people but,","B|I know when my friend's mother-in-law first went in, I mean, very antisocial. Maybe it takes a while for them to say, okay, well I'll be with other people but,"
50,M,Yeah.,M|Yeah.
51,B,"Yeah, I don't understand  that, they, they don't want to be with anybody else.","B|Yeah, I don't understand  that, they, they don't want to be with anybody else."
52,M,That's true.,M|That's true.
53,B,Uh-huh.,B|Uh-huh.
54,M,"And I don t understand that. I don, I think it's a problem that, that the elderly can't, can't handle.","M|And I don t understand that. I don, I think it's a problem that, that the elderly can't, can't handle."
55,B,Uh-huh.,B|Uh-huh.
56,M,"and, uh, it's, it, it seems to me that, uh...","M|and, uh, it's, it, it seems to me that, uh..."
57,B,"Yeah, I have a, um, my aunt's mother is, uh, gotten ill recently and, uh, she lives in Pennsylvania, they live in Alabama. And they're saying, hey, we need you to be closer and you have, women like that,","B|Yeah, I have a, um, my aunt's mother is, uh, gotten ill recently and, uh, she lives in Pennsylvania, they live in Alabama. And they're saying, hey, we need you to be closer and you have, women like that,"
58,M,Uh.,M|Uh.
59,B,"I don't to men, it seems like the women out just out live their husbands, but, very reluctantly, that  whole, I mean","B|I don't to men, it seems like the women out just out live their husbands, but, very reluctantly, that  whole, I mean"
60,M,Yeah,M|Yeah
61,B,"they don't get out of the house, they don't socialize but it's my home and I don't want to leave it.","B|they don't get out of the house, they don't socialize but it's my home and I don't want to leave it."
62,M,"Uh, that's, that, that is a tough situation.","M|Uh, that's, that, that is a tough situation."
63,B,Uh.,B|Uh.
64,M,"And, and, uh, I donno, I think that's going to be a long-term thing for, for the nursing homes, you know, the, the nursing home and the, and the future of nursing homes.","M|And, and, uh, I donno, I think that's going to be a long-term thing for, for the nursing homes, you know, the, the nursing home and the, and the future of nursing homes."
65,B,Um.,B|Um.
66,M,"And, uh, you know, it's like, I don tinker around with my own equipment and I'm not going to do that","M|And, uh, you know, it's like, I don tinker around with my own equipment and I'm not going to do that"
67,B,"But it's, it's so lonely, you know they can't get out and see anyone and I mean, it's hard for, for someone like me to understand that","B|But it's, it's so lonely, you know they can't get out and see anyone and I mean, it's hard for, for someone like me to understand that"
68,M,Right.,M|Right.
69,B,"because I I think, what do you have there? It's a house,","B|because I I think, what do you have there? It's a house,"
70,M,"Well, I have a, I've got a, a, uh, two year old,","M|Well, I have a, I've got a, a, uh, two year old,"
71,B,it's walls and it's furniture but  there's nobody there.,B|it's walls and it's furniture but  there's nobody there.
72,M,"Oh, that's a shame.","M|Oh, that's a shame."
73,B,"Don't you want to be close to me? I mean, you know  be with other people.","B|Don't you want to be close to me? I mean, you know  be with other people."
74,M,Yeah.,M|Yeah.
75,B,"I just don't understand why they, so much want to just stay in  that building.","B|I just don't understand why they, so much want to just stay in  that building."
76,M,Right.,M|Right.
77,B,"And there's no family there, they don't get to see their grandkids, they don't get to see their children, they just there in that house.","B|And there's no family there, they don't get to see their grandkids, they don't get to see their children, they just there in that house."
78,M,Right.,M|Right.
79,B,Yeah.,B|Yeah.
80,M,"It's, it's a big problem.","M|It's, it's a big problem."
81,B,"That's from the child's standpoint. The child is going, why don't you want to be close to me and your other family.","B|That's from the child's standpoint. The child is going, why don't you want to be close to me and your other family."
82,M,Uh-huh.,M|Uh-huh.
83,B,What does that house got attraction?,B|What does that house got attraction?
84,M,"Well, the house that we bought was, uh, an older house and the people that we got were, uh...","M|Well, the house that we bought was, uh, an older house and the people that we got were, uh..."
85,B,I know they're really proud of independence.,B|I know they're really proud of independence.
86,M,"And, uh, I think they're very, very protective.","M|And, uh, I think they're very, very protective."
87,B,Uh.,B|Uh.
88,M,"And, uh, they're, they've had some, uh...","M|And, uh, they're, they've had some, uh..."
89,B,"Well, when she got home, who took care of her?","B|Well, when she got home, who took care of her?"
90,M,Well it was my mother.,M|Well it was my mother.
91,B,Oh.,B|Oh.
92,M,"And, uh, I, I'm not sure how, how it works now. I know that they have, uh  parental control on all these things.","M|And, uh, I, I'm not sure how, how it works now. I know that they have, uh  parental control on all these things."
93,B,Uh-huh.,B|Uh-huh.
94,M,"and, uh, we've, we, we're not, we live in a real small little house.","M|and, uh, we've, we, we're not, we live in a real small little house."
95,B,Um,B|Um
96,M,"So, it, it really is frightening.","M|So, it, it really is frightening."
97,B,"Yeah, my, husband and I, we have been thinking about his folks are in College Station and we've pretty much planned that we'll be here in the Dallas area and there's nothing to hold them there in College Station since they're retired.","B|Yeah, my, husband and I, we have been thinking about his folks are in College Station and we've pretty much planned that we'll be here in the Dallas area and there's nothing to hold them there in College Station since they're retired."
98,M,"Oh, really.","M|Oh, really."
99,B,So we thought maybe we could get them to move a little closer here.,B|So we thought maybe we could get them to move a little closer here.
100,M,Yeah.,M|Yeah.
