,Speaker,Utterance,Unified
5,B,Uh ...,B|Uh ...
64,M,and they're all tested positive for drugs.,M|and they're all tested positive for drugs.
65,B,"Oh, okay. I see.","B|Oh, okay. I see."
66,M,"So, uh, yeah, I mean, I, I would, I think I would probably be more concerned with, with safety than with, than with the, you know, the quality of products.","M|So, uh, yeah, I mean, I, I would, I think I would probably be more concerned with, with safety than with, than with the, you know, the quality of products."
67,B,Yeah.,B|Yeah.
68,M,"You know, I, I think I could work in a hospital.","M|You know, I, I think I could work in a hospital."
69,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
70,M,And I think that's probably why.,M|And I think that's probably why.
71,B,"Oh, I see.","B|Oh, I see."
72,M,"And they, they, uh, they're very, uh...","M|And they, they, uh, they're very, uh..."
73,B,"Uh-huh. Okay, so they know that. And that's ...","B|Uh-huh. Okay, so they know that. And that's ..."
74,M,"Yeah, they, they really do.","M|Yeah, they, they really do."
75,B,Uh-huh. Okay. Well ...,B|Uh-huh. Okay. Well ...
76,M,"And I don't know if you heard about this, but I'm sure you have heard of it.","M|And I don't know if you heard about this, but I'm sure you have heard of it."
77,B,Yeah,B|Yeah
78,M,I don't know.,M|I don't know.
79,B,"I think so. Yeah, seven twenty-five.","B|I think so. Yeah, seven twenty-five."
80,M,"Okay, well, I enjoyed talking to you.","M|Okay, well, I enjoyed talking to you."
81,B,"Okay, nice speaking to you.","B|Okay, nice speaking to you."
82,M,Nice talking to you too.,M|Nice talking to you too.
83,B,Bye.,B|Bye.
