,Speaker,Utterance,Unified
5,B,"Oh, boy.","B|Oh, boy."
48,M,"And, uh.","M|And, uh."
49,B,Yeah. I'll bet they're involved. Yeah.,B|Yeah. I'll bet they're involved. Yeah.
50,M,"and, uh.","M|and, uh."
51,B,Yeah,B|Yeah
52,M,"So, uh.","M|So, uh."
53,B,"Well, that's, uh, I know it's, it's a real hard thing to do, even for people in, in, uh, university communities.","B|Well, that's, uh, I know it's, it's a real hard thing to do, even for people in, in, uh, university communities."
54,M,Uh-huh.,M|Uh-huh.
55,B,"Out here at Manford, they have a, you know, a, a, a real good facility and there, uh, is quite a waiting list to get into that.","B|Out here at Manford, they have a, you know, a, a, a real good facility and there, uh, is quite a waiting list to get into that."
56,M,"Oh, I see.","M|Oh, I see."
57,B,"So it's, uh, uh, you know, it's a, it's a, it's an important, decision, it's an industry that's still a cottage industry","B|So it's, uh, uh, you know, it's a, it's a, it's an important, decision, it's an industry that's still a cottage industry"
58,M,Uh.,M|Uh.
59,B,"and I think this is really  is buyer beware.  Well, it is the best way  to do it, interestingly.","B|and I think this is really  is buyer beware.  Well, it is the best way  to do it, interestingly."
60,M,That's right.,M|That's right.
61,B,"I think that, uh, my own interest in, in development, human development leads me to believe that that's a good sign and that, uh, private enterprise is the way to go and that it will lead to a fundamental change in the way we learn.","B|I think that, uh, my own interest in, in development, human development leads me to believe that that's a good sign and that, uh, private enterprise is the way to go and that it will lead to a fundamental change in the way we learn."
62,M,Uh-huh.,M|Uh-huh.
63,B,"Because, I think what we're going to go to is much more commercial entrepreneurial learning ventures in the market. As a matter of fact, my future is banked on that, uh, professionally because I believe that, that there are, uh, pressing needs in the marketplace, unmet by schools, colleges universities for, uh, learning a lot of things that kids can learn watching Sesame Street and in child care.","B|Because, I think what we're going to go to is much more commercial entrepreneurial learning ventures in the market. As a matter of fact, my future is banked on that, uh, professionally because I believe that, that there are, uh, pressing needs in the marketplace, unmet by schools, colleges universities for, uh, learning a lot of things that kids can learn watching Sesame Street and in child care."
64,M,"Right. Right. Right, right.","M|Right. Right. Right, right."
65,B,Primary skills which turn out to be the most important skills in life.,B|Primary skills which turn out to be the most important skills in life.
66,M,Right. Right.,M|Right. Right.
67,B,"It's, it's phenomenal. It's phenomenal, the programming, the human operating system,","B|It's, it's phenomenal. It's phenomenal, the programming, the human operating system,"
