,Speaker,Utterance,Unified
5,B,Right,B|Right
26,M,!!!;!!et!!You sound like you're a real cookbook freak.,M|!!!;!!et!!You sound like you're a real cookbook freak.
27,B,"Um, Kalachandji's. It's, uh, it's a Hari Krishna run restaurant.","B|Um, Kalachandji's. It's, uh, it's a Hari Krishna run restaurant."
28,M,Oh.,M|Oh.
29,B,Yes.,B|Yes.
30,M,!!!eston!!I've never been there.,M|!!!eston!!I've never been there.
31,B,"Uh, I think so. It should be.","B|Uh, I think so. It should be."
32,M,"Oh, okay.","M|Oh, okay."
33,B,"Uh, it starts with a K.","B|Uh, it starts with a K."
34,M,"Oh, okay.","M|Oh, okay."
35,B,"So K A L A, I think, C H A N D.","B|So K A L A, I think, C H A N D."
36,M,Right.,M|Right.
37,B,"That should get you close enough to, to be able to find it. I think it's, uh, probably listed in the restaurants, you know.","B|That should get you close enough to, to be able to find it. I think it's, uh, probably listed in the restaurants, you know."
38,M,"Yeah, it is, it's in the, uh-huh menu.","M|Yeah, it is, it's in the, uh-huh menu."
39,B,"But it's, uh, it's just fabulous food.","B|But it's, uh, it's just fabulous food."
40,M,"Oh, I love their food. My husband really likes it.","M|Oh, I love their food. My husband really likes it."
41,B,"Well, we like Arby's. As far as, fast food goes.","B|Well, we like Arby's. As far as, fast food goes."
42,M,"Oh, yes.","M|Oh, yes."
43,B,"Oh, really? Why?","B|Oh, really? Why?"
44,M,"Because they're, they're terrible.","M|Because they're, they're terrible."
45,B,"Oh, no, no, no. Someone has been lying to you. What they use is roast beef.","B|Oh, no, no, no. Someone has been lying to you. What they use is roast beef."
46,M,Yeah.,M|Yeah.
47,B,"That's what, Oh, my goodness.","B|That's what, Oh, my goodness."
48,M,"And they said, well, you know, it's, it is, it was like roast, but it's not like, like, uh, beef, you put in the rice, and you put, uh.","M|And they said, well, you know, it's, it is, it was like roast, but it's not like, like, uh, beef, you put in the rice, and you put, uh."
49,B,I'm surprised. My dad worked for Arby's for several years.,B|I'm surprised. My dad worked for Arby's for several years.
50,M,"Arby's, I wonder why.","M|Arby's, I wonder why."
51,B,Yeah.,B|Yeah.
52,M,"Oh, really?","M|Oh, really?"
53,B,"Well, that's happened before.","B|Well, that's happened before."
54,M,"Yeah, and it's happened a lot.","M|Yeah, and it's happened a lot."
55,B,"But we like good uh, we're, we like Mexican food.","B|But we like good uh, we're, we like Mexican food."
56,M,"Yeah. Oh, that sounds good.","M|Yeah. Oh, that sounds good."
57,B,"And stuff like that. And so, um,","B|And stuff like that. And so, um,"
58,M,"What, what kind of Mexican food do you like?","M|What, what kind of Mexican food do you like?"
59,B,A health food?,B|A health food?
60,M,Uh-huh.,M|Uh-huh.
61,B,"Like, like, name one","B|Like, like, name one"
62,M,"Yeah, I don't know, I, I think I've seen them, uh","M|Yeah, I don't know, I, I think I've seen them, uh"
63,B,I'm not sure what you're talking about.,B|I'm not sure what you're talking about.
64,M,"Uh, I don't know, I guess it's just like, you know, the health food is just so expensive, you can't afford it.","M|Uh, I don't know, I guess it's just like, you know, the health food is just so expensive, you can't afford it."
65,B,Huh.,B|Huh.
66,M,And it's a very health- inspiring restaurant.,M|And it's a very health- inspiring restaurant.
67,B,"I don't guess I've ever been to anything like that so, I really don't have anything to compare it to.","B|I don't guess I've ever been to anything like that so, I really don't have anything to compare it to."
68,M,Yeah.,M|Yeah.
69,B,"It would be good I think,","B|It would be good I think,"
70,M,"yeah, I don't know if you've ever heard of them but,","M|yeah, I don't know if you've ever heard of them but,"
71,B,"uh, I don't know how expensive they are. It sounds like that it would probably,","B|uh, I don't know how expensive they are. It sounds like that it would probably,"
72,M,"Yeah, I think that would be a really good idea.","M|Yeah, I think that would be a really good idea."
73,B,For one person?,B|For one person?
74,M,"Yeah, yeah.","M|Yeah, yeah."
75,B,Oh,B|Oh
76,M,"But, uh, you know, I think we're going to get, we're getting ready to get a, a new one. We've got a, we've got, a nine month old, and we're, we, we get ready to, to get her to start kindergarten next year.","M|But, uh, you know, I think we're going to get, we're getting ready to get a, a new one. We've got a, we've got, a nine month old, and we're, we, we get ready to, to get her to start kindergarten next year."
77,B,A bit,B|A bit
78,M,!!! Remind me.,M|!!! Remind me.
79,B,"Yeah, I, I won't really be interested in going to, in going there. Because, I feel like I'm, I'm paying, you know, five dollars for the food probably and five dollars for something that I could get along quite well without","B|Yeah, I, I won't really be interested in going to, in going there. Because, I feel like I'm, I'm paying, you know, five dollars for the food probably and five dollars for something that I could get along quite well without"
80,M,Yeah,M|Yeah
81,B,"Yeah. Maybe, maybe that. Yeah.","B|Yeah. Maybe, maybe that. Yeah."
82,M,"And, uh.","M|And, uh."
83,B,"Yeah. I could see that, then maybe.","B|Yeah. I could see that, then maybe."
84,M,"Well it's, it's just a matter of how you look at it. You know, if I were, I would say that I would probably say that the people who are really committed to the cause, uh, are not going to pay any taxes are not paying a substantial amount in taxes.","M|Well it's, it's just a matter of how you look at it. You know, if I were, I would say that I would probably say that the people who are really committed to the cause, uh, are not going to pay any taxes are not paying a substantial amount in taxes."
85,B,"Yeah, I like the, the seafood that they, when they had it, you know, the broiled,","B|Yeah, I like the, the seafood that they, when they had it, you know, the broiled,"
86,M,Uh.,M|Uh.
87,B,"Yeah. Probably that's true. But I know a lot of their, a lot of their specials sometimes are fried things, that you can't really get away from the fried,","B|Yeah. Probably that's true. But I know a lot of their, a lot of their specials sometimes are fried things, that you can't really get away from the fried,"
88,M,Yeah,M|Yeah
89,B,Now why would you go to a seafood restaurant to eat chicken?,B|Now why would you go to a seafood restaurant to eat chicken?
90,M,"Well it's good, it's just good for you, it has a good, uh","M|Well it's good, it's just good for you, it has a good, uh"
91,B,"That's one of my husband's pet peeves. He doesn't understand why somebody would go to a seafood place and eat either chicken or steak, you know.","B|That's one of my husband's pet peeves. He doesn't understand why somebody would go to a seafood place and eat either chicken or steak, you know."
92,M,Uh-huh.,M|Uh-huh.
93,B,"Oh, really?","B|Oh, really?"
94,M,"Yeah, they're, they were really, uh, you would have to be, uh.","M|Yeah, they're, they were really, uh, you would have to be, uh."
95,B,"Oh, catfish is wonderful.","B|Oh, catfish is wonderful."
96,M,I have never eaten catfish.,M|I have never eaten catfish.
97,B,"Oh, really.","B|Oh, really."
98,M,"Yeah, and I love that.","M|Yeah, and I love that."
99,B,Really.,B|Really.
100,M,"and, uh, you know, they've, they, they check for drugs.","M|and, uh, you know, they've, they, they check for drugs."
101,B,Why?,B|Why?
102,M,they have a place at Resurrection Lutheran Church that will accept you as an alternate,M|they have a place at Resurrection Lutheran Church that will accept you as an alternate
103,B,Oh. Huh.,B|Oh. Huh.
104,M,"And, uh, I mean, I'm not a great fisher but I'm, I, I don't, I guess I'm a good enough person to, to go and catch fish. I don'm.","M|And, uh, I mean, I'm not a great fisher but I'm, I, I don't, I guess I'm a good enough person to, to go and catch fish. I don'm."
105,B,"That's too bad, because I'm probably not going to stop eating it","B|That's too bad, because I'm probably not going to stop eating it"
106,M,Yeah.,M|Yeah.
107,B,Uh-huh. Yeah.,B|Uh-huh. Yeah.
108,M,"And I, I, and I have been very, very, uh...","M|And I, I, and I have been very, very, uh..."
109,B,That's true.,B|That's true.
110,M,"And, uh.","M|And, uh."
111,B,"Oh, on one hand I see that and on the other hand, uh, my older sister remembers when, uh, at one point they were taking radioactive wastes and storing them in tin barrels which I guess, had a half-life of, oh, five years if they sit empty on dry land.","B|Oh, on one hand I see that and on the other hand, uh, my older sister remembers when, uh, at one point they were taking radioactive wastes and storing them in tin barrels which I guess, had a half-life of, oh, five years if they sit empty on dry land."
112,M,"Uh-uh. Uh-hum. Uh, yes.","M|Uh-uh. Uh-hum. Uh, yes."
113,B,So they're putting radioactive waste in it which reduces it dramatically.,B|So they're putting radioactive waste in it which reduces it dramatically.
114,M,Oh.,M|Oh.
115,B,And then they take these things that will rust and they throw them in the ocean which is going to speedup the process even more.,B|And then they take these things that will rust and they throw them in the ocean which is going to speedup the process even more.
116,M,"!!!% Well, that's true.","M|!!!% Well, that's true."
117,B,Oh. And then they wouldn't think. They were floating around so they shot holes in them to sink them.,B|Oh. And then they wouldn't think. They were floating around so they shot holes in them to sink them.
118,M,Yeah.,M|Yeah.
119,B,And this is before I was born.,B|And this is before I was born.
120,M,Uh-huh.,M|Uh-huh.
121,B,"So, I mean we're taking thirty years ago, this happened,","B|So, I mean we're taking thirty years ago, this happened,"
122,M,Yeah.,M|Yeah.
123,B,"and, and who's, you know, the tuna is radioactive to a certain extent.","B|and, and who's, you know, the tuna is radioactive to a certain extent."
124,M,Right.,M|Right.
125,B,"You can't get away from it so I think, To some point,","B|You can't get away from it so I think, To some point,"
126,M,"so,","M|so,"
127,B,"yeah, you know. So there's, you know, there's some things I think we can we, you know we can't avoid for health purposes and some things that we just need to like, you know, this is not in my control.","B|yeah, you know. So there's, you know, there's some things I think we can we, you know we can't avoid for health purposes and some things that we just need to like, you know, this is not in my control."
128,M,"Yeah, well, I don't know. I don, I, I think that, uh, it's, it, it just seems like it's just, it seems like there's just so much going on that it's almost overwhelming when you think of it.","M|Yeah, well, I don't know. I don, I, I think that, uh, it's, it, it just seems like it's just, it seems like there's just so much going on that it's almost overwhelming when you think of it."
129,B,"So I'm either going to be, I'm either going to starve to death or I'm going to get over it and just go ahead and eat as healthily as I possibly can, you know.","B|So I'm either going to be, I'm either going to starve to death or I'm going to get over it and just go ahead and eat as healthily as I possibly can, you know."
130,M,"Yeah, that's true.","M|Yeah, that's true."
