,Speaker,Utterance,Unified
5,B,Oh,B|Oh
49,B,You're kidding.,B|You're kidding.
50,M,so.,M|so.
51,B,Himself and her?,B|Himself and her?
52,M,"yeah, well they're, uh they're married now, but they, uh their marriage was so highly publicized that, uh uh, I was surprised that, you know, I never heard any press about it.","M|yeah, well they're, uh they're married now, but they, uh their marriage was so highly publicized that, uh uh, I was surprised that, you know, I never heard any press about it."
53,B,"Oh, wow, I bet.","B|Oh, wow, I bet."
54,M,"and, uh,","M|and, uh,"
55,B,"Oh, I know,","B|Oh, I know,"
56,M,"and you wouldn tinker with it,","M|and you wouldn tinker with it,"
57,B,"Well, they were, I was watching some show the other day, and they were talking about, uh, mass murderers","B|Well, they were, I was watching some show the other day, and they were talking about, uh, mass murderers"
58,M,Uh-huh.,M|Uh-huh.
59,B,"and they brought up what happened in Killeen here recently, and they were saying, you know, that these guys want attention, and that when it happens they're glorified because all the newspaper, it's on all the newspapers and T V and everything,","B|and they brought up what happened in Killeen here recently, and they were saying, you know, that these guys want attention, and that when it happens they're glorified because all the newspaper, it's on all the newspapers and T V and everything,"
60,M,"Uh, uh-hue.","M|Uh, uh-hue."
61,B,"Right, and then you get to their life story, Oh, they came from a broken family","B|Right, and then you get to their life story, Oh, they came from a broken family"
62,M,"Uh, yeah.","M|Uh, yeah."
63,B,oh this person had mental problems,B|oh this person had mental problems
64,M,Uh.,M|Uh.
65,B,"oh duh, duh, duh you know,","B|oh duh, duh, duh you know,"
66,M,"Yeah, yeah, I know.","M|Yeah, yeah, I know."
67,B,Yeah.,B|Yeah.
68,M,"but, uh, you know they, they, uh they do it to themselves.","M|but, uh, you know they, they, uh they do it to themselves."
69,B,Is that right?,B|Is that right?
70,M,"Yeah, and, uh.","M|Yeah, and, uh."
71,B,Uh-huh.,B|Uh-huh.
72,M,"and she was just, she just had this, this wonderful, wonderful body and, and I think her mind was just about as clear as a sandwhich as a milkhouse.","M|and she was just, she just had this, this wonderful, wonderful body and, and I think her mind was just about as clear as a sandwhich as a milkhouse."
73,B,"Uh, I remember seeing that,","B|Uh, I remember seeing that,"
74,M,"and, uh, she just, you know, you could tell she was really struggling,","M|and, uh, she just, you know, you could tell she was really struggling,"
75,B,I saw that on Hard Copy,B|I saw that on Hard Copy
76,M,"Oh, yeah.","M|Oh, yeah."
77,B,Yes.,B|Yes.
78,M,"and I think that's one of the reasons that we, we need to do more of that.","M|and I think that's one of the reasons that we, we need to do more of that."
79,B,Is that right?,B|Is that right?
80,M,"And, uh.","M|And, uh."
81,B,"I'm trying to remember, he, um, had her in the car in front of a Taco or something","B|I'm trying to remember, he, um, had her in the car in front of a Taco or something"
82,M,Uh-huh.,M|Uh-huh.
83,B,and he just shot them himself and her.,B|and he just shot them himself and her.
84,M,"Oh, gosh.","M|Oh, gosh."
85,B,I remember seeing that.,B|I remember seeing that.
86,M,Yeah.,M|Yeah.
87,B,"Yeah, there's just too many crazy people out there these days.","B|Yeah, there's just too many crazy people out there these days."
88,M,Right.,M|Right.
89,B,Yeah.,B|Yeah.
90,M,"And I think that's the way it is. I think they just want to make it a little bit more convenient for people to do that. I don't know, I just, I don tinker around with it a bit.","M|And I think that's the way it is. I think they just want to make it a little bit more convenient for people to do that. I don't know, I just, I don tinker around with it a bit."
