,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
44,M,"I mean, you know, it's just, it just doesn't, I mean, it doesn't really matter. I mean it's, you, you've got to draw a line somewhere.","M|I mean, you know, it's just, it just doesn't, I mean, it doesn't really matter. I mean it's, you, you've got to draw a line somewhere."
45,B,Well now wait a minute there,B|Well now wait a minute there
46,M,But I don't know if you're ready to go,M|But I don't know if you're ready to go
47,B,you just said it. It's their right by freedom of speech? What does speech have to do with burning a flag?,B|you just said it. It's their right by freedom of speech? What does speech have to do with burning a flag?
48,M,Right.,M|Right.
49,B,Now uh Well I I still go back to ...,B|Now uh Well I I still go back to ...
50,M,"Okay, what do you think about the war recently?","M|Okay, what do you think about the war recently?"
51,B,Then would you condone the burning of the capitol building?,B|Then would you condone the burning of the capitol building?
52,M,"Well I, I would have to say no. I, uh, I think it's the, uh the best, uh I don't know, uh situation I've ever had to deal with, uh uh, uh in, uh political situations is that, uh we, uh have to, uh be, I guess I've been involved in a civil war, uh  for, uh a period of time.","M|Well I, I would have to say no. I, uh, I think it's the, uh the best, uh I don't know, uh situation I've ever had to deal with, uh uh, uh in, uh political situations is that, uh we, uh have to, uh be, I guess I've been involved in a civil war, uh  for, uh a period of time."
53,B,"Uh, then you don't draw a line between public property and uh uh uh what a public uh symbol.","B|Uh, then you don't draw a line between public property and uh uh uh what a public uh symbol."
54,M,Right. Right.,M|Right. Right.
55,B,Uh yeah,B|Uh yeah
56,M,"And I, I think I agree with that.","M|And I, I think I agree with that."
57,B,"but here again I go back to the second amendment You can disagree by freedom of speech which, has nothing to do with action.","B|but here again I go back to the second amendment You can disagree by freedom of speech which, has nothing to do with action."
58,M,"Right, right.","M|Right, right."
59,B,Now I am I am adamantly against that.,B|Now I am I am adamantly against that.
60,M,Uh-hum.,M|Uh-hum.
61,B,Uh-huh.,B|Uh-huh.
62,M,And they keep fighting each other and I think that's just what they need to do and I don't think it's going to stop anytime soon.,M|And they keep fighting each other and I think that's just what they need to do and I don't think it's going to stop anytime soon.
63,B,huh.,B|huh.
64,M,"and that is what is, uh, what is keeping the United States from, uh uh, having a revolution.","M|and that is what is, uh, what is keeping the United States from, uh uh, having a revolution."
65,B,Yeah. Uh-huh.,B|Yeah. Uh-huh.
66,M,"But I don't think you have to be a complete lunatic to, to, uh, follow the scriptural principals.","M|But I don't think you have to be a complete lunatic to, to, uh, follow the scriptural principals."
67,B,No.,B|No.
68,M,"and I think, I think you're right.","M|and I think, I think you're right."
69,B,Uh-huh.,B|Uh-huh.
70,M,"I mean, I don't know what I'd do if it was someone I knew was oppressing me. But, I mean, it's just, I think I would be scared to death of my own family, you know.","M|I mean, I don't know what I'd do if it was someone I knew was oppressing me. But, I mean, it's just, I think I would be scared to death of my own family, you know."
71,B,Well here again we uh even though you uh physically you agree with me you you wouldn't do it yourself.,B|Well here again we uh even though you uh physically you agree with me you you wouldn't do it yourself.
72,M,No. Not at all.,M|No. Not at all.
73,B,Nevertheless you maintain that it's it is the right of of any citizen to burn the symbol of their country.,B|Nevertheless you maintain that it's it is the right of of any citizen to burn the symbol of their country.
74,M,Uh-uh. That's right.,M|Uh-uh. That's right.
75,B,"Uh, um so long as it's their possession. Ok, you're you're that's fine up to there except that uh, what that flag symbolizes is uh uh is this country,","B|Uh, um so long as it's their possession. Ok, you're you're that's fine up to there except that uh, what that flag symbolizes is uh uh is this country,"
76,M,Uh-huh.,M|Uh-huh.
77,B,"and I used to know as a Boy Scout but all I remember was the red in the flag represented the blood that was shed to to create this country, and to maintain it.","B|and I used to know as a Boy Scout but all I remember was the red in the flag represented the blood that was shed to to create this country, and to maintain it."
78,M,"Oh, uh-huh.","M|Oh, uh-huh."
79,B,"And, to me that's uh uh black eye to every man that ever uh carried a weapon or killed for his country.","B|And, to me that's uh uh black eye to every man that ever uh carried a weapon or killed for his country."
80,M,Uh-huh.,M|Uh-huh.
81,B,Uh-huh.,B|Uh-huh.
82,M,"but I don t mind if they're going to get convicted of, uh, you know, sexual offenses and stuff like that and I don think that they should be allowed to, you can't, you could not sentence them to life without possibility of parole.","M|but I don t mind if they're going to get convicted of, uh, you know, sexual offenses and stuff like that and I don think that they should be allowed to, you can't, you could not sentence them to life without possibility of parole."
83,B,It's It's very easy to do.,B|It's It's very easy to do.
84,M,"Uh, and I think that's one thing that's good about it is that, uh, you don't have to be so, uh-honed out, you know,","M|Uh, and I think that's one thing that's good about it is that, uh, you don't have to be so, uh-honed out, you know,"
85,B,Uh Uh-huh.,B|Uh Uh-huh.
86,M,"You know, I mean I think that's one of those things that, you know, it's sort of like supporting animal rights. You know, you support animal rights but you don't, you don tinker with it or you don, you, you sort of, you're against it.","M|You know, I mean I think that's one of those things that, you know, it's sort of like supporting animal rights. You know, you support animal rights but you don't, you don tinker with it or you don, you, you sort of, you're against it."
87,B,Well I think it should be permitted under certain,B|Well I think it should be permitted under certain
88,M,Uh-hue.,M|Uh-hue.
89,B,Uh-huh. Huh. Well tell me has it ever been decided when when is a uh fetus a human?,B|Uh-huh. Huh. Well tell me has it ever been decided when when is a uh fetus a human?
90,M,"Well, I, I know that I have heard, uh, uh","M|Well, I, I know that I have heard, uh, uh"
91,B,Huh.,B|Huh.
92,M,"And, uh, I think, I mean I don t understand the idea of the father or the mother being the one who ultimately decides what's going to happen.","M|And, uh, I think, I mean I don t understand the idea of the father or the mother being the one who ultimately decides what's going to happen."
93,B,"Or they on their within the own uh society, it can vary.","B|Or they on their within the own uh society, it can vary."
94,M,"Yeah. Well, it's, it, it seems to me that, uh, that it's just, it was a convenient way to get away from having to go through so many generations of, of, uh uh, of history before you could really say, well, you know, you can't have it any more","M|Yeah. Well, it's, it, it seems to me that, uh, that it's just, it was a convenient way to get away from having to go through so many generations of, of, uh uh, of history before you could really say, well, you know, you can't have it any more"
95,B,Uh-huh.,B|Uh-huh.
96,M,"So, it's, it, it is interesting that, uh, the, the news, uh.","M|So, it's, it, it is interesting that, uh, the, the news, uh."
