,Speaker,Utterance,Unified
5,B,Yes.,B|Yes.
25,B,"Yes it is. It's a tough, tough question. It really is. I suspect I would be, uh, you know, a lot more favor of it if, you know, one of my children were, you know, brutally killed, or something like that. Like I say, I think it depends on how personally affected, you know, you might be by it.","B|Yes it is. It's a tough, tough question. It really is. I suspect I would be, uh, you know, a lot more favor of it if, you know, one of my children were, you know, brutally killed, or something like that. Like I say, I think it depends on how personally affected, you know, you might be by it."
26,M,Uh-huh.,M|Uh-huh.
27,B,"Oh, absolutely. that's right.","B|Oh, absolutely. that's right."
28,M,"I mean, they're, they, they can kill somebody pretty easily, but they're not going to, you can't, you don't know, they don't have the mental capacity to kill a person.","M|I mean, they're, they, they can kill somebody pretty easily, but they're not going to, you can't, you don't know, they don't have the mental capacity to kill a person."
29,B,Not with me personally. It is with a lot of other people.,B|Not with me personally. It is with a lot of other people.
30,M,Uh-huh.,M|Uh-huh.
31,B,"It's not, not to me personally, no.","B|It's not, not to me personally, no."
32,M,Yeah.,M|Yeah.
33,B,No.,B|No.
34,M,"So,","M|So,"
35,B,"Uh-huh. Yes. That's a, it's a tough, tough question, it really is.","B|Uh-huh. Yes. That's a, it's a tough, tough question, it really is."
36,M,"Yeah, it is. I think, I think it's important to have the support.","M|Yeah, it is. I think, I think it's important to have the support."
37,B,"Yes, I think most states do have capital punishment. Yes. But, I think the U S is one of the few countries that still do.","B|Yes, I think most states do have capital punishment. Yes. But, I think the U S is one of the few countries that still do."
38,M,"Oh, really?","M|Oh, really?"
39,B,"Yes, they're only, I was reading something about it the other day, I think there was only like six or eight countries in the world, that have capital punishment still.","B|Yes, they're only, I was reading something about it the other day, I think there was only like six or eight countries in the world, that have capital punishment still."
40,M,Uh-oh.,M|Uh-oh.
41,B,"A lot of them had to have elected not to do so. Now I don't know, what they do in place of it. You know, maybe it's life in prisonment or, you know, something, I I don't know how they handle it I was surprised to learn that so few countries have capital punishment.","B|A lot of them had to have elected not to do so. Now I don't know, what they do in place of it. You know, maybe it's life in prisonment or, you know, something, I I don't know how they handle it I was surprised to learn that so few countries have capital punishment."
42,M,Yeah.,M|Yeah.
43,B,"Oh, yes. Yes, a lot of them do get their sentences commuted to something else.","B|Oh, yes. Yes, a lot of them do get their sentences commuted to something else."
44,M,Yeah.,M|Yeah.
45,B,Yes.,B|Yes.
46,M,"I mean, it's, it, it may not be the best system but it's the best one that exists.","M|I mean, it's, it, it may not be the best system but it's the best one that exists."
47,B,Uh-huh. Yes.,B|Uh-huh. Yes.
48,M,"But, uh, I don't know, I think that, I'm not a lawyer by any means, but I think, I would think that it's a very important aspect of a civil case.","M|But, uh, I don't know, I think that, I'm not a lawyer by any means, but I think, I would think that it's a very important aspect of a civil case."
49,B,"Right, the first appeal is automatic, so that delays it for a few years just right off the bat.","B|Right, the first appeal is automatic, so that delays it for a few years just right off the bat."
50,M,"Yeah, right.","M|Yeah, right."
51,B,"There's, there's a lot of, you know, last minute, uh, things that happen cause a person not to, have to go through the whole thing.","B|There's, there's a lot of, you know, last minute, uh, things that happen cause a person not to, have to go through the whole thing."
52,M,Uh-uh.,M|Uh-uh.
53,B,"Yes, uh-huh. That's, that's fairly recent, I don't know, how recent, but fairly recent, in the state of Texas. Before that, it was, uh, death by electrocution.","B|Yes, uh-huh. That's, that's fairly recent, I don't know, how recent, but fairly recent, in the state of Texas. Before that, it was, uh, death by electrocution."
54,M,"!!!!,!!Oh!!","M|!!!!,!!Oh!!"
55,B,"Yes, it certainly does.","B|Yes, it certainly does."
56,M,"And, uh.","M|And, uh."
57,B,"Yes, it would almost have to be, I suppose. If you, if you had to chose, I guess I would, I am sure I would take the lethal injection.","B|Yes, it would almost have to be, I suppose. If you, if you had to chose, I guess I would, I am sure I would take the lethal injection."
58,M,Yeah.,M|Yeah.
59,B,"Yes, absolutely.","B|Yes, absolutely."
60,M,"Uh, I don't know, I just, I'm, I've always felt that, uh, uh you know, if, if they would have, uh...","M|Uh, I don't know, I just, I'm, I've always felt that, uh, uh you know, if, if they would have, uh..."
61,B,"It's a, it's a tough question. It really is. I guess, if I had to say yes or no, I would say, you know, yes. I, I would have to lean toward capital punishment, you know, for certain crimes.","B|It's a, it's a tough question. It really is. I guess, if I had to say yes or no, I would say, you know, yes. I, I would have to lean toward capital punishment, you know, for certain crimes."
62,M,Uh-huh.,M|Uh-huh.
63,B,"No, I don't think it's a monetary thing.","B|No, I don't think it's a monetary thing."
64,M,Right.,M|Right.
65,B,"I think, we hope that it will be, you know, some sort of deterrent or, you know, an eye for an eye type thing, or something like that.","B|I think, we hope that it will be, you know, some sort of deterrent or, you know, an eye for an eye type thing, or something like that."
66,M,Right.,M|Right.
67,B,"Some of the crimes are just so brutal and so, you know, useless. This may seem to be the best way out. I don't know.","B|Some of the crimes are just so brutal and so, you know, useless. This may seem to be the best way out. I don't know."
68,M,"Yeah, I, I agree with you.","M|Yeah, I, I agree with you."
69,B,"Easiest way out maybe. No, I don't think it's a monetary thing.","B|Easiest way out maybe. No, I don't think it's a monetary thing."
70,M,Yeah.,M|Yeah.
71,B,"Yes, especially the murder rate, its just gone crazy. Yes.","B|Yes, especially the murder rate, its just gone crazy. Yes."
72,M,"Yeah, I mean, I, I know that. I mean I, it's, I'm, I guess I'm in a, in a real strange mood right now. I'm trying to think of what else we can talk about.","M|Yeah, I mean, I, I know that. I mean I, it's, I'm, I guess I'm in a, in a real strange mood right now. I'm trying to think of what else we can talk about."
73,B,"Absolutely. Yes, I wish I had the answer for that, everybody does.","B|Absolutely. Yes, I wish I had the answer for that, everybody does."
74,M,Uh-huh.,M|Uh-huh.
75,B,"Yes, it's nothing to be proud of, certainly not.","B|Yes, it's nothing to be proud of, certainly not."
76,M,"I, I, I'm sure it's not. I think it's a shame that, uh, you have to have a degree in, uh in, selection of jury, jury selection and that you have a, a very narrow view of, of the jury selection.","M|I, I, I'm sure it's not. I think it's a shame that, uh, you have to have a degree in, uh in, selection of jury, jury selection and that you have a, a very narrow view of, of the jury selection."
77,B,"Yes. Yes, so have we been very, very fortunate.","B|Yes. Yes, so have we been very, very fortunate."
78,M,"Yeah, it, it was a very difficult choice.","M|Yeah, it, it was a very difficult choice."
79,B,That's right. Absolutely.,B|That's right. Absolutely.
80,M,"Uh, and I don't know how you combat that, uh, you, I mean you, you must have a certain frame of thought on it, but I think that, that, you have to have some frame of reason to believe that somebody else is worse.","M|Uh, and I don't know how you combat that, uh, you, I mean you, you must have a certain frame of thought on it, but I think that, that, you have to have some frame of reason to believe that somebody else is worse."
81,B,Uh-huh.,B|Uh-huh.
82,M,but I think that's what we all have to face.,M|but I think that's what we all have to face.
83,B,Absolutely.,B|Absolutely.
84,M,"So, I, I think that, that, um.","M|So, I, I think that, that, um."
85,B,Uh-huh. That's right.,B|Uh-huh. That's right.
86,M,"You know, and I think that's one of the things that's so sad.","M|You know, and I think that's one of the things that's so sad."
87,B,Uh-huh.,B|Uh-huh.
88,M,"but, uh, I think, I don't know, I, I do, I'm not sure I would, I mean, I would like to know that my children, you know, would be okay with it. But, uh.","M|but, uh, I think, I don't know, I, I do, I'm not sure I would, I mean, I would like to know that my children, you know, would be okay with it. But, uh."
89,B,"So would I, I fortunately, I have never been in that circumstance, I hope I never am, like, like everybody else.","B|So would I, I fortunately, I have never been in that circumstance, I hope I never am, like, like everybody else."
90,M,"Uh, yeah.","M|Uh, yeah."
91,B,Uh-huh.,B|Uh-huh.
92,M,"and, um I'm not sure what they do with it. I mean, you can appeal and they can appeal again.","M|and, um I'm not sure what they do with it. I mean, you can appeal and they can appeal again."
93,B,Uh-huh.,B|Uh-huh.
94,M,"and, um.","M|and, um."
95,B,Right.,B|Right.
96,M,"So,","M|So,"
97,B,Uh-huh.,B|Uh-huh.
98,M,and it's just not that people are choosing the jury or that people aren't selected.,M|and it's just not that people are choosing the jury or that people aren't selected.
99,B,"Sure, it's, it's a big responsibility, it really is.","B|Sure, it's, it's a big responsibility, it really is."
100,M,"It really is, and, uh, you know, and I know, I'm, I work in the legal department and, and we have to hire lawyers,","M|It really is, and, uh, you know, and I know, I'm, I work in the legal department and, and we have to hire lawyers,"
101,B,Yes. So would I.,B|Yes. So would I.
102,M,"I think, uh, you know, I think it's probably the right thing to do. I think, I'm not sure, though, that, that the jury system works that way.","M|I think, uh, you know, I think it's probably the right thing to do. I think, I'm not sure, though, that, that the jury system works that way."
103,B,Yes. Absolutely.,B|Yes. Absolutely.
104,M,"But I think that, you know, it, it would be something that you would look into, you would be able to do, you'd be able, you could be able able to make friends with these people,","M|But I think that, you know, it, it would be something that you would look into, you would be able to do, you'd be able, you could be able able to make friends with these people,"
105,B,"It is, it's a tough subject, it really is.","B|It is, it's a tough subject, it really is."
106,M,Yeah.,M|Yeah.
107,B,Right. That's right.,B|Right. That's right.
108,M,"Uh, we're, we've, we have to make ourselves a pact with the people that we find the most ways to help them.","M|Uh, we're, we've, we have to make ourselves a pact with the people that we find the most ways to help them."
109,B,"Well, thank you, it's nice talking to you.","B|Well, thank you, it's nice talking to you."
110,M,You too.,M|You too.
111,B,Uh-huh. Bye-bye.,B|Uh-huh. Bye-bye.
