,Speaker,Utterance,Unified
5,M,you.,M|you.
70,A,"uh, some of those countries were so safe, it was unreal. Singapore is very, supposed to be very safe and, in fact, Tokyo, and I thought Tokyo would be dangerous being such a huge large city with so many people,","A|uh, some of those countries were so safe, it was unreal. Singapore is very, supposed to be very safe and, in fact, Tokyo, and I thought Tokyo would be dangerous being such a huge large city with so many people,"
71,M,Ughuh,M|Ughuh
72,A,"but they, at, at the T I there, I said is there any area I should avoid. And the guy said let me ask another girl here and he turned and asked this girl, and said, can you think of any place where Dana shouldn't go by herself, or anything. And she, she thought for a few minutes and she said, no. And he said is there any place you wouldn't go by yourself. She said, no. And they said, it is so safe there that you can leave your purse on the subway","A|but they, at, at the T I there, I said is there any area I should avoid. And the guy said let me ask another girl here and he turned and asked this girl, and said, can you think of any place where Dana shouldn't go by herself, or anything. And she, she thought for a few minutes and she said, no. And he said is there any place you wouldn't go by yourself. She said, no. And they said, it is so safe there that you can leave your purse on the subway"
73,M,she?,M|she?
74,A,"and somebody will turn it in and, and nothing will be missing. They said they can just about guarantee that there, that, that would happen if you did that. I thought, boy, in America, if you left a purse on a subway, you would never see it again.","A|and somebody will turn it in and, and nothing will be missing. They said they can just about guarantee that there, that, that would happen if you did that. I thought, boy, in America, if you left a purse on a subway, you would never see it again."
75,M,...,M|...
76,A,"Yeah, that's true,","A|Yeah, that's true,"
77,M,i,M|i
78,A,"that's true. But I was thinking boy, in Dallas, if somebody asked me if there were places you wouldn't go by yourself at night, I'd have to set them down for about five or ten minutes to list all the places out.","A|that's true. But I was thinking boy, in Dallas, if somebody asked me if there were places you wouldn't go by yourself at night, I'd have to set them down for about five or ten minutes to list all the places out."
79,M,It.,M|It.
80,A,"I mean, I couldn't believe that she couldn't think of any place. They said, the, apparently the crime, is, just, uh,","A|I mean, I couldn't believe that she couldn't think of any place. They said, the, apparently the crime, is, just, uh,"
81,M,"No, they were talking about the crimes.","M|No, they were talking about the crimes."
82,A,"I'm not sure what it is there. Now, I know what it is in Singapore, is they have the death penalty and they really enforce it,","A|I'm not sure what it is there. Now, I know what it is in Singapore, is they have the death penalty and they really enforce it,"
83,M,,M|
84,A,"like for drugs, for drugs they, they enforce the death penalty for that. Uh, they're just, very, very tough, and I guess maybe that's the way Tokyo is too, or Japan is too. They're just very tough on criminals.","A|like for drugs, for drugs they, they enforce the death penalty for that. Uh, they're just, very, very tough, and I guess maybe that's the way Tokyo is too, or Japan is too. They're just very tough on criminals."
85,M,Japan,M|Japan
86,A,Uh-huh.,A|Uh-huh.
87,M,"No, no, no. They're","M|No, no, no. They're"
88,A,Uh-huh.,A|Uh-huh.
89,M,"That's uh uh, it's a country.","M|That's uh uh, it's a country."
90,A,"Uh-huh, oh yeah.","A|Uh-huh, oh yeah."
91,M,uuhuh.,M|uuhuh.
92,A,Uh-huh.,A|Uh-huh.
93,M,"I mean, uh, yeah.","M|I mean, uh, yeah."
94,A,Uh-huh.,A|Uh-huh.
95,M,Um... I think we can get them out of here.,M|Um... I think we can get them out of here.
96,A,Uh-huh. Right.,A|Uh-huh. Right.
97,M,"We're not all bad, but there are some people who deserve to get out of jail.","M|We're not all bad, but there are some people who deserve to get out of jail."
98,A,"Right, and if they're overcrowded, well, you know they shouldn't have gotten theirself there in the first place.","A|Right, and if they're overcrowded, well, you know they shouldn't have gotten theirself there in the first place."
99,M,"And if they get overcrowded, well, they should have been put away.","M|And if they get overcrowded, well, they should have been put away."
100,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
101,M,,M|
102,A,Uh-huh.,A|Uh-huh.
103,M,...,M|...
104,A,"Oh, yeah, I agree, because it's not fair to those of us that, that deserve a safe, you know, life to have to,","A|Oh, yeah, I agree, because it's not fair to those of us that, that deserve a safe, you know, life to have to,"
105,M,It's a shame that you're getting downvoted.,M|It's a shame that you're getting downvoted.
106,A,Right.,A|Right.
107,M,"No, it's all fair","M|No, it's all fair"
108,A,Uh-huh.,A|Uh-huh.
109,M,It's okay. I'll give you a safe,M|It's okay. I'll give you a safe
110,A,Uh-huh.,A|Uh-huh.
111,M,What if I told you that the laws were harsher?,M|What if I told you that the laws were harsher?
112,A,Uh-huh.,A|Uh-huh.
113,M,Uuhuh.,M|Uuhuh.
114,A,Uh-huh.,A|Uh-huh.
115,M,"Uhhh, you don't know what a joke is.","M|Uhhh, you don't know what a joke is."
116,A,Uh-huh. Right.,A|Uh-huh. Right.
117,M,"Oh no, not you.","M|Oh no, not you."
118,A,"Right, not much.","A|Right, not much."
119,M,You pay them.,M|You pay them.
120,A,"Yeah, huh-uh, and especially not in some of these big cities, like in Dallas I mean they've had, they're up in the top, top five I think of cities that are getting policeman killed on, on, in the line of duty and that's really sad.","A|Yeah, huh-uh, and especially not in some of these big cities, like in Dallas I mean they've had, they're up in the top, top five I think of cities that are getting policeman killed on, on, in the line of duty and that's really sad."
121,M,Not all of them. There are a lot of places where police are not the most effective.,M|Not all of them. There are a lot of places where police are not the most effective.
122,A,Uh-huh.,A|Uh-huh.
123,M,A few hundred dollars a day,M|A few hundred dollars a day
124,A,Uh-huh.,A|Uh-huh.
125,M,How are they?,M|How are they?
126,A,Uh-huh.,A|Uh-huh.
127,M,Uhhh... you are still out there.,M|Uhhh... you are still out there.
