,Speaker,Utterance,Unified
5,M,Are you from Pennsylvania?,M|Are you from Pennsylvania?
54,A,"you know, in terms of, *listen; with previous slash unit? and in terms of housing down here, um, you really have your pick but it's just everything's overpriced for the economy.","A|you know, in terms of, *listen; with previous slash unit? and in terms of housing down here, um, you really have your pick but it's just everything's overpriced for the economy."
55,M,"You have you,","M|You have you,"
56,A,"It really is, I mean we're, we're in a leased town home, and it's, uh, you're probably, your teeth will probably fall out figuratively speaking, it's nine hundred a month.","A|It really is, I mean we're, we're in a leased town home, and it's, uh, you're probably, your teeth will probably fall out figuratively speaking, it's nine hundred a month."
57,M,.,M|.
58,A,"But, you know what, if you, if you get anything under five hundred you get into what they call high density living you know, the big apartment complexes","A|But, you know what, if you, if you get anything under five hundred you get into what they call high density living you know, the big apartment complexes"
59,M,What's your apartment?,M|What's your apartment?
60,A,"and, and I just have no tolerance for that.","A|and, and I just have no tolerance for that."
61,M,"You're right, it's probably your teeth.","M|You're right, it's probably your teeth."
62,A,No.,A|No.
63,M,And you,M|And you
64,A,"Yeah this is, it's like a duplex, like a two by two they call it like in Pittsburgh.","A|Yeah this is, it's like a duplex, like a two by two they call it like in Pittsburgh."
65,M,Are you saying that the people in that area think they're living in the ghetto?,M|Are you saying that the people in that area think they're living in the ghetto?
66,A,"And it's nice but it's, I mean, the girl bought it for a hundred and ten, and now she can't sell it. And our neighbors,","A|And it's nice but it's, I mean, the girl bought it for a hundred and ten, and now she can't sell it. And our neighbors,"
67,M,The neighborhood?,M|The neighborhood?
68,A,"Yeah, I mean, we'll, our neighbors, the attached on the other side, they're very nice, thank God,","A|Yeah, I mean, we'll, our neighbors, the attached on the other side, they're very nice, thank God,"
69,M,"And that's why we're in the market for houses, huh?","M|And that's why we're in the market for houses, huh?"
70,A,they paid fifty-eight for it.,A|they paid fifty-eight for it.
71,M,You should have bought it,M|You should have bought it
72,A,"That's how bad it, I know.","A|That's how bad it, I know."
73,M,How bad is it?,M|How bad is it?
74,A,"That's right. Uh-huh, yeah. I have some friends that live in Westport and it's really, really bad. I mean you,","A|That's right. Uh-huh, yeah. I have some friends that live in Westport and it's really, really bad. I mean you,"
75,M,That is a real place.,M|That is a real place.
76,A,Uh-huh.,A|Uh-huh.
77,M,"Yes, but it's a lot of houses","M|Yes, but it's a lot of houses"
78,A,"How far, where is Clarion County in relation to, actually, because we're considering moving to Pennsylvania","A|How far, where is Clarion County in relation to, actually, because we're considering moving to Pennsylvania"
79,M,"Uh, what?","M|Uh, what?"
80,A,That's not too bad. That's north.,A|That's not too bad. That's north.
81,M,I'm in the middle of Pennsylvania.,M|I'm in the middle of Pennsylvania.
82,A,"Are you going up toward, uh, uh, I'm trying to think of the name of that town that starts with an M, Bradford, no that's too far north.","A|Are you going up toward, uh, uh, I'm trying to think of the name of that town that starts with an M, Bradford, no that's too far north."
83,M,It's a small town in central PA.,M|It's a small town in central PA.
84,A,"So you're, you're not that far north then, okay.","A|So you're, you're not that far north then, okay."
85,M,I live in Bradford.,M|I live in Bradford.
86,A,"Well, you're really not too bad. Yeah.","A|Well, you're really not too bad. Yeah."
87,M,I'm not too good with names,M|I'm not too good with names
88,A,"Um, was it a home that you've had for quite a few years, or that you've,","A|Um, was it a home that you've had for quite a few years, or that you've,"
89,M,"Um, yes.","M|Um, yes."
90,A,"Oh, then you have, yeah. Do you have a lot of land or,","A|Oh, then you have, yeah. Do you have a lot of land or,"
91,M,"I have a house, so I can live in it.","M|I have a house, so I can live in it."
92,A,"Oh, my, well, then.","A|Oh, my, well, then."
93,M,"I don't think it's the same, I've been in it since I was six.","M|I don't think it's the same, I've been in it since I was six."
94,A,"There you go. Did you have a hard time getting used to, do you feel like you live in an isolated area or,","A|There you go. Did you have a hard time getting used to, do you feel like you live in an isolated area or,"
95,M,"I, uh, don't know.","M|I, uh, don't know."
96,A,"Yeah, I think that that's, um, I can remember in Pittsburgh when, this has to do with homes, uh, indirectly but I can remember when Upper Saint Clair was out in the, you know, the rural end of Washington,","A|Yeah, I think that that's, um, I can remember in Pittsburgh when, this has to do with homes, uh, indirectly but I can remember when Upper Saint Clair was out in the, you know, the rural end of Washington,"
97,M,Upper Saint Clare,M|Upper Saint Clare
98,A,and now it's it's a terrible connection.,A|and now it's it's a terrible connection.
99,M,It's not a connection. It's a city,M|It's not a connection. It's a city
100,A,"Oh, well that's okay, um,","A|Oh, well that's okay, um,"
101,M,"I'm not from the area, I'm from Pittsburgh, I don't have a clue about the internet, but I'm not going to","M|I'm not from the area, I'm from Pittsburgh, I don't have a clue about the internet, but I'm not going to"
102,A,"But, but, yeah, substantially, you know. Um, do you like living in an older home and restoring it like that?","A|But, but, yeah, substantially, you know. Um, do you like living in an older home and restoring it like that?"
103,M,"I know.And, we live in an old house.But, I'm in a house with a nice, clean, quiet place.","M|I know.And, we live in an old house.But, I'm in a house with a nice, clean, quiet place."
104,A,How big is it? How many square feet do you have?,A|How big is it? How many square feet do you have?
105,M,"I'm down, I've been looking for a place to live for a while now.","M|I'm down, I've been looking for a place to live for a while now."
106,A,"Well how many rooms do you think, yeah?","A|Well how many rooms do you think, yeah?"
107,M,"Uhh, no. I'm not.","M|Uhh, no. I'm not."
108,A,Uh-huh.,A|Uh-huh.
109,M,I guess you're right.,M|I guess you're right.
110,A,Uh-huh.,A|Uh-huh.
111,M,We're all in a bath.,M|We're all in a bath.
112,A,"A junk room, yeah I understand, we have that too. That's, that's large if your children aren't at home any more.","A|A junk room, yeah I understand, we have that too. That's, that's large if your children aren't at home any more."
113,M,"I think we have one room, but that's all","M|I think we have one room, but that's all"
114,A,That's large if your kids aren't at home any more.,A|That's large if your kids aren't at home any more.
115,M,That is huge,M|That is huge
116,A,Uh-huh.,A|Uh-huh.
117,M,This is a big problem.,M|This is a big problem.
118,A,It's enough space for two people Yeah.,A|It's enough space for two people Yeah.
119,M,What do you mean?,M|What do you mean?
120,A,"Oh, okay.","A|Oh, okay."
121,M,I was joking.,M|I was joking.
122,A,"Yeah, right. That's okay. Well, we've got, um, this town house is pretty big. It's about eighteen hundred square feet. It's got three bedrooms, two and a half baths","A|Yeah, right. That's okay. Well, we've got, um, this town house is pretty big. It's about eighteen hundred square feet. It's got three bedrooms, two and a half baths"
123,M,"Well, they're not out on the street.","M|Well, they're not out on the street."
124,A,"um, it's really nice.","A|um, it's really nice."
125,M,"Well, I don't know.","M|Well, I don't know."
126,A,"Yeah, it is, I mean, I would never buy it but leasing it is fine.","A|Yeah, it is, I mean, I would never buy it but leasing it is fine."
127,M,That's a great deal.,M|That's a great deal.
128,A,"Um, but, it's just again, the, the privacy, you know. Um, we had a house in Minneapolis that was on three acres, and my husband was raised, um, on a working farm near","A|Um, but, it's just again, the, the privacy, you know. Um, we had a house in Minneapolis that was on three acres, and my husband was raised, um, on a working farm near"
129,M,"Well, the owner is a lawyer.","M|Well, the owner is a lawyer."
130,A,"right, near Dayton, Ohio, and he said, you know, he's, he's slowly getting me to, um, not feel isolated if we move to where there's more land.","A|right, near Dayton, Ohio, and he said, you know, he's, he's slowly getting me to, um, not feel isolated if we move to where there's more land."
131,M,... where do you live?,M|... where do you live?
132,A,Right.,A|Right.
133,M,I'm sorry.,M|I'm sorry.
134,A,Uh-huh.,A|Uh-huh.
135,M,You can't have your own land.,M|You can't have your own land.
136,A,"That's kind of what, like his parents have, uh, land that they retired to, um, about a hundred miles out of Atlanta and, in Georgia,","A|That's kind of what, like his parents have, uh, land that they retired to, um, about a hundred miles out of Atlanta and, in Georgia,"
137,M,"He's a big guy, he's got a big gun, he can do whatever he wants.","M|He's a big guy, he's got a big gun, he can do whatever he wants."
138,A,"and it is too far south for me,","A|and it is too far south for me,"
139,M,"Uhh, what about it?","M|Uhh, what about it?"
140,A,"but, um, um, but I mean, they have one of the, um, when they said log cabin, I just laughed, that they retired to, but they built one of these. I mean, it's just beautiful. It's like a custom, you know it's not like what I would think of when I think of old log cabins. You know, I mean, it's modern it's,","A|but, um, um, but I mean, they have one of the, um, when they said log cabin, I just laughed, that they retired to, but they built one of these. I mean, it's just beautiful. It's like a custom, you know it's not like what I would think of when I think of old log cabins. You know, I mean, it's modern it's,"
141,M,LOLGlad.,M|LOLGlad.
142,A,"Right, right, it's modern, it's beautiful, it's country","A|Right, right, it's modern, it's beautiful, it's country"
143,M,"A lot of all of modern, all of course","M|A lot of all of modern, all of course"
144,A,"it's you know, um, but, uh, I don't, what else about housing except it's, uh, well, Pittsburgh's housing economy, I think it's holding it's own.","A|it's you know, um, but, uh, I don't, what else about housing except it's, uh, well, Pittsburgh's housing economy, I think it's holding it's own."
145,M,"It's, is, uh, is","M|It's, is, uh, is"
146,A,"What part, what sections are they in? Yeah, that's nice.","A|What part, what sections are they in? Yeah, that's nice."
147,M,"I think they're in the mountains, but I could be","M|I think they're in the mountains, but I could be"
148,A,Great.,A|Great.
149,M,... and?,M|... and?
150,A,Uh-huh.,A|Uh-huh.
151,M,Which one?,M|Which one?
152,A,"Uh-huh. That's, yeah, a really good friend of mine lives in Penn Hills, and they've been in their house, oh, probably about twelve years now","A|Uh-huh. That's, yeah, a really good friend of mine lives in Penn Hills, and they've been in their house, oh, probably about twelve years now"
153,M,"I'm sorry, but I'm not sure what you mean by that.","M|I'm sorry, but I'm not sure what you mean by that."
154,A,"and, um, it's, it's, you know, they're going to start to see their return on their investment very soon.","A|and, um, it's, it's, you know, they're going to start to see their return on their investment very soon."
155,M,"Uhh, I think you might have the wrong person here.","M|Uhh, I think you might have the wrong person here."
156,A,"Um, but it's a beautiful home and, I mean, my brother lives,","A|Um, but it's a beautiful home and, I mean, my brother lives,"
157,M,"Uuhhh, yes?","M|Uuhhh, yes?"
158,A,is it called Baldwin or Bebble?,A|is it called Baldwin or Bebble?
159,M,"It's, like, beautiful.","M|It's, like, beautiful."
160,A,"I mean, he lives all in that same area going from Mount Lebanon, um, it's real pretty up there. It's just,","A|I mean, he lives all in that same area going from Mount Lebanon, um, it's real pretty up there. It's just,"
161,M,"Oh, that's a pretty cool place.","M|Oh, that's a pretty cool place."
162,A,And the neighborhoods are stable you know.,A|And the neighborhoods are stable you know.
163,M,That's why they call it the North.,M|That's why they call it the North.
164,A,"It's, uh, when you come to this part of the country, we've been away from Dallas long enough that you see the difference in housing.","A|It's, uh, when you come to this part of the country, we've been away from Dallas long enough that you see the difference in housing."
165,M,"Wait, what?","M|Wait, what?"
166,A,"Oh, my goodness.","A|Oh, my goodness."
167,M,This is how I felt when I was married to a guy from Texas.,M|This is how I felt when I was married to a guy from Texas.
168,A,"Uh-huh. That's what it is here, yeah, that's why we're at a point now we've, uh, we're adopting and we have been married ten plus years and what happens is, uh, you just realize that once you get to a certain age the next house that you get we'll be staying in Yeah,","A|Uh-huh. That's what it is here, yeah, that's why we're at a point now we've, uh, we're adopting and we have been married ten plus years and what happens is, uh, you just realize that once you get to a certain age the next house that you get we'll be staying in Yeah,"
169,M,...,M|...
170,A,"that's kind of like where we're,","A|that's kind of like where we're,"
171,M,And we have to move out of,M|And we have to move out of
172,A,"so we're considering Pennsylvania, and we're just kind of, you know, toying with what exactly, where we want to be, you know.","A|so we're considering Pennsylvania, and we're just kind of, you know, toying with what exactly, where we want to be, you know."
173,M,Where are we,M|Where are we
174,A,"A lot of people say it doesn't matter where they live if they have a nice house and, but I disagree with that, I.","A|A lot of people say it doesn't matter where they live if they have a nice house and, but I disagree with that, I."
175,M,"I do, I think it's weird how many people say they don't live in a place that matters.","M|I do, I think it's weird how many people say they don't live in a place that matters."
176,A,Uh-huh.,A|Uh-huh.
177,M,"Well, if you're a native American, you should probably be.","M|Well, if you're a native American, you should probably be."
178,A,"I know, and it, and the economy here in Dallas, I mean, it, it's steady, but it's still not going up.","A|I know, and it, and the economy here in Dallas, I mean, it, it's steady, but it's still not going up."
179,M,"It's because of the economy, not the people.","M|It's because of the economy, not the people."
180,A,"And I, um, I just refuse to buy it, um, if I know I'm not going to be there for at least five years, uh, you, you know.","A|And I, um, I just refuse to buy it, um, if I know I'm not going to be there for at least five years, uh, you, you know."
181,M,"Uhhh, I, uh, I don't know.","M|Uhhh, I, uh, I don't know."
182,A,"Oh, I'm sure, yeah, there, I mean, you can go down a street, and here, he told you this, every other house, you know, if it's been foreclosed on or, you know, even big executives","A|Oh, I'm sure, yeah, there, I mean, you can go down a street, and here, he told you this, every other house, you know, if it's been foreclosed on or, you know, even big executives"
183,M,"I'm, it, I'm, you, that's, I,","M|I'm, it, I'm, you, that's, I,"
184,A,"um, it's really, I mean, and, and it's hard to sell the properties. People from J C Penney's from New York, came here about a couple of years ago.","A|um, it's really, I mean, and, and it's hard to sell the properties. People from J C Penney's from New York, came here about a couple of years ago."
185,M,"I, and, right.","M|I, and, right."
186,A,"And they thought they were getting a great deal, um, because they could get a five hundred thousand dollar home with, they call it, zero lot lines, no property, And it would make you ill to see this.","A|And they thought they were getting a great deal, um, because they could get a five hundred thousand dollar home with, they call it, zero lot lines, no property, And it would make you ill to see this."
187,M,"I'll, yuh, money","M|I'll, yuh, money"
188,A,"I mean it would probably be like your house on, uh, you know, a half a city block in Pittsburgh or something.","A|I mean it would probably be like your house on, uh, you know, a half a city block in Pittsburgh or something."
189,M,The,M|The
190,A,"Yeah, I know, and that's, you know, like I can look outside right now and look into the next unit.","A|Yeah, I know, and that's, you know, like I can look outside right now and look into the next unit."
191,M,It's like you can see the future.,M|It's like you can see the future.
192,A,"You know, it's across the way, and it's landscaped and all that with azaleas,","A|You know, it's across the way, and it's landscaped and all that with azaleas,"
193,M,"Hey, you know, you can look at the other side of the wall, and it'll look right back at you","M|Hey, you know, you can look at the other side of the wall, and it'll look right back at you"
194,A,"but it's still, it's still not that private.","A|but it's still, it's still not that private."
195,M,"It's still, it's not that bad","M|It's still, it's not that bad"
196,A,Yeah but you have a rider.,A|Yeah but you have a rider.
197,M,There's no such thing as a bad time for me.,M|There's no such thing as a bad time for me.
198,A,"No, and your kids have, to tell you the truth, um, I think that if you can keep that, that way, you know, kind of like a homestead,","A|No, and your kids have, to tell you the truth, um, I think that if you can keep that, that way, you know, kind of like a homestead,"
