,Speaker,Utterance,Unified
5,M,I live in Planos,M|I live in Planos
38,A,Uh-huh. Right. Uh-huh.,A|Uh-huh. Right. Uh-huh.
39,M,Um hmm,M|Um hmm
40,A,"To, to compensate for some of the benefits.","A|To, to compensate for some of the benefits."
41,M,Why do you hate free?,M|Why do you hate free?
42,A,Oh.,A|Oh.
43,M,I'm a doctor.,M|I'm a doctor.
44,A,Yes.,A|Yes.
45,M,Wait. You don't need insurance for a month?,M|Wait. You don't need insurance for a month?
46,A,"Well, that, that's an excellent, so actually that is a benefit, uh,","A|Well, that, that's an excellent, so actually that is a benefit, uh,"
47,M,"No, I mean like I get to work 7 days a week, and then I can't work 7.5 days a month.","M|No, I mean like I get to work 7 days a week, and then I can't work 7.5 days a month."
48,A,Yeah.,A|Yeah.
49,M,I think it's a benefit of being a'long time'employee.,M|I think it's a benefit of being a'long time'employee.
50,A,"Right. Right, well I guess that's a good point, uh,","A|Right. Right, well I guess that's a good point, uh,"
51,M,I'm just not really interested in any of that.,M|I'm just not really interested in any of that.
52,A,"I do belong to a, a large corporation or my, that where I'm currently employed and there's, uh, there's some different things, uh, one that you've already mentioned is, is health insurance. I think through our health insurance that I can get better rates as a, through a group plan as opposed to going out and getting health insurance on an individual basis because I had to do that at one time when I wasn't employed with a large corporation","A|I do belong to a, a large corporation or my, that where I'm currently employed and there's, uh, there's some different things, uh, one that you've already mentioned is, is health insurance. I think through our health insurance that I can get better rates as a, through a group plan as opposed to going out and getting health insurance on an individual basis because I had to do that at one time when I wasn't employed with a large corporation"
53,M,I,M|I
54,A,"and that got to be somewhat expensive, so I I think one of the benefits I, I see is the, uh, is the group, uh, group discount.","A|and that got to be somewhat expensive, so I I think one of the benefits I, I see is the, uh, is the group, uh, group discount."
55,M,It's a business.,M|It's a business.
56,A,Yes.,A|Yes.
57,M,Yup.,M|Yup.
58,A,"Yes, and that's, that's one thing I do have.","A|Yes, and that's, that's one thing I do have."
59,M,But you have the option to be in a family or a group.,M|But you have the option to be in a family or a group.
60,A,"If I didn't have a family, I don't think I would have, as, as a male or as a, as an individual of, in this stage of my life, I don't think I would have insurance, uh, other,","A|If I didn't have a family, I don't think I would have, as, as a male or as a, as an individual of, in this stage of my life, I don't think I would have insurance, uh, other,"
61,M,"I mean, you don't have to be rich to have insurance.","M|I mean, you don't have to be rich to have insurance."
62,A,"I don't think I would go through that expense. One other benefit that you mentioned is the flexible work hours and in my previous job, I really enjoyed because they had what was called flex schedule where I could go and I could work, uh, nine hour days and have like Friday only work four hours","A|I don't think I would go through that expense. One other benefit that you mentioned is the flexible work hours and in my previous job, I really enjoyed because they had what was called flex schedule where I could go and I could work, uh, nine hour days and have like Friday only work four hours"
63,M,I,M|I
64,A,"or I could do, uh, work four days a week at ten hours a day and have a, you know, three day weekend. And make, uh, make my job flexible in that case.","A|or I could do, uh, work four days a week at ten hours a day and have a, you know, three day weekend. And make, uh, make my job flexible in that case."
65,M,"Work, I'm, uh, yeah, yeah","M|Work, I'm, uh, yeah, yeah"
66,A,"Well, basically, yeah I had to do, that, uh, the same, uh, for about every quarter of the year. I mean uh, because I was in a, in a position of management I had responsibilities over people that, uh, I needed to make my schedule, uh, so that if I was not there I would have coverage by some other management personnel,","A|Well, basically, yeah I had to do, that, uh, the same, uh, for about every quarter of the year. I mean uh, because I was in a, in a position of management I had responsibilities over people that, uh, I needed to make my schedule, uh, so that if I was not there I would have coverage by some other management personnel,"
67,M,,M|
68,A,"so, so I, I think that, uh, that was a, that was an excellent benefit that I really enjoyed","A|so, so I, I think that, uh, that was a, that was an excellent benefit that I really enjoyed"
69,M,"You,","M|You,"
70,A,"and I don't have that in my current operation, but, uh, you mentioned, uh, flexible work schedule and that's, that's good.","A|and I don't have that in my current operation, but, uh, you mentioned, uh, flexible work schedule and that's, that's good."
71,M,"I'd have a, uh, uh.","M|I'd have a, uh, uh."
72,A,"And, uh, what other benefits do you think are important?","A|And, uh, what other benefits do you think are important?"
73,M,"Yeah, uh, I don't, uh, I don t, I think, uh...","M|Yeah, uh, I don't, uh, I don t, I think, uh..."
74,A,"Yeah, yeah, that's true.","A|Yeah, yeah, that's true."
75,M,"You said, uh, retirement, and I said, uhh, you said...","M|You said, uh, retirement, and I said, uhh, you said..."
76,A,"Well, and that's an individual thing.","A|Well, and that's an individual thing."
77,M,"Well, I'm sure that's why I'm still in school.","M|Well, I'm sure that's why I'm still in school."
78,A,"Yeah, with, uh, with our current, uh, organization, we do have a nice retirement package and also a, a nice thing that, that we have in our corporation is a, uh, is a profit sharing plan where we can, uh, participate in the, the profits of the company. If we're, you know, if we've been there a while and we're vested, uh, which means that, you know, we have a, an interest, uh, in the company that we can, uh, get some of the benefits of the, either the profit high times or, or in a sense, suffer during the low times","A|Yeah, with, uh, with our current, uh, organization, we do have a nice retirement package and also a, a nice thing that, that we have in our corporation is a, uh, is a profit sharing plan where we can, uh, participate in the, the profits of the company. If we're, you know, if we've been there a while and we're vested, uh, which means that, you know, we have a, an interest, uh, in the company that we can, uh, get some of the benefits of the, either the profit high times or, or in a sense, suffer during the low times"
79,M,i,M|i
80,A,"and, uh, also, uh, in one of my wife's, uh, companies where she worked, they'd had a real nice profit sharing plan that, that,","A|and, uh, also, uh, in one of my wife's, uh, companies where she worked, they'd had a real nice profit sharing plan that, that,"
