,Speaker,Utterance,Unified
5,M,you?,M|you?
24,A,I have a thirteen year old daughter and so we go bike riding and it's nice. We get to spend some time together rather than I go to the gym while she does her homework.,A|I have a thirteen year old daughter and so we go bike riding and it's nice. We get to spend some time together rather than I go to the gym while she does her homework.
25,M,What are you doing for a week?,M|What are you doing for a week?
26,A,"So I've enjoyed that part of it. Yeah. And at the gym, even in the class, uh, I, it's not really a group where you chat a lot. Everybody's on their way to someplace","A|So I've enjoyed that part of it. Yeah. And at the gym, even in the class, uh, I, it's not really a group where you chat a lot. Everybody's on their way to someplace"
27,M,I'm,M|I'm
28,A,"and so, you know, I do  have one friend who goes occasionally","A|and so, you know, I do  have one friend who goes occasionally"
29,M,It's not.,M|It's not.
30,A,"but, basically, I do it by myself in a group of maybe forty  so.","A|but, basically, I do it by myself in a group of maybe forty  so."
31,M,"Yeah, it's a bit of a problem, but I'm not going to be alone in the gym","M|Yeah, it's a bit of a problem, but I'm not going to be alone in the gym"
32,A,"There are, there are.  It's more motivating that way, I think. Yeah.","A|There are, there are.  It's more motivating that way, I think. Yeah."
33,M,"Oh, you know.","M|Oh, you know."
34,A,You could get a tape probably and do it at home in front of the T V but you probably wouldn't.,A|You could get a tape probably and do it at home in front of the T V but you probably wouldn't.
35,M,I could probably get a tv in the middle of a city.,M|I could probably get a tv in the middle of a city.
36,A,So.,A|So.
37,M,Yes.Yes.But.If you have a tape and can't do it.,M|Yes.Yes.But.If you have a tape and can't do it.
38,A,Yeah.,A|Yeah.
39,M,"You could also use a tape recorder, maybe.","M|You could also use a tape recorder, maybe."
40,A,"Yeah,  yeah, I can see it'll be a good break.","A|Yeah,  yeah, I can see it'll be a good break."
41,M,"yeah, yeah","M|yeah, yeah"
42,A,Right.,A|Right.
43,M,He said it,M|He said it
44,A,Uh-huh,A|Uh-huh
45,M,You're welcome.,M|You're welcome.
46,A,I think you do. You feel very good after you exercise.  I think  it's worth making the time for yourself.,A|I think you do. You feel very good after you exercise.  I think  it's worth making the time for yourself.
47,M,I feel like I can go back to sleep.,M|I feel like I can go back to sleep.
48,A,You owe it to yourself,A|You owe it to yourself
49,M,"I don't know, I just do.","M|I don't know, I just do."
50,A,and I think you do accomplish more after that.,A|and I think you do accomplish more after that.
51,M,I think so.You do.You feel very happy.You are.full of.yourself.For.the.full.time.you are.alone.You have a nice.life.You deserve.it.You owe.it to.it.,M|I think so.You do.You feel very happy.You are.full of.yourself.For.the.full.time.you are.alone.You have a nice.life.You deserve.it.You owe.it to.it.
52,A,"And I think that it's just is good for your self-esteem, for everything because when you look better, you feel better and it's just, uh, I think it's well worth it. I just demand that time for myself. Now I've learned to do that","A|And I think that it's just is good for your self-esteem, for everything because when you look better, you feel better and it's just, uh, I think it's well worth it. I just demand that time for myself. Now I've learned to do that"
53,M,I think it is.,M|I think it is.
54,A,"and, you know, and it's, I think it just benefits you all around. So.","A|and, you know, and it's, I think it just benefits you all around. So."
55,M,"Yes, I think I do.","M|Yes, I think I do."
56,A,You have to. Because   there's always more things to do.,A|You have to. Because   there's always more things to do.
57,M,What is that?,M|What is that?
58,A,"There is always things that you can make priority to it but I just, I don't demand a lot for myself and so you know, I just feel entitled to it","A|There is always things that you can make priority to it but I just, I don't demand a lot for myself and so you know, I just feel entitled to it"
59,M,"Well, I think there's more to it.","M|Well, I think there's more to it."
60,A,and I take it  so.,A|and I take it  so.
61,M,You dont have to,M|You dont have to
62,A,"No, I've done some walking with friends in the past.","A|No, I've done some walking with friends in the past."
63,M,Have you?,M|Have you?
64,A,"But I find that when you do that, you do more chatting than you do exercise","A|But I find that when you do that, you do more chatting than you do exercise"
65,M,I do a lot of walking.,M|I do a lot of walking.
66,A,"and that's not really beneficial, so, uh I don't have time like that","A|and that's not really beneficial, so, uh I don't have time like that"
67,M,I'm not too sure.,M|I'm not too sure.
68,A,"and I spend enough time chatting around everywhere, you know","A|and I spend enough time chatting around everywhere, you know"
