,Speaker,Utterance,Unified
5,M,You,M|You
90,A,Maybe.,A|Maybe.
91,M,... are you sure?,M|... are you sure?
92,A,Yeah.,A|Yeah.
93,M,Do you have a tablet?,M|Do you have a tablet?
94,A,"You think? I don't know, well, I mean, I think we've kind of, you know,","A|You think? I don't know, well, I mean, I think we've kind of, you know,"
95,M,You're not the only one.,M|You're not the only one.
96,A,"I mean, everybody, everybody everybody has a computer.","A|I mean, everybody, everybody everybody has a computer."
97,M,It's the internet. Everyone has a laptop.,M|It's the internet. Everyone has a laptop.
98,A,We would no longer need paper at all.,A|We would no longer need paper at all.
99,M,We use paper,M|We use paper
100,A,I would love that.,A|I would love that.
