,Word,Conc.M
600,less,2.77
602,phone,4.86
603,meme,2.92
606,pattern,3.92
607,vertically,3.63
608,pineapple,4.94
611,seeing,3.48
612,without,2.15
613,kid,4.56
614,angles,3.59
615,exact,2.54
616,several,3.0
619,journey,2.57
622,doctor,4.69
623,site,4.56
625,toward,2.28
626,shape,3.14
629,yesterday,3.0
632,climb,4.11
633,trolling,3.04
634,apache,3.88
637,body,4.79
638,lucky,1.76
642,easier,1.62
644,method,2.41
645,vein,4.63
648,stopped,3.25
650,read,3.56
652,parallel,3.16
653,mister,3.15
654,garage,4.96
655,bonfire,4.83
658,path,4.41
659,luck,1.33
660,care,2.33
661,radius,3.61
664,regular,2.4
665,built,3.5
666,raven,4.86
670,grove,4.76
673,run,4.31
674,open,3.21
675,understood,2.28
677,hour,3.1
679,believe,1.55
680,watched,3.14
681,kite,5.0
682,lower,2.76
688,prefer,1.62
689,band,4.68
690,laid,3.6
691,fix,2.93
692,bandaid,4.62
693,shut,3.38
694,case,3.93
698,sea,4.79
700,ability,1.81
704,stick,4.59
705,life,2.69
707,fence,4.82
711,change,2.89
713,risk,1.63
717,image,3.85
718,boathouse,4.78
719,drop,4.21
720,woods,4.87
721,cover,4.23
722,happen,1.78
723,half,3.27
724,week,3.48
725,scythe,4.29
728,quarter,4.43
729,tank,4.8
731,action,2.86
732,baby,5.0
733,child,4.78
734,winded,2.76
737,mile,3.63
739,grave,4.56
740,curved,3.35
741,detailed,2.27
743,fish,5.0
744,saw,4.46
745,photo,4.93
746,weapon,4.76
748,footbridge,4.81
749,flow,3.72
750,poison,4.27
752,nuke,4.0
753,eastward,4.15
754,item,4.41
755,westward,3.68
757,slate,4.58
758,straighten,3.72
759,nearest,3.0
760,centimeter,4.13
761,tent,4.96
762,island,4.96
763,clue,2.93
764,woman,4.46
765,today,2.57
766,stretch,3.62
767,call,4.0
768,dragon,4.39
770,dine,3.37
773,mule,5.0
776,metal,4.87
778,click,4.03
779,country,4.17
780,crazy,2.37
781,crime,3.03
783,accomplish,2.33
785,underneath,3.71
786,server,4.55
788,deck,4.77
789,explain,1.97
790,easy,2.07
791,board,4.57
792,test,3.93
794,pray,3.21
795,process,2.93
799,view,3.21
800,triangle,4.52
801,online,3.35
802,verify,2.1
803,word,3.56
804,order,2.79
805,smart,1.75
807,sky,4.45
809,drill,4.4
810,dumpster,4.68
811,conclusion,2.11
812,trash,4.7
813,jeep,4.8
814,screenshot,4.65
815,though,1.2
817,version,1.7
818,prove,1.83
820,shrine,4.47
822,willing,2.07
824,gravel,5.0
827,fake,1.97
828,roll,4.16
829,vertical,3.48
830,hang,3.7
833,confirm,2.15
834,anyone,2.7
836,story,3.3
839,imagine,1.53
840,honest,1.66
842,those,2.32
843,inventory,3.74
845,tiny,3.11
846,turns,3.41
847,went,2.25
848,pond,4.9
849,needs,2.25
851,fault,2.41
853,initial,3.03
855,post,4.3
857,enemy,2.83
858,amazing,1.55
859,plenty,2.39
860,steam,4.5
862,soon,1.79
864,sentence,3.57
865,horizontal,3.46
866,happening,2.1
867,direction,2.79
868,background,3.26
869,slab,4.29
870,monster,3.72
871,size,3.13
873,encampment,3.82
874,rough,3.83
875,rapid,3.07
876,stay,2.15
877,moment,1.61
880,estimate,2.65
881,distance,3.17
882,afford,1.83
883,wheel,4.86
884,cacti,4.5
885,dirt,4.86
887,curious,1.75
891,hero,3.07
892,thanks,2.15
894,facility,3.58
896,hotdog,5.0
897,type,3.3
898,mistake,1.97
899,enough,1.33
900,arc,4.14
901,pool,4.77
903,model,4.53
904,else,1.63
905,everything,2.3
906,salt,4.89
907,dancer,4.75
908,noose,4.52
910,surprised,2.5
911,clever,1.79
913,show,3.97
916,inch,4.37
917,baker,4.71
918,club,3.78
919,outlaw,3.61
920,palace,4.57
921,friend,3.07
922,nest,4.86
924,cove,4.57
926,gym,4.83
929,rancher,4.83
930,locked,4.43
935,ask,2.52
938,wild,2.41
939,yourself,4.39
941,kind,2.07
945,deal,3.1
948,lefty,3.32
950,bed,5.0
951,arrange,2.79
952,speak,3.7
958,shack,4.93
959,please,1.64
961,freedom,2.34
962,museum,4.6
963,statue,4.93
964,monument,4.58
965,hate,1.97
967,castle,4.96
968,native,3.03
969,bulge,3.92
975,earth,4.8
976,sixty,3.56
977,three,3.62
978,twice,2.93
979,times,2.07
981,green,4.07
983,speaker,4.69
984,profile,3.1
985,own,1.96
986,his,3.14
987,sound,3.7
988,beacon,4.38
989,layout,3.38
990,ice,4.89
991,empire,3.0
992,moon,4.9
993,bug,5.0
994,single,3.27
995,reputation,1.64
997,bath,4.85
1000,flagship,3.89
1001,gasp,4.15
1003,roman,3.33
1004,conceal,3.19
1005,concealment,2.52
1007,better,1.91
1009,letter,4.7
1010,add,3.0
1011,private,2.72
1013,camper,4.63
1015,hideaway,3.56
1016,walking,4.29
1020,possible,1.56
1022,beginning,2.5
1024,thinking,1.96
1025,mill,4.72
1026,disagree,2.77
1027,accidentally,1.71
1028,upside,2.62
1031,desert,4.86
1033,forth,2.38
1034,watch,4.61
1035,nothing,2.21
1036,front,3.77
1038,shirt,4.94
1039,wearing,3.59
1041,fact,2.72
1043,train,4.79
1046,volcano,4.75
1047,elevation,3.79
1049,achievement,2.37
1050,chance,1.64
1051,reference,2.38
