,Speaker,Utterance,Unified
5,f,to the right,f|to the right
118,M,I don't know what that means,M|I don't know what that means
119,f,mmhmm,f|mmhmm
120,M,I think it's a little too late for that.,M|I think it's a little too late for that.
121,f,the left,f|the left
122,M,the right,M|the right
123,f,towards the you mean under the concealed hideout,f|towards the you mean under the concealed hideout
124,M,to the left?,M|to the left?
125,f,right i'm going along under the i'm now at the bottom left-hand corner of the the concealed hideout right,f|right i'm going along under the i'm now at the bottom left-hand corner of the the concealed hideout right
126,M,"in the corner where you're standing, where the top right corner is","M|in the corner where you're standing, where the top right corner is"
127,f,right,f|right
128,M,right where?,M|right where?
129,f,uh-huh,f|uh-huh
130,M,huh look down,M|huh look down
131,f,straight down from where,f|straight down from where
132,M,I think you meant to say up from the curve,M|I think you meant to say up from the curve
133,f,uh-huh uh-huh,f|uh-huh uh-huh
134,M,uhuhuh uhuh,M|uhuhuh uhuh
135,f,mmhmm,f|mmhmm
136,M,i'll go to the bay,M|i'll go to the bay
137,f,mmhmm,f|mmhmm
138,M,huhuhuhhuhhh,M|huhuhuhhuhhh
139,f,eh uh-huh,f|eh uh-huh
140,M,"yeah, it's pretty fun","M|yeah, it's pretty fun"
141,f,well i mean i will have in a minute once i see where you're going,f|well i mean i will have in a minute once i see where you're going
142,M,it's not a good idea to trade with people that don't have the ability to trade pokemon with you.,M|it's not a good idea to trade with people that don't have the ability to trade pokemon with you.
143,f,no,f|no
144,M,do you have a coconut palm?,M|do you have a coconut palm?
145,f,uh-huh,f|uh-huh
146,M,i have the treecko,M|i have the treecko
147,f,it's good bit further down opposite the other boat house but further down,f|it's good bit further down opposite the other boat house but further down
148,M,Where is it?,M|Where is it?
149,f,ah you still i still don't know where your boat house is,f|ah you still i still don't know where your boat house is
150,M,"I've been to that boat house, but I'm still not sure.","M|I've been to that boat house, but I'm still not sure."
151,f,i'm right crane bay there's two sort of little inlets in it at the top of it,f|i'm right crane bay there's two sort of little inlets in it at the top of it
152,M,oh right boat house. i've got to go now,M|oh right boat house. i've got to go now
153,f,"above bay and above the ""c"" of crane right","f|above bay and above the ""c"" of crane right"
154,M,where is the boat house?,M|where is the boat house?
155,f,see where i mean,f|see where i mean
156,M,where's the airlock?,M|where's the airlock?
157,f,and eh i'm just above that bit of land in between there the curved bit of land,f|and eh i'm just above that bit of land in between there the curved bit of land
158,M,there is no ground,M|there is no ground
159,f,mmhmm,f|mmhmm
160,M,yeah but you can't really go up that,M|yeah but you can't really go up that
161,f,which direction,f|which direction
162,M,it's a curve,M|it's a curve
163,f,right,f|right
164,M,left,M|left
165,f,mmhmm mmhmm,f|mmhmm mmhmm
166,M,It's the circle of life,M|It's the circle of life
167,f,right,f|right
168,M,left and right,M|left and right
169,f,uh-huh,f|uh-huh
170,M,it's not a right,M|it's not a right
171,f,mmhmm,f|mmhmm
172,M,right where you are now,M|right where you are now
173,f,towards the pebbled shore,f|towards the pebbled shore
174,M,what time?,M|what time?
175,f,straight towards it,f|straight towards it
176,M,where are you going?,M|where are you going?
177,f,mmhmm,f|mmhmm
178,M,I don't think you'll be able to get through the fence.,M|I don't think you'll be able to get through the fence.
179,f,mmhmm,f|mmhmm
180,M,how far do you want me to go?,M|how far do you want me to go?
181,f,mmhmm,f|mmhmm
182,M,till then,M|till then
183,f,i'm above the pebbled shore to the left of it,f|i'm above the pebbled shore to the left of it
184,M,i'll be right over,M|i'll be right over
185,f,mmhmm,f|mmhmm
186,M,"no, i'm going to the right","M|no, i'm going to the right"
187,f,right have you got washed stones at all,f|right have you got washed stones at all
188,M,"yes, they are all washed","M|yes, they are all washed"
189,f,okay am i below the pebbled shore,f|okay am i below the pebbled shore
190,M,sounds good to me,M|sounds good to me
191,f,to the left of it,f|to the left of it
192,M,what where,M|what where
193,f,and eh,f|and eh
194,M,oh oh oh oh,M|oh oh oh oh
195,f,beside the left-hand side of the page,f|beside the left-hand side of the page
196,M,what is this a reference to?,M|what is this a reference to?
197,f,right,f|right
198,M,right side of page,M|right side of page
199,f,mmhmm just to just beside me just to the right of me now,f|mmhmm just to just beside me just to the right of me now
200,M,Where's your stone?,M|Where's your stone?
201,f,uh-huh,f|uh-huh
202,M,"yea, u have a new one, u need to curve the the ship to the other side,","M|yea, u have a new one, u need to curve the the ship to the other side,"
203,f,the eh the bay bit that the flagship's in,f|the eh the bay bit that the flagship's in
204,M,what part?,M|what part?
205,f,mmhmm,f|mmhmm
206,M,uhhuh?,M|uhhuh?
207,f,okay okay there you go,f|okay okay there you go
208,M,"there is no curve around the base, theres a curve in the base","M|there is no curve around the base, theres a curve in the base"
209,f,aye,f|aye
