,Speaker,Utterance,Unified
5,M,Yeah. Uh-hue.,M|Yeah. Uh-hue.
32,A,Yeah.,A|Yeah.
33,M,"And, uh, I don, I'm not too sure that, that's the main difference between the N I S A and the other newspapers.","M|And, uh, I don, I'm not too sure that, that's the main difference between the N I S A and the other newspapers."
34,A,Yeah that's true that's very true That's and that's the way I guess most of the um the political organizations work you know the same I know the abortion issue with right to life and right to choose,A|Yeah that's true that's very true That's and that's the way I guess most of the um the political organizations work you know the same I know the abortion issue with right to life and right to choose
35,M,"!!! Reminder!! There's an!!I know, there's an old saying that if you give someone the right to make choices they will vote for you.","M|!!! Reminder!! There's an!!I know, there's an old saying that if you give someone the right to make choices they will vote for you."
36,A,and and both of them are both want the extent of extremes so that they don't give anything for a balance you know there's there's always that difficulty,A|and and both of them are both want the extent of extremes so that they don't give anything for a balance you know there's there's always that difficulty
37,M,"Yeah, yeah.","M|Yeah, yeah."
38,A,Um I would say I'm probably liberal yeah,A|Um I would say I'm probably liberal yeah
39,M,Yeah,M|Yeah
40,A,yeah Sure,A|yeah Sure
41,M,"Okay, well, uh, I'm not so sure that I agree with that wholeheartedly. Uh, I think that we should have more prisons and I think there should be more.","M|Okay, well, uh, I'm not so sure that I agree with that wholeheartedly. Uh, I think that we should have more prisons and I think there should be more."
42,A,"Well I'll tell you. I I think you know if they if they didn't give as much coverage to these idiots that burn the flag, it would never happen do you know what I mean?","A|Well I'll tell you. I I think you know if they if they didn't give as much coverage to these idiots that burn the flag, it would never happen do you know what I mean?"
43,M,I know.,M|I know.
44,A,It's only because they make a big stink over it. But I I guess actually I believe that if somebody wants to burn the flag I guess that's their opportunity They're they're they're right in the sense of freedom of speech But I would never,A|It's only because they make a big stink over it. But I I guess actually I believe that if somebody wants to burn the flag I guess that's their opportunity They're they're they're right in the sense of freedom of speech But I would never
45,M,Right.,M|Right.
46,A,Yeah.,A|Yeah.
47,M,"I, I don't know. I, I'm not really for it. I don, I mean, I think, I,","M|I, I don't know. I, I'm not really for it. I don, I mean, I think, I,"
48,A,"Yeah. Well it's that they I think the idea of freedom of speech goes back to and I uh uh the the the whole aspect of being able to display your uh your ideas you know the what the country stands on America stands on is that they can do that Uh, though I would never even consider it in a million years to do it myself I I I think uh you know but I I still what the flag stands for I guess to me is that if somebody wants to voice their opinion or display their opinion openly and if that is a a way that they can show their opinion then they should be allowed uh","A|Yeah. Well it's that they I think the idea of freedom of speech goes back to and I uh uh the the the whole aspect of being able to display your uh your ideas you know the what the country stands on America stands on is that they can do that Uh, though I would never even consider it in a million years to do it myself I I I think uh you know but I I still what the flag stands for I guess to me is that if somebody wants to voice their opinion or display their opinion openly and if that is a a way that they can show their opinion then they should be allowed uh"
49,M,"Yeah, yeah.","M|Yeah, yeah."
50,A,Unless the burn unless the actual fire hinders somebody's health and well-being you know but I I think that's I guess that's I that's my opinion Yeah I guess you feel differently.,A|Unless the burn unless the actual fire hinders somebody's health and well-being you know but I I think that's I guess that's I that's my opinion Yeah I guess you feel differently.
51,M,"Yeah I don't, I don, I, I think, uh, uh I don'member the, the burning of the flag,","M|Yeah I don't, I don, I, I think, uh, uh I don'member the, the burning of the flag,"
52,A,"Uh, no but I think that's that's uh it's that's taxpayer's money. If somebody buys their own flag and and burns it that's fine but that that's you know that's destruction and of uh public property and whatever.","A|Uh, no but I think that's that's uh it's that's taxpayer's money. If somebody buys their own flag and and burns it that's fine but that that's you know that's destruction and of uh public property and whatever."
53,M,"Well, that's true.","M|Well, that's true."
54,A,No I don't know I guess the symbolism oh I think what America stands for is the right to be able to disagree with the government.,A|No I don't know I guess the symbolism oh I think what America stands for is the right to be able to disagree with the government.
55,M,Right.,M|Right.
56,A,Uh I think that's what's made democracy,A|Uh I think that's what's made democracy
57,M,Yeah.,M|Yeah.
58,A,Yeah. Uh-huh. Yeah. Well that's that's true,A|Yeah. Uh-huh. Yeah. Well that's that's true
59,M,"Uh,","M|Uh,"
60,A,Yeah But I think I I Yeah I I I guess the idea you know they always keep saying like the framers. Um. there uh one of the Republican the appointees for the the judicial bench and they always talk about they feel that this person believes in the framing of the constitution what the original framers the ideals the original framers set down.,A|Yeah But I think I I Yeah I I I guess the idea you know they always keep saying like the framers. Um. there uh one of the Republican the appointees for the the judicial bench and they always talk about they feel that this person believes in the framing of the constitution what the original framers the ideals the original framers set down.
61,M,Uh-hue,M|Uh-hue
62,A,And Um I believe that the idea of burning the flag is is in,A|And Um I believe that the idea of burning the flag is is in
63,M,"Uh, what do you think of the Civil War?","M|Uh, what do you think of the Civil War?"
64,A,my understanding of how it was framed is that you this the thing about this country is that you can disagree with its government and you can display that.,A|my understanding of how it was framed is that you this the thing about this country is that you can disagree with its government and you can display that.
65,M,Yeah.,M|Yeah.
66,A,"Uh, I Yeah, I and and so that as a freedom of expression and speech and whatever I I think that that's viable. Um as long as it's your flag and and you've made your your point. I think. Yeah Because, realistically, like for you for you you don't think it's right","A|Uh, I Yeah, I and and so that as a freedom of expression and speech and whatever I I think that that's viable. Um as long as it's your flag and and you've made your your point. I think. Yeah Because, realistically, like for you for you you don't think it's right"
67,M,"No, I don't. I donno. I mean, I, I think it would be good if it was a, a flag that said freedom of speech,","M|No, I don't. I donno. I mean, I, I think it would be good if it was a, a flag that said freedom of speech,"
68,A,"And I would never do it. I I love this country too much, and that symbol means a lot to me.","A|And I would never do it. I I love this country too much, and that symbol means a lot to me."
69,M,Right.,M|Right.
70,A,Um. But I guess it's just one of those things where if they if that's what's something it's a need for them you know.,A|Um. But I guess it's just one of those things where if they if that's what's something it's a need for them you know.
71,M,Yeah.,M|Yeah.
72,A,Yeah. Yes. No.,A|Yeah. Yes. No.
73,M,"And, uh, I don't know, I, I think that's one thing that's important.","M|And, uh, I don't know, I, I think that's one thing that's important."
74,A,Right. Yeah. Uh huh.,A|Right. Yeah. Uh huh.
75,M,"Uh, and I don't think that the government should, uh, uh, excuse me, excuse me. The, the, the power structure of the United States is not as, uh uh, as powerful as it should be.","M|Uh, and I don't think that the government should, uh, uh, excuse me, excuse me. The, the, the power structure of the United States is not as, uh uh, as powerful as it should be."
76,A,Uh huh.,A|Uh huh.
77,M,and I don't want them to have to live here.,M|and I don't want them to have to live here.
78,A,Yeah.,A|Yeah.
79,M,"And, uh, I'm not sure what the colors were, but, uh.","M|And, uh, I'm not sure what the colors were, but, uh."
80,A,I agree there too. I agree with you there too. I I the um I I it's I find it you know personally disgusting But I don't think that I don't think that uh we have a right to stop somebody from that you know,A|I agree there too. I agree with you there too. I I the um I I it's I find it you know personally disgusting But I don't think that I don't think that uh we have a right to stop somebody from that you know
81,M,No.,M|No.
82,A,"the same I don't know I guess I get I get uh all mixed up inside. when, Yeah","A|the same I don't know I guess I get I get uh all mixed up inside. when, Yeah"
83,M,"Yeah. I do, too.","M|Yeah. I do, too."
84,A,"it when it's uh it's an emotional issue, and you sit and you try and think about it logically and and and you know you try to say to yourself now emotionally this is a disgusting thing, uh but logically um even you know for instance, the pro life pro choice movement, uh you know I don't know anybody that actually supports abortion, but they would vote pro choice.","A|it when it's uh it's an emotional issue, and you sit and you try and think about it logically and and and you know you try to say to yourself now emotionally this is a disgusting thing, uh but logically um even you know for instance, the pro life pro choice movement, uh you know I don't know anybody that actually supports abortion, but they would vote pro choice."
85,M,"Uh, that's true.","M|Uh, that's true."
86,A,"because you know That's just a disgusting thing you know somebody an abortion means it's somebody's in trouble and that it's an awful thing, you know","A|because you know That's just a disgusting thing you know somebody an abortion means it's somebody's in trouble and that it's an awful thing, you know"
87,M,Yeah.,M|Yeah.
88,A,"but Yeah. but it that's uh that's what I mean, see, but but realistically when you think of it it just sounds like such an awful thing, and it evokes an emotional response. I think that's the hardest thing, I don't know if I could ever be a judge, because some things emotionally just aren't you know","A|but Yeah. but it that's uh that's what I mean, see, but but realistically when you think of it it just sounds like such an awful thing, and it evokes an emotional response. I think that's the hardest thing, I don't know if I could ever be a judge, because some things emotionally just aren't you know"
89,M,Uh-hugs.,M|Uh-hugs.
90,A,"No, no I think the um sometimes I guess what did I read recently the um the uh Christian uh point is is always the point of well it's at conception but then um a friend of mine's a doctor and argues with others that conception is a biblical term. And there's no concept of conception in medicine or biology.","A|No, no I think the um sometimes I guess what did I read recently the um the uh Christian uh point is is always the point of well it's at conception but then um a friend of mine's a doctor and argues with others that conception is a biblical term. And there's no concept of conception in medicine or biology."
91,M,"Uh, I've heard of that.","M|Uh, I've heard of that."
92,A,"so then that so that throws out that idea makes it a religious discussion then. So it's I don't know. It's very it's it's uh you know It's a it's a topsy-turvy world and it's really something how um political ideas and viewpoints within one country can vary so much and also within um within a,","A|so then that so that throws out that idea makes it a religious discussion then. So it's I don't know. It's very it's it's uh you know It's a it's a topsy-turvy world and it's really something how um political ideas and viewpoints within one country can vary so much and also within um within a,"
93,M,"Uh, well, that's a good point. I guess I've never really thought about it that way. I've just always thought that maybe there are some boundaries that we're not supposed to be drawn on. I mean that maybe we should be able to separate them.","M|Uh, well, that's a good point. I guess I've never really thought about it that way. I've just always thought that maybe there are some boundaries that we're not supposed to be drawn on. I mean that maybe we should be able to separate them."
94,A,Yeah and how Yeah how it'll sway from one one extreme to another.,A|Yeah and how Yeah how it'll sway from one one extreme to another.
95,M,"Right, exactly.","M|Right, exactly."
96,A,Uh I think that uh you know I I just read something I think in TIME magazine uh about um protest,A|Uh I think that uh you know I I just read something I think in TIME magazine uh about um protest
