,Speaker,Utterance,Unified
5,M,"Well, you're not going to have to worry too much about that, because, uh.","M|Well, you're not going to have to worry too much about that, because, uh."
55,M,"And, and, you know, that's a big problem. I don't know, I think there's so much wrong with the system, um, you, you have people who are, who are abusing the systems and who are committing crimes that, you can't, you don't want them out of society for any length of time.","M|And, and, you know, that's a big problem. I don't know, I think there's so much wrong with the system, um, you, you have people who are, who are abusing the systems and who are committing crimes that, you can't, you don't want them out of society for any length of time."
56,A,Uh-huh.,A|Uh-huh.
57,M,"and, uh, so, you know, I think that's, I'm not sure that's right.","M|and, uh, so, you know, I think that's, I'm not sure that's right."
58,A,"Right, we have enough, enough problems with overcrowding in the jails as it is. So let, let their country take care of it.","A|Right, we have enough, enough problems with overcrowding in the jails as it is. So let, let their country take care of it."
59,M,"Yeah, well, we, we're not doing that. We're, we are trying to, uh, uh, I don't know, to make it, uh","M|Yeah, well, we, we're not doing that. We're, we are trying to, uh, uh, I don't know, to make it, uh"
60,A,"We don't have, I guess too much trouble in Dallas with, well, I guess, I guess we do have a lot of people come in from Mexico, that cause problems, but, uh.","A|We don't have, I guess too much trouble in Dallas with, well, I guess, I guess we do have a lot of people come in from Mexico, that cause problems, but, uh."
61,M,Uh-uh. Yeah.,M|Uh-uh. Yeah.
62,A,Yeah. Uh-huh.,A|Yeah. Uh-huh.
63,M,"And, uh-hue, I think that's probably the most common example, and I think, uh that's the most prevalent problem.","M|And, uh-hue, I think that's probably the most common example, and I think, uh that's the most prevalent problem."
64,A,Uh-huh.,A|Uh-huh.
65,M,"and I don, I'm not sure that they're as, as close as we might have with the domestic political situation.","M|and I don, I'm not sure that they're as, as close as we might have with the domestic political situation."
66,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
67,M,"And they're still raping people and killing people and, you can't even imagine that.","M|And they're still raping people and killing people and, you can't even imagine that."
68,A,"Uh-huh. It was amazing I went to the Far East, uh, back in October to do some training for T I and I,","A|Uh-huh. It was amazing I went to the Far East, uh, back in October to do some training for T I and I,"
69,M,"Uh,","M|Uh,"
70,A,"uh, some of those countries were so safe, it was unreal. Singapore is very, supposed to be very safe and, in fact, Tokyo, and I thought Tokyo would be dangerous being such a huge large city with so many people,","A|uh, some of those countries were so safe, it was unreal. Singapore is very, supposed to be very safe and, in fact, Tokyo, and I thought Tokyo would be dangerous being such a huge large city with so many people,"
71,M,Yeah.,M|Yeah.
72,A,"but they, at, at the T I there, I said is there any area I should avoid. And the guy said let me ask another girl here and he turned and asked this girl, and said, can you think of any place where Dana shouldn't go by herself, or anything. And she, she thought for a few minutes and she said, no. And he said is there any place you wouldn't go by yourself. She said, no. And they said, it is so safe there that you can leave your purse on the subway","A|but they, at, at the T I there, I said is there any area I should avoid. And the guy said let me ask another girl here and he turned and asked this girl, and said, can you think of any place where Dana shouldn't go by herself, or anything. And she, she thought for a few minutes and she said, no. And he said is there any place you wouldn't go by yourself. She said, no. And they said, it is so safe there that you can leave your purse on the subway"
73,M,Uh.,M|Uh.
74,A,"and somebody will turn it in and, and nothing will be missing. They said they can just about guarantee that there, that, that would happen if you did that. I thought, boy, in America, if you left a purse on a subway, you would never see it again.","A|and somebody will turn it in and, and nothing will be missing. They said they can just about guarantee that there, that, that would happen if you did that. I thought, boy, in America, if you left a purse on a subway, you would never see it again."
75,M,"Yeah, yeah.","M|Yeah, yeah."
76,A,"Yeah, that's true,","A|Yeah, that's true,"
77,M,!!!%!! Remind me of that now.,M|!!!%!! Remind me of that now.
78,A,"that's true. But I was thinking boy, in Dallas, if somebody asked me if there were places you wouldn't go by yourself at night, I'd have to set them down for about five or ten minutes to list all the places out.","A|that's true. But I was thinking boy, in Dallas, if somebody asked me if there were places you wouldn't go by yourself at night, I'd have to set them down for about five or ten minutes to list all the places out."
79,M,Uh-huh.,M|Uh-huh.
80,A,"I mean, I couldn't believe that she couldn't think of any place. They said, the, apparently the crime, is, just, uh,","A|I mean, I couldn't believe that she couldn't think of any place. They said, the, apparently the crime, is, just, uh,"
81,M,"Oh, yeah, I mean, you know, that, that just doesn't make sense to me either.","M|Oh, yeah, I mean, you know, that, that just doesn't make sense to me either."
82,A,"I'm not sure what it is there. Now, I know what it is in Singapore, is they have the death penalty and they really enforce it,","A|I'm not sure what it is there. Now, I know what it is in Singapore, is they have the death penalty and they really enforce it,"
83,M,Uh-huh.,M|Uh-huh.
84,A,"like for drugs, for drugs they, they enforce the death penalty for that. Uh, they're just, very, very tough, and I guess maybe that's the way Tokyo is too, or Japan is too. They're just very tough on criminals.","A|like for drugs, for drugs they, they enforce the death penalty for that. Uh, they're just, very, very tough, and I guess maybe that's the way Tokyo is too, or Japan is too. They're just very tough on criminals."
85,M,"Yeah, well I, you know, I don't know if I agree with that or not.","M|Yeah, well I, you know, I don't know if I agree with that or not."
86,A,Uh-huh.,A|Uh-huh.
87,M,I don't think we have the right system to do it.,M|I don't think we have the right system to do it.
88,A,Uh-huh.,A|Uh-huh.
89,M,"And, uh.","M|And, uh."
90,A,"Uh-huh, oh yeah.","A|Uh-huh, oh yeah."
91,M,And they put them in there for twenty years and they're still going on.,M|And they put them in there for twenty years and they're still going on.
92,A,Uh-huh.,A|Uh-huh.
93,M,"Like I said, I, I really don't have any problem with it. Uh,","M|Like I said, I, I really don't have any problem with it. Uh,"
94,A,Uh-huh.,A|Uh-huh.
95,M,"So, I mean, I, I don't know.","M|So, I mean, I, I don't know."
96,A,Uh-huh. Right.,A|Uh-huh. Right.
97,M,"And, uh, I don't know, I think there are certain crimes that are, that are beyond, uh uh, rehabilitation.","M|And, uh, I don't know, I think there are certain crimes that are, that are beyond, uh uh, rehabilitation."
98,A,"Right, and if they're overcrowded, well, you know they shouldn't have gotten theirself there in the first place.","A|Right, and if they're overcrowded, well, you know they shouldn't have gotten theirself there in the first place."
99,M,Yeah.,M|Yeah.
100,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
101,M,"and you can't say, well you know you're sorry, and then you can go back and say, you did something wrong and you're not guilty, you're, you can still be tried again, and you can be tried for the same crime again,","M|and you can't say, well you know you're sorry, and then you can go back and say, you did something wrong and you're not guilty, you're, you can still be tried again, and you can be tried for the same crime again,"
102,A,Uh-huh.,A|Uh-huh.
103,M,"And, and, uh  you know  it's just,  I don't know.","M|And, and, uh  you know  it's just,  I don't know."
104,A,"Oh, yeah, I agree, because it's not fair to those of us that, that deserve a safe, you know, life to have to,","A|Oh, yeah, I agree, because it's not fair to those of us that, that deserve a safe, you know, life to have to,"
105,M,Yeah.,M|Yeah.
106,A,Right.,A|Right.
107,M,"If you're going, you're not going to get out as much as you would if you were on probation.","M|If you're going, you're not going to get out as much as you would if you were on probation."
108,A,Uh-huh.,A|Uh-huh.
109,M,"And they, they just, they don't care.","M|And they, they just, they don't care."
110,A,Uh-huh.,A|Uh-huh.
111,M,"and, and so I think they're thinking, well, you know, you, you've got to have a deterrent, and we've got a lot of people that are breeding them so that, uh, they can't get out of that.","M|and, and so I think they're thinking, well, you know, you, you've got to have a deterrent, and we've got a lot of people that are breeding them so that, uh, they can't get out of that."
112,A,Uh-huh.,A|Uh-huh.
113,M,"And, uh, I don't know if we've ever had a, a real good example but, uh","M|And, uh, I don't know if we've ever had a, a real good example but, uh"
114,A,Uh-huh.,A|Uh-huh.
115,M,"But I think, I think they're really going to have to, I, I don't know, I just, I'm beginning to think that, that, um, that a lot of people are just not real informed about what, what's going on.","M|But I think, I think they're really going to have to, I, I don't know, I just, I'm beginning to think that, that, um, that a lot of people are just not real informed about what, what's going on."
116,A,Uh-huh. Right.,A|Uh-huh. Right.
117,M,"and he just, he just got caught.","M|and he just, he just got caught."
118,A,"Right, not much.","A|Right, not much."
119,M,Yeah.,M|Yeah.
120,A,"Yeah, huh-uh, and especially not in some of these big cities, like in Dallas I mean they've had, they're up in the top, top five I think of cities that are getting policeman killed on, on, in the line of duty and that's really sad.","A|Yeah, huh-uh, and especially not in some of these big cities, like in Dallas I mean they've had, they're up in the top, top five I think of cities that are getting policeman killed on, on, in the line of duty and that's really sad."
121,M,"Well, I think that's a, that's not a good thing, I mean, I don't think it's a good idea at all.","M|Well, I think that's a, that's not a good thing, I mean, I don't think it's a good idea at all."
122,A,Uh-huh.,A|Uh-huh.
123,M,"And, uh, I mean it's, it's just, you know, I don't know, it just seems like, you just don't, you don't want to over kill somebody just because they're black or you know","M|And, uh, I mean it's, it's just, you know, I don't know, it just seems like, you just don't, you don't want to over kill somebody just because they're black or you know"
124,A,Uh-huh.,A|Uh-huh.
125,M,"but,","M|but,"
126,A,Uh-huh.,A|Uh-huh.
127,M,"And, uh.","M|And, uh."
