,Speaker,Utterance,Unified
5,M,"Yeah, I like that.","M|Yeah, I like that."
102,A,"And they say it's going to last about two to three weeks. And this guy in front of me said, I can't believe I was summonsed. I was an investigator and I was tailing the woman that was killed. Well, then I have a friend at school that has a boyfriend that's a lawyer and he said that this woman this socialite in Plano had hired four guys to kill her husband and the one that's accused was the one that actually did it. And she has since taken off with another lawyer who had been, uh, getting cocaine from his client and then selling it, and he had skipped bail and they finally extradited him and he's going to testify for the State against her so he'll have his sentence reduced.","A|And they say it's going to last about two to three weeks. And this guy in front of me said, I can't believe I was summonsed. I was an investigator and I was tailing the woman that was killed. Well, then I have a friend at school that has a boyfriend that's a lawyer and he said that this woman this socialite in Plano had hired four guys to kill her husband and the one that's accused was the one that actually did it. And she has since taken off with another lawyer who had been, uh, getting cocaine from his client and then selling it, and he had skipped bail and they finally extradited him and he's going to testify for the State against her so he'll have his sentence reduced."
103,M,"Oh, my goodness.","M|Oh, my goodness."
104,A,Yeah.,A|Yeah.
105,M,"Okay, I, I was just sitting here waiting for somebody to call me.","M|Okay, I, I was just sitting here waiting for somebody to call me."
106,A,"The, the investigator. Yeah, he, he got off right away.","A|The, the investigator. Yeah, he, he got off right away."
107,M,"!!!%!! Remind me of that, oh, gosh!!","M|!!!%!! Remind me of that, oh, gosh!!"
108,A,"And I wrote that down on my questionnaire that he'd told me that,","A|And I wrote that down on my questionnaire that he'd told me that,"
109,M,Uh-huh.,M|Uh-huh.
110,A,so I figure that that will make me biased and I won't be chosen.,A|so I figure that that will make me biased and I won't be chosen.
111,M,Right.,M|Right.
112,A,Hopefully,A|Hopefully
113,M,"But, uh, I do feel like that, uh...","M|But, uh, I do feel like that, uh..."
114,A,Yeah. No. *aa,A|Yeah. No. *aa
115,M,"But, uh,","M|But, uh,"
116,A,"I said that, I could believe in it in certain instances, but I would be, I'd find it hard to levy that against somebody.","A|I said that, I could believe in it in certain instances, but I would be, I'd find it hard to levy that against somebody."
117,M,"Well, I, I don't know, uh I, uh. I think, uh you know in the, in the cases like, uh uh, in, uh England and France where they have the death penalty and you have to register as a, as a social, uh  citizen","M|Well, I, I don't know, uh I, uh. I think, uh you know in the, in the cases like, uh uh, in, uh England and France where they have the death penalty and you have to register as a, as a social, uh  citizen"
118,A,You know. Uh-huh.,A|You know. Uh-huh.
119,M,"they would, they would not believe that you know.","M|they would, they would not believe that you know."
120,A,"Yeah. But then when you're, when you're picked, see I was picked for another murder trial before","A|Yeah. But then when you're, when you're picked, see I was picked for another murder trial before"
121,M,Uh-hoh.,M|Uh-hoh.
122,A,"oh, gosh and it's so hard because, you know, everybody is wanting to go on and get the sentence done, and if you're trying to hold out, you know, there's so much pressure on you and you've got to come up with a decision.","A|oh, gosh and it's so hard because, you know, everybody is wanting to go on and get the sentence done, and if you're trying to hold out, you know, there's so much pressure on you and you've got to come up with a decision."
123,M,"Uh, yeah.","M|Uh, yeah."
