,Speaker,Utterance,Unified
5,M,and I think that's good.,M|and I think that's good.
31,M,"and it's kind, it's, it, it is a, it would be kind of selfish, but it's a good thing.","M|and it's kind, it's, it, it is a, it would be kind of selfish, but it's a good thing."
32,A,Uh-huh.,A|Uh-huh.
33,M,"and, um.","M|and, um."
34,A,"Uh-huh. Yeah. And I think, you know, we have such a need now, you know, I taught, you know, I, I think I was paid, uh, about nine thousand dollars to teach for the year","A|Uh-huh. Yeah. And I think, you know, we have such a need now, you know, I taught, you know, I, I think I was paid, uh, about nine thousand dollars to teach for the year"
35,M,Uh.,M|Uh.
36,A,"and I worked in a very rural school district and I, I, one of the things I taught was a computer class","A|and I worked in a very rural school district and I, I, one of the things I taught was a computer class"
37,M,Uh.,M|Uh.
38,A,"and these kids, um, you know, every girl I taught, except for one, was pregnant.","A|and these kids, um, you know, every girl I taught, except for one, was pregnant."
39,M,Uh.,M|Uh.
40,A,"Many of the boys in the room had children and they were, they were high school juniors.","A|Many of the boys in the room had children and they were, they were high school juniors."
41,M,Uh.,M|Uh.
42,A,"And I just, there, you know, they came from poverty, they were going to condition in poverty and it was, it was, the school district couldn't hire many people, it was very difficult for them to hire, and I think, you know, in the sense, that aspect of public service for education in some of the inner cities for, um, just social workers in some of the inner cities and some of the rural areas where they just need advice on medical, um, things, I think it's a really good idea. And even if it is overseas.","A|And I just, there, you know, they came from poverty, they were going to condition in poverty and it was, it was, the school district couldn't hire many people, it was very difficult for them to hire, and I think, you know, in the sense, that aspect of public service for education in some of the inner cities for, um, just social workers in some of the inner cities and some of the rural areas where they just need advice on medical, um, things, I think it's a really good idea. And even if it is overseas."
43,M,"Well, I'm not sure if it's the teachers themselves that are the problem, but I think the school districts.","M|Well, I'm not sure if it's the teachers themselves that are the problem, but I think the school districts."
44,A,"See, I never, I, I tell you sometimes I worry about things over seas because we have such problems right here in our own country.","A|See, I never, I, I tell you sometimes I worry about things over seas because we have such problems right here in our own country."
45,M,"Well, you're right, we're a long way away from that.","M|Well, you're right, we're a long way away from that."
46,A,Uh-huh.,A|Uh-huh.
47,M,"I, I don't know, I guess, uh, I just don't see the, the, uh the, I mean, I'm not sure, I see a great deal of, uh uh, improvement from, from the way we have it now.","M|I, I don't know, I guess, uh, I just don't see the, the, uh the, I mean, I'm not sure, I see a great deal of, uh uh, improvement from, from the way we have it now."
48,A,Yeah. Uh-huh. Yeah.,A|Yeah. Uh-huh. Yeah.
49,M,"I mean, it's, it is, you, you either want to serve the community or you want to be the world leader, which is the same thing.","M|I mean, it's, it is, you, you either want to serve the community or you want to be the world leader, which is the same thing."
50,A,Right. Uh-huh.,A|Right. Uh-huh.
51,M,"Uh, you don't see too many, uh, young, young men running around with guns and shooting people or anything like that.","M|Uh, you don't see too many, uh, young, young men running around with guns and shooting people or anything like that."
52,A,Uh-huh.,A|Uh-huh.
53,M,"and, uh,","M|and, uh,"
54,A,Uh-huh.,A|Uh-huh.
55,M,"I think that is a big part of it, too.","M|I think that is a big part of it, too."
56,A,"Yeah. I think it would also help them if they then went on to college. I know that my first couple of years of college were, um, uh, probably too carefree at the, beginning","A|Yeah. I think it would also help them if they then went on to college. I know that my first couple of years of college were, um, uh, probably too carefree at the, beginning"
57,M,Uh.,M|Uh.
58,A,and then at the end I had to be too serious.,A|and then at the end I had to be too serious.
59,M,"Uh, I know.","M|Uh, I know."
60,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
61,M,they have to be there at all times.,M|they have to be there at all times.
62,A,"Yeah, that's true.","A|Yeah, that's true."
63,M,but I think that that's part of the problem.,M|but I think that that's part of the problem.
64,A,"Uh-huh, that's right.","A|Uh-huh, that's right."
65,M,"Uh,","M|Uh,"
66,A,"I, yeah, I think, I think this was, this was a very interesting topic uh, because it's something that, you know, we don't talk about in this country probably enough.","A|I, yeah, I think, I think this was, this was a very interesting topic uh, because it's something that, you know, we don't talk about in this country probably enough."
67,M,"Uh, well, I, I have a lot of friends that have, uh, children that have children, and I, you, you can't blame your parents.","M|Uh, well, I, I have a lot of friends that have, uh, children that have children, and I, you, you can't blame your parents."
68,A,"Uh, you know,","A|Uh, you know,"
69,M,"Yeah, well, I guess that's, that was a good one to put on the list.","M|Yeah, well, I guess that's, that was a good one to put on the list."
70,A,"Uh-huh. Yeah, that's true.","A|Uh-huh. Yeah, that's true."
71,M,"and, um.","M|and, um."
72,A,Uh-huh.,A|Uh-huh.
73,M,"but it's, it's a lot more expensive, and I think that's part of it too, is that, um you know the, the quality of the food is really not as important, because it's not, you can't just make a meal now and expect to, you, you're going to have a very good meal.","M|but it's, it's a lot more expensive, and I think that's part of it too, is that, um you know the, the quality of the food is really not as important, because it's not, you can't just make a meal now and expect to, you, you're going to have a very good meal."
74,A,"Oh, I think it is.","A|Oh, I think it is."
75,M,So.,M|So.
76,A,"I really think, I think, um, people, you should, I, you know, the kids today I teach, I spend a lot of my time teaching college students","A|I really think, I think, um, people, you should, I, you know, the kids today I teach, I spend a lot of my time teaching college students"
77,M,Uh-uh. Uh-hum.,M|Uh-uh. Uh-hum.
78,A,"and, um, I find great disgust in them, in their, in their, um, their self-centeredness and their inability to understand, um, multicultural or multiracial situation","A|and, um, I find great disgust in them, in their, in their, um, their self-centeredness and their inability to understand, um, multicultural or multiracial situation"
79,M,"Uh, uh-hue.","M|Uh, uh-hue."
80,A,"and I really, you know, they don't understand, uh, how other people live, um, they don't understand,","A|and I really, you know, they don't understand, uh, how other people live, um, they don't understand,"
81,M,Uh.,M|Uh.
82,A,"Uh-huh. Yeah, I think that's, uh, just having a good time.","A|Uh-huh. Yeah, I think that's, uh, just having a good time."
83,M,Yeah.,M|Yeah.
84,A,"I, uh, a friend of mine is a psychologist and he always refers to it as short-term pleasure oriented. I guess he's a technical aspect he likes to apply to it, you know,","A|I, uh, a friend of mine is a psychologist and he always refers to it as short-term pleasure oriented. I guess he's a technical aspect he likes to apply to it, you know,"
85,M,Uh.,M|Uh.
86,A,"today's young people are short-term pleasure oriented,","A|today's young people are short-term pleasure oriented,"
87,M,Right.,M|Right.
88,A,and everything has to be an immediate reward and it has to be fun.,A|and everything has to be an immediate reward and it has to be fun.
89,M,"Uh, yeah.","M|Uh, yeah."
90,A,Uh-huh. Yeah.,A|Uh-huh. Yeah.
91,M,"Well, it's nice talking to you.","M|Well, it's nice talking to you."
92,A,"Well, they say, I think I, um, have read recently that, uh, the Bush Administration has increased the funding for the Peace Corps.","A|Well, they say, I think I, um, have read recently that, uh, the Bush Administration has increased the funding for the Peace Corps."
93,M,"Oh, really?","M|Oh, really?"
94,A,"Uh-huh. Because I guess because of the changes in Eastern Europe, uh, they've increased funding for the Peace Corps. Some of the, I guess it's some of the peace dividend in the sense, you known,","A|Uh-huh. Because I guess because of the changes in Eastern Europe, uh, they've increased funding for the Peace Corps. Some of the, I guess it's some of the peace dividend in the sense, you known,"
95,M,Uh.,M|Uh.
96,A,"when they're decreasing some of the military spending, some of that money has gone into the Peace Corps","A|when they're decreasing some of the military spending, some of that money has gone into the Peace Corps"
97,M,Uh.,M|Uh.
98,A,"and some of the are the overseas programs. Uh,","A|and some of the are the overseas programs. Uh,"
99,M,I see.,M|I see.
100,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
101,M,"so I went and I did what I could to help them along the way,","M|so I went and I did what I could to help them along the way,"
102,A,"Yeah. Yeah, that's true.","A|Yeah. Yeah, that's true."
103,M,"But I think that's really a, a big part of it.","M|But I think that's really a, a big part of it."
104,A,Uh-huh.,A|Uh-huh.
105,M,"So, uh, I, I don't know, I think, I mean, I do like the, the, uh the school systems in the city and, uh","M|So, uh, I, I don't know, I think, I mean, I do like the, the, uh the school systems in the city and, uh"
106,A,"Yeah, that's very true. You know, how many, is it they say we have so many lawyers in this country, and I guess, I, I live near Washington, being in, in Baltimore, it's something like one in four people, in the Washington,  area, are lawyers,","A|Yeah, that's very true. You know, how many, is it they say we have so many lawyers in this country, and I guess, I, I live near Washington, being in, in Baltimore, it's something like one in four people, in the Washington,  area, are lawyers,"
107,M,"Uh,","M|Uh,"
108,A,"And, and I just sort of think that's ridiculous.","A|And, and I just sort of think that's ridiculous."
109,M,That's right.,M|That's right.
110,A,"Yeah, with with the great needs that we need today in science and biology and, uh, you know, the, the problems we have with AIDS and cancer and, and how come everybody is a lawyer, you know, you know","A|Yeah, with with the great needs that we need today in science and biology and, uh, you know, the, the problems we have with AIDS and cancer and, and how come everybody is a lawyer, you know, you know"
111,M,"Uh, I'm, I am, I agree with you.","M|Uh, I'm, I am, I agree with you."
112,A,Uh-huh. Right.,A|Uh-huh. Right.
113,M,"You know, I think, I don't know, there's too many cases where, uh you know it's not the person's fault that has to pay the full price.","M|You know, I think, I don't know, there's too many cases where, uh you know it's not the person's fault that has to pay the full price."
114,A,"Uh-huh. Yeah, you saw, statistics that lawyers and doctors make the most money in the long run.","A|Uh-huh. Yeah, you saw, statistics that lawyers and doctors make the most money in the long run."
115,M,Right.,M|Right.
116,A,"Yeah, that's true.","A|Yeah, that's true."
117,M,"I mean, it's just that, you know, the, the lawyers are the ones that are making the decisions and the doctors,","M|I mean, it's just that, you know, the, the lawyers are the ones that are making the decisions and the doctors,"
118,A,That's interesting. Uh-huh.,A|That's interesting. Uh-huh.
119,M,"So, uh, I guess we're supposed to talk about family reunions.","M|So, uh, I guess we're supposed to talk about family reunions."
120,A,"Okay. Hey, thanks so much for the conversation.","A|Okay. Hey, thanks so much for the conversation."
121,M,"Yeah, you too.","M|Yeah, you too."
122,A,"Well, thank you very much. Bye-bye.","A|Well, thank you very much. Bye-bye."
123,M,Bye-bye,M|Bye-bye
