,Speaker,Utterance,Unified
5,A,"Oh, yeah?","A|Oh, yeah?"
76,M,"and that was, that was the lowest I've ever seen them.","M|and that was, that was the lowest I've ever seen them."
77,A,"I,","A|I,"
78,M,it's not that expensive.,M|it's not that expensive.
79,A,"Yeah, I was kind of surprised how rapidly they bypassed, the three eighty-six. That wasn't alive for but maybe two years.","A|Yeah, I was kind of surprised how rapidly they bypassed, the three eighty-six. That wasn't alive for but maybe two years."
80,M,"Well, that's, that was a good year for the Mustang.","M|Well, that's, that was a good year for the Mustang."
81,A,Is that right? That's it?,A|Is that right? That's it?
82,M,"So, I, I mean, I'm, I've seen them advertise on T V that they're going to put the, uh, the, you know, the mini van in the next generation,","M|So, I, I mean, I'm, I've seen them advertise on T V that they're going to put the, uh, the, you know, the mini van in the next generation,"
83,A,I'll be darned.,A|I'll be darned.
84,M,"And, uh, you know, they don't have the, uh the C D player or the standard drive.","M|And, uh, you know, they don't have the, uh the C D player or the standard drive."
85,A,"Huh, well,","A|Huh, well,"
