,Speaker,Utterance,Unified
5,M,"Oh, really?","M|Oh, really?"
41,M,"!!!%!! LINEAGE!!!,!!ival!!action!!You!!That!!?!!It!!I!!Okay!!They!!Yeah!!And you!!We!!>!! Rem!!!!!;!! FUN!!ctic!! Auto!!!'!!These!!Nice!! You!!Oh!! translated!!All!!This!!By!! Wild!!sv!!What!!Is!!et!!See!!A!!two!!Have!!body!!Well!!How!!Why!!Right!!One!!Did!!Good!!Two!!So!!Are!!eting!!.!!'!!ape!!Same!!and!! exists!! et!!Huh!!xt!! anyone!!Who!! deserves!! equality!!But!!you!!Now!!book!!Me!!Another!!Hi!!ety!!Do!! wished!!ual!!=!!list!!L!!roup!!style!!P!!ool!!est!!--!!all!!Not!!place!! Margaret!! grandma!! NATO!!O!!Thank!!God!!He!!Great!!Sure!!There!!it!!Thanks!!IV!!Because!!arn!!Your!!Big!!The!!Holy!!ist!!Just!!husband!!My!!Let!!In!! This!!oir!!Nothing!!Isn!! safely!!Yes!!work!!Absolutely!!atic!!:!! Ukraine!!Wow!!Uh!! Almighty!!Um!! <!!en!!because!! Another!!<!! Weather!! Heaven!!NG!!ness!! When!!!]!!irt!!here!!If!!ial!!Enjoy!!ets!!eways!! Mongolia!!""!!Work!!orial!!way!!!:!!-!!Finally!!if!!ig!!ment!!itudes!!ists!! Gram!! THIS!! undo!!iveness!! AW!!or!!","M|!!!%!! LINEAGE!!!,!!ival!!action!!You!!That!!?!!It!!I!!Okay!!They!!Yeah!!And you!!We!!>!! Rem!!!!!;!! FUN!!ctic!! Auto!!!'!!These!!Nice!! You!!Oh!! translated!!All!!This!!By!! Wild!!sv!!What!!Is!!et!!See!!A!!two!!Have!!body!!Well!!How!!Why!!Right!!One!!Did!!Good!!Two!!So!!Are!!eting!!.!!'!!ape!!Same!!and!! exists!! et!!Huh!!xt!! anyone!!Who!! deserves!! equality!!But!!you!!Now!!book!!Me!!Another!!Hi!!ety!!Do!! wished!!ual!!=!!list!!L!!roup!!style!!P!!ool!!est!!--!!all!!Not!!place!! Margaret!! grandma!! NATO!!O!!Thank!!God!!He!!Great!!Sure!!There!!it!!Thanks!!IV!!Because!!arn!!Your!!Big!!The!!Holy!!ist!!Just!!husband!!My!!Let!!In!! This!!oir!!Nothing!!Isn!! safely!!Yes!!work!!Absolutely!!atic!!:!! Ukraine!!Wow!!Uh!! Almighty!!Um!! <!!en!!because!! Another!!<!! Weather!! Heaven!!NG!!ness!! When!!!]!!irt!!here!!If!!ial!!Enjoy!!ets!!eways!! Mongolia!!""!!Work!!orial!!way!!!:!!-!!Finally!!if!!ig!!ment!!itudes!!ists!! Gram!! THIS!! undo!!iveness!! AW!!or!!"
42,A,Yeah. Huh.,A|Yeah. Huh.
43,M,!!!%!! Remind me.,M|!!!%!! Remind me.
44,A,Uh-huh.,A|Uh-huh.
45,M,and I don't know if they're going to do that in the next couple of years.,M|and I don't know if they're going to do that in the next couple of years.
46,A,Uh-huh.,A|Uh-huh.
47,M,"So it's not, it's a fully manned, uh-hired military machine. It has, uh it has the, uh the electronic ignition and all the other stuff. But it's got, uh a full size air bag and a full seat and, uh  the whole thing is locked into the back.","M|So it's not, it's a fully manned, uh-hired military machine. It has, uh it has the, uh the electronic ignition and all the other stuff. But it's got, uh a full size air bag and a full seat and, uh  the whole thing is locked into the back."
48,A,Uh-huh.,A|Uh-huh.
49,M,Then the battery dies and you have to start all over again.,M|Then the battery dies and you have to start all over again.
50,A,Huh That is good.,A|Huh That is good.
51,M,and the engine will still be running.,M|and the engine will still be running.
52,A,Yeah.,A|Yeah.
53,M,"So, it's, it, it can be a real problem.","M|So, it's, it, it can be a real problem."
54,A,Yeah.,A|Yeah.
55,M,And so it's not hard to get started on it.,M|And so it's not hard to get started on it.
56,A,Huh.,A|Huh.
57,M,"So,","M|So,"
58,A,Oh.,A|Oh.
59,M,"So, I, I guess I kind of, uh, uh...","M|So, I, I guess I kind of, uh, uh..."
60,A,"That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that.","A|That would be nice. I think I saw that on T V one time. They, maybe it was C N N where they were demonstrating that. Or something similar to that."
61,M,Yeah.,M|Yeah.
62,A,Huh.,A|Huh.
63,M,"And, uh, they, they've, they have, uh they've actually, uh uh, done this in the past.","M|And, uh, they, they've, they have, uh they've actually, uh uh, done this in the past."
64,A,"But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like","A|But what, I think that was a, a, a setback. That they, I don't know, they went, I don't know, how many miles an hour. I think like"
65,M,Uh-huh.,M|Uh-huh.
66,A,I don't know. Huh. * See note above,A|I don't know. Huh. * See note above
67,M,Yeah.,M|Yeah.
68,A,"Yeah, and they're, they're very expensive too. .","A|Yeah, and they're, they're very expensive too. ."
69,M,Yeah.,M|Yeah.
70,A,"Well, yeah. Yeah.","A|Well, yeah. Yeah."
71,M,!!!% Yeah. But I don't think they're that expensive.,M|!!!% Yeah. But I don't think they're that expensive.
72,A,"Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile.","A|Well, it doesn't make sense. Because if they want people to convert, you know. They should make it worthwhile."
73,M,Yeah.,M|Yeah.
74,A,"Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown","A|Yeah. Yeah. Um. Well I'll tell you. Sometimes it's, it's pretty bad here. Like today I think it was pretty bad. I don't know if it was, if it's just, uh, the allergies or what but some days it's very nice here downtown"
75,M,"Uh, yeah, it, it was nice, it had been, uh","M|Uh, yeah, it, it was nice, it had been, uh"
76,A,"and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?","A|and other days it's just really bad, so, I don't know. So what, what kinds of things did you experience in L A when you were there? Or can you remember? Were you there at a?"
77,M,"Uh, we were in the same situation, I was there at, uh at the Air Force base.","M|Uh, we were in the same situation, I was there at, uh at the Air Force base."
78,A,Cause I haven't been there probably ...,A|Cause I haven't been there probably ...
79,M,"Well, I've been there like, oh, about two years.","M|Well, I've been there like, oh, about two years."
80,A,Yeah.,A|Yeah.
81,M,Oh.,M|Oh.
82,A,"Well, we were there when they had a","A|Well, we were there when they had a"
