,Speaker,Utterance,Unified
5,M,Yeah,M|Yeah
47,M,"!!!!!!!,!! Remind me.","M|!!!!!!!,!! Remind me."
48,A,"Yeah, I had, my, uh, my father-in-law participated in a, uh, a jury trial, he was, he was actually on the jury,","A|Yeah, I had, my, uh, my father-in-law participated in a, uh, a jury trial, he was, he was actually on the jury,"
49,M,Uh-huh.,M|Uh-huh.
50,A,"and, uh, this man was accused of killing, uh, I think it was two people, uh, and shooting a, uh, policeman, um, point blank in the face. Of course he didn't die.","A|and, uh, this man was accused of killing, uh, I think it was two people, uh, and shooting a, uh, policeman, um, point blank in the face. Of course he didn't die."
51,M,"Oh, really.","M|Oh, really."
52,A,"And, uh, this was during a holdup of a, uh, uh, a restaurant and it came out during the trial that, um, they had tried to rob another place and, uh, when the guy came out with the bag they thought was money, it turned out to be a couple cookies, and, uh, you know, jumbo cookies and, and so they were so upset from robbing this guy, you know, trying to do this holdup that didn't work that they quite literally were mad and went into a restaurant to hold the place up and just started, you know, shooting people.","A|And, uh, this was during a holdup of a, uh, uh, a restaurant and it came out during the trial that, um, they had tried to rob another place and, uh, when the guy came out with the bag they thought was money, it turned out to be a couple cookies, and, uh, you know, jumbo cookies and, and so they were so upset from robbing this guy, you know, trying to do this holdup that didn't work that they quite literally were mad and went into a restaurant to hold the place up and just started, you know, shooting people."
53,M,!!!;!!%!! translated!!?!! Auto!! Remind me.,M|!!!;!!%!! translated!!?!! Auto!! Remind me.
54,A,"You know it's,","A|You know it's,"
55,M,"and, and that was the second time that I had to go in and they were already telling me, you can't do this.","M|and, and that was the second time that I had to go in and they were already telling me, you can't do this."
56,A,"Yeah. Yeah, and get even with who, I mean,","A|Yeah. Yeah, and get even with who, I mean,"
57,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
58,A,"you know, stupid guys And, uh, it turned out that the, you know, policeman survived to the point that he was able to, you know, identify the guy.","A|you know, stupid guys And, uh, it turned out that the, you know, policeman survived to the point that he was able to, you know, identify the guy."
59,M,Uh-huh.,M|Uh-huh.
60,A,"And of course, you know, they tried to make the cop look like he was, uh, a, uh, no good rotten drunk.","A|And of course, you know, they tried to make the cop look like he was, uh, a, uh, no good rotten drunk."
61,M,"Yeah, yeah.","M|Yeah, yeah."
62,A,I mean it was amazing.,A|I mean it was amazing.
63,M,"Well, that's, that is a, a frightening thought.","M|Well, that's, that is a, a frightening thought."
64,A,"Oh, he was found guilty, yeah.","A|Oh, he was found guilty, yeah."
65,M,"And, uh.","M|And, uh."
66,A,"He, uh, um, last I heard, he, uh, he beat a push for the death penalty. Now whether they finally got it or not, I don't know.","A|He, uh, um, last I heard, he, uh, he beat a push for the death penalty. Now whether they finally got it or not, I don't know."
67,M,"Yeah, I know, I mean, I, I'm not real sure that, uh.","M|Yeah, I know, I mean, I, I'm not real sure that, uh."
68,A,"I kind of, uh, stopped listening after a while.","A|I kind of, uh, stopped listening after a while."
69,M,Yeah.,M|Yeah.
70,A,"Um, you know, he would come home and, and, you know, after the trial was over he came home and told us what was going on and of course then they had to go back to you know, after he had to go,","A|Um, you know, he would come home and, and, you know, after the trial was over he came home and told us what was going on and of course then they had to go back to you know, after he had to go,"
71,M,Okay.,M|Okay.
72,A,"Right. And, uh, yeah everybody, everybody was pretty much, you know, let's burn him.","A|Right. And, uh, yeah everybody, everybody was pretty much, you know, let's burn him."
73,M,"Yeah, yeah.","M|Yeah, yeah."
74,A,"And that's, you know, that's the way they wanted to do it. And he was surprised because he thought there was going to be a problem because he, uh, you know some people on the case were, were a little hesitant on convicting him on some of the charges but I mean when it all came down, they just, within an hour decided the man's fate.","A|And that's, you know, that's the way they wanted to do it. And he was surprised because he thought there was going to be a problem because he, uh, you know some people on the case were, were a little hesitant on convicting him on some of the charges but I mean when it all came down, they just, within an hour decided the man's fate."
75,M,Yeah.,M|Yeah.
76,A,Yeah.,A|Yeah.
77,M,"You know, I think that, you have a, you can have civil rights, but it's not equal to equal rights.","M|You know, I think that, you have a, you can have civil rights, but it's not equal to equal rights."
78,A,"Yeah, yeah, well, it, it, it went pretty, pretty quick from what he said.","A|Yeah, yeah, well, it, it, it went pretty, pretty quick from what he said."
79,M,Uh-huh.,M|Uh-huh.
80,A,"But I mean there's, there's, there's a lot of other crimes out there, I mean besides murder, I think, uh, now if you're dealing drugs now,  caught more than twice or something, uh,  it, there's, uh, a death penalty associated with it.","A|But I mean there's, there's, there's a lot of other crimes out there, I mean besides murder, I think, uh, now if you're dealing drugs now,  caught more than twice or something, uh,  it, there's, uh, a death penalty associated with it."
81,M,Right.,M|Right.
82,A,Uh-huh.,A|Uh-huh.
83,M,"I mean, you can't imagine that, you could, you couldn't imagine a, a, you, you're not a hero, you don't, you wouldn't be able to kill, uh","M|I mean, you can't imagine that, you could, you couldn't imagine a, a, you, you're not a hero, you don't, you wouldn't be able to kill, uh"
84,A,"Yeah, yeah, I agree.","A|Yeah, yeah, I agree."
85,M,"I, I, I don't know, I feel like, I'm not saying that it's right, but I think that, that, uh.","M|I, I, I don't know, I feel like, I'm not saying that it's right, but I think that, that, uh."
86,A,"Yeah, I agree, I, I've, I have, uh, a low tolerance for that kind of, uh, that kind of person. And, uh, as far as, uh, you know there are some, some other crimes that I think, uh, you know, uh, kidnapping, um, you know, when they, I mean kidnapping per se has a certain, uh, uh, fine and penalty associated with it,","A|Yeah, I agree, I, I've, I have, uh, a low tolerance for that kind of, uh, that kind of person. And, uh, as far as, uh, you know there are some, some other crimes that I think, uh, you know, uh, kidnapping, um, you know, when they, I mean kidnapping per se has a certain, uh, uh, fine and penalty associated with it,"
87,M,Uh-uh. Uh-hue.,M|Uh-uh. Uh-hue.
88,A,"but, um, some of these people are just out and out brutal. I, some of the cases I've heard about over the years,","A|but, um, some of these people are just out and out brutal. I, some of the cases I've heard about over the years,"
