,Speaker,Utterance,Unified
5,M,"So, uh","M|So, uh"
42,A,"yeah, it's great, it's great, and what else do I do, I do lots of cross stitching when I have time","A|yeah, it's great, it's great, and what else do I do, I do lots of cross stitching when I have time"
43,M,"Oh, that's good.","M|Oh, that's good."
44,A,"and I enter things in our little state fair, and that's pretty fun.","A|and I enter things in our little state fair, and that's pretty fun."
45,M,"Yeah, that's, that is pretty good.","M|Yeah, that's, that is pretty good."
46,A,"Well, but, actually my hobbies is mostly is my sports. Tennis, I play tennis.","A|Well, but, actually my hobbies is mostly is my sports. Tennis, I play tennis."
47,M,Uh-huh.,M|Uh-huh.
48,A,"Ooh, do you?","A|Ooh, do you?"
49,M,Uh-huh.,M|Uh-huh.
50,A,"Yes, we snow ski. We snow ski at Mount Bachelor mostly in Oregon,","A|Yes, we snow ski. We snow ski at Mount Bachelor mostly in Oregon,"
51,M,Okay.,M|Okay.
52,A,have you ever been there?,A|have you ever been there?
53,M,Uh-huh.,M|Uh-huh.
54,A,Wonderful place.,A|Wonderful place.
55,M,"It's, it's really, it is beautiful.","M|It's, it's really, it is beautiful."
56,A,Ooh. Uh-huh. Where in Colorado?,A|Ooh. Uh-huh. Where in Colorado?
57,M,"Well, I don't know, I went skiing in, uh in the mountains and stuff, but I can't remember exactly where. It's in the, uh. It is in the Rockies.","M|Well, I don't know, I went skiing in, uh in the mountains and stuff, but I can't remember exactly where. It's in the, uh. It is in the Rockies."
58,A,"Yes, yes.","A|Yes, yes."
59,M,"and, uh.","M|and, uh."
60,A,Really. Uh-huh.,A|Really. Uh-huh.
61,M,!!!%!! translated,M|!!!%!! translated
62,A,"I would love, I can hardly wait to get up there.","A|I would love, I can hardly wait to get up there."
63,M,Uh-hope.,M|Uh-hope.
64,A,"We, it is snowing right now. We're to get one to three inches tonight.","A|We, it is snowing right now. We're to get one to three inches tonight."
65,M,"Oh, gosh.","M|Oh, gosh."
66,A,"Oh, yeah, well we're, we are on the dry side of the mountains. Seattle is only about two and a half hours, so of course I'm a real Seahawks fan","A|Oh, yeah, well we're, we are on the dry side of the mountains. Seattle is only about two and a half hours, so of course I'm a real Seahawks fan"
67,M,Oh.,M|Oh.
68,A,"and, um, going over that pass is just a real nightmare.","A|and, um, going over that pass is just a real nightmare."
69,M,"Yeah, it sure is. It sure is, and, uh,","M|Yeah, it sure is. It sure is, and, uh,"
70,A,"And, um, so, and we're on the colder side, they're on the rainy side, we're on the snowy side and, um, we, we ski. My, my children all ski","A|And, um, so, and we're on the colder side, they're on the rainy side, we're on the snowy side and, um, we, we ski. My, my children all ski"
71,M,"Oh, really?","M|Oh, really?"
72,A,"and we've, we have been to Whistler in Canada, which is just a marvelous place, Whistler and Black Home is in Canada, and then we've gone to Sun Valley several times, that's a, just a great place. But no not in Colorado since I was in college, since I went to school,","A|and we've, we have been to Whistler in Canada, which is just a marvelous place, Whistler and Black Home is in Canada, and then we've gone to Sun Valley several times, that's a, just a great place. But no not in Colorado since I was in college, since I went to school,"
73,M,Oh.,M|Oh.
74,A,"Haven't been there, I keep hearing these marvelous things about Deer Valley and,","A|Haven't been there, I keep hearing these marvelous things about Deer Valley and,"
75,M,Oh it's a beautiful place.,M|Oh it's a beautiful place.
76,A,"um, to don't, Adam, talking to um City,","A|um, to don't, Adam, talking to um City,"
77,M,"Oh, uh-huh.","M|Oh, uh-huh."
78,A,"Ooh, yes. And your kids all ski?","A|Ooh, yes. And your kids all ski?"
79,M,"Oh, yeah, we ski.","M|Oh, yeah, we ski."
80,A,Uh-huh.,A|Uh-huh.
81,M,"but,","M|but,"
82,A,Uh-huh.,A|Uh-huh.
83,M,"So, uh, we have a lot of friends that ski. They, uh they get together once a year. We don't get together a whole lot.","M|So, uh, we have a lot of friends that ski. They, uh they get together once a year. We don't get together a whole lot."
84,A,"Really, that's great. Well, my boys are at the point where they scare their mommy to death.","A|Really, that's great. Well, my boys are at the point where they scare their mommy to death."
85,M,"Oh, my goodness.","M|Oh, my goodness."
86,A,"When they're skiing they're fearless, and they go off,","A|When they're skiing they're fearless, and they go off,"
