,Speaker,Utterance,Unified
5,M,"I'm, I'm not an American car person at all.","M|I'm, I'm not an American car person at all."
44,A,"so it's like completely opposed. I don't know, which do I like better, I think I like the Porsche's philosophy a little bit better, although it's not really practical.","A|so it's like completely opposed. I don't know, which do I like better, I think I like the Porsche's philosophy a little bit better, although it's not really practical."
45,M,"Yeah, that's true.","M|Yeah, that's true."
46,A,"Unless, it's, it's a toy.","A|Unless, it's, it's a toy."
47,M,Yeah.,M|Yeah.
48,A,"Let's face it. Yeah, yeah, but it, it, B M W good for that. What kind of driving just like commuting you'd want to do it, use it for?","A|Let's face it. Yeah, yeah, but it, it, B M W good for that. What kind of driving just like commuting you'd want to do it, use it for?"
49,M,Yeah.,M|Yeah.
50,A,"Wow, yeah.","A|Wow, yeah."
51,M,"So,","M|So,"
52,A,That's cool.,A|That's cool.
53,M,Yeah.,M|Yeah.
54,A,"Yeah, that's good. I also, I was impressed by, uh, by the Mercedes, too.","A|Yeah, that's good. I also, I was impressed by, uh, by the Mercedes, too."
55,M,Uh-huh.,M|Uh-huh.
56,A,"I really, I really like the Mercedes.","A|I really, I really like the Mercedes."
57,M,Uh-huh.,M|Uh-huh.
58,A,"The factory was nice and, And is it different for the, for the B M W?","A|The factory was nice and, And is it different for the, for the B M W?"
59,M,"Uh, I think it's, uh-huh.","M|Uh, I think it's, uh-huh."
60,A,"Probably. Right, I can imagine that.","A|Probably. Right, I can imagine that."
61,M,"and, uh, I, I'm not sure that I'm satisfied with it at all.","M|and, uh, I, I'm not sure that I'm satisfied with it at all."
