,Speaker,Utterance,Unified
5,M,Um.,M|Um.
27,M,Uh-huh.,M|Uh-huh.
28,A,Yeah.,A|Yeah.
29,M,it's just so much work.,M|it's just so much work.
30,A,"Yeah, you probably get this, probably pretty sticky after you get done.","A|Yeah, you probably get this, probably pretty sticky after you get done."
31,M,Yeah,M|Yeah
32,A,"Then you've got to drain the water out of the watermelon because, you know, when you scrape it, it makes the water.","A|Then you've got to drain the water out of the watermelon because, you know, when you scrape it, it makes the water."
33,M,"Yeah. I know, uh, we used to do that with our, uh our kids, we'd, we would, we did that to our trees when they were little and we'd go through the, the, uh the, mulch","M|Yeah. I know, uh, we used to do that with our, uh our kids, we'd, we would, we did that to our trees when they were little and we'd go through the, the, uh the, mulch"
34,A,"Yeah, um, something I do is a fruit, is, I'll get, um, make chocolate sauce and dip strawberries and bananas in them. Yeah, I have two nieces and they, they they go melt some chocolate chips, Go buy me some strawberries.","A|Yeah, um, something I do is a fruit, is, I'll get, um, make chocolate sauce and dip strawberries and bananas in them. Yeah, I have two nieces and they, they they go melt some chocolate chips, Go buy me some strawberries."
35,M,!!! Remind me of that now.,M|!!! Remind me of that now.
36,A,"Yeah, you know, if you get a sweet strawberry they're much better, but if you get a sour strawberry,","A|Yeah, you know, if you get a sweet strawberry they're much better, but if you get a sour strawberry,"
37,M,Yeah.,M|Yeah.
38,A,"Huh. Yeah, no, they, um, the strawberries are coming in season now from , they're, they're coming up from Florida, of course. I live in Vermont, so. But they're really reasonably priced, they're coming up from Florida, so.","A|Huh. Yeah, no, they, um, the strawberries are coming in season now from , they're, they're coming up from Florida, of course. I live in Vermont, so. But they're really reasonably priced, they're coming up from Florida, so."
39,M,Oh.,M|Oh.
40,A,Yeah.,A|Yeah.
41,M,"but they're out now,","M|but they're out now,"
42,A,"Yeah, I think the, uh, actually I think they get, um, some of them from South America.","A|Yeah, I think the, uh, actually I think they get, um, some of them from South America."
43,M,Uh-huh.,M|Uh-huh.
44,A,"Yep, they, a lot of, um, of a, um, winter produce comes from South America.","A|Yep, they, a lot of, um, of a, um, winter produce comes from South America."
45,M,Uh-huh.,M|Uh-huh.
46,A,"Of course, their seasons are switched.","A|Of course, their seasons are switched."
47,M,Uh-huh.,M|Uh-huh.
48,A,"So, um, do you want to discuss the recipe?","A|So, um, do you want to discuss the recipe?"
49,M,"!!!%!! RemindMe!! Auto!!ety!! This is a dog and cat cross,","M|!!!%!! RemindMe!! Auto!!ety!! This is a dog and cat cross,"
50,A,I have a recipe if you want,A|I have a recipe if you want
51,M,"Yeah, that sounds good.","M|Yeah, that sounds good."
52,A,"Um, it filled , a lot of people try to stay away from this but I make my own homemade pudding just because I don't like box pudding.","A|Um, it filled , a lot of people try to stay away from this but I make my own homemade pudding just because I don't like box pudding."
53,M,!!!%!! translated,M|!!!%!! translated
54,A,"Yeah, it, and it if you, um, well, first of all I take about a quarter and a half of milk and I put it in a two quart saucepan and you put it on a really low heat.","A|Yeah, it, and it if you, um, well, first of all I take about a quarter and a half of milk and I put it in a two quart saucepan and you put it on a really low heat."
55,M,Uh-huh.,M|Uh-huh.
56,A,"And you want to use one of your good sauce pans that dissipate the heat because it, it ends up burning, I mean, no matter how careful you are you still might get a film on the bottom of the pot.","A|And you want to use one of your good sauce pans that dissipate the heat because it, it ends up burning, I mean, no matter how careful you are you still might get a film on the bottom of the pot."
57,M,"Oh, really?","M|Oh, really?"
58,A,"I don't let that worry me. And I get the milk lukewarm and then I pour about a half a cup of cornstarch in it and I have this thing it's called the slender blender, it, it makes the, uh, it makes, uh, a whip topping out of milk if you get the milk cold enough. It's, uh, I don't know, they're called moo goo leaves or something they're","A|I don't let that worry me. And I get the milk lukewarm and then I pour about a half a cup of cornstarch in it and I have this thing it's called the slender blender, it, it makes the, uh, it makes, uh, a whip topping out of milk if you get the milk cold enough. It's, uh, I don't know, they're called moo goo leaves or something they're"
59,M,"Oh, I've heard of them.","M|Oh, I've heard of them."
60,A,Yeah. They're real neat.,A|Yeah. They're real neat.
61,M,"Oh, that's neat. I've never heard of that before.","M|Oh, that's neat. I've never heard of that before."
62,A,"I think they're real reasonably priced, some of them, they used to be a hundred dollars and they used to whip skim milk into a dessert but I didn't get that one, I got the Black and Decker kind. But, uh, it's real handy because it doesn't have a cord and you beat this cornstarch right into the the milk, you know, and it does an excellent job, or just hand beat it. I guess you could use a hand mixer but I don't think it I don't think it gets it good enough.","A|I think they're real reasonably priced, some of them, they used to be a hundred dollars and they used to whip skim milk into a dessert but I didn't get that one, I got the Black and Decker kind. But, uh, it's real handy because it doesn't have a cord and you beat this cornstarch right into the the milk, you know, and it does an excellent job, or just hand beat it. I guess you could use a hand mixer but I don't think it I don't think it gets it good enough."
63,M,"Yeah, I've had some, I have a, a black iron skillet that I, I bought it because I wanted to make a barbecue, but I thought, you just can't make it.","M|Yeah, I've had some, I have a, a black iron skillet that I, I bought it because I wanted to make a barbecue, but I thought, you just can't make it."
64,A,"And then before the milk gets too hot, um, I add two beaten eggs and I really mix them in good. And then about a half a cup of sugar and I let it pretty much, I beat it like every minute for about ten seconds and it's, it starts thickening, when it thickens the cornstarch might get a little, I don't know, it gets like little globs of this rubbery cornstarch, and you just keep beating it in. And it's the, the trick is, is to have this blender, so, if you were, you'd have to probably almost go out and someone who's just going to make it first time, it's, you'll have much better luck if you had one of these little blenders. And then you can add cocoa powder to it to make chocolate or after it's thickened I cook it for a good, once it starts boiling, I just, I cook it for a good seven minutes, seven to ten minutes","A|And then before the milk gets too hot, um, I add two beaten eggs and I really mix them in good. And then about a half a cup of sugar and I let it pretty much, I beat it like every minute for about ten seconds and it's, it starts thickening, when it thickens the cornstarch might get a little, I don't know, it gets like little globs of this rubbery cornstarch, and you just keep beating it in. And it's the, the trick is, is to have this blender, so, if you were, you'd have to probably almost go out and someone who's just going to make it first time, it's, you'll have much better luck if you had one of these little blenders. And then you can add cocoa powder to it to make chocolate or after it's thickened I cook it for a good, once it starts boiling, I just, I cook it for a good seven minutes, seven to ten minutes"
65,M,"Oh, that's good.","M|Oh, that's good."
66,A,"and then you can make chocolate or you can take it off and let it cool you put, um, really good vanilla favoring in it and some butter and that makes french vanilla, um, custard. Yeah,","A|and then you can make chocolate or you can take it off and let it cool you put, um, really good vanilla favoring in it and some butter and that makes french vanilla, um, custard. Yeah,"
67,M,"Oh, that sounds good.","M|Oh, that sounds good."
68,A,A chocolate powder.,A|A chocolate powder.
69,M,Yes.,M|Yes.
70,A,"Yeah, that cocoa, yeah, the unsweetened. It comes in like a real dark can,","A|Yeah, that cocoa, yeah, the unsweetened. It comes in like a real dark can,"
71,M,Um.,M|Um.
72,A,"our mothers used to use it. And then,","A|our mothers used to use it. And then,"
73,M,"Oh, that's great.","M|Oh, that's great."
74,A,"Yeah, we all used to,","A|Yeah, we all used to,"
75,M,"we all used,","M|we all used,"
76,A,"yeah , it's the unsweetened kind it's not like Nestles Quik.","A|yeah , it's the unsweetened kind it's not like Nestles Quik."
77,M,Yeah.,M|Yeah.
78,A,I suppose you could use that.,A|I suppose you could use that.
79,M,Yeah.,M|Yeah.
80,A,"Yeah, but, um,","A|Yeah, but, um,"
81,M,I don't know.,M|I don't know.
82,A,"Well, I used to make the regular pudding, the chocolate and put it in the pie shell and if it would sit in the refrigerator for a day, where you cut the pie, it would soak into the pie shell and it was like red, and I'm like, oh, this is kind of groedy .","A|Well, I used to make the regular pudding, the chocolate and put it in the pie shell and if it would sit in the refrigerator for a day, where you cut the pie, it would soak into the pie shell and it was like red, and I'm like, oh, this is kind of groedy ."
83,M,I know.,M|I know.
84,A,"Um, actually I found it in one of my mother's, um, homemade cookbooks, I mean, something she had collected out of WOMAN'S DAY or something.","A|Um, actually I found it in one of my mother's, um, homemade cookbooks, I mean, something she had collected out of WOMAN'S DAY or something."
85,M,!!!%!!That's funny.,M|!!!%!!That's funny.
86,A,"So,","A|So,"
87,M,"Yeah, that's, that was a really good book.","M|Yeah, that's, that was a really good book."
88,A,"I think you couldn't make it with a hand whisk or, or a regular beater but, um,","A|I think you couldn't make it with a hand whisk or, or a regular beater but, um,"
89,M,"Well, I've never tried it, but I would imagine you could.","M|Well, I've never tried it, but I would imagine you could."
90,A,"Yeah, but I still think a beater would do it good enough, um, the trick is to get the cornstarch,","A|Yeah, but I still think a beater would do it good enough, um, the trick is to get the cornstarch,"
91,M,Uh-huh.,M|Uh-huh.
92,A,"um, yeah , right in the, in the lukewarm milk. Sometimes I put the cornstarch in a separate bowl and I would put it in the sink and I'll take my lukewarm milk and put it in the cornstarch and beat it good. It seems to be better than putting the, the cornstarch into the liquid it, once it hits the top of the liquid it seems to make little balls and stuff on the top.","A|um, yeah , right in the, in the lukewarm milk. Sometimes I put the cornstarch in a separate bowl and I would put it in the sink and I'll take my lukewarm milk and put it in the cornstarch and beat it good. It seems to be better than putting the, the cornstarch into the liquid it, once it hits the top of the liquid it seems to make little balls and stuff on the top."
93,M,"Uh, I think that's true.","M|Uh, I think that's true."
94,A,"Yeah. And I'll do this, uh, sometimes I'll put my after I pour that into my, back into my saucepan. I'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg. So,","A|Yeah. And I'll do this, uh, sometimes I'll put my after I pour that into my, back into my saucepan. I'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg. So,"
95,M,"!!!it's not, it's not very thick, but it's a very thick piece of cornstark.","M|!!!it's not, it's not very thick, but it's a very thick piece of cornstark."
96,A,"Yep. And then, you know, if you can put your cocoa in with your cornstarch if you wanted to. The cocoa even seems to thicken it even more.","A|Yep. And then, you know, if you can put your cocoa in with your cornstarch if you wanted to. The cocoa even seems to thicken it even more."
97,M,!!!%!! translated,M|!!!%!! translated
98,A,"Because by the vanilla doesn't seem to thicken as well as the, sometimes the cocoa is like, my husband really likes it thick he says, I can stick the spoon right in this.","A|Because by the vanilla doesn't seem to thicken as well as the, sometimes the cocoa is like, my husband really likes it thick he says, I can stick the spoon right in this."
99,M,Yeah.,M|Yeah.
100,A,"Because I'm always worrying it won't firm up because it, when you take it out of the saucepan it's like, boy, I hope this thickens a little more because it's not like real package thick, you know, when you cook a package, it's, it's a little less,","A|Because I'm always worrying it won't firm up because it, when you take it out of the saucepan it's like, boy, I hope this thickens a little more because it's not like real package thick, you know, when you cook a package, it's, it's a little less,"
101,M,Yeah.,M|Yeah.
102,A,"but I put it in a nice glass bowl and, um, some people don't like that, that, film on the pudding so you can put, uh, Saran Wrap over the top.","A|but I put it in a nice glass bowl and, um, some people don't like that, that, film on the pudding so you can put, uh, Saran Wrap over the top."
103,M,"Uh, I'll bet you that's, uh","M|Uh, I'll bet you that's, uh"
104,A,"And then once the pudding starts cooling it makes little balls of water on the Saran Wrap, so, when you pull the Saran Wrap back, you sort of should be a little careful, pull it back and shake the water off the Saran Wrap and I might put it back on. But, um,","A|And then once the pudding starts cooling it makes little balls of water on the Saran Wrap, so, when you pull the Saran Wrap back, you sort of should be a little careful, pull it back and shake the water off the Saran Wrap and I might put it back on. But, um,"
105,M,Now that's interesting.,M|Now that's interesting.
106,A,"Yeah, after, well when it starts steaming a lot, uh, I definitely, yeah, put it in the refrigerator,","A|Yeah, after, well when it starts steaming a lot, uh, I definitely, yeah, put it in the refrigerator,"
107,M,"Uh, I'll bet you do that, yeah.","M|Uh, I'll bet you do that, yeah."
108,A,"but, um, I, my father always told me if you put hot food in your refrigerator you're going to make it work too hard.","A|but, um, I, my father always told me if you put hot food in your refrigerator you're going to make it work too hard."
109,M,"Oh, yeah.","M|Oh, yeah."
110,A,"That's , yeah,","A|That's , yeah,"
111,M,"And, uh.","M|And, uh."
112,A,"so, that's why I do that.","A|so, that's why I do that."
113,M,"Yeah, yeah.","M|Yeah, yeah."
114,A,"So, well, I don't know that's my, my great hard recipe.","A|So, well, I don't know that's my, my great hard recipe."
