,Speaker,Utterance,Unified
5,M,!!!%!!;!! Remind me.,M|!!!%!!;!! Remind me.
71,M,Yeah.,M|Yeah.
72,A,"But, they're fun.","A|But, they're fun."
73,M,Yeah.,M|Yeah.
74,A,"Well, I just watch them.","A|Well, I just watch them."
75,M,Yeah.,M|Yeah.
76,A,I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.,A|I I never did put things up when my kids were little and I haven't with them. I try to teach them not to get into things.
77,M,Uh-huh.,M|Uh-huh.
78,A,"I think that once you do that, your children kind of develop the same attitudes. At least my daughters have. They try to teach theirs not to get into things instead of having to put everything up. So it's worked pretty well. There's, I don't really think anything's been broken. Every now and then we have to kind of go and say, now don't bother this you know.","A|I think that once you do that, your children kind of develop the same attitudes. At least my daughters have. They try to teach theirs not to get into things instead of having to put everything up. So it's worked pretty well. There's, I don't really think anything's been broken. Every now and then we have to kind of go and say, now don't bother this you know."
79,M,Uh-huh.,M|Uh-huh.
80,A,"But, all in all, they mind pretty well. But, I guess most of the what kind of roof does your house have? Here I'm getting off the subject.","A|But, all in all, they mind pretty well. But, I guess most of the what kind of roof does your house have? Here I'm getting off the subject."
81,M,Uh-hue.,M|Uh-hue.
