,Speaker,Utterance,Unified
5,M,"!!!%!! Remind me of that, oh, I know where you live, that's, uh.","M|!!!%!! Remind me of that, oh, I know where you live, that's, uh."
34,A,"and how they just well, it hasn't been just but it was in the, I think the second or third quarter of last year, nineteen ninety","A|and how they just well, it hasn't been just but it was in the, I think the second or third quarter of last year, nineteen ninety"
35,M,Uh-oh.,M|Uh-oh.
36,A,"and I had, you know, I knew some people that said, why are you glad, you you know, this is nothing, and I said just maybe because he got a lot of media hype and all that but I actually, I mean in there should be more cases like that where they flip a I might be too cold too, but they flip a switch,","A|and I had, you know, I knew some people that said, why are you glad, you you know, this is nothing, and I said just maybe because he got a lot of media hype and all that but I actually, I mean in there should be more cases like that where they flip a I might be too cold too, but they flip a switch,"
37,M,Yeah.,M|Yeah.
38,A,"I don't know,","A|I don't know,"
39,M,so I don't really know.,M|so I don't really know.
40,A,"I mean,","A|I mean,"
41,M,"and he was, he was being, he's been free for a while, and then he was caught just, you can't bring him back, you have to keep him away.","M|and he was, he was being, he's been free for a while, and then he was caught just, you can't bring him back, you have to keep him away."
42,A,So many times.,A|So many times.
43,M,"Yeah, and I think it was, it was just a publicity thing. You know, he went over there and he was being, uh, excused because he didn't want to be a policeman.","M|Yeah, and I think it was, it was just a publicity thing. You know, he went over there and he was being, uh, excused because he didn't want to be a policeman."
44,A,Yeah.,A|Yeah.
45,M,!!!%!! RemindMe!! remindMe! remind!!et!! command,M|!!!%!! RemindMe!! remindMe! remind!!et!! command
46,A,"Yeah, I mean, and that's just maybe because of the little more, they said celebrated that, uh, he's not the only one,  you know,","A|Yeah, I mean, and that's just maybe because of the little more, they said celebrated that, uh, he's not the only one,  you know,"
47,M,Right.,M|Right.
48,A,"you, you see somebody's mini series and you hear about somebody's crime, there was something on, and this gets back to capital punishment, but the man had stolen, uh, not stolen but kidnapped, uh, some wealthy ex-athlete's daughter somewhere in Florida and they changed all the facts that they said it was true","A|you, you see somebody's mini series and you hear about somebody's crime, there was something on, and this gets back to capital punishment, but the man had stolen, uh, not stolen but kidnapped, uh, some wealthy ex-athlete's daughter somewhere in Florida and they changed all the facts that they said it was true"
49,M,Uh-huh.,M|Uh-huh.
50,A,and they buried her alive,A|and they buried her alive
51,M,Right.,M|Right.
52,A,"and Peter Strauss had played the lead role and the man, and, and at the end of, you know how they have these mini dramas, at the end they said, this set person was paroled like six months ago and you're thinking oh, that's nice.","A|and Peter Strauss had played the lead role and the man, and, and at the end of, you know how they have these mini dramas, at the end they said, this set person was paroled like six months ago and you're thinking oh, that's nice."
53,M,Oh.,M|Oh.
54,A,"I mean, you know, I'm not sure that capital punishment serves as a deterrence but it does serve as a uh, definite,  you know, lasting","A|I mean, you know, I'm not sure that capital punishment serves as a deterrence but it does serve as a uh, definite,  you know, lasting"
55,M,Yeah.,M|Yeah.
56,A,"Right, in that particular instance, uh, but I, but I don't, but I know it's on a and all and be all,","A|Right, in that particular instance, uh, but I, but I don't, but I know it's on a and all and be all,"
57,M,That's right.,M|That's right.
58,A,"that's the problem I have with it, in Texas they think it's and all and be all, they think that if they electrocute or slip, or do something, or gas somebody, uh, that they're not going to have the crimes that they do have and we happen to live in Dallas which is extremely crime,  ridden,","A|that's the problem I have with it, in Texas they think it's and all and be all, they think that if they electrocute or slip, or do something, or gas somebody, uh, that they're not going to have the crimes that they do have and we happen to live in Dallas which is extremely crime,  ridden,"
59,M,Uh-huh. Uh-hue.,M|Uh-huh. Uh-hue.
60,A,"and we just moved here, uh, we've been here before, lived in Minneapolis, Saint Paul, uh, which has an exceedingly low crime rate, and then we were transferred back here, and when you're gone from some place like it for about six years as we were, you really begin to see, uh, just how problematic just living is,  even suburban, no matter where you are,","A|and we just moved here, uh, we've been here before, lived in Minneapolis, Saint Paul, uh, which has an exceedingly low crime rate, and then we were transferred back here, and when you're gone from some place like it for about six years as we were, you really begin to see, uh, just how problematic just living is,  even suburban, no matter where you are,"
61,M,Yeah.,M|Yeah.
62,A,"and how, you're in,  Rome, New York,","A|and how, you're in,  Rome, New York,"
63,M,!!!%!! Remind me.,M|!!!%!! Remind me.
64,A,"is that and, and, is that like near Albany or Syracuse,","A|is that and, and, is that like near Albany or Syracuse,"
65,M,!!!%!! Remind me.,M|!!!%!! Remind me.
66,A,"What, what type of area is that,","A|What, what type of area is that,"
67,M,"well, it, it just happened so fast, I mean, it was just, you know, the minute the sun went down, it would just completely turn yellow, you couldn't see the dirt.","M|well, it, it just happened so fast, I mean, it was just, you know, the minute the sun went down, it would just completely turn yellow, you couldn't see the dirt."
68,A,"is that in term,","A|is that in term,"
69,M,"yeah, and I'm thinking, um, we're talking about, um","M|yeah, and I'm thinking, um, we're talking about, um"
70,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
71,M,"but, uh.","M|but, uh."
72,A,Sure.,A|Sure.
73,M,"and, uh.","M|and, uh."
74,A,"How would,  how is the situation in there in terms of crime and,  and things that would,","A|How would,  how is the situation in there in terms of crime and,  and things that would,"
75,M,"Well, I think it's improving.","M|Well, I think it's improving."
76,A,not too bad. Yeah. Uh-huh.,A|not too bad. Yeah. Uh-huh.
77,M,"but, uh.","M|but, uh."
78,A,"Not the harsh criminality,  that you find in,","A|Not the harsh criminality,  that you find in,"
79,M,Yeah.,M|Yeah.
80,A,"yeah, now, Dallas is a I'm being very sarcastic, it's just a great,  uh, on some days, uh, it's, uh, I don't know the good ole boy network here is, uh, very strange, like I said they believe that, if they kill somebody, you know, tit for tat and,  deed for deed that,  that does something, uh,","A|yeah, now, Dallas is a I'm being very sarcastic, it's just a great,  uh, on some days, uh, it's, uh, I don't know the good ole boy network here is, uh, very strange, like I said they believe that, if they kill somebody, you know, tit for tat and,  deed for deed that,  that does something, uh,"
81,M,"Yeah. Yeah, that's true.","M|Yeah. Yeah, that's true."
82,A,"but yet they want spend the money to build the new jails that, I mean, they really are over,  crowded,","A|but yet they want spend the money to build the new jails that, I mean, they really are over,  crowded,"
83,M,"Oh, yeah.","M|Oh, yeah."
84,A,"I mean, that's, that's just not a cop out, uh, and I just, you know, I'm originally from Pennsylvania which I think is basically like New York these days, I'm not sure if they, I don't think they have capital punishment there.","A|I mean, that's, that's just not a cop out, uh, and I just, you know, I'm originally from Pennsylvania which I think is basically like New York these days, I'm not sure if they, I don't think they have capital punishment there."
85,M,Yeah.,M|Yeah.
86,A,"Uh-huh. Yeah, and I'm from Pittsburgh so,  oh, well, we'll forgive each other","A|Uh-huh. Yeah, and I'm from Pittsburgh so,  oh, well, we'll forgive each other"
87,M,Yeah.,M|Yeah.
88,A,"Uh, because they use to be very, very conservative when I was growing up I and I can't, I haven't lived there in twenty,  years","A|Uh, because they use to be very, very conservative when I was growing up I and I can't, I haven't lived there in twenty,  years"
89,M,Uh.,M|Uh.
90,A,"but, uh,","A|but, uh,"
91,M,"I've never been there and I was there when the first lady that lived there, uh-hugh,  she had a baby and everything.","M|I've never been there and I was there when the first lady that lived there, uh-hugh,  she had a baby and everything."
92,A,"There you go I don't know that's a different subject,  altogether","A|There you go I don't know that's a different subject,  altogether"
93,M,Uh-huh.,M|Uh-huh.
94,A,"but, uh, I don't know I think everybody would feel it is same way if they were touched by crime. I think everyone would, you and I think are honest and candid because we could do it on, in this,  vehicle, uh,","A|but, uh, I don't know I think everybody would feel it is same way if they were touched by crime. I think everyone would, you and I think are honest and candid because we could do it on, in this,  vehicle, uh,"
95,M,Yeah.,M|Yeah.
96,A,"but I think everybody if they were touched by it would say, if they had any sense of rage that could be brought out,  I think every human does, I think they'd say, yeah,","A|but I think everybody if they were touched by it would say, if they had any sense of rage that could be brought out,  I think every human does, I think they'd say, yeah,"
97,M,I think that's true.,M|I think that's true.
98,A,"do it if somebody in my family or if it happened it me, you know,","A|do it if somebody in my family or if it happened it me, you know,"
99,M,Uh-huh.,M|Uh-huh.
100,A,"uh,","A|uh,"
101,M,"I mean, I, I'd be, I'm, I would be more than willing to go into a nursing home and just, you, you need to, you really do need to do something to help the situation.","M|I mean, I, I'd be, I'm, I would be more than willing to go into a nursing home and just, you, you need to, you really do need to do something to help the situation."
102,A,"Uh-huh. Yeah, I just,  don't think that, uh, you can rehabilitate, I mean I just don't, uh, oh, I did a paper back in college a long time ago for criminal justice class, and I just, the subject, I remember we drew things out of a hat and it was something, uh, it was basically the essence was does the crime fit the punishment and when you see how many repeat offenders there are, uh, check, check fraud cases where they go to jail for five to ten years and, uh, rape, rapist getting their hand,  just slapped, you know, and how it is based on the judge and if the time of day that the court is in session,  you know, all these, uh, intangible things","A|Uh-huh. Yeah, I just,  don't think that, uh, you can rehabilitate, I mean I just don't, uh, oh, I did a paper back in college a long time ago for criminal justice class, and I just, the subject, I remember we drew things out of a hat and it was something, uh, it was basically the essence was does the crime fit the punishment and when you see how many repeat offenders there are, uh, check, check fraud cases where they go to jail for five to ten years and, uh, rape, rapist getting their hand,  just slapped, you know, and how it is based on the judge and if the time of day that the court is in session,  you know, all these, uh, intangible things"
103,M,Yeah.,M|Yeah.
104,A,"and you're thinking, oh, you would not only would you not want to be a victim you wouldn't want to be a criminal either because you wouldn't know what you're getting, uh","A|and you're thinking, oh, you would not only would you not want to be a victim you wouldn't want to be a criminal either because you wouldn't know what you're getting, uh"
105,M,"Uh, yeah. Yeah.","M|Uh, yeah. Yeah."
106,A,"but, I don't know, methods of capital punishment I have no opinions on that either I just","A|but, I don't know, methods of capital punishment I have no opinions on that either I just"
107,M,"!!!%!! Remind me of that, I, I know exactly what you are talking about.","M|!!!%!! Remind me of that, I, I know exactly what you are talking about."
108,A,"Uh-huh. Is it, uh, how about the injection,","A|Uh-huh. Is it, uh, how about the injection,"
109,M,Well I'm not sure. I think it's more efficient.,M|Well I'm not sure. I think it's more efficient.
110,A,is that suppose to be.,A|is that suppose to be.
111,M,"and then you're supposed to, you know, and then, and you're suppose to, and it's supposed to be real painless, but it's not supposed to give you any kind of pain.","M|and then you're supposed to, you know, and then, and you're suppose to, and it's supposed to be real painless, but it's not supposed to give you any kind of pain."
112,A,"Yeah. I'm not even sure, in the split among the fifty states, do you know which way it is the ratio, it's more than, aren't, uh, it's more that don't have it,","A|Yeah. I'm not even sure, in the split among the fifty states, do you know which way it is the ratio, it's more than, aren't, uh, it's more that don't have it,"
113,M,"Yeah, I don't know.","M|Yeah, I don't know."
114,A,isn't that correct.,A|isn't that correct.
115,M,"but I don't know, I donno.","M|but I don't know, I donno."
116,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
117,M,"and it's, it was a, it, it wasn't a particularly heinous crime, it just, you know, it happened in such a random and unusual way that, uh.","M|and it's, it was a, it, it wasn't a particularly heinous crime, it just, you know, it happened in such a random and unusual way that, uh."
118,A,"Yeah, I don't know if they've, they did something about I'm not sure if Texas, Minnesota, I, they didn't, they didn't, they were well, did they have it, they were against it, uh, Texas, as I said, has it but I haven't been back here long enough to, to realize whether or not,  if they've done it in the last,","A|Yeah, I don't know if they've, they did something about I'm not sure if Texas, Minnesota, I, they didn't, they didn't, they were well, did they have it, they were against it, uh, Texas, as I said, has it but I haven't been back here long enough to, to realize whether or not,  if they've done it in the last,"
119,M,Yeah.,M|Yeah.
