,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
52,A,"but it, this is her first credit card thing, well, when she got her first one she was so excited it was unreal. Look at this they sent me this money, you know. So then when I explained to her, look you have to pay this back and they are going to charge you interest, and stuff , of course, she tore it up. But a lot of parents would not take the time, you know, and they wouldn't even think of it or their kids may not be as close as my daughter and I are, and, uh, you know, they may not even discuss it, they go out and cash their check thinking that, you know, they've got something, maybe they've won something. You know, somebody sent them something free.","A|but it, this is her first credit card thing, well, when she got her first one she was so excited it was unreal. Look at this they sent me this money, you know. So then when I explained to her, look you have to pay this back and they are going to charge you interest, and stuff , of course, she tore it up. But a lot of parents would not take the time, you know, and they wouldn't even think of it or their kids may not be as close as my daughter and I are, and, uh, you know, they may not even discuss it, they go out and cash their check thinking that, you know, they've got something, maybe they've won something. You know, somebody sent them something free."
53,M,"Uh, I've had, I have had a couple of credit cards, and I've, you, you get one or two bucks for every dollar you spend, and then you get, uh a lot more for the amount you spend.","M|Uh, I've had, I have had a couple of credit cards, and I've, you, you get one or two bucks for every dollar you spend, and then you get, uh a lot more for the amount you spend."
54,A,"And go out and spend it. And, um, it's just unreal. I mean, I don't like credit cards, I wish that they would come up with some other way to, you know, the only way you could use them is if you were, like on vacation. They would let you use it maybe once a year. You know, I mean, of course, I guess some people go out and spend their whole entire limit on it like that at that time but, um, I have seen so many people and I have a friend right now she just got off of thirteen. She got, uh, I can't remember what she called it, it's some kind of, maybe it's sure or something like that, it's something, it's some weird name of a credit card,","A|And go out and spend it. And, um, it's just unreal. I mean, I don't like credit cards, I wish that they would come up with some other way to, you know, the only way you could use them is if you were, like on vacation. They would let you use it maybe once a year. You know, I mean, of course, I guess some people go out and spend their whole entire limit on it like that at that time but, um, I have seen so many people and I have a friend right now she just got off of thirteen. She got, uh, I can't remember what she called it, it's some kind of, maybe it's sure or something like that, it's something, it's some weird name of a credit card,"
55,M,Yeah.,M|Yeah.
56,A,"and she is charging out of her mind already. And I'm going, you just got off. That's how you got on to it to start with, you know, what is the matter with this person,","A|and she is charging out of her mind already. And I'm going, you just got off. That's how you got on to it to start with, you know, what is the matter with this person,"
57,M,Yeah.,M|Yeah.
58,A,"But, um, it seems like people just, you know, they just think, well, I can just have anything I want. And I just don't see it like that. Of course, I always see pay the bills first and whatever's leftover, that's what you have, but, um, maybe a lot of people don't see it like that, but I can't stand owing. I mean, I cannot fully tolerate to owe something like, you know, I guess it's just because I've been brought up like that. But, um, I could not charge to the limit and knowing that I was going to have to pay this thing out for ever and maybe suffer from having to payout. But, that's just the way I feel about it.","A|But, um, it seems like people just, you know, they just think, well, I can just have anything I want. And I just don't see it like that. Of course, I always see pay the bills first and whatever's leftover, that's what you have, but, um, maybe a lot of people don't see it like that, but I can't stand owing. I mean, I cannot fully tolerate to owe something like, you know, I guess it's just because I've been brought up like that. But, um, I could not charge to the limit and knowing that I was going to have to pay this thing out for ever and maybe suffer from having to payout. But, that's just the way I feel about it."
59,M,"Yeah, yeah.","M|Yeah, yeah."
60,A,Right. yeah.,A|Right. yeah.
61,M,"And, you don tinker with it and I can always tell my husband, you, you've got to have a budget and, and, um.","M|And, you don tinker with it and I can always tell my husband, you, you've got to have a budget and, and, um."
62,A,"oh, yeah. I guess it is like that though because it seems like more and more people are like that. But, um, I guess it's because I'm older, I mean, I'm not real old but I am older and, um, you know, I didn't feel like that I didn't feel like I had to have everything. I guess it was because, well, I had everything when I was at home but I, I don't know why I didn't.","A|oh, yeah. I guess it is like that though because it seems like more and more people are like that. But, um, I guess it's because I'm older, I mean, I'm not real old but I am older and, um, you know, I didn't feel like that I didn't feel like I had to have everything. I guess it was because, well, I had everything when I was at home but I, I don't know why I didn't."
63,M,Uh-huh.,M|Uh-huh.
64,A,uh-huh.,A|uh-huh.
65,M,"and I'm like, well then I'll have to make that. And I'm sure that, you, you're not going to have to, you have to be, you don't have to spend that much money,","M|and I'm like, well then I'll have to make that. And I'm sure that, you, you're not going to have to, you have to be, you don't have to spend that much money,"
66,A,yeah.,A|yeah.
67,M,"And then, you can go back and pay for it again.","M|And then, you can go back and pay for it again."
68,A,Huh.,A|Huh.
69,M,"So, you know, that's, that, that is a big problem.","M|So, you know, that's, that, that is a big problem."
70,A,"Yeah, well, it didn't hurt you, did it, to, I mean, you didn't go out and charge a whole bunch and lose everything, did you?","A|Yeah, well, it didn't hurt you, did it, to, I mean, you didn't go out and charge a whole bunch and lose everything, did you?"
71,M,Yeah.,M|Yeah.
72,A,"Yeah, well, you learned then, right?","A|Yeah, well, you learned then, right?"
73,M,Yeah.,M|Yeah.
74,A,Yeah.,A|Yeah.
75,M,"You know, that's not, you're, uh","M|You know, that's not, you're, uh"
76,A,Uh-huh.,A|Uh-huh.
77,M,"I don't know, I'm not sure how much they're charging per year per year, but, I mean, I don't even know if I know what my total bill is per year or per month or how much I'm actually supposed to be getting paid for it.","M|I don't know, I'm not sure how much they're charging per year per year, but, I mean, I don't even know if I know what my total bill is per year or per month or how much I'm actually supposed to be getting paid for it."
