,Speaker,Utterance,Unified
5,M,"Uh, yes.","M|Uh, yes."
46,A,"Well, that's not what I heard, from one of, somebody that was supposed to know what they were talking about.","A|Well, that's not what I heard, from one of, somebody that was supposed to know what they were talking about."
47,M,No.,M|No.
48,A,Uh-huh.,A|Uh-huh.
49,M,"I was thinking, well, that sounds wonderful.","M|I was thinking, well, that sounds wonderful."
50,A,Really?,A|Really?
51,M,Yeah.,M|Yeah.
52,A,Unless somebody is trying to blackball them.,A|Unless somebody is trying to blackball them.
53,M,"Yeah, I know. I, I, uh, I don't, I mean, I'm not really for gun control, I just think it should be, uh.","M|Yeah, I know. I, I, uh, I don't, I mean, I'm not really for gun control, I just think it should be, uh."
54,A,Uh-huh.,A|Uh-huh.
55,M,"And, uh, so, I don't know, I guess it's just, I think it's, I just feel like it's kind of an over reaction, but I guess I don tinker too much with it.","M|And, uh, so, I don't know, I guess it's just, I think it's, I just feel like it's kind of an over reaction, but I guess I don tinker too much with it."
56,A,Okay.,A|Okay.
57,M,"And, uh, and, uh  and we, we, uh we go to the, uh the fast food ones.","M|And, uh, and, uh  and we, we, uh we go to the, uh the fast food ones."
58,A,"How about the health food, uh, restaurants? Well, like this one but it's probably not advertised as such, is it? Or,","A|How about the health food, uh, restaurants? Well, like this one but it's probably not advertised as such, is it? Or,"
59,M,"Uh, it's not, it, it isn't.","M|Uh, it's not, it, it isn't."
60,A,"Uh-huh. Health food, uh, restaurants that,","A|Uh-huh. Health food, uh, restaurants that,"
61,M,"Uh, I guess we have to talk about the food though.","M|Uh, I guess we have to talk about the food though."
62,A,"Well well, like, um, well, I can't really think of any off the top of my head right now because there's so few and far between.","A|Well well, like, um, well, I can't really think of any off the top of my head right now because there's so few and far between."
63,M,Yeah.,M|Yeah.
64,A,"But they ought, there are restaurants that cater to the people that are very health conscious. You know, as far as their cholesterol levels and their, their fat content and, you know, the amount of calcium and so forth that are in each product and they list them. Now there's one restaurant that does that and it's called Rodolfo's over on Preston Road and Royal Lane I believe.","A|But they ought, there are restaurants that cater to the people that are very health conscious. You know, as far as their cholesterol levels and their, their fat content and, you know, the amount of calcium and so forth that are in each product and they list them. Now there's one restaurant that does that and it's called Rodolfo's over on Preston Road and Royal Lane I believe."
65,M,Uh-uh.,M|Uh-uh.
66,A,And they have very good food over there.,A|And they have very good food over there.
67,M,Uh-huh.,M|Uh-huh.
68,A,"Uh-huh, uh-huh. They do list, um, you know, list the fat,","A|Uh-huh, uh-huh. They do list, um, you know, list the fat,"
69,M,"Uh, yeah.","M|Uh, yeah."
70,A,"Uh-huh, uh-huh.","A|Uh-huh, uh-huh."
71,M,but I don't know.,M|but I don't know.
72,A,"Well, it was pretty reasonable. I, it was around ten dollars for lunch. Okay, which is kind of high for lunch I guess.","A|Well, it was pretty reasonable. I, it was around ten dollars for lunch. Okay, which is kind of high for lunch I guess."
73,M,"Yeah, yeah, that's, that, that would be a little bit too much for a dinner party, but,","M|Yeah, yeah, that's, that, that would be a little bit too much for a dinner party, but,"
74,A,Yes.,A|Yes.
75,M,"Well I, I, uh, I like to cook, uh","M|Well I, I, uh, I like to cook, uh"
76,A,"Yes, uh-huh.","A|Yes, uh-huh."
77,M,"Yeah, I've been to, uh, a few of the fairs.","M|Yeah, I've been to, uh, a few of the fairs."
78,A,"Yeah. Uh, but, um, you were served by maitre d's and, and, uh, um, men waiters.","A|Yeah. Uh, but, um, you were served by maitre d's and, and, uh, um, men waiters."
79,M,Right.,M|Right.
80,A,"Well, if you're looking for a nice, Uh-huh. Well, I guess if you were having, if you were trying to impress somebody like taking somebody that you hadn't seen for a long time and wanted to show them a good restaurant. It's a special occasion, type thing.","A|Well, if you're looking for a nice, Uh-huh. Well, I guess if you were having, if you were trying to impress somebody like taking somebody that you hadn't seen for a long time and wanted to show them a good restaurant. It's a special occasion, type thing."
81,M,Uh-hue.,M|Uh-hue.
82,A,Yeah.,A|Yeah.
83,M,"And, uh.","M|And, uh."
84,A,Uh-huh. And now the Red Lobster I found is very nice at lunchtime.,A|Uh-huh. And now the Red Lobster I found is very nice at lunchtime.
85,M,"Oh, yeah.","M|Oh, yeah."
86,A,"Because they're, Well, they have lunch specials that you can't, you can't beat that price, uh, if you went to a cafeteria.","A|Because they're, Well, they have lunch specials that you can't, you can't beat that price, uh, if you went to a cafeteria."
87,M,!!!;!!%!!That's right.,M|!!!;!!%!!That's right.
88,A,"Well, I had the, I had a broiled chicken breast and it was excellent. It was a marinated, broiled chicken breast and it was","A|Well, I had the, I had a broiled chicken breast and it was excellent. It was a marinated, broiled chicken breast and it was"
89,M,Uh-uh.,M|Uh-uh.
90,A,"Oh, it was,","A|Oh, it was,"
91,M,"I would, I would love to have a chicken breast, you know,","M|I would, I would love to have a chicken breast, you know,"
92,A,"Well, I've never had catfish either in a restaurant because I'm from the north and that was a no no.","A|Well, I've never had catfish either in a restaurant because I'm from the north and that was a no no."
93,M,Uh-huh.,M|Uh-huh.
94,A,And I haven't gotten over that from the north.,A|And I haven't gotten over that from the north.
95,M,Really?,M|Really?
96,A,"I know they say that, that is,","A|I know they say that, that is,"
97,M,"You know, I mean, it's, it, it really is good for you to eat it.","M|You know, I mean, it's, it, it really is good for you to eat it."
98,A,"but I'm, but they've got all these caution signs now on fish","A|but I'm, but they've got all these caution signs now on fish"
99,M,Uh-huh.,M|Uh-huh.
100,A,and so I kind of stay,A|and so I kind of stay
101,M,!!!%!! Remind me.,M|!!!%!! Remind me.
102,A,"Because of all the pollution in the lakes and the, everywhere. I mean there isn't any safe haven anymore for fish.","A|Because of all the pollution in the lakes and the, everywhere. I mean there isn't any safe haven anymore for fish."
103,M,Yeah.,M|Yeah.
104,A,"and especially, uh, in Wisconsin and Michigan they say, no, buying of our fish.","A|and especially, uh, in Wisconsin and Michigan they say, no, buying of our fish."
105,M,Yeah.,M|Yeah.
106,A,"I, Well, yeah. So I am, and the, the best brand of chicken to buy is the, uh, Pilgrim Pride because they don't use all these hormones to remote , uh, unnatural growth in their products.","A|I, Well, yeah. So I am, and the, the best brand of chicken to buy is the, uh, Pilgrim Pride because they don't use all these hormones to remote , uh, unnatural growth in their products."
107,M,Uh-huh.,M|Uh-huh.
108,A,"So I mean, we have to be on the lookout if we want to stay healthy.","A|So I mean, we have to be on the lookout if we want to stay healthy."
109,M,Right.,M|Right.
110,A,"So I'm, I, you know, I,","A|So I'm, I, you know, I,"
111,M,"Uh, yeah, I don't know. I, I think, uh.","M|Uh, yeah, I don't know. I, I think, uh."
112,A,Uh-huh. Yeah. Corrode. Huh.,A|Uh-huh. Yeah. Corrode. Huh.
113,M,"And, uh.","M|And, uh."
114,A,Uh-huh.,A|Uh-huh.
115,M,"And, uh.","M|And, uh."
116,A,"Well, I'd like to get ahold of some engineers and knock their heads together if it would do any good.","A|Well, I'd like to get ahold of some engineers and knock their heads together if it would do any good."
117,M,Yeah.,M|Yeah.
118,A,"Oh, dear.","A|Oh, dear."
119,M,Yeah.,M|Yeah.
120,A,Wow.,A|Wow.
121,M,"So,","M|So,"
122,A,Sure. Yeah.,A|Sure. Yeah.
123,M,and it's not like it used to be.,M|and it's not like it used to be.
124,A,"That's right. Everything we eat. Everything, everything we eat should have a label on it","A|That's right. Everything we eat. Everything, everything we eat should have a label on it"
125,M,Right.,M|Right.
126,A,Yeah.,A|Yeah.
127,M,"I don't know. I don't, I donno, I, I just think it's, uh, I think it, it's a problem. I think the, the government's, it seems to me that they're trying to control it and everything, you just, you don't want everybody to think that you're, you're the boss, and you're supposed to think about what you're doing and what you can do to fix it.","M|I don't know. I don't, I donno, I, I just think it's, uh, I think it, it's a problem. I think the, the government's, it seems to me that they're trying to control it and everything, you just, you don't want everybody to think that you're, you're the boss, and you're supposed to think about what you're doing and what you can do to fix it."
128,A,"Well, you know,","A|Well, you know,"
129,M,"But I think that's,","M|But I think that's,"
130,A,"Well, Becky, you know, even if you lived off your own land, that you would have to put caution signs,","A|Well, Becky, you know, even if you lived off your own land, that you would have to put caution signs,"
