,Speaker,Utterance,Unified
5,M,"Yes, uh-huh.","M|Yes, uh-huh."
33,M,"And, uh they just, they just seem to fit right in with the society and, and I don't know what they can do to fix it.","M|And, uh they just, they just seem to fit right in with the society and, and I don't know what they can do to fix it."
34,A,Um.,A|Um.
35,M,"And, uh.","M|And, uh."
36,A,So that's a difficult situation.,A|So that's a difficult situation.
37,M,"Uh-uh. Uh-uh, yeah.","M|Uh-uh. Uh-uh, yeah."
38,A,Um.,A|Um.
39,M,"and I think they're a lot more hardened, and they're, they're more, uh, they've done more,","M|and I think they're a lot more hardened, and they're, they're more, uh, they've done more,"
40,A,Uh-huh.,A|Uh-huh.
41,M,"But, uh, I, I think that, that we're in a, in a situation where we need to change the way that people think about it.","M|But, uh, I, I think that, that we're in a, in a situation where we need to change the way that people think about it."
42,A,Uh-huh.,A|Uh-huh.
43,M,"We're supposed to be the masters of the social, uh","M|We're supposed to be the masters of the social, uh"
44,A,"Well, that's probably true.","A|Well, that's probably true."
45,M,"Yeah, but, uh.","M|Yeah, but, uh."
46,A,"Um, yeah, I guess that's not an easy solution. There's, there's no easy solution for that.","A|Um, yeah, I guess that's not an easy solution. There's, there's no easy solution for that."
47,M,No.,M|No.
48,A,Uh-huh.,A|Uh-huh.
49,M,"or you could just hire people that are trained to do that. I mean, they could, you know, train them to do it, but, uh, you can't just hire them and then, you, you have to train them. You have to be able to train the people that do it.","M|or you could just hire people that are trained to do that. I mean, they could, you know, train them to do it, but, uh, you can't just hire them and then, you, you have to train them. You have to be able to train the people that do it."
50,A,"I'm sure it is, yeah.","A|I'm sure it is, yeah."
51,M,"But I don t remember if it's, if it was just, if they gave him a scholarship, if he'd be in good standing, and, you know, he'd get some money for it, but it's not like they can just send him to anybody else.","M|But I don t remember if it's, if it was just, if they gave him a scholarship, if he'd be in good standing, and, you know, he'd get some money for it, but it's not like they can just send him to anybody else."
52,A,"Um, yeah, I don't, I don't, certainly capital punishment isn't going to solve a lot of problems","A|Um, yeah, I don't, I don't, certainly capital punishment isn't going to solve a lot of problems"
53,M,"Uh-uh. Uh-uh, I think that, uh,","M|Uh-uh. Uh-uh, I think that, uh,"
54,A,"but,","A|but,"
55,M,I don't know.,M|I don't know.
56,A,"Uh,","A|Uh,"
57,M,Uh.,M|Uh.
58,A,I guess I am  for certain,A|I guess I am  for certain
59,M,Yeah.,M|Yeah.
60,A,"yeah, in certain crimes.","A|yeah, in certain crimes."
61,M,"Yeah, I think that's true.","M|Yeah, I think that's true."
62,A,"Uh, premeditated murder. Crimes of that nature, I think should definitely,","A|Uh, premeditated murder. Crimes of that nature, I think should definitely,"
63,M,Uh-huh.,M|Uh-huh.
64,A,any mass murderer type individual.,A|any mass murderer type individual.
65,M,Uh.,M|Uh.
66,A,"Um. Uh-huh. Well, you always have castration","A|Um. Uh-huh. Well, you always have castration"
67,M,"Yeah, I know.","M|Yeah, I know."
68,A,"Yes, I read about that","A|Yes, I read about that"
69,M,"Well that's, that's a, that, that is a good point. I hadn't thought of that.","M|Well that's, that's a, that, that is a good point. I hadn't thought of that."
70,A,Uh-huh.,A|Uh-huh.
71,M,"And, uh, that's what they said in the paper, they said that, uh that the, uh they said the, the, they, uh the civil, uh rights program, uh, that, that the judges have to be unanimous on is not a good, uh...","M|And, uh, that's what they said in the paper, they said that, uh that the, uh they said the, the, they, uh the civil, uh rights program, uh, that, that the judges have to be unanimous on is not a good, uh..."
